"Experiment","Site","es.measurement","d","vd","g","vg","r","var.r"
"Allowedforbidden","abington","md",0.862264906029257,0.15342174060571,0.854155831677884,0.150549634240267,0.39340901564789,0.0228161958136683
"Allowedforbidden","brasilia","md",0.669060911185423,0.109627293861809,0.664799376719274,0.1082352153605,0.315818074662448,0.019796856307079
"Allowedforbidden","charles","md",0.350638984256404,0.0964447630392306,0.347422112841207,0.0946832519223623,0.172495597091676,0.0219723924478769
"Allowedforbidden","conncoll","md",0.742248041902138,0.154460069721265,0.73618061921629,0.15194515808855,0.34619839449096,0.0260302480318642
"Allowedforbidden","csun","md",0.536366426489122,0.0911568998229794,0.531981959787576,0.0896726874425193,0.253484233641247,0.0178272354272379
"Allowedforbidden","help","md",0.296414747859191,0.132776901007076,0.294186065544461,0.130787762063841,0.146495635762881,0.0310547895329995
"Allowedforbidden","ithaca","md",1.08151901732067,0.138050112712685,1.07216870881358,0.135673397652736,0.475456896730597,0.015981081400173
"Allowedforbidden","jmu","md",0.880169410347824,0.0861582538195819,0.876234226695002,0.0853895594856734,0.402218994689627,0.0126416980499827
"Allowedforbidden","ku","md",0.6865234310994,0.0480063646420215,0.681831927014438,0.0473524830868962,0.323924533486921,0.00856234234478241
"Allowedforbidden","laurier","md",1.66375137172178,0.127630428187148,1.6523817723706,0.125892009052797,0.636544047232589,0.00660987528518365
"Allowedforbidden","lse","md",0.549872590447191,0.0343353050891013,0.548371573366807,0.0341481070457054,0.265084920359389,0.00689763943807213
"Allowedforbidden","luc","md",1.4034249442353,0.1799941027058,1.39599941542983,0.178094442093833,0.573472467633645,0.0135368455735967
"Allowedforbidden","mcdaniel","md",1.51946496871104,0.341952306631674,1.50756315433471,0.336616331678679,0.604628455598301,0.0217932056030273
"Allowedforbidden","msvu","md",0.571683252353854,0.146880289294102,0.566373500784004,0.144164533578545,0.269435002285628,0.0280607495791617
"Allowedforbidden","mturk","md",0.595419453315126,0.0145420148585094,0.594971432658004,0.0145201389460609,0.285330148486667,0.00281782606303474
"Allowedforbidden","osu","md",0.893421720491589,0.138143560429153,0.887024906263726,0.136172452843328,0.407732057738109,0.0200006358889035
"Allowedforbidden","oxy","md",0.839357740147426,0.375348930311388,0.834056533367547,0.370622653032652,0.386068771055156,0.0575015216577177
