"Study","Sample","EffectSize","LB","UB","OriginalES","Overalld"
"Moral Inversion","Aaron Sackett",0.904665702,0.36,0.66,"0.79",0.51
"Moral Inversion","Alexandra Mislin",0.367807163,0.36,0.66,"0.79",0.51
"Moral Inversion","UCI Psych Students",0.449165552,0.36,0.66,"0.79",0.51
"Moral Inversion","MTURK",0.665076719,0.36,0.66,"0.79",0.51
"Moral Inversion","Daniel Storage",0.556482503,0.36,0.66,"0.79",0.51
"Moral Inversion","Adam Hahn",0.638002985,0.36,0.66,"0.79",0.51
"Moral Inversion","Nicole Legate",0.228372526,0.36,0.66,"0.79",0.51
"Moral Inversion","french translation",0.190538476,0.36,0.66,"0.79",0.51
"Moral Inversion","Tori Brescoll",0.478037856,0.36,0.66,"0.79",0.51
"Moral Inversion","Felix Cheung",0.301635944,0.36,0.66,"0.79",0.51
"Moral Inversion","Fiery Cushman",-0.834441112,0.36,0.66,"0.79",0.51
"Moral Inversion","Jay van Bavel",0.643830118,0.36,0.66,"0.79",0.51
"Moral Inversion","Tatiana Sokolova",1.37263803,0.36,0.66,"0.79",0.51
"Moral Inversion","Jesse Graham",0.192622557,0.36,0.66,"0.79",0.51
"Intuitive economics","Aaron Sackett",0.532477493,0.37,0.6,"0.42",0.48
"Intuitive economics","Alexandra Mislin",0.452159026,0.37,0.6,"0.42",0.48
"Intuitive economics","UCI Psych Students",0.261507823,0.37,0.6,"0.42",0.48
"Intuitive economics","MTURK",0.59447588,0.37,0.6,"0.42",0.48
"Intuitive economics","Daniel Storage",0.544196104,0.37,0.6,"0.42",0.48
"Intuitive economics","Adam Hahn",0.116788414,0.37,0.6,"0.42",0.48
"Intuitive economics","Nicole Legate",0.445574177,0.37,0.6,"0.42",0.48
"Intuitive economics","french translation",0.369989233,0.37,0.6,"0.42",0.48
"Intuitive economics","Tori Brescoll",0.744165188,0.37,0.6,"0.42",0.48
"Intuitive economics","Felix Cheung",0.306449312,0.37,0.6,"0.42",0.48
"Intuitive economics","Fiery Cushman",0.207316593,0.37,0.6,"0.42",0.48
"Intuitive economics","Jay van Bavel",0.437735626,0.37,0.6,"0.42",0.48
"Intuitive economics","Tatiana Sokolova",0.784026545,0.37,0.6,"0.42",0.48
"Intuitive economics","Dan Molden",0.597631418,0.37,0.6,"0.42",0.48
"Intuitive economics","Jesse Graham",1.144341219,0.37,0.6,"0.42",0.48
"Burn in Hell","Aaron Sackett",-0.263,0.094,0.318,"0.27",0.206
"Burn in Hell","Alexandra Mislin",-0.093,0.094,0.318,"0.27",0.206
"Burn in Hell","UCI Psych Students",0.004,0.094,0.318,"0.27",0.206
"Burn in Hell","MTurk",0.516,0.094,0.318,"0.27",0.206
"Burn in Hell","Daniel Storage",0.182,0.094,0.318,"0.27",0.206
"Burn in Hell","Adam Hahn",0.214,0.094,0.318,"0.27",0.206
"Burn in Hell","Nicole Legate",0.255,0.094,0.318,"0.27",0.206
"Burn in Hell","french translation",0.208,0.094,0.318,"0.27",0.206
"Burn in Hell","Felix Cheung",0.149,0.094,0.318,"0.27",0.206
"Burn in Hell","Fiery Cushman",0.393,0.094,0.318,"0.27",0.206
"Burn in Hell","Jay van Bavel",0.425,0.094,0.318,"0.27",0.206
"Burn in Hell","Tatiana Sokolova",0.082,0.094,0.318,"0.27",0.206
"Burn in Hell","Dan Molden",0.249,0.094,0.318,"0.27",0.206
"Burn in Hell","Jesse Graham",0.35,0.094,0.318,"0.27",0.206
"Burn in Hell","Ann Laure",0.327,0.094,0.318,"0.27",0.206
"Presumption of Guilt","AaronSackett",0.0891,0.09,0.26,"0.03",0.17
"Presumption of Guilt","AlexandraMislin",0.283,0.09,0.26,"0.03",0.17
"Presumption of Guilt","UCIBusiness",-0.0932,0.09,0.26,"0.03",0.17
"Presumption of Guilt","Mturk",0.1865,0.09,0.26,"0.03",0.17
"Presumption of Guilt","Adam Hahn",-0.0893,0.09,0.26,"0.03",0.17
"Presumption of Guilt","Nicole Legate",0.1744,0.09,0.26,"0.03",0.17
"Presumption of Guilt","French",0.1496,0.09,0.26,"0.03",0.17
"Presumption of Guilt","ToriBrescoll",0.3391,0.09,0.26,"0.03",0.17
"Presumption of Guilt","Fiery Cushman",-0.2454,0.09,0.26,"0.03",0.17
"Presumption of Guilt","Dan Molden",0.2268,0.09,0.26,"0.03",0.17
"Presumption of Guilt","Ann Laure",0.3878,0.09,0.26,"0.03",0.17
"Presumption of Guilt","EliAwtrey",0.2205,0.09,0.26,"0.03",0.17
"Presumption of Guilt","JenJordan",0.3432,0.09,0.26,"0.03",0.17
