"experiment","site","t","v","es","nt","nc","replicated","n"
"Allowedforbidden","abington",1.56397553835734,0.50473729543497,"logor",36,46,1,82
"Allowedforbidden","brasilia",1.21354225534209,0.360659340659341,"logor",66,54,1,120
"Allowedforbidden","charles",0.635988766719997,0.31729055258467,"logor",44,40,1,84
"Allowedforbidden","conncoll",1.34628902650619,0.508153261304522,"logor",42,52,1,94
"Allowedforbidden","csun",0.972861083362549,0.29989417989418,"logor",37,57,1,94
"Allowedforbidden","help",0.537636881216647,0.436818495514148,"logor",53,49,1,102
"Allowedforbidden","ithaca",1.96165850602345,0.454166666666667,"logor",46,43,1,89
"Allowedforbidden","jmu",1.59645071690729,0.283449293695973,"logor",80,90,1,170
"Allowedforbidden","ku",1.24521576285999,0.157934609250399,"logor",52,60,1,112
"Allowedforbidden","laurier",3.01771118027277,0.419887278582931,"logor",63,49,1,112
"Allowedforbidden","lse",0.997358554962937,0.11295862607338,"logor",140,137,1,277
"Allowedforbidden","luc",2.54553127160443,0.592156862745098,"logor",67,77,1,144
"Allowedforbidden","mcdaniel",2.75600459422425,1.12497799683154,"logor",51,47,1,98
"Allowedforbidden","msvu",1.03691871966277,0.483216783216783,"logor",50,33,1,83
"Allowedforbidden","mturk",1.07997142587566,0.0478413112827505,"logor",497,502,1,999
"Allowedforbidden","original",0.91753219696222,0.00854832584253234,"d",650,650,1,1300
"Allowedforbidden","osu",1.62048774862069,0.45447409733124,"logor",55,52,1,107
"Allowedforbidden","oxy",1.52242653544447,1.23484848484848,"logor",65,56,1,121
"Allowedforbidden","pi",1.52534996618364,0.0491380739759127,"logor",619,696,1,1315
"Allowedforbidden","psu",1.64147726617872,0.633616174313849,"logor",55,39,1,94
"Allowedforbidden","qccuny",2.20373925835741,0.433091418385536,"logor",55,47,1,102
"Allowedforbidden","qccuny2",1.75016557192922,0.465122265122265,"logor",44,40,1,84
"Allowedforbidden","sdsu",1.83032250396237,0.424375843454791,"logor",81,79,1,160
"Allowedforbidden","swps",1.58412010444981,0.400641025641026,"logor",36,43,1,79
"Allowedforbidden","swpson",0.98610631011257,0.190142021720969,"logor",83,85,1,168
"Allowedforbidden","tamu",1.02961941718116,0.149084249084249,"logor",91,96,1,187
"Allowedforbidden","tamuc",0.998528830111127,0.404887218045113,"logor",45,42,1,87
"Allowedforbidden","tamuon",1.64890834465473,0.193234512054737,"logor",124,96,1,220
