"Study","Sample","EffectSize","LB","UB","OriginalES","Overalld","name","University","Sample.Size","Online.Lab"
"Moral Inversion","Aaron Sackett",0.904665702,0.36,0.66,0.79,0.51,"aaronsackett","University of St. Thomas",131,"Lab"
"Moral Inversion","Alexandra Mislin",0.367807163,0.36,0.66,0.79,0.51,"alexandramislin","American University",111,"Lab"
"Moral Inversion","UCI Psych Students",0.449165552,0.36,0.66,0.79,0.51,"ucipsychstudents","University of California Irvine",279,"Lab"
"Moral Inversion","MTURK",0.665076719,0.36,0.66,0.79,0.51,"mturk","Mechanical Turk sample",1038,"Online"
"Moral Inversion","Daniel Storage",0.556482503,0.36,0.66,0.79,0.51,"danielstorage","University of Illinois Urbana-Champaign",114,"Online"
"Moral Inversion","Adam Hahn",0.638002985,0.36,0.66,0.79,0.51,"adamhahn","University of Cologne",305,"Online"
"Moral Inversion","Nicole Legate",0.228372526,0.36,0.66,0.79,0.51,"nicolelegate","Illinois Institute of Technology",127,"Online"
"Moral Inversion","french translation",0.190538476,0.36,0.66,0.79,0.51,"french","INSEAD, France",237,"Online"
"Moral Inversion","Tori Brescoll",0.478037856,0.36,0.66,0.79,0.51,"toribrescoll","Yale",154,"Online"
"Moral Inversion","Felix Cheung",0.301635944,0.36,0.66,0.79,0.51,"felixcheung","University of Hong Kong",124,"Online"
"Moral Inversion","Fiery Cushman",-0.834441112,0.36,0.66,0.79,0.51,"fierycushman","Harvard University",39,"Online"
"Moral Inversion","Jay van Bavel",0.643830118,0.36,0.66,0.79,0.51,"jayvanbavel","New York University",327,"Lab"
"Moral Inversion","Tatiana Sokolova",1.37263803,0.36,0.66,0.79,0.51,"tatianasokolova","University of Michigan",100,"Lab"
"Moral Inversion","Jesse Graham",0.192622557,0.36,0.66,0.79,0.51,"jessegraham","University of Southern California",251,"Online"
"Intuitive Economics","Aaron Sackett",0.532477493,0.37,0.6,0.42,0.48,"aaronsackett","University of St. Thomas",131,"Lab"
"Intuitive Economics","Alexandra Mislin",0.452159026,0.37,0.6,0.42,0.48,"alexandramislin","American University",111,"Lab"
"Intuitive Economics","UCI Psych Students",0.261507823,0.37,0.6,0.42,0.48,"ucipsychstudents","University of California Irvine",279,"Lab"
"Intuitive Economics","MTURK",0.59447588,0.37,0.6,0.42,0.48,"mturk","Mechanical Turk sample",1038,"Online"
"Intuitive Economics","Daniel Storage",0.544196104,0.37,0.6,0.42,0.48,"danielstorage","University of Illinois Urbana-Champaign",114,"Online"
"Intuitive Economics","Adam Hahn",0.116788414,0.37,0.6,0.42,0.48,"adamhahn","University of Cologne",305,"Online"
"Intuitive Economics","Nicole Legate",0.445574177,0.37,0.6,0.42,0.48,"nicolelegate","Illinois Institute of Technology",127,"Online"
"Intuitive Economics","french translation",0.369989233,0.37,0.6,0.42,0.48,"french","INSEAD, France",237,"Online"
"Intuitive Economics","Tori Brescoll",0.744165188,0.37,0.6,0.42,0.48,"toribrescoll","Yale",154,"Online"
"Intuitive Economics","Felix Cheung",0.306449312,0.37,0.6,0.42,0.48,"felixcheung","University of Hong Kong",124,"Online"
"Intuitive Economics","Fiery Cushman",0.207316593,0.37,0.6,0.42,0.48,"fierycushman","Harvard University",39,"Online"
"Intuitive Economics","Jay van Bavel",0.437735626,0.37,0.6,0.42,0.48,"jayvanbavel","New York University",327,"Lab"
"Intuitive Economics","Tatiana Sokolova",0.784026545,0.37,0.6,0.42,0.48,"tatianasokolova","University of Michigan",100,"Lab"
"Intuitive Economics","Dan Molden",0.597631418,0.37,0.6,0.42,0.48,"danmolden","Northwestern University",93,"Lab"
"Intuitive Economics","Jesse Graham",1.144341219,0.37,0.6,0.42,0.48,"jessegraham","University of Southern California",251,"Online"
"Burn in Hell","Aaron Sackett",-0.263,0.094,0.318,0.27,0.206,"aaronsackett","University of St. Thomas",131,"Lab"
"Burn in Hell","Alexandra Mislin",-0.093,0.094,0.318,0.27,0.206,"alexandramislin","American University",111,"Lab"
"Burn in Hell","UCI Psych Students",0.004,0.094,0.318,0.27,0.206,"ucipsychstudents","University of California Irvine",279,"Lab"
"Burn in Hell","MTurk",0.516,0.094,0.318,0.27,0.206,"mturk","Mechanical Turk sample",1038,"Online"
"Burn in Hell","Daniel Storage",0.182,0.094,0.318,0.27,0.206,"danielstorage","University of Illinois Urbana-Champaign",114,"Online"
"Burn in Hell","Adam Hahn",0.214,0.094,0.318,0.27,0.206,"adamhahn","University of Cologne",305,"Online"
"Burn in Hell","Nicole Legate",0.255,0.094,0.318,0.27,0.206,"nicolelegate","Illinois Institute of Technology",127,"Online"
"Burn in Hell","french translation",0.208,0.094,0.318,0.27,0.206,"french","INSEAD, France",237,"Online"
"Burn in Hell","Felix Cheung",0.149,0.094,0.318,0.27,0.206,"felixcheung","University of Hong Kong",124,"Online"
"Burn in Hell","Fiery Cushman",0.393,0.094,0.318,0.27,0.206,"fierycushman","Harvard University",39,"Online"
"Burn in Hell","Jay van Bavel",0.425,0.094,0.318,0.27,0.206,"jayvanbavel","New York University",327,"Lab"
"Burn in Hell","Tatiana Sokolova",0.082,0.094,0.318,0.27,0.206,"tatianasokolova","University of Michigan",100,"Lab"
"Burn in Hell","Dan Molden",0.249,0.094,0.318,0.27,0.206,"danmolden","Northwestern University",188,"Lab"
"Burn in Hell","Jesse Graham",0.35,0.094,0.318,0.27,0.206,"jessegraham","University of Southern California",251,"Online"
"Burn in Hell","Ann Laure",0.327,0.094,0.318,0.27,0.206,"annelauresellier","HEC Paris",113,"Online"
"Presumption of Guilt","AaronSackett",0.0891,0.09,0.26,0.03,0.17,"aaronsackett","University of St. Thomas",131,"Lab"
"Presumption of Guilt","AlexandraMislin",0.283,0.09,0.26,0.03,0.17,"alexandramislin","American University",108,"Lab"
"Presumption of Guilt","UCIBusiness",-0.0932,0.09,0.26,0.03,0.17,"ucibusiness","University of California Irvine",244,"Lab"
"Presumption of Guilt","Mturk",0.1865,0.09,0.26,0.03,0.17,"mturk","Mechanical Turk sample",1033,"Online"
"Presumption of Guilt","Adam Hahn",-0.0893,0.09,0.26,0.03,0.17,"adamhahn","University of Cologne",266,"Online"
"Presumption of Guilt","Nicole Legate",0.1744,0.09,0.26,0.03,0.17,"nicolelegate","Illinois Institute of Technology",123,"Online"
"Presumption of Guilt","French",0.1496,0.09,0.26,0.03,0.17,"french","INSEAD, France",236,"Online"
"Presumption of Guilt","ToriBrescoll",0.3391,0.09,0.26,0.03,0.17,"toribrescoll","Yale",158,"Online"
"Presumption of Guilt","Fiery Cushman",-0.2454,0.09,0.26,0.03,0.17,"fierycushman","Harvard University",51,"Online"
"Presumption of Guilt","Dan Molden",0.2268,0.09,0.26,0.03,0.17,"danmolden","Northwestern University",188,"Lab"
