"num","experiment","replicate","n","r","z","vz","site","es"
1,"Tracing attention and the activation flow in spoken word planning using eye movements.",0,24,0.594605285,0.684760158473966,0.0476190476190476,"Abeler_orig","r"
1,"Tracing attention and the activation flow in spoken word planning using eye movements.",0,24,0.148340453,0.149443120256283,0.0476190476190476,"Ambrus_orig","r"
2,"Now you see it, now you don't: repetition blindness for nonwords",0,24,0.611120054,0.710707113969394,0.0476190476190476,"Bartling_orig","r"
2,"Now you see it, now you don't: repetition blindness for nonwords",0,24,0.229604631,0.233772054589965,0.0476190476190476,"Charness_orig","r"
3,"Working memory costs of task switching.",0,25,0.424979665,0.453753708518042,0.0454545454545455,"Chen_orig","r"
3,"Working memory costs of task switching.",0,25,-0.215243835,-0.218663485593077,0.0454545454545455,"deClippel_orig","r"
4,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",0,240,0.228739615,0.232859089732106,0.00421940928270042,"Duffy_orig","r"
4,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",0,240,-0.006108358,-0.00610843397346169,0.00421940928270042,"Dulleck_orig","r"
5,"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",0,32,0.461300742,0.498962392476004,0.0344827586206897,"Ericson_orig","r"
5,"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",0,32,0.134811802,0.135637524870972,0.0344827586206897,"Fehr_orig","r"
6,"A single-system account of the relationship between priming, recognition, and fluency.",0,24,0.594960462,0.685309769582024,0.0476190476190476,"Friedman_orig","r"
6,"A single-system account of the relationship between priming, recognition, and fluency.",0,24,0.395843475,0.418710420698763,0.0476190476190476,"Fudenberg_orig","r"
7,"Modeling distributions of immediate memory effects: No strategies needed?",0,100,0.715143728,0.897633709106095,0.0103092783505155,"Huck_orig","r"
7,"Modeling distributions of immediate memory effects: No strategies needed?",0,100,0.131411981,0.132176372921613,0.0103092783505155,"Ifcher_orig","r"
8,"Stereotypes and retrieval-provoked illusory source recollections.",0,39,0.561422534,0.634908053973584,0.0277777777777778,"Kessler_orig","r"
8,"Stereotypes and retrieval-provoked illusory source recollections.",0,39,-0.110614348,-0.111068831072181,0.0277777777777778,"Kirchler_orig","r"
10,"Across-notation automatic numerical processing.",0,32,0.698586719,0.864534746467758,0.0344827586206897,"Kogan_orig","r"
10,"Across-notation automatic numerical processing.",0,32,0.780725807,1.04722667369848,0.0344827586206897,"Kuziemko_orig","r"
11,"Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",0,22,0.672084167,0.814534581372408,0.0526315789473684,"Abeler_orig","r"
11,"Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",0,22,0.466443576,0.505515292648616,0.0526315789473684,"Ambrus_orig","r"
12,"When does between-sequence phonological similarity promote irrelevant sound disruption?",0,48,0.178477629,0.180409785295794,0.0222222222222222,"Bartling_orig","r"
12,"When does between-sequence phonological similarity promote irrelevant sound disruption?",0,48,0.08323764,0.0834306805876074,0.0222222222222222,"Charness_orig","r"
13,"Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.",0,36,0.52450217,0.582530435743512,0.0303030303030303,"Chen_orig","r"
13,"Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.",0,36,0.524539034,0.582581291188142,0.0303030303030303,"deClippel_orig","r"
15,"The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",0,95,0.195136354,0.197671341200697,0.0108695652173913,"Duffy_orig","r"
15,"The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",0,95,0.24687812,0.252085564199444,0.0108695652173913,"Dulleck_orig","r"
17,"The ultimate sampling dilemma in experience-based decision making.",0,39,0.304772411,0.314772324350052,0.0277777777777778,"Ericson_orig","r"
17,"The ultimate sampling dilemma in experience-based decision making.",0,39,0.434510306,0.465443374485164,0.0277777777777778,"Fehr_orig","r"
19,"How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.",0,32,0.560499145,0.63356067564677,0.0344827586206897,"Friedman_orig","r"
19,"How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.",0,32,0.401939168,0.425959601340054,0.0344827586206897,"Fudenberg_orig","r"
20,"Intentional forgetting is easier after two ""shots"" than one.",0,96,0.224092029,0.227960364129573,0.010752688172043,"Huck_orig","r"
20,"Intentional forgetting is easier after two ""shots"" than one.",0,96,0.019422053,0.0194244956568418,0.010752688172043,"Ifcher_orig","r"
22,"How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.",0,18,0.219359299,0.222982920488814,0.0666666666666667,"Kessler_orig","r"
22,"How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.",0,18,0.064661345,0.0647516900439762,0.0666666666666667,"Kirchler_orig","r"
24,"Priming addition facts with semantic relations.",0,154,0.363732358,0.381180652550176,0.00662251655629139,"Kogan_orig","r"
24,"Priming addition facts with semantic relations.",0,154,0.284274426,0.29232618593634,0.00662251655629139,"Kuziemko_orig","r"
25,"Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.",0,24,0.348120689,0.363303690199693,0.0476190476190476,"Abeler_orig","r"
25,"Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.",0,24,0.2733272,0.280456144360303,0.0476190476190476,"Ambrus_orig","r"
26,"Contextual effects on reading aloud: Evidence for pathway control.",0,16,0.160955695,0.162367653957866,0.0769230769230769,"Bartling_orig","r"
26,"Contextual effects on reading aloud: Evidence for pathway control.",0,16,0.14406846,0.145077808249329,0.0769230769230769,"Charness_orig","r"
27,"On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.",0,32,0.378068955,0.397804631884721,0.0344827586206897,"Chen_orig","r"
27,"On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.",0,32,0.379573968,0.399561810599662,0.0344827586206897,"deClippel_orig","r"
28,"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.",0,32,0.341773488,0.356099200575972,0.0344827586206897,"Duffy_orig","r"
28,"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.",0,32,0.103261105,0.103630490542844,0.0344827586206897,"Dulleck_orig","r"
29,"Multidimensional visual statistical learning.",0,8,0.73782079,0.945679455083732,0.2,"Ericson_orig","r"
29,"Multidimensional visual statistical learning.",0,8,0.703904904,0.874998612661069,0.2,"Fehr_orig","r"
32,"Accounting for occurrences: A new view of the use of contingency information in causal judgment.",0,37,0.623367433,0.730493922145522,0.0294117647058824,"Friedman_orig","r"
32,"Accounting for occurrences: A new view of the use of contingency information in causal judgment.",0,37,0.480717115,0.523916497045395,0.0294117647058824,"Fudenberg_orig","r"
33,"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.",0,40,0.516812354,0.571980598502644,0.027027027027027,"Huck_orig","r"
33,"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.",0,40,0.315999964,0.327197057137755,0.027027027027027,"Ifcher_orig","r"
36,"An attention-based associative account of adjacent and nonadjacent dependency learning.",0,24,0.713921386,0.895136292560066,0.0476190476190476,"Kessler_orig","r"
36,"An attention-based associative account of adjacent and nonadjacent dependency learning.",0,24,0.681560537,0.832022572221689,0.0476190476190476,"Kirchler_orig","r"
37,"Orienting attention in visual working memory reduces interference from memory probes.",0,12,0.551178255,0.620072140594967,0.111111111111111,"Kogan_orig","r"
37,"Orienting attention in visual working memory reduces interference from memory probes.",0,12,0.349791589,0.365206268595273,0.111111111111111,"Kuziemko_orig","r"
39,"Decision making and learning while taking sequential risks.",0,68,0.366615713,0.384507676875194,0.0153846153846154,"Abeler_orig","r"
39,"Decision making and learning while taking sequential risks.",0,68,0.101709161,0.102062072805603,0.0153846153846154,"Ambrus_orig","r"
43,"The rejection of moral rebels: Resenting those who do the right thing.",0,67,0.347251138,0.362314568656241,0.015625,"Bartling_orig","r"
43,"The rejection of moral rebels: Resenting those who do the right thing.",0,67,0.161063754,0.16247858884867,0.015625,"Charness_orig","r"
44,"Why do implicit and explicit attitude tests diverge? The role of structural fit.",0,70,0.352175067,0.367924620459263,0.0149253731343284,"Chen_orig","r"
44,"Why do implicit and explicit attitude tests diverge? The role of structural fit.",0,70,0.150236955,0.151382853963031,0.0149253731343284,"deClippel_orig","r"
46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",0,230047,0.022542373,0.022546192531379,4.34699448801099e-06,"Duffy_orig","r"
46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",0,230047,0.023841537,0.0238460558679042,4.34699448801099e-06,"Dulleck_orig","r"
48,"Terror management and adults' attachment to their parents: The safe haven remains.",0,100,0.225490086,0.229432826442352,0.0103092783505155,"Ericson_orig","r"
48,"Terror management and adults' attachment to their parents: The safe haven remains.",0,100,-0.052290282,-0.0523380189858188,0.0103092783505155,"Fehr_orig","r"
49,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0,36,0.378345294,0.398127096417791,0.0303030303030303,"Friedman_orig","r"
49,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0,36,-0.030485538,-0.0304949873644914,0.0303030303030303,"Fudenberg_orig","r"
50,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0,98,0.208058463,0.211141100838117,0.0105263157894737,"Huck_orig","r"
50,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0,98,0.155043132,0.156303691857083,0.0105263157894737,"Ifcher_orig","r"
52,"Affective incoherence: When affective concepts and embodied reactions clash.",0,133,0.20573686,0.208715672093056,0.00769230769230769,"Kessler_orig","r"
52,"Affective incoherence: When affective concepts and embodied reactions clash.",0,133,0.094021673,0.0943002047242516,0.00769230769230769,"Kirchler_orig","r"
53,"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",0,48,0.377126878,0.396705896912039,0.0222222222222222,"Kogan_orig","r"
53,"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",0,48,0.076700677,0.0768516200278652,0.0222222222222222,"Kuziemko_orig","r"
