"UID","session","treatment","wta.pen","wta.mug","Date","ExperimentalID","SubjectItem","YourNumber","Condition","BirthYear","Gender","Ethnicity","Country","Language","Education","Major","HSSStudent","HSSClasses","IsTalkative","TendsFault","ThoroughJob","IsDepressed","IsOriginal","IsReserved","IsHelpful","Careless","IsRelaxed","Curious","Energy","Quarrels","Reliable","Tense","Ingenious","Enthusiasm","Forgiving","Disorganized","Worries","Imagination","Quiet","Trusting","TendsLazy","Stable","Inventive","Assertive","ColdAloof","Perseveres","Moody","Artistic","Shy","Considerate","Efficient","Calm","PrefersRoutine","Outgoing","Rude","FollowsThrough","Nervous","Reflect","FewArtistic","Cooperate","Distracted","Sophisticated","theMugBid","thePenBid","WillingToPay","LikeBetterSubjectItem","ThinkOtherItem","ThinkSubjectItem","ThinkMoreAboutSubjectItem","leaveWithItem","leaveWithLess","BDMItem","BDMPrice","Female","HighTreat","Age","Day"
"1B10","1_tuesday_2.30","MH",1.155,3.135,"10-06-2015",11,"mug",8,"MH",1996,"M","Asian","United States","English","College","Engineering",FALSE,"",3,4,4,2,2,4,3,2,3,2,2,3,5,4,2,3,2,2,4,3,4,4,2,3,2,3,4,4,4,4,4,4,3,4,4,3,3,5,4,4,4,4,4,1,"000","000","0","0","0","0","0","000","000","000","000",0,1,19,1
"1B11","1_tuesday_2.30","MH",5.445,4.125,"10-06-2015",11,"mug",8,"MH",1995,"M","Caucasian","United States","English","College","History",FALSE,"",4,4,4,3,3,2,4,2,3,5,4,2,4,3,4,4,4,2,4,3,2,4,2,3,3,3,1,4,3,2,3,4,4,3,4,4,4,4,4,4,4,4,3,1,"000","000","0","0","0","0","0","000","000","000","000",0,1,20,1
"1B12","1_tuesday_2.30","ML",3.135,4.125,"10-06-2015",12,"mug",1,"ML",1994,"F","Caucasian","United States","English","College","English",FALSE,"",4,3,4,3,5,4,2,3,2,5,3,3,4,4,5,5,1,5,4,4,3,2,4,4,4,4,3,4,4,5,4,3,2,3,2,4,4,4,4,5,1,4,3,5,"000","000","0","0","0","0","0","000","000","000","000",1,0,21,1
"1B7","1_tuesday_2.30","ML",0.825,0.825,"10-06-2015",71,"mug",1,"ML",1993,"M","Caucasian","United States","English","College"," gov",FALSE,"",5,3,4,2,3,2,4,3,4,4,4,4,4,3,3,4,4,1,2,3,2,4,2,3,4,4,2,4,3,3,2,4,4,4,2,4,3,4,3,4,3,4,3,3,"000","000","0","0","0","0","0","000","000","000","000",0,0,22,1
"1B8","1_tuesday_2.30","ML",1.485,0,"10-06-2015",1,"mug",1,"ML",1995,"M","Caucasian","United States","English","College","Slavic Langauges and Literatures",FALSE,"",4,2,5,2,4,2,5,2,3,4,4,1,4,4,3,5,5,4,3,3,2,5,2,4,4,3,2,4,3,5,4,5,3,4,2,5,2,5,2,3,1,3,4,5,"000","000","0","0","0","0","0","000","000","000","000",0,0,20,1
"1C1","1_tuesday_2.30","ML",2.145,1.155,"10-06-2015",13,"mug",1,"ML",1992,"F","Asian","United States","English","Graduate School","Law",FALSE,"",3,4,4,2,3,3,4,4,4,5,4,3,4,4,2,2,2,3,4,3,4,4,2,3,2,3,3,4,4,3,4,3,4,3,3,3,2,4,3,3,2,4,3,3,"000","000","0","0","0","0","0","000","000","000","000",1,0,23,1
"1C10","1_tuesday_2.30","MH",5.775,7.095,"10-06-2015",22,"mug",8,"MH",1994,"F","Hispanic","United States","English","College","History and Science",FALSE,"",4,5,5,4,4,4,5,4,3,5,3,3,5,4,4,3,4,5,4,3,2,4,2,1,4,4,4,5,4,3,4,4,4,4,2,3,3,3,3,4,3,4,5,2,"000","000","0","0","0","0","0","000","000","000","000",1,1,21,1
"1C12","1_tuesday_2.30","ML",3.135,2.805,"10-06-2015",24,"mug",1,"ML",1989,"F","Asian","United States","English","Graduate School","ECONOMICS",FALSE,"",2,3,2,3,4,4,4,4,3,5,3,1,2,4,2,3,2,2,4,5,3,4,3,3,5,2,4,2,4,5,4,4,2,2,3,3,3,2,2,5,2,4,5,4,"000","000","0","0","0","0","0","000","000","000","000",1,0,26,1
"1C2","1_tuesday_2.30","MH",0.165,1.155,"10-06-2015",14,"mug",8,"MH",1992,"M","Caucasian","United States","English","College","History",FALSE,"",2,2,4,2,4,4,4,2,3,4,4,2,4,4,4,4,3,2,3,4,4,5,2,4,4,4,3,4,3,4,4,4,5,4,2,3,3,4,3,4,1,4,3,5,"000","000","0","0","0","0","0","000","000","000","000",0,1,23,1
"1C3","1_tuesday_2.30","MH",2.475,5.115,"10-06-2015",1,"mug",8,"MH",1996,"F","Caucasian","United States","English","College","Women's; Gender; and Sexuality Studies",FALSE,"",3,2,4,4,4,4,4,2,2,4,2,2,4,4,4,2,4,4,4,4,4,4,3,2,4,3,4,4,4,4,4,4,4,2,4,2,4,4,5,4,1,4,4,4,"000","000","0","0","0","0","0","000","000","000","000",1,1,19,1
"1C4","1_tuesday_2.30","ML",8.085,5.115,"10-06-2015",1,"mug",1,"ML",1996,"M","Asian","United States","English","College","Statistics & Mathematics",FALSE,"",5,4,5,4,4,4,5,3,3,2,4,3,2,4,5,3,3,1,5,5,4,3,2,4,4,3,4,5,3,2,2,4,4,4,5,4,3,4,4,5,4,4,3,5,"000","000","0","0","0","0","0","000","000","000","000",0,0,19,1
"1C7","1_tuesday_2.30","ML",7.755,9.57,"10-06-2015",1,"mug",1,"ML",1993,"M","African/African American","Kenya","Swahili","College","Statistics",FALSE,"",4,3,4,2,4,3,4,4,5,4,5,1,5,4,4,4,4,2,2,5,2,4,2,4,4,4,3,3,4,4,2,5,4,4,3,4,1,4,2,4,4,5,4,4,"000","000","0","0","0","0","0","000","000","000","000",0,0,22,1
"1C8","1_tuesday_2.30","MH",5.115,0.165,"10-06-2015",1,"mug",8,"MH",1994,"M","Caucasian","United States","English","College","Economics",FALSE,"",4,2,4,2,4,4,4,3,4,3,4,2,4,3,4,4,4,2,2,4,4,4,2,4,4,2,4,4,2,4,4,4,4,4,4,4,2,4,2,4,3,3,3,2,"000","000","0","0","0","0","0","000","000","000","000",0,1,21,1
"10B12","10_thursday_1.00","MH",8.085,3.795,"10-08-2015",121,"mug",8,"MH",1989,"M","Caucasian","Australia","English","Graduate School","LAW",FALSE,"",4,4,4,2,4,1,3,4,5,5,4,2,4,3,4,3,5,3,3,4,2,5,2,4,4,4,2,4,4,5,1,2,5,4,2,4,4,5,2,4,1,2,2,5,"000","000","0","0","0","0","0","000","000","000","000",0,1,26,3
"10C1","10_thursday_1.00","MH",2.145,5.115,"10-08-2015",131,"mug",8,"MH",1982,"M","Caucasian","United States","English","Graduate School","Statistics",FALSE,"",3,3,4,4,4,4,3,4,2,5,3,3,4,4,5,3,3,3,4,4,4,3,2,2,4,4,4,3,4,5,4,2,5,3,4,4,4,4,4,5,2,4,3,4,"000","000","0","0","0","0","0","000","000","000","000",0,1,33,3
"10C2","10_thursday_1.00","MH",0,0,"10-08-2015",141,"mug",8,"MH",1996,"M","Caucasian","United States","English","College","Linguistics",FALSE,"",4,2,4,2,3,2,4,3,2,4,4,1,4,4,3,4,4,2,3,4,2,4,2,4,3,2,3,4,3,4,4,4,3,4,4,4,3,3,3,4,2,4,3,3,"000","000","0","0","0","0","0","000","000","000","000",0,1,19,3
"10C4","10_thursday_1.00","ML",3.465,6.765,"10-08-2015",161,"mug",1,"ML",1994,"M","Caucasian","United States","English","College","Human Evolutionary Biology",FALSE,"",2,1,5,1,3,3,4,2,5,5,4,1,5,2,5,4,5,2,1,4,4,5,2,5,4,2,2,3,2,4,4,4,4,4,3,3,2,4,2,5,2,3,4,3,"000","000","0","0","0","0","0","000","000","000","000",0,0,21,3
"10C6","10_thursday_1.00","MH",1.155,1.155,"10-08-2015",181,"mug",8,"MH",1994,"F","African/African American","United States","English","College","Psychology",FALSE,"",4,4,5,3,2,2,4,4,1,2,2,3,4,4,3,4,3,3,5,4,1,3,3,1,4,4,4,4,4,3,4,3,4,4,2,4,4,4,3,3,4,3,2,2,"000","000","0","0","0","0","0","000","000","000","000",1,1,21,3
