experiment,ref
Abeler et al. (AER 2011),33
Ambrus and Greiner (AER 2012),34
Bartling et al. (AER 2012),35
Charness and Dufwenberg (AER 2011),36
Chen and Chen (AER 2011),37
de Clippel et al. (AER 2014),38
Duffy and Puzzello (AER 2014),39
Dulleck et al. (AER 2011),40
Ericson and Fuster (QJE 2011),41
Fehr et al. (AER 2013),42
Friedman and Oprea (AER 2012),43
Fudenberg et al. (AER 2012),44
Huck et al. (AER 2011),45
Ifcher and Zarghamee (AER 2011),46
Kessler and Roth (AER 2012),47
Kirchler et al (AER 2012),48
Kogan et al. (AER 2011),49
Kuziemko et al. (QJE 2014),50
