V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.3_1,Q2.3_2,Q2.3_3,Q2.3_10,Q2.4_1,Q2.4_2,Q2.4_3,Q2.4_4,Q2.5_1,Q2.5_2,Q2.5_3,Q2.5_4,Q2.6_1,Q2.6_2,Q2.6_3,Q2.6_4,Q2.7_1,Q2.7_2,Q2.7_3,Q2.7_4,Q2.8_1,Q2.8_2,Q2.8_3,Q2.8_4,Q2.9_1,Q2.9_2,Q2.9_3,Q2.9_4,Q2.10_1,Q2.10_2,Q2.10_3,Q2.10_4,Q2.11_1,Q2.11_2,Q2.11_3,Q2.11_4,Q2.12_1,Q2.12_2,Q2.12_3,Q2.12_4,Q2.13_1,Q2.13_2,Q2.13_3,Q2.13_4,Q3.1,Q3.2,Q3.3_1,Q3.3_2,Q3.3_3,Q3.3_4,Q3.3_5,Q3.3_6,Q3.3_7,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.3_5,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.4_5,Q4.5_1,Q4.5_2,Q4.5_3,Q4.5_4,Q4.5_5,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.7_1,Q4.7_2,Q4.7_3,Q4.7_4,Q4.7_5,Q4.8_1,Q4.8_2,Q4.8_3,Q4.8_4,Q4.8_5,Q5.1,Q5.1_TEXT,Q5.2,Q5.3,Q5.3_TEXT,Q5.4,Q5.5,Q5.5_TEXT,Q5.6,Q5.7,Q5.8,Q5.9,Q5.10,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7,Q6.8,Q6.9,Q51,Q7.1,Q7.2,LocationLatitude,LocationLongitude,LocationAccuracy,Exclude
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Participant ID,"When you have completed the paper questionnaire, please click / 'next' to continue.",The information that you provide will be kept anonymous. Any / identifying information will be remo...,"Reactions to Hypothetical Incidents / In this part of the study, we will ask you to read about / hypo...",Incident 1: Your partner / talks to friends about private issues in your / relationship-I would tell my partner that it will take a long time to make it up to me,Incident 1: Your partner / talks to friends about private issues in your / relationship-I would calmly tell my partner why I'd prefer that our private life remain private,Incident 1: Your partner / talks to friends about private issues in your / relationship-I would assume that my partner probably didn't mean to expose our private life,"Incident 1: Your partner / talks to friends about private issues in your / relationship-I would dwell on how angry I feel, but wouldn't talk to my partner about it",Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would assume that my partner must feel very uncomfortable about the issue underlying my fears,Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would imagine ways to obtain revenge in the future,Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would make fun of my partner at the next available opportunity,Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would talk about how important it is that we understand each other's weaknesses,"Incident 3: Your / partner becomes sexually intimate with another / person.-I would retaliate, becoming sexually intimate with someone myself","Incident 3: Your / partner becomes sexually intimate with another / person.-I would imagine breaking up because there are ""other fish in the sea""",Incident 3: Your / partner becomes sexually intimate with another / person.-I would suggest that we have a positive talk about sexual monogamy,"Incident 3: Your / partner becomes sexually intimate with another / person.-I would remind myself that in general, my partner treats me very well",Incident 4: Your partner / deliberately says something that hurts you badly.-I would ask my partner why he/she had hurt my feelings,Incident 4: Your partner / deliberately says something that hurts you badly.-I would say something equally mean right back to my partner,Incident 4: Your partner / deliberately says something that hurts you badly.-I would try to understand that my partner may not have intended to hurt me,Incident 4: Your partner / deliberately says something that hurts you badly.-I would give my partner the cold shoulder for awhile,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would imagine ways to get revenge,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would yell at my partner not to do that again,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would assume that my partner didn't mean to embarrass me in front of friends,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would nicely explain that I'd prefer that we keep embarrassing events to ourselves,Incident 6: Your partner / forgets your birthday-I would calmly remind my partner that it's my birthday,Incident 6: Your partner / forgets your birthday-I would keep my anger bottled up inside me,Incident 6: Your partner / forgets your birthday-I would assume that my partner would eventually remember,Incident 6: Your partner / forgets your birthday-I would consider ending the relationship,"Incident 7: You find out that / your partner kissed someone else at a party.-I would understand that things got out of hand, and that my partner behaved in a very unusual manner on that occasion",Incident 7: You find out that / your partner kissed someone else at a party.-I would yell at my partner about how horrible he/she has behaved,"Incident 7: You find out that / your partner kissed someone else at a party.-I would tell my partner I'm glad things didn't go further than ""just kissing""",Incident 7: You find out that / your partner kissed someone else at a party.-I would feel irritated at my partner for awhile,"Incident 8: Your partner fails to support you when you're really upset.-I would recognize that my partner's life is busy, and deal with the situation myself",Incident 8: Your partner fails to support you when you're really upset.-I would decide to quit supporting my partner so much in the future,"Incident 8: Your partner fails to support you when you're really upset.-I would ask if my partner is upset about something, and whether that caused him/her to let me down",Incident 8: Your partner fails to support you when you're really upset.-I would tell my partner I'm going to cut off the relationship unless things improve fast,Incident 9: Your partner / flirts with a classmate.-I would insist that my partner apologize to me over and over again,Incident 9: Your partner / flirts with a classmate.-I would suggest that we go out to dinner and have a constructive talk about flirting,"Incident 9: Your partner / flirts with a classmate.-I would recognize that I sometimes flirt, so I shouldn't be too hard on my partner",Incident 9: Your partner / flirts with a classmate.-I would behave in a cold manner toward my partner for awhile,Incident 10: Your partner / lies to you about something important.-I would feel angry that my partner can't be honest with me,Incident 10: Your partner / lies to you about something important.-I would tell my partner that I'd like us to try and resolve the situation,Incident 10: Your partner / lies to you about something important.-I would try to understand the situation from my partner's point of view,Incident 10: Your partner / lies to you about something important.-I would come up with ways to get even with my partner,"Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would quit arguing, but would feel angry that my partner didn't take my side","Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would imagine that my partner has strong feelings about this issue, because usually he/she is on my side","Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would do the same thing to my partner the next chance I had","Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would exert extra effort to understand my partner's perspective on the issue at hand",Incident 12: Your partner / says something bad about you behind your back.-I would feel so irritated that I wouldn't be able to deal with the situation,Incident 12: Your partner / says something bad about you behind your back.-I would forgive my partner because I've done similar things in the past,Incident 12: Your partner / says something bad about you behind your back.-I would tell my partner that I hope we can work out this problem,Incident 12: Your partner / says something bad about you behind your back.-I would get even by saying bad things about my partner behind his/her back,"In the next part of the study, you will be completing a couple of / questionnaires and will then pr...",Intentions Regarding the / Future,To what extent do you agree with each of the following statements? / Select the number that best re...-1) I want our relationship to last for a very long time.,To what extent do you agree with each of the following statements? / Select the number that best re...-2) I am committed to maintaining my relationship with my partner.,To what extent do you agree with each of the following statements? / Select the number that best re...-3) I would feel very upset if our relationship were to end in the near future.,To what extent do you agree with each of the following statements? / Select the number that best re...-4) It is likely that I will date someone other than my partner within the next year.,To what extent do you agree with each of the following statements? / Select the number that best re...-5) I feel very attached to our relationship - very strongly linked to my partner.,To what extent do you agree with each of the following statements? / Select the number that best re...-6) I want our relationship to last forever.,"To what extent do you agree with each of the following statements? / Select the number that best re...-7) I am oriented toward the long-term future of my relationship (for example, I imagine being with my partner   several years from now).",To what extent do you agree with each of the following statements? / Select the number that best re...-1) My first impressions of people usually turn out to be right.,To what extent do you agree with each of the following statements? / Select the number that best re...-2) It would be hard for me to break any of my bad habits.,To what extent do you agree with each of the following statements? / Select the number that best re...-3) I don't care to know what other people really think of me.,To what extent do you agree with each of the following statements? / Select the number that best re...-4) I have not always been honest with myself.,To what extent do you agree with each of the following statements? / Select the number that best re...-5) I always know why I like things.,"To what extent do you agree with each of the following statements? / Select the number that best re...-6) When my emotions are aroused, it biases my thinking.","To what extent do you agree with each of the following statements? / Select the number that best re...-7) Once I've made up my mind, other people can seldom change my opinion.",To what extent do you agree with each of the following statements? / Select the number that best re...-8) I am not a safe driver when I exceed the speed limit.,To what extent do you agree with each of the following statements? / Select the number that best re...-9) I am fully in control of my own fate.,To what extent do you agree with each of the following statements? / Select the number that best re...-10) It's hard for me to shut off a disturbing thought.,To what extent do you agree with each of the following statements? / Select the number that best re...-11) I never regret my decisions.,To what extent do you agree with each of the following statements? / Select the number that best re...-12) I sometimes lose out on things because I can't make up my mind soon enough.,To what extent do you agree with each of the following statements? / Select the number that best re...-13) The reason I vote is because my vote can make a difference.,To what extent do you agree with each of the following statements? / Select the number that best re...-14) My parents were not always fair when they punished me.,To what extent do you agree with each of the following statements? / Select the number that best re...-15) I am a completely rational person.,To what extent do you agree with each of the following statements? / Select the number that best re...-16) I rarely appreciate criticism.,To what extent do you agree with each of the following statements? / Select the number that best re...-17) I am very confident of my judgments.,To what extent do you agree with each of the following statements? / Select the number that best re...-18) I have sometimes doubted my ability as a lover.,To what extent do you agree with each of the following statements? / Select the number that best re...-19) It's all right with my if some people happen to dislike me.,To what extent do you agree with each of the following statements? / Select the number that best re...-20) I don't always know the reasons why I do the things I do.,To what extent do you agree with each of the following statements? / Select the number that best re...-21) I sometimes tell lies if I have to.,To what extent do you agree with each of the following statements? / Select the number that best re...-22) I never cover up my mistakes.,To what extent do you agree with each of the following statements? / Select the number that best re...-23) There have been occasions when I have taken advantage of someone.,To what extent do you agree with each of the following statements? / Select the number that best re...-24) I never swear.,To what extent do you agree with each of the following statements? / Select the number that best re...-25) I sometimes try to get even rather than forgive and forget.,"To what extent do you agree with each of the following statements? / Select the number that best re...-26) I always obey laws, even if I'm unlikely to get caught.",To what extent do you agree with each of the following statements? / Select the number that best re...-27) I have said something bad about a friend behind his or her back.,"To what extent do you agree with each of the following statements? / Select the number that best re...-28) When I hear people talking privately, I avoid listening.",To what extent do you agree with each of the following statements? / Select the number that best re...-29) I have received too much change from a salesperson without telling him or her.,To what extent do you agree with each of the following statements? / Select the number that best re...-30) I always declare everything at customs.,To what extent do you agree with each of the following statements? / Select the number that best re...-31) When I was young I sometimes stole things.,To what extent do you agree with each of the following statements? / Select the number that best re...-32) I have never dropped litter on the street.,To what extent do you agree with each of the following statements? / Select the number that best re...-33) I sometimes drive faster than the speed limit.,To what extent do you agree with each of the following statements? / Select the number that best re...-34) I never read sexy books or magazines.,To what extent do you agree with each of the following statements? / Select the number that best re...-35) I have done things that I don't tell other people about.,To what extent do you agree with each of the following statements? / Select the number that best re...-36) I never take things that don't belong to me.,To what extent do you agree with each of the following statements? / Select the number that best re...-37) I have taken sick-leave from work or school even though I wasn't really sick.,To what extent do you agree with each of the following statements? / Select the number that best re...-38) I have never damaged a library book or store merchandise without reporting it.,To what extent do you agree with each of the following statements? / Select the number that best re...-39) I have some pretty awful habits.,To what extent do you agree with each of the following statements? / Select the number that best re...-40) I don't gossip about other people's business.,Your sex (please select one):,Your sex (please select one):-TEXT,Your age:,Your year in school (please check one),Your year in school (please check one)-TEXT,Are you describing a current relationship or a past relationship / (select one):,Status of your relationship (select one):,Status of your relationship (select one):-TEXT,For how long have you been involved with your partner? Please / indicate the number of years and mo...,Number of months,How exclusive is your relationship? (select one),"About how many days per month do you see your partner, on average?",Do you and your partner live within 60 miles (approximately 97 km) of each other?,We would like to ask you some questions about the study that you / just completed. If you are uncer...,"Please answer each question. If you are not sure how to answer, / please give your best guess.","Did anything about the study seem strange to you, or was there /  anything you were wondering about?",What was the purpose of the pilot study (administered on paper)?,What was the purpose of the main study (administered on the /  computer)?," Were the two studies were related in any way? If /  yes, how?",Did completing the pilot study (administered on paper) influence /  your responses on the main stud...,"In the pilot study (administered on paper), did everybody receive /  the same writing prompts? If n...","Please wait quietly for other participants to finish. When everyone / is done, the experimenter wil...",The experiment is now finished. Please wait quietly for further / instructions.,Experimental condition:,Lab,LocationLatitude,LocationLongitude,LocationAccuracy,"0 = include, 1=exclude, 2=maybe"
R_6wXt0JoYCuPp2pn,Default Response Set,Anonymous,,,209.140.220.15,0,9/16/2015 14:52,9/16/2015 15:38,1,F001,1,1,1,0,5,8,0,0,0,3,4,0,3,8,1,8,3,8,4,1,0,8,5,2,4,4,0,6,3,6,6,5,0,5,0,0,7,7,1,6,6,6,0,4,6,0,5,0,2,6,0,1,1,8,8,8,0,8,6,8,4,3,2,5,2,5,4,5,4,3,3,4,5,2,4,4,3,4,2,6,4,3,1,2,1,2,4,4,1,2,1,3,5,7,6,7,7,7,1,4,2,,18,1,,1,4,,1,9,1,25,1,1,1,Yes some of the questions seemed to not relate at all to being in a relationship or not,To get a feel of how you feel about your partner,To see how you feel about different things,Not really,No,I am not sure,1,1,1,Bredow & Root Luna,42.74229431,-86.06610107,-1,0
R_0Mm57yk2F5xZz8h,Default Response Set,Anonymous,,,209.140.223.230,0,9/15/2015 18:15,9/16/2015 15:39,1,F002,1,1,1,0,8,7,0,0,0,4,7,0,6,7,6,8,0,6,6,0,4,7,8,4,5,7,0,0,4,5,7,3,3,8,4,5,8,3,3,7,7,8,0,5,5,0,8,2,7,7,0,1,1,8,8,8,0,8,8,8,6,6,3,4,5,5,6,1,5,6,5,5,4,1,7,3,5,2,5,2,4,5,1,2,1,4,3,5,1,6,1,7,6,4,3,7,1,7,1,4,2,,18,1,,1,4,,2,2,1,25,1,1,1,"Why I was asked about my morals like stealing, or returning too much change, etc.",To see how serious or committed you were in your relationship and why you were that way.,To see how some of your personality factors played a role in what kind of relationship you held.,"Yes, they were both about how your relationship is, but the pilot was more specific to you personally and the computer one was more hypothetical.",No.,Yes I think everyone recieved the same prompts. If they were different maybe some were more for serious relationships and others were more for the start of a relationship.,1,1,1,Bredow & Root Luna,42.74229431,-86.06610107,-1,0
R_eG5C08CIizWhZBP,Default Response Set,Anonymous,,,209.140.223.19,0,9/16/2015 14:53,9/16/2015 15:40,1,F003,1,1,1,2,8,2,1,2,0,0,8,0,7,8,1,7,0,6,1,0,5,6,8,6,7,7,5,2,6,1,8,5,2,8,1,2,4,7,4,8,6,7,0,6,6,1,4,7,4,6,1,1,1,8,8,8,0,8,8,8,2,2,4,5,4,3,2,1,3,4,5,3,6,1,5,6,3,5,2,3,2,5,2,7,1,6,5,2,7,3,1,2,6,7,2,6,1,7,2,3,2,,18,1,,1,4,,2,2,1,5,2,1,1,I was wondering about why it asked me a lot of questions about myself that had nothing to do with my relationship,The purpose of this study was to gather information about my current relationship and also about my partner.,The purpose was to gather information about myself in order to learn more about my relationship as well,Yes they were related because they both were about dating relationships,No they didn't influence my responses to my main study,I am not sure if everyone received the same writing prompts because I haven't talked to any of the other students,1,1,2,Bredow & Root Luna,42.74229431,-86.06610107,-1,0
R_03B5o2pgx78E5j7,Default Response Set,Anonymous,,,209.140.220.35,0,9/16/2015 14:56,9/16/2015 15:41,1,F004,1,1,1,1,7,7,0,1,0,0,8,0,5,6,0,7,1,2,4,0,2,2,8,4,7,5,0,2,2,0,8,2,0,3,0,1,7,0,2,7,8,5,0,4,4,0,5,3,1,6,0,1,1,8,8,8,0,8,8,8,5,3,2,4,5,3,4,1,2,2,2,3,7,3,2,3,6,3,2,5,2,2,1,7,1,6,3,2,1,4,1,3,6,1,3,7,3,7,4,6,2,,18,1,,1,4,,2,1,1,5,1,1,1,"Nothing seemed strange, I wasn't expecting answering questions only on myself.",To learn what I like about my partner and what makes me committed.,To learn about different dating relationships.,They were both directed at a dating relationship and how the strength of the relationship.,"No, I would have answered the same either way.",I don't know. ,1,1,1,Bredow & Root Luna,42.74229431,-86.06610107,-1,0
R_0TijSRJmszeXPIV,Default Response Set,Anonymous,,,209.140.220.15,0,9/17/2015 15:59,9/17/2015 16:54,1,F005,1,1,1,0,7,6,1,2,0,0,5,0,5,1,0,6,0,4,5,1,5,3,6,6,5,3,3,4,2,2,2,6,0,2,1,0,0,8,1,7,6,8,0,4,6,0,5,2,5,5,0,1,1,6,6,6,2,6,6,6,4,4,1,3,3,1,3,2,3,6,4,5,4,1,4,7,7,6,4,7,5,3,5,1,1,2,6,1,6,4,2,2,2,3,4,4,6,4,2,3,2,,19,1,,1,2,,0,2,1,8,1,1,1,Nothing seemed strange to me.,What peoples attachment to their relationships are in todays world.,"When in arelationship in todays society, what are the norms/ how do we handle situations with our partners.","Yes, both asked us to evaluate our relationships.",In a way it got my thoughts going on my relationship and made me think more authentically about it and my true feelings towards it.,I dont think I understand this question,1,1,1,Bredow & Root Luna ,42.74229431,-86.06610107,-1,0
R_2ugQuzTiKYuUv77,Default Response Set,Anonymous,,,209.140.223.230,0,9/17/2015 15:55,9/17/2015 16:55,1,F006,1,1,1,1,6,4,3,1,2,5,6,0,3,6,2,8,1,3,6,1,1,5,5,4,7,4,0,2,2,0,6,6,0,1,0,0,1,4,4,7,7,7,0,6,4,0,3,1,4,8,0,1,1,8,8,8,0,8,8,8,3,4,1,6,4,7,2,2,1,6,2,7,,1,1,7,1,5,2,4,1,6,2,3,1,6,6,1,1,7,4,1,7,7,2,2,1,2,1,6,2,,19,2,,1,4,,0,9,1,30,1,1,1,No,To see how people view the person they are dating,See how one's self affects their relationship,"Yes, they were quite similar?","Yes, made me think about independence ",The prompts may have focused on other things on the relationship to see how that would have affected the main study. ,1,1,2,Bredow & Root Luna,42.74229431,-86.06610107,-1,2
R_er4cmD424JrP3jT,Default Response Set,Anonymous,,,209.140.223.19,0,9/17/2015 15:55,9/17/2015 16:56,1,F007,1,1,1,1,6,1,0,3,1,1,8,0,8,1,0,5,5,6,7,0,3,4,6,2,5,6,4,0,6,0,8,7,0,7,1,5,5,6,7,8,7,8,0,5,7,0,8,4,6,8,0,1,1,8,8,8,0,8,8,8,3,2,2,2,5,7,2,4,6,2,3,5,3,4,4,2,3,3,5,4,3,4,4,4,2,6,7,4,1,7,4,6,6,7,3,6,5,7,2,3,2,,18,1,,1,4,,2,11,1,2,2,1,1,No.,To figure out what types of relationships people are in and who they are in a relationship with.,To figure out people's responses to certain situations if they are in a relationship.,"Yes, they asked about my significant other.",No.,I don't know if they did but if they did they could have asked different questions about relationships.,1,1,2,Bredow & Root Luna,42.74229431,-86.06610107,-1,0
R_exRSZ5wTQSLxgmp,Default Response Set,Anonymous,,,209.140.220.15,0,9/17/2015 16:55,9/17/2015 17:56,1,M001,1,1,1,1,5,3,2,2,1,2,6,2,5,6,2,2,1,4,5,2,0,3,5,6,4,5,0,3,0,6,3,6,4,5,2,1,3,6,4,6,5,5,2,5,5,1,4,7,5,5,2,1,1,6,6,5,5,5,4,2,5,5,2,6,5,5,4,2,5,3,5,5,3,5,5,3,5,5,3,5,5,3,4,2,3,2,5,2,5,2,2,2,6,2,6,4,6,3,5,3,1,,19,1,,1,2,,0,3,1,10,1,1,1,The question about is it safe when i exceed the speed limit,To find out what people look for in a relationship.,To learn more about relationships.,I think they were the first one was more for basic knowlege of what people look for in a partner.,Not that i noticed.,I think they did so they can look for similarities in how we descirbe our partners.,1,1,2,Bredow & Root Luna,42.74229431,-86.06610107,-1,0
R_3OfAZYwV4Ix5ssR,Default Response Set,Anonymous,,,209.140.223.230,0,9/17/2015 16:56,9/17/2015 17:56,1,F008,1,1,1,0,4,2,0,0,0,0,8,0,7,7,0,4,1,4,0,0,0,4,8,6,0,0,0,1,4,0,8,3,0,8,1,0,7,7,1,2,6,6,0,1,6,0,8,0,7,7,0,1,1,8,8,8,2,6,8,8,7,5,5,2,6,5,5,4,1,3,3,5,5,1,5,1,4,6,7,5,3,3,2,3,2,7,7,5,1,3,1,7,7,2,7,7,7,7,5,3,2,,18,1,,1,4,,0,3,1,3,2,1,1,I thought the questions not about dating relationships were slightly strange to have included. ,"The purpose of the pilot study was to get a basis for how we might answer these questions, and get our mind in the mindset of the relationship prior to taking the online questionarre. ",To study dating relationships. ,"Yes, They both had to do with relationships ",Yes. My mind was more on the relationship and less on other things. ,I don't know considering the other people were in other rooms. ,1,1,2,Bredow & Root Luna,42.74229431,-86.06610107,-1,2
