V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.3_1,Q2.3_2,Q2.3_3,Q2.3_10,Q2.4_1,Q2.4_2,Q2.4_3,Q2.4_4,Q2.5_1,Q2.5_2,Q2.5_3,Q2.5_4,Q2.6_1,Q2.6_2,Q2.6_3,Q2.6_4,Q2.7_1,Q2.7_2,Q2.7_3,Q2.7_4,Q2.8_1,Q2.8_2,Q2.8_3,Q2.8_4,Q2.9_1,Q2.9_2,Q2.9_3,Q2.9_4,Q2.10_1,Q2.10_2,Q2.10_3,Q2.10_4,Q2.11_1,Q2.11_2,Q2.11_3,Q2.11_4,Q2.12_1,Q2.12_2,Q2.12_3,Q2.12_4,Q2.13_1,Q2.13_2,Q2.13_3,Q2.13_4,Q3.1,Q3.2,Q3.3_1,Q3.3_2,Q3.3_3,Q3.3_4,Q3.3_5,Q3.3_6,Q3.3_7,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.3_5,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.4_5,Q4.5_1,Q4.5_2,Q4.5_3,Q4.5_4,Q4.5_5,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.7_1,Q4.7_2,Q4.7_3,Q4.7_4,Q4.7_5,Q4.8_1,Q4.8_2,Q4.8_3,Q4.8_4,Q4.8_5,Q5.1,Q5.1_TEXT,Q5.2,Q5.3,Q5.3_TEXT,Q5.4,Q5.5,Q5.5_TEXT,Q5.6,Q5.7,Q5.8,Q5.9,Q5.10,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7,Q6.8,Q6.9,Q51,Q7.1,Q7.2,LocationLatitude,LocationLongitude,LocationAccuracy,Exclude
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Número de identificación del/a participante,"Por favor, cuando hayas completado el cuestionario en papel, haz clic en ""Siguiente"" para continuar.",La información que proporciones se tratará de forma anónima. Cualquier información que pueda iden...,"Reacciones a situaciones hipotéticas En esta parte del estudio, se te pedirá que leas sobre situa...",Situación 1: Tu pareja habla con amigos sobre asuntos privados de vuestra relación.-Le diría a mi pareja que le va a llevar un tiempo largo hacerse perdonar (o compensarlo),"Situación 1: Tu pareja habla con amigos sobre asuntos privados de vuestra relación.-Con calma, le diría a mi pareja por qué prefiero que nuestra vida privada se mantenga en privado",Situación 1: Tu pareja habla con amigos sobre asuntos privados de vuestra relación.-Supondría  que mi pareja probablemente no ha querido exponer nuestra vida privada,Situación 1: Tu pareja habla con amigos sobre asuntos privados de vuestra relación.-Le daría vueltas en mi cabeza a lo enfadada/o que estoy pero no le diría nada a mi pareja,Situación 2: Tu pareja se burla de ti cuando hablas de tus miedos más profundos.-Supondría que mi pareja debe sentirse muy incómoda por el tema en el que se basan mis miedos,Situación 2: Tu pareja se burla de ti cuando hablas de tus miedos más profundos.-Imaginaría o pensaría en formas de vengarme en el futuro,Situación 2: Tu pareja se burla de ti cuando hablas de tus miedos más profundos.-Me burlaría de mi pareja en cuanto se presente la oportunidad,Situación 2: Tu pareja se burla de ti cuando hablas de tus miedos más profundos.-Le hablaría de lo importante que es que comprendamos las debilidades del otro,Situación 3: Tu pareja tiene relaciones sexuales con otra persona.  -Tomaría  represalias teniendo relaciones sexuales con otra persona,"Situación 3: Tu pareja tiene relaciones sexuales con otra persona.  -Imagino que rompería la relación porque siempre hay ""otros peces en el mar""",Situación 3: Tu pareja tiene relaciones sexuales con otra persona.  -Le sugeriría que tengamos una conversación constructiva sobre la monogamia sexual,"Situación 3: Tu pareja tiene relaciones sexuales con otra persona.  -Me recordaría a mí misma/o que, en general, mi pareja me trata muy bien",Situación 4: Tu pareja dice deliberadamente algo que te duele mucho.-Preguntaría a mi pareja por qué ha herido mis sentimientos,Situación 4: Tu pareja dice deliberadamente algo que te duele mucho.-Le contestaría diciéndole algo igualmente hiriente,Situación 4: Tu pareja dice deliberadamente algo que te duele mucho.-Trataría de comprender que mi pareja no pretendía hacerme daño,Situación 4: Tu pareja dice deliberadamente algo que te duele mucho.-Le daría la espalda a mi pareja por un tiempo,Situación 5: Tu pareja cuenta a los amigos un secreto de tu pasado del que te avergüenzas.-Pensaría en formas de vengarme,Situación 5: Tu pareja cuenta a los amigos un secreto de tu pasado del que te avergüenzas.-Gritaría a mi pareja que no vuelva a hacerlo,Situación 5: Tu pareja cuenta a los amigos un secreto de tu pasado del que te avergüenzas.-Supondría que mi  pareja no tenía intención de avergonzarme delante de los amigos,Situación 5: Tu pareja cuenta a los amigos un secreto de tu pasado del que te avergüenzas.-Le explicaría amablemente que preferiría mantener entre nosotros   las situaciones de las que nos avergonzamos,Situación 6: Tu pareja se olvida de tu cumpleaños.-Recordaría tranquilamente a mi pareja que es mi cumpleaños,Situación 6: Tu pareja se olvida de tu cumpleaños.-Mantendría mi enfado dentro de mí sin exteriorizarlo,Situación 6: Tu pareja se olvida de tu cumpleaños.-Supondría que mi pareja finalmente se acordaría,Situación 6: Tu pareja se olvida de tu cumpleaños.-Consideraría dejar la relación,"Situación 7: Te enteras de que tu pareja besó a otra persona.-Entendería que perdió el control, y que mi pareja se comportó de una manera muy inusual en esa situación",Situación 7: Te enteras de que tu pareja besó a otra persona.-Gritaría a mi pareja diciéndole lo mal que se ha comportado,"Situación 7: Te enteras de que tu pareja besó a otra persona.-Le diría a mi pareja que por fortuna no fue más allá de ""unos besos""",Situación 7: Te enteras de que tu pareja besó a otra persona.-Estaría enfadado/a con mi pareja un tiempo,Situación 8: Tu pareja no te apoya cuando estás realmente disgustado/a.-Entendería que mi pareja está ocupada y afrontaría la situación yo misma/o,Situación 8: Tu pareja no te apoya cuando estás realmente disgustado/a.-Decidiría dejar de apoyar tanto a mi pareja en el futuro,"Situación 8: Tu pareja no te apoya cuando estás realmente disgustado/a.-Me preguntaría si mi pareja está disgustada por algo, y si esa es la causa de que me haya fallado","Situación 8: Tu pareja no te apoya cuando estás realmente disgustado/a.-Le diría a mi pareja que voy a dejar la relación, a menos que las cosas mejoren pronto",Situación 9: Tu pareja coquetea con un/a compañero/a de clase.-Insistiría en que mi pareja me pida perdón una y otra vez,Situación 9: Tu pareja coquetea con un/a compañero/a de clase.-Le propondría ir  a cenar y tener una conversación constructiva sobre el tema,"Situación 9: Tu pareja coquetea con un/a compañero/a de clase.-Le reconocería que yo a veces también coqueteo, así que no debería ser demasiado dura/o con mi pareja",Situación 9: Tu pareja coquetea con un/a compañero/a de clase.-Me comportaría de forma distante con mi pareja durante un tiempo,Situación 10: Tu pareja te miente sobre algo importante.-Me enfadaría que mi pareja no fuese honesta conmigo,Situación 10: Tu pareja te miente sobre algo importante.-Le diría a mi pareja que me gustaría que tratáramos de resolver la situación,Situación 10: Tu pareja te miente sobre algo importante.-Trataría de entender la situación desde el punto de vista de mi pareja,Situación 10: Tu pareja te miente sobre algo importante.-Pensaría en formas de vengarme de mi pareja,"Situación 11: En un desacuerdo con una tercera persona, tu pareja se pone del lado de la otra per...-Dejaría de discutir, pero me enfadaría porque mi pareja no se puso de mi lado","Situación 11: En un desacuerdo con una tercera persona, tu pareja se pone del lado de la otra per...-Pensaría que ese tema es muy importante para mi pareja, porque, por lo general, él/ella está de mi lado","Situación 11: En un desacuerdo con una tercera persona, tu pareja se pone del lado de la otra per...-Le haría lo mismo a mi pareja en cuanto tuviese la oportunidad","Situación 11: En un desacuerdo con una tercera persona, tu pareja se pone del lado de la otra per...-Haría un esfuerzo extra para comprender el punto de vista de mi pareja sobre el tema en cuestión",Situación 12: Tu pareja dice algo malo de ti a tus espaldas.-Me enfadaría tanto que no sería capaz de hacer frente a la situación,Situación 12: Tu pareja dice algo malo de ti a tus espaldas.-Perdonaría a mi pareja porque yo he hecho cosas similares en el pasado,Situación 12: Tu pareja dice algo malo de ti a tus espaldas.-Le diría a mi pareja que espero que podamos resolver este problema,Situación 12: Tu pareja dice algo malo de ti a tus espaldas.-Me vengaría diciendo cosas malas de mi pareja a sus espaldas,La siguiente parte del estudio consta de un par de cuestionarios y algunos datos sociodemográfico...,Intenciones con respecto al futuro,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-1) Quiero que nuestra relación dure mucho tiempo.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-2) Estoy comprometido/a a mantener la relación con mi pareja.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-3) Me sentiría muy disgustado/a si nuestra relación se terminara pronto.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-4) Es probable que esté saliendo con otra persona que no sea mi pareja actual antes de un año.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-5) Me siento muy apegado/a a nuestra relación - muy fuertemente unido/a a mi pareja.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-6) Quiero que nuestra relación dure para siempre.,"¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-7) Me imagino a largo plazo en mi relación (por ejemplo, me imagino estar con mi pareja de aquí a varios años).",¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-1) Mi primera impresión de la gente normalmente es acertada.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-2) Se me haría difícil abandonar cualquiera de mis malos hábitos.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-3) No me importa saber lo que los demás realmente piensan de mí.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-4)No siempre he sido honesta/o conmigo misma/o.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-5) Siempre sé por qué me gusta algo.,"¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-6) Cuando estoy muy emocionado/a, no puedo pensar bien.","¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-7) Cuando ya me hice una idea de algo, rara vez alguien puede cambiar mi opinión.",¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-8) No soy un conductor/a seguro cuando excedo el límite de velocidad.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-9) Tengo el control total sobre mi propio destino.,"¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-10) Cuando tengo un pensamiento perturbador, me es difícil eliminarlo de mi mente.",¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-11) Nunca me arrepiento de mis decisiones.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-12) A veces me bloqueo con las cosas porque me cuesta decidirme rápido.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-13) La razón por la que voto es porque mi voto puede marcar la diferencia.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-14) Mis padres no siempre fueron justos cuando me castigaban.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-15) Soy una persona completamente racional.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-16) Rara vez aprecio las críticas que me hacen.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-17) Tengo confianza en los juicios que hago.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-18) Algunas veces he dudado de mi habilidad como amante.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-19) Por mí no hay problema si les caigo mal a algunas personas.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-20) No siempre sé las razones por las cuales hago las cosas.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-21) Algunas veces digo mentiras si es necesario.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-22) Nunca escondo mis errores.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-23) Ha habido ocasiones en las cuales me aproveché de alguien.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-24) Nunca digo tacos.,"¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-25) Algunas veces intento ajustar cuentas, en lugar de perdonar y olvidar.","¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-26) Siempre obedezco las leyes, aun cuando es poco probable que me pillen si las violo.",¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-27) Alguna vez he hablado mal de un amigo a sus espaldas.,"¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-28) Cuando oigo a gente hablando en privado, evito escuchar.","¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-29) Alguna vez he recibido cambio de más por parte de algún vendedor, y no se lo devolví.",¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-30) Siempre declaro todo en la aduana.,"¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-31) Cuando era joven, a veces robaba cosas.",¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-32) Nunca he tirado basura en la calle.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-33) A veces conduzco por encima del límite de velocidad.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-34) Nunca leo libros o revistas eróticas.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-35) He hecho cosas que no se las digo a nadie.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-36) Nunca cojo cosas que no me pertenecen.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-37) Algunas veces he fingido estar enfermo para no ir a la escuela o al trabajo.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-38) Nunca he estropeado un libro de la biblioteca o algún producto en una tienda sin informar de ello.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-39) Tengo algunos hábitos muy malos.,¿Hasta qué punto estás de acuerdo con cada una de las siguientes afirmaciones? Selecciona el núme...-40) No cotilleo sobre los asuntos de los demás.,"Tu sexo (por favor, elige una opción):","Tu sexo (por favor, elige una opción):-TEXT",Tu edad,"Curso en el que estás en la facultad (por favor, marca una opción)","Curso en el que estás en la facultad (por favor, marca una opción)-TEXT",¿Estás describiendo una relación actual o una relación pasada (marca una opción):,Estado de esta relación (marca una opción):,Estado de esta relación (marca una opción):-TEXT,"¿Cuánto tiempo has estado con tu pareja? Por favor, marca el número de años y meses. Número de añ...",Número de meses,¿Cómo de exclusiva es tu relación? (marca una opción),"Aproximadamente, ¿cuántos días al mes ves a tu pareja, por término medio?",¿Tu pareja y tu vivís a menos de 97 kilómetros (60 millas) la una de la otra?,Vamos a hacerte algunas preguntas sobre el estudio en el que acabas de participar. Si no estás se...,"Por favor, responde a cada pregunta. Si no estás seguro/a de cómo responder, por favor, responde...",¿Ha habido alguna cosa del estudio que te haya resultado extraña o sobre la que te estés pregunta...,¿Cuál era el objetivo del estudio piloto (administrado en papel)?,¿Cuál era el objetivo del estudio principal (administrado por ordenador)?,"¿Estaban los dos estudios relacionados de alguna manera? En caso afirmativo, ¿cómo?",¿Completar el estudio piloto (administrado en papel) ha influido en tus respuestas en el estudio...,"En el estudio piloto (administrado en papel), ¿recibe todo el mundo las mismas indicaciones? Si n...","Por favor, espera en silencio a que terminen el resto de participantes. Cuando todos hayan termin...","El experimento ha terminado. Por favor, espera en silencio las indicaciones del investigador.",Condición experimental:,Laboratorio,LocationLatitude,LocationLongitude,LocationAccuracy,"0 = inclusion, 1=exclusion, 2=maybe"
R_895zyV0s9xhrs6l,Default Response Set,Anonymous,,,212.128.134.88,0,11/30/15 9:01,11/30/15 10:43,1,35,1,1,1,2,4,3,0,0,2,3,5,3,1,1,0,4,3,6,1,2,0,4,5,5,1,6,0,2,4,0,5,5,1,6,0,0,1,1,6,6,7,3,1,7,6,1,3,1,2,6,0,1,1,8,8,8,0,7,8,8,5,4,2,3,4,2,7,2,5,6,2,2,5,3,6,4,4,2,5,5,3,2,2,2,3,6,5,5,4,7,1,5,1,7,1,7,1,6,1,4,2,,20,3,,1,4,,3,10,1,12,2,1,1,"Me ha resultado extraño el pensar en por qué creo que mi pareja y yo podríamos estar juntos toda la vida, no me había cuestionado nunca el por qué, simplemente me planteaba que ¿por qué no?. Pero me ha gustado tener la ocasión de reflexionar sobre ello. ","Determinar si la persona que realiza el estudio se encuentra en una relación de pareja estable o no, para poder clasificar sus respuestas posteriores en el estudio principal en función de las respuestas dadas en el estudio piloto. ",Determinar cual es la relación existente entre tu relación actual y algunas características personales. ,"Si, como he puesto anteriormente, el primer estudio permite clasificar a los sujetos en función del grado de estabilidad de su relación en el estudio posterior. ",No ,Creo que todos hemos recibido las mismas preguntas ,1,1,1,Carcedo,40.96809387,-5.662002563,-1,0
R_1eKr5fIvWcCEdGS,Default Response Set,Anonymous,,,212.128.134.66,0,11/30/15 9:05,11/30/15 10:50,1,64,1,1,1,0,5,3,0,3,1,1,7,6,5,0,5,8,1,6,2,0,1,5,8,7,1,3,0,5,1,7,4,8,0,2,1,0,2,4,3,6,7,4,1,1,6,0,6,1,0,5,0,1,1,6,5,6,2,5,3,5,6,4,6,5,7,5,3,6,3,5,4,3,2,7,6,3,6,4,6,5,6,4,3,3,4,5,5,5,3,7,2,3,5,4,7,2,6,1,3,2,2,,19,1,,1,4,,2,1,1,8,2,1,1,no,describir una relación y el posible futuro de estta,conocer más sobre la personalidad y actividades de las personas y como pueden afectar estas características a la pareja,"si, con mi personalidad y actividad",no,si,1,1,2,Carcedo,40.96809387,-5.662002563,-1,0
R_1Q59DnKMxyRo9TV,Default Response Set,Anonymous,,,212.128.134.88,0,11/30/15 11:25,11/30/15 11:52,1,61,1,1,1,1,3,7,0,1,0,0,8,4,6,0,2,7,7,5,3,2,6,5,3,4,2,7,0,1,7,2,8,3,1,5,1,2,4,7,1,8,6,3,0,7,1,5,4,7,4,5,3,1,1,5,4,5,6,5,0,5,5,6,5,1,1,6,4,4,2,6,3,5,7,7,5,2,6,1,7,6,7,6,6,1,7,2,4,1,7,6,7,1,5,2,6,6,7,1,7,1,2,,18,1,,1,4,,0,2,1,20,2,1,1,"Ha habido ciertas preguntas que a mi parecer no tenían relación con el tema del que trata el estudio, por ejemplo, las preguntas sobre conducción.","Conocer las bases generales por las que nos atrae una persona sentimentalmente, no físicamente.","Conocer, dependiendo del tipo de relación que se mantenga, las actitudes y sentimientos que se despiertan respecto a una persona importante en tu vida y en tu estado de ánimo, además de el nivel de compromiso que se desarrolla.","Si. / Ambos son preguntas sobre las relaciones, sentimientos y actitudes.",Si. / Porque te recuerda por qué esa persona es especial en tu vida.,Si.,1,1,1,carcedo,40.96809387,-5.662002563,-1,0
R_sifQ4ecFw8G8FQR,Default Response Set,Anonymous,,,212.128.134.66,0,11/30/15 11:24,11/30/15 11:54,1,14,1,1,1,2,7,5,1,7,0,0,8,0,8,0,0,8,3,4,2,0,1,4,8,5,7,7,2,0,3,0,8,5,5,7,2,0,7,2,7,5,6,7,0,2,2,0,6,0,0,7,0,1,1,7,8,7,0,7,6,8,6,5,6,4,6,3,5,4,4,3,4,1,7,5,6,6,6,2,6,1,4,5,2,1,3,2,1,7,2,6,1,3,7,2,3,6,1,7,1,7,1,,19,1,,1,4,,0,8,1,11,1,1,1,"no, ciertamente no.",La realización de ítems para el cuestionario de una investigación que se encuentra en curso.,"Soslayar cuales son los determinados factores que pueden delimitar las relaciones de pareja. / Ya sea reacciones ante supuestos casos, aptitudes de vida...","Si, a fin de cuentas describimos a nuestra pareja y a nosotros mismos.","Si, me ha ayudado a entrar en la materia en cuestión; A modo de calentamiento.",Si.,1,1,2,carcedo,40.96809387,-5.662002563,-1,0
R_2Qo0tXXwkczLJPi,Default Response Set,Anonymous,,,212.128.134.84,0,11/30/15 9:03,11/30/15 11:55,1,15,1,1,1,0,1,4,0,3,0,0,8,0,6,3,3,8,0,5,1,0,0,3,8,8,2,8,0,7,0,1,5,2,0,7,2,0,7,1,0,5,8,8,0,1,5,0,8,2,0,7,0,1,1,7,8,7,2,8,7,8,2,6,3,5,2,6,2,7,5,2,6,6,6,1,6,6,4,7,5,6,4,2,1,1,1,7,5,4,1,7,1,6,3,6,6,7,3,4,4,2,1,,18,1,,1,4,,0,11,1,4,2,1,1,"Sobre el hecho de si me veo con otra pareja en menos de un año, puesto que aunque quiera mantener la relación, realmente no sé qué puede pasar de aquí a un año.","Cuál es la unión entre mi pareja y yo, cuales son las causas más importantes para que estemos juntos.",Poder inferir sobre la calidad de la relación en base a la misma y al concepto que tengo de mí mismo.,"Por supuesto, en cuanto a relacionar qué nos une y si eso va a permitir que la relación dure más tiempo o menos.","Sí, he imaginado un futuro siguiendo con mi pareja, y en base a eso y a las suposiciones preguntadas a través del ordenador he respondido.",Sí.,1,1,1,Carcedo,40.96809387,-5.662002563,-1,0
R_2DSTSQzy4Fs2nDa,Default Response Set,Anonymous,,,212.128.134.59,0,11/30/15 9:02,11/30/15 11:57,1,12,1,1,1,1,1,1,0,3,1,1,8,1,7,0,0,8,3,0,3,3,7,0,8,3,1,7,0,1,7,0,8,1,5,3,7,1,1,1,7,8,8,5,2,7,2,3,4,5,1,8,1,1,1,7,6,7,3,5,7,7,5,2,6,6,5,6,6,3,3,4,6,5,7,6,6,6,6,6,6,5,4,4,5,1,6,3,4,2,7,7,3,7,7,6,3,2,7,7,2,6,2,,21,1,,1,4,,0,3,1,20,2,1,1,NO,CONOCER LAS COSAS QUE ME UNEN A MI PAREJA,CONOCER UN POCO MAS MI MANERA DE ACTUAR ANTE DISTINTAS SITUACIONES,"SI, EN EL PAPEL AL CONOCER QUE ES LO QUE ME UNE A MI PAREJA RELACIONARLO CON LA MANERA DE ACTUAR QUE TENGO TANTO CON EL COMO CON LOS DEMAS (ORDENADOR)",NO,"SI, TODOS TENEMOS QUE RESPONDER UNA SERIE DE PREGUNTAS Y POSTERIORMENTE CONTESTAR EN EL ORDENADOR A OTRAS",1,1,1,RODRIGO CARCEDO,40.96809387,-5.662002563,-1,0
R_YVNSe84XfOfHt5f,Default Response Set,Anonymous,,,212.128.134.86,0,11/30/15 9:04,11/30/15 12:00,1,33,1,1,1,0,6,3,2,0,0,0,2,0,7,0,0,3,2,1,0,0,5,3,1,0,2,8,0,2,0,0,8,3,0,4,4,0,1,2,2,8,4,5,0,3,8,0,5,0,3,2,0,1,1,8,8,8,0,8,8,8,5,6,5,3,3,5,6,7,6,5,4,5,5,1,5,5,5,6,5,4,4,5,6,1,1,4,6,5,2,7,1,2,1,4,6,7,6,7,5,2,2,,20,3,,1,4,,1,6,1,26,1,1,1,Las preguntas sobre mí misma y no relacionadas con mi relación,Obtener información para construir ítems,Investigar las relaciones de la pareja,"Sí, en función de como piense que es mi relación (estudio 1), se esperará que conteste de una forma u otra al estudio 2.",No,"No lo sé, supongo que no porque tendía lógica que a unos les preguntaran por lo bueno de la relación y a otros por lo malo para ver como condiciona eso sus respuestas posteriores",1,1,1,carcedo,40.96809387,-5.662002563,-1,2
R_1gbCy5GkQRW995J,Default Response Set,Anonymous,,,212.128.134.81,0,11/30/15 9:05,11/30/15 12:01,1,6,1,1,1,1,7,3,1,5,1,1,7,1,4,2,3,7,2,3,2,2,3,4,6,8,3,8,0,4,6,2,6,5,0,6,0,2,5,1,1,5,8,5,1,2,2,0,5,0,1,7,0,1,1,8,8,7,1,8,8,8,4,3,6,5,3,4,4,1,4,6,3,3,4,3,5,3,6,3,6,7,5,5,3,1,3,3,6,4,5,7,3,4,7,6,6,4,4,4,5,6,1,,20,3,,1,4,,1,6,1,29,1,1,1,Destaco que sólo se han propuesto situaciones hipotéticas en las que mi pareja hace algo malo. No se mencionan situaciones hipotéticas positivas.,Conocer los sentimientos hacia la pareja y la perspectiva de futuro.,Recoger información de diversos tipos sobre mi perspectiva de la relación.,"Tal vez se espera que si se apuntan datos a favor en el estudio en papel, se espere recoger alta expectativa de futuro y buena actitud respecto a los fallos de la pareja.",No.,No sé qué indicaciones han recibido otras personas.,1,1,1,Carcedo,40.96809387,-5.662002563,-1,0
R_PCAz0BmINVC29Il,Default Response Set,Anonymous,,,212.128.134.64,0,11/30/15 9:01,11/30/15 13:17,1,29,1,1,1,1,7,3,1,0,0,3,7,0,8,0,0,7,5,0,7,0,6,0,1,0,0,6,1,0,6,0,7,0,2,5,5,0,3,0,4,7,7,8,3,8,5,0,7,8,0,7,0,1,1,6,6,7,0,4,3,4,6,5,4,4,2,6,3,1,2,1,3,4,4,5,4,1,5,6,7,5,4,3,4,1,2,3,4,1,5,6,7,4,1,2,7,3,6,7,7,5,2,,21,3,,1,6,Vivo en pareja,0,10,1,31,1,1,1,"Las preguntas referentes a la velocidad y prudencia de conducción puesto que yo, por ejemplo, no conduzco.",Generar los ítems del cuestionario.,Contar con más detalles sobre nuestra visión de las relaciones de pareja.,"Sí, ambos estaban enfocados a las relaciones de pareja solo que en papel era más cómo te ves tú con respecto a tu pareja y en el ordenador cómo ves a tu pareja y cómo te ves junto a ella.","No creo que haya influido mucho puesto que tengo bastantes claros los pensamientos que tengo sobre mi pareja, yo y nosotros.","Sí, son las mismas indicaciones para todos.",1,1,2,Carcedo,40.96809387,-5.662002563,-1,0
