V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.3_1,Q2.3_2,Q2.3_3,Q2.3_10,Q2.4_1,Q2.4_2,Q2.4_3,Q2.4_4,Q2.5_1,Q2.5_2,Q2.5_3,Q2.5_4,Q2.6_1,Q2.6_2,Q2.6_3,Q2.6_4,Q2.7_1,Q2.7_2,Q2.7_3,Q2.7_4,Q2.8_1,Q2.8_2,Q2.8_3,Q2.8_4,Q2.9_1,Q2.9_2,Q2.9_3,Q2.9_4,Q2.10_1,Q2.10_2,Q2.10_3,Q2.10_4,Q2.11_1,Q2.11_2,Q2.11_3,Q2.11_4,Q2.12_1,Q2.12_2,Q2.12_3,Q2.12_4,Q2.13_1,Q2.13_2,Q2.13_3,Q2.13_4,Q3.1,Q3.2,Q3.3_1,Q3.3_2,Q3.3_3,Q3.3_4,Q3.3_5,Q3.3_6,Q3.3_7,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.3_5,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.4_5,Q4.5_1,Q4.5_2,Q4.5_3,Q4.5_4,Q4.5_5,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.7_1,Q4.7_2,Q4.7_3,Q4.7_4,Q4.7_5,Q4.8_1,Q4.8_2,Q4.8_3,Q4.8_4,Q4.8_5,Q5.1,Q5.1_TEXT,Q5.2,Q5.3,Q5.3_TEXT,Q5.4,Q5.5,Q5.5_TEXT,Q5.6,Q5.7,Q5.8,Q5.9,Q5.10,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7,Q6.8,Q6.9,Q51,Q7.1,Q7.2,LocationLatitude,LocationLongitude,LocationAccuracy,Exclude
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Participant ID,"When you have completed the paper questionnaire, please click / 'next' to continue.",The information that you provide will be kept anonymous. Any identifying information will be remo...,"Reactions to Hypothetical Incidents In this part of the study, we will ask you to read about hypo...",Incident 1: Your partner talks to friends about private issues in your relationship-I would tell my partner that it will take a long time to make it up to me,Incident 1: Your partner talks to friends about private issues in your relationship-I would calmly tell my partner why I'd prefer that our private life remain private,Incident 1: Your partner talks to friends about private issues in your relationship-I would assume that my partner probably didn't mean to expose our private life,"Incident 1: Your partner talks to friends about private issues in your relationship-I would dwell on how angry I feel, but wouldn't talk to my partner about it",Incident 2: Your partner makes fun of you when you talk about your deepest fears.-I would assume that my partner must feel very uncomfortable about the issue underlying my fears,Incident 2: Your partner makes fun of you when you talk about your deepest fears.-I would imagine ways to obtain revenge in the future,Incident 2: Your partner makes fun of you when you talk about your deepest fears.-I would make fun of my partner at the next available opportunity,Incident 2: Your partner makes fun of you when you talk about your deepest fears.-I would talk about how important it is that we understand each other's weaknesses,"Incident 3: Your partner becomes sexually intimate with another person.-I would retaliate, becoming sexually intimate with someone myself","Incident 3: Your partner becomes sexually intimate with another person.-I would imagine breaking up because there are ""other fish in the sea""",Incident 3: Your partner becomes sexually intimate with another person.-I would suggest that we have a positive talk about sexual monogamy,"Incident 3: Your partner becomes sexually intimate with another person.-I would remind myself that in general, my partner treats me very well",Incident 4: Your partner deliberately says something that hurts you badly.-I would ask my partner why he/she had hurt my feelings,Incident 4: Your partner deliberately says something that hurts you badly.-I would say something equally mean right back to my partner,Incident 4: Your partner deliberately says something that hurts you badly.-I would try to understand that my partner may not have intended to hurt me,Incident 4: Your partner deliberately says something that hurts you badly.-I would give my partner the cold shoulder for awhile,Incident 5: Your partner tells friends about an embarrassing secret from your past.-I would imagine ways to get revenge,Incident 5: Your partner tells friends about an embarrassing secret from your past.-I would yell at my partner not to do that again,Incident 5: Your partner tells friends about an embarrassing secret from your past.-I would assume that my partner didn't mean to embarrass me in front of friends,Incident 5: Your partner tells friends about an embarrassing secret from your past.-I would nicely explain that I'd prefer that we keep embarrassing events to ourselves,Incident 6: Your partner forgets your birthday-I would calmly remind my partner that it's my birthday,Incident 6: Your partner forgets your birthday-I would keep my anger bottled up inside me,Incident 6: Your partner forgets your birthday-I would assume that my partner would eventually remember,Incident 6: Your partner forgets your birthday-I would consider ending the relationship,"Incident 7: You find out that your partner kissed someone else at a party.-I would understand that things got out of hand, and that my partner behaved in a very unusual manner on that occasion",Incident 7: You find out that your partner kissed someone else at a party.-I would yell at my partner about how horrible he/she has behaved,"Incident 7: You find out that your partner kissed someone else at a party.-I would tell my partner I'm glad things didn't go further than ""just kissing""",Incident 7: You find out that your partner kissed someone else at a party.-I would feel irritated at my partner for awhile,"Incident 8: Your partner fails to support you when you're really upset.-I would recognize that my partner's life is busy, and deal with the situation myself",Incident 8: Your partner fails to support you when you're really upset.-I would decide to quit supporting my partner so much in the future,"Incident 8: Your partner fails to support you when you're really upset.-I would ask if my partner is upset about something, and whether that caused him/her to let me down",Incident 8: Your partner fails to support you when you're really upset.-I would tell my partner I'm going to cut off the relationship unless things improve fast,Incident 9: Your partner flirts with a classmate.-I would insist that my partner apologize to me over and over again,Incident 9: Your partner flirts with a classmate.-I would suggest that we go out to dinner and have a constructive talk about flirting,"Incident 9: Your partner flirts with a classmate.-I would recognize that I sometimes flirt, so I shouldn't be too hard on my partner",Incident 9: Your partner flirts with a classmate.-I would behave in a cold manner toward my partner for awhile,Incident 10: Your partner lies to you about something important.-I would feel angry that my partner can't be honest with me,Incident 10: Your partner lies to you about something important.-I would tell my partner that I'd like us to try and resolve the situation,Incident 10: Your partner lies to you about something important.-I would try to understand the situation from my partner's point of view,Incident 10: Your partner lies to you about something important.-I would come up with ways to get even with my partner,"Incident 11: In a disagreement with a third person, your partner takes the other person's side.-I would quit arguing, but would feel angry that my partner didn't take my side","Incident 11: In a disagreement with a third person, your partner takes the other person's side.-I would imagine that my partner has strong feelings about this issue, because usually he/she is on my side","Incident 11: In a disagreement with a third person, your partner takes the other person's side.-I would do the same thing to my partner the next chance I had","Incident 11: In a disagreement with a third person, your partner takes the other person's side.-I would exert extra effort to understand my partner's perspective on the issue at hand",Incident 12: Your partner says something bad about you behind your back.-I would feel so irritated that I wouldn't be able to deal with the situation,Incident 12: Your partner says something bad about you behind your back.-I would forgive my partner because I've done similar things in the past,Incident 12: Your partner says something bad about you behind your back.-I would tell my partner that I hope we can work out this problem,Incident 12: Your partner says something bad about you behind your back.-I would get even by saying bad things about my partner behind his/her back,"In the next part of the study, you will be completing a couple of / questionnaires and will then pr...",Intentions Regarding the / Future,To what extent do you agree with each of the following statements? Select the number that best re...-1) I want our relationship to last for a very long time.,To what extent do you agree with each of the following statements? Select the number that best re...-2) I am committed to maintaining my relationship with my partner.,To what extent do you agree with each of the following statements? Select the number that best re...-3) I would feel very upset if our relationship were to end in the near future.,To what extent do you agree with each of the following statements? Select the number that best re...-4) It is likely that I will date someone other than my partner within the next year.,To what extent do you agree with each of the following statements? Select the number that best re...-5) I feel very attached to our relationship - very strongly linked to my partner.,To what extent do you agree with each of the following statements? Select the number that best re...-6) I want our relationship to last forever.,"To what extent do you agree with each of the following statements? Select the number that best re...-7) I am oriented toward the long-term future of my relationship (for example, I imagine being with my partner   several years from now).",To what extent do you agree with each of the following statements? Select the number that best re...-1) My first impressions of people usually turn out to be right.,To what extent do you agree with each of the following statements? Select the number that best re...-2) It would be hard for me to break any of my bad habits.,To what extent do you agree with each of the following statements? Select the number that best re...-3) I don't care to know what other people really think of me.,To what extent do you agree with each of the following statements? Select the number that best re...-4) I have not always been honest with myself.,To what extent do you agree with each of the following statements? Select the number that best re...-5) I always know why I like things.,"To what extent do you agree with each of the following statements? Select the number that best re...-6) When my emotions are aroused, it biases my thinking.","To what extent do you agree with each of the following statements? Select the number that best re...-7) Once I've made up my mind, other people can seldom change my opinion.",To what extent do you agree with each of the following statements? Select the number that best re...-8) I am not a safe driver when I exceed the speed limit.,To what extent do you agree with each of the following statements? Select the number that best re...-9) I am fully in control of my own fate.,To what extent do you agree with each of the following statements? Select the number that best re...-10) It's hard for me to shut off a disturbing thought.,To what extent do you agree with each of the following statements? Select the number that best re...-11) I never regret my decisions.,To what extent do you agree with each of the following statements? Select the number that best re...-12) I sometimes lose out on things because I can't make up my mind soon enough.,To what extent do you agree with each of the following statements? Select the number that best re...-13) The reason I vote is because my vote can make a difference.,To what extent do you agree with each of the following statements? Select the number that best re...-14) My parents were not always fair when they punished me.,To what extent do you agree with each of the following statements? Select the number that best re...-15) I am a completely rational person.,To what extent do you agree with each of the following statements? Select the number that best re...-16) I rarely appreciate criticism.,To what extent do you agree with each of the following statements? Select the number that best re...-17) I am very confident of my judgments.,To what extent do you agree with each of the following statements? Select the number that best re...-18) I have sometimes doubted my ability as a lover.,To what extent do you agree with each of the following statements? Select the number that best re...-19) It's all right with my if some people happen to dislike me.,To what extent do you agree with each of the following statements? Select the number that best re...-20) I don't always know the reasons why I do the things I do.,To what extent do you agree with each of the following statements? Select the number that best re...-21) I sometimes tell lies if I have to.,To what extent do you agree with each of the following statements? Select the number that best re...-22) I never cover up my mistakes.,To what extent do you agree with each of the following statements? Select the number that best re...-23) There have been occasions when I have taken advantage of someone.,To what extent do you agree with each of the following statements? Select the number that best re...-24) I never swear.,To what extent do you agree with each of the following statements? Select the number that best re...-25) I sometimes try to get even rather than forgive and forget.,"To what extent do you agree with each of the following statements? Select the number that best re...-26) I always obey laws, even if I'm unlikely to get caught.",To what extent do you agree with each of the following statements? Select the number that best re...-27) I have said something bad about a friend behind his or her back.,"To what extent do you agree with each of the following statements? Select the number that best re...-28) When I hear people talking privately, I avoid listening.",To what extent do you agree with each of the following statements? Select the number that best re...-29) I have received too much change from a salesperson without telling him or her.,To what extent do you agree with each of the following statements? Select the number that best re...-30) I always declare everything at customs.,To what extent do you agree with each of the following statements? Select the number that best re...-31) When I was young I sometimes stole things.,To what extent do you agree with each of the following statements? Select the number that best re...-32) I have never dropped litter on the street.,To what extent do you agree with each of the following statements? Select the number that best re...-33) I sometimes drive faster than the speed limit.,To what extent do you agree with each of the following statements? Select the number that best re...-34) I never read sexy books or magazines.,To what extent do you agree with each of the following statements? Select the number that best re...-35) I have done things that I don't tell other people about.,To what extent do you agree with each of the following statements? Select the number that best re...-36) I never take things that don't belong to me.,To what extent do you agree with each of the following statements? Select the number that best re...-37) I have taken sick-leave from work or school even though I wasn't really sick.,To what extent do you agree with each of the following statements? Select the number that best re...-38) I have never damaged a library book or store merchandise without reporting it.,To what extent do you agree with each of the following statements? Select the number that best re...-39) I have some pretty awful habits.,To what extent do you agree with each of the following statements? Select the number that best re...-40) I don't gossip about other people's business.,Your sex (please select one):,Your sex (please select one):-TEXT,Your age:,Your year in school (please check one),Your year in school (please check one)-TEXT,Are you describing a current relationship or a past relationship / (select one):,Status of your relationship (select one):,Status of your relationship (select one):-TEXT,For how long have you been involved with your partner? Please / indicate the number of years and mo...,Number of months,How exclusive is your relationship? (select one),"About how many days per month do you see your partner, on average?",Do you an your partner live within 60 miles (approximately 97 km) / of each other?,We would like to ask you some questions about the study that you just completed. If you are uncer...,"Please answer each question. If you are not sure how to answer, / please give your best guess.","Did anything about the study seem strange to you, or was there anything you were wondering about?",What was the purpose of the pilot study (administered on paper)?,What was the purpose of the main study (administered on the computer)?," Were the two studies were related in any way? If yes, how?",Did completing the pilot study (administered on paper) influence your responses on the main study...,"In the pilot study (administered on paper), did everybody receive the same writing prompts? If no...","Please wait quietly for other participants to finish. When everyone / is done, the experimenter wil...",The experiment is now finished. Please wait quietly for further / instructions.,Experimental condition:,Lab,LocationLatitude,LocationLongitude,LocationAccuracy,"0 = include, 1=exclude, 2=maybe"
R_2RVyp8CMSaO6Ccn,Default Response Set,Anonymous, , ,142.58.123.124,0,10/8/2015,10/8/2015,1,m033,1,1,1,2,7,5,1,5,0,2,4,0,8,8,0,7,2,5,2,3,6,5,8,5,1,8,0,1,0,6,8,6,0,7,0,0,3,6,0,3,6,6,0,4,5,0,6,1,0,5,0,1,1,8,8,8,1,8,8,8,5,2,5,3,4,1,4,3,6,2,5,3,1,3,6,1,5,6,5,6,4,3,2,7,1,4,5,6,1,2,5,1,7,7,4,6,6,7,5,5,1, ,19,2, ,1,3, ,0,2,1,8,1,1,1,"it was strange that the way the scale was made for each item pushed us to agree more than disagree, with two of the response areas being indicated as completely agree, and somewhat agree while only one was relating to not agreeing at all.",the purpose of the pilot study was to make us start thinking about out partner before answering questions,"the purpose of the main study is to relate reckless behaviour and a disregard for others to making rash decisions in relationships, and potentially seeing relationships as more short term.","yes the first study was meant to prime us, making is think of how we are independent from our partner and characteristics we see in out partner",I did not feel that the pilot study influenced my responses,I did not see anybody elses pilot study so I cannot comment on this,1,1,2,Cobb,49.26400757,-122.9369049,-1,2
R_zdxiGKKdGWjypNL,Default Response Set,Anonymous, , ,142.58.123.121,0,9/24/2015,9/24/2015,1,F045,1,1,1,0,8,6,0,1,0,0,3,0,0,5,2,3,1,4,4,0,0,6,2,6,2,2,0,7,0,7,5,4,0,7,0,0,0,8,0,8,6,6,0,1,8,0,6,0,6,5,0,1,1,8,8,8,0,5,6,8,7,4,7,7,4,2,7,1,4,1,2,1,5,1,6,2,6,5,7,7,1,4,5,1,1,2,2,6,1,4,2,4,7,7,4,6,7,7,5,7,2, ,18,1, ,1,4, ,3,4,1,13,2,1,1,"the questions seemed to vary from vague to very specific. Just seemed a bit strange, no complaints though",I suppose to understand to what degree you depend on your partner and various traits that may be the underlying reason.,to understand how dating partners react to various hypothetical situations,"the both ran under the same theme,  obviously. I suppose the first was given so that we may reflect upon our partner and their ways or patterns of behavior as a reflection of our own before starting the electronic survey.","yes, as I believe was intended. by stating the traits we most admire in our partners, it influenced how we were to react and even reflected upon how we would view the situations themselves holistically.","I cannot say for I did not see anyone else's prompt, though I am certain that if different aspects were highlighted that each individual would respond accordingly. there are obvious questions in the electronic survey that were catered to the specific promt given to us on paper.",1,1,2,Cobb lab,49.26400757,-122.9369049,-1,2
R_p4XmWde3xayr3z3,Default Response Set,Anonymous, , ,142.58.123.119,0,11/19/2015,11/19/2015,1,m058,1,1,1,1,3,4,3,1,1,4,3,1,5,3,1,6,2,6,4,1,2,6,7,6,3,6,2,4,3,4,6,5,2,6,2,2,6,6,2,7,7,6,1,3,6,1,6,4,5,7,1,1,1,7,7,7,0,7,6,7,5,5,3,5,5,5,3,4,3,6,4,6,6,2,5,3,5,5,5,4,5,4,2,2,2,6,6,4,2,6,2,4,6,2,5,6,6,7,3,6,1, ,21,3, ,1,4, ,4,1,1,20,1,1,1,I found a few of he typical answers to some of he situations were left out,to start us thinking in a more negative light about our partners before answering less negative questions?,To gather data on how individuals react today to situations where our partners have done wrong or thins that would normally be considered wrong,the two studies were both on the same topic and more likely then not were put in particular order to effect the outcome of the second stud,While thinking that there was most likely a correlation between the studies I tried not to let the first effect the second however likely my responses were more negative to the second study due to the first,I believe everyone received the same prompts...,1,1,1,Cobb,49.26400757,-122.9369049,-1,2
R_Ua5zwq3INrvbJO9,Default Response Set,Anonymous, , ,142.58.123.121,0,10/2/2015,10/2/2015,1,F084,1,1,1,0,7,7,1,6,0,1,8,0,0,5,5,5,1,7,2,0,1,6,7,1,6,8,0,5,0,5,5,7,0,4,0,0,4,2,2,4,7,7,0,3,7,0,7,1,6,8,0,1,1,8,8,8,1,7,7,8,7,3,6,6,5,6,3,2,5,6,6,6,6,2,2,2,5,3,7,3,7,3,6,1,2,4,5,6,6,6,6,2,7,6,7,2,2,6,2,2,2, ,20,3, ,1,3, ,0,3,1,20,1,1,1,I was unsure for the latter part of the exam whether I was supposed to answer from my own experiences or simply if I agree with them.,"Whether I see that person as a long term partner, possibly looking at age and the difference it makes regarding this view.",To examine how well people are willing to cope with their partner when their partner makes wrong choices.,"One looks at what you are ultimately seeking in a dating/romantic relationship and the other examines the approaches you will take to resolve problems with your partner. So yes, they are very related as they are both crucial elements in any relationships.","Yes. the pilot study reminded me of all the positive things about my partner and they influenced me at least slightly that I am more willing to cope with the shortcomings. Ultimately, no one is expected to be perfect but what is important is to see your iperfect partner perfectly from your eyes.","They may have differed depending on the purpose of this study. In my opinion, they may have differed in terms of context. For example, I had received a paper with questions that reminds me of my partner's positive traits, but if the purpose of the study i to examine whether those questions will influence the answers on here then yes, I believe that the paper questionaire may have differed.",1,1,1,Cobb,49.26400757,-122.9369049,-1,2
R_3Rf0RJQAZgkB47o,Default Response Set,Anonymous, , ,142.58.123.125,0,10/1/2015,10/1/2015,1,f076,1,1,1,2,3,7,3,5,0,0,4,0,6,0,0,8,1,2,4,0,2,5,7,7,1,4,0,1,4,0,7,8,0,6,0,0,3,5,1,6,7,8,0,2,7,0,8,2,1,7,3,1,1,8,8,8,0,7,5,5,5,2,2,3,6,2,2,4,5,4,5,5,6,2,5,2,6,4,6,3,2,3,1,2,1,3,5,2,4,6,1,5,4,7,3,7,2,6,3,5,2, ,18,1, ,1,4, ,0,6,1,8,1,1,1,what driving skills have to do with close relationships,more detailed answers to understand the context of the relationship,"provide insight into how well developed the relationship is at a certain point to react to negative situations, if they were to happen","yes, the quality of your relationship (described in the first study) & your own qualities effects how you perceive negative situations","yes, as it made me think about my own relationship and the good qualities of it before answering situation based questions","I don't know - if the prompt were to describe why you might break up with your partner/negative qualities about them, you may think of them in a negative light while answering situational questions, so your answers may differ",1,1,1,Cobb,49.26400757,-122.9369049,-1,2
R_AnDwMn1YNDreJ45,Default Response Set,Anonymous, , ,142.58.123.119,0,10/1/2015,10/1/2015,1,f059,1,1,1,2,4,1,2,2,1,1,6,1,4,6,4,4,2,3,4,1,4,4,6,4,2,6,2,4,2,5,5,4,3,7,2,1,4,5,1,4,6,5,2,5,5,1,3,2,3,5,1,1,1,7,7,6,3,7,7,7,4,4,5,4,6,4,3,2,5,4,3,5,4,4,3,3,3,5,4,5,4,3,2,2,2,4,4,4,3,6,5,2,2,4,5,3,3,4,4,6,2, ,21,4, ,1,4, ,0,8,1,21,1,1,1,n/a,long term goals/commitment level,personality traits,"yes, to see if personality traits affect commitment","yes, took more positive outlook to relationship","not sure, some people might have recieved positve questions, some negative",1,1,1,Cobb lab,49.26400757,-122.9369049,-1,2
R_2SBIVOWoGdgh2fU,Default Response Set,Anonymous, , ,142.58.123.124,0,6/17/2015,6/17/2015,1,f022,1,1,1,4,6,2,4,6,5,7,8,6,1,7,8,1,7,7,8,2,5,6,8,6,6,6,2,0,3,3,8,3,5,7,6,8,6,0,8,8,8,1,2,8,5,7,4,8,2,7,3,1,1,8,8,8,2,8,8,8,4,6,1,4,5,7,6,5,6,6,4,6,6,5,5,3,3,3,3,4,5,5,5,2,2,6,2,4,4,5,3,6,1,2,6,7,4,6,5,6,2, ,21,2, ,1,4, ,1,3,1,30,1,1,1,"Couple relationship is very complicated sometimes, i am a honest lover, and i hope my partner can be as same level honest as me. I am so much care about my partner compare with others.",To better manage the relationship in the future and for the credit for psychology 100.,To understand how your responses  if he/she done the inhonest thing to you which you think.,"Yes, it is related because the second study is what the way you will treat your patner accoding to the first study's responses.",NO,NO,1,1,2,Cobb,49.28689575,-122.9580002,-1,2
R_2ZBMQ1XllXO7wzd,Default Response Set,Anonymous, , ,142.58.123.118,0,11/19/2015,11/19/2015,1,M066,1,1,1,5,5,5,5,4,4,4,4,4,4,4,4,2,2,2,3,3,4,3,5,4,4,3,4,3,4,4,4,3,3,4,4,5,5,5,4,3,4,5,5,5,5,4,5,4,4,4,4,1,1,1,2,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,2,3,3,3,3,2,2,2,2,3,1,3,3,1,3,3,4,4,4,4,1, ,19,2, ,1,4, ,2, ,1,15,1,1,1,no,Alter our decisions,Don't know,Alter our emotions,No,Different moods,1,1,1,Cobb,49.26400757,-122.9369049,-1,1
R_31yj0hqq2CYlVBx,Default Response Set,Anonymous, , ,142.58.123.108,0,11/19/2015,11/19/2015,1,m069,1,1,1,5,8,8,2,0,0,0,0,0,4,0,0,7,0,3,7,0,0,0,8,0,6,1,0,0,0,0,8,8,0,0,0,0,0,8,0,7,7,7,0,5,5,0,5,0,6,0,0,1,1,5,5,8,0,5,2,0,7,5,7,2,7,6,1,1,3,5,1,5,1,1,6,1,7,1,7,1,5,3,5,1,1,2,6,6,1,4,5,2,7,1,7,7,7,3,4,2,1, ,19,2, ,1,3, ,0,4,1,2,1,1,1,"Nothing in particular, I just noticed a pattern of asking whether I was a vengeful or a forgiving person",To get us to start thinking about our relationship in the long run and how close you are with your partner?,To test if you feel more forgiving towards your partner after being administered a study that promotes the positive aspects of your relationship,"Yes they were, the first study influenced the second study by having us think positively about our relationship",yes it did explained above,"Some people might have received prompts that ask how they could see their relationship ending soon, and the negative aspects or their relationship.",1,1,1,Cobb,49.26400757,-122.9369049,-1,1
