V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.3_1,Q2.3_2,Q2.3_3,Q2.3_10,Q2.4_1,Q2.4_2,Q2.4_3,Q2.4_4,Q2.5_1,Q2.5_2,Q2.5_3,Q2.5_4,Q2.6_1,Q2.6_2,Q2.6_3,Q2.6_4,Q2.7_1,Q2.7_2,Q2.7_3,Q2.7_4,Q2.8_1,Q2.8_2,Q2.8_3,Q2.8_4,Q2.9_1,Q2.9_2,Q2.9_3,Q2.9_4,Q2.10_1,Q2.10_2,Q2.10_3,Q2.10_4,Q2.11_1,Q2.11_2,Q2.11_3,Q2.11_4,Q2.12_1,Q2.12_2,Q2.12_3,Q2.12_4,Q2.13_1,Q2.13_2,Q2.13_3,Q2.13_4,Q3.1,Q3.2,Q3.3_1,Q3.3_2,Q3.3_3,Q3.3_4,Q3.3_5,Q3.3_6,Q3.3_7,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.3_5,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.4_5,Q4.5_1,Q4.5_2,Q4.5_3,Q4.5_4,Q4.5_5,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.7_1,Q4.7_2,Q4.7_3,Q4.7_4,Q4.7_5,Q4.8_1,Q4.8_2,Q4.8_3,Q4.8_4,Q4.8_5,Q5.1,Q5.1_TEXT,Q5.2,Q5.3,Q5.3_TEXT,Q5.4,Q5.5,Q5.5_TEXT,Q5.6,Q5.7,Q5.8,Q5.9,Q5.10,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7,Q6.8,Q6.9,Q51,Q7.1,Q7.2,LocationLatitude,LocationLongitude,LocationAccuracy,Exclude
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Participant ID,"When you have completed the paper questionnaire, please click / 'next' to continue.",The information that you provide will be kept anonymous. Any / identifying information will be remo...,"Reactions to Hypothetical Incidents / In this part of the study, we will ask you to read about / hypo...",Incident 1: Your partner / talks to friends about private issues in your / relationship-I would tell my partner that it will take a long time to make it up to me,Incident 1: Your partner / talks to friends about private issues in your / relationship-I would calmly tell my partner why I'd prefer that our private life remain private,Incident 1: Your partner / talks to friends about private issues in your / relationship-I would assume that my partner probably didn't mean to expose our private life,"Incident 1: Your partner / talks to friends about private issues in your / relationship-I would dwell on how angry I feel, but wouldn't talk to my partner about it",Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would assume that my partner must feel very uncomfortable about the issue underlying my fears,Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would imagine ways to obtain revenge in the future,Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would make fun of my partner at the next available opportunity,Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would talk about how important it is that we understand each other's weaknesses,"Incident 3: Your / partner becomes sexually intimate with another / person.-I would retaliate, becoming sexually intimate with someone myself","Incident 3: Your / partner becomes sexually intimate with another / person.-I would imagine breaking up because there are ""other fish in the sea""",Incident 3: Your / partner becomes sexually intimate with another / person.-I would suggest that we have a positive talk about sexual monogamy,"Incident 3: Your / partner becomes sexually intimate with another / person.-I would remind myself that in general, my partner treats me very well",Incident 4: Your partner / deliberately says something that hurts you badly.-I would ask my partner why he/she had hurt my feelings,Incident 4: Your partner / deliberately says something that hurts you badly.-I would say something equally mean right back to my partner,Incident 4: Your partner / deliberately says something that hurts you badly.-I would try to understand that my partner may not have intended to hurt me,Incident 4: Your partner / deliberately says something that hurts you badly.-I would give my partner the cold shoulder for awhile,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would imagine ways to get revenge,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would yell at my partner not to do that again,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would assume that my partner didn't mean to embarrass me in front of friends,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would nicely explain that I'd prefer that we keep embarrassing events to ourselves,Incident 6: Your partner / forgets your birthday-I would calmly remind my partner that it's my birthday,Incident 6: Your partner / forgets your birthday-I would keep my anger bottled up inside me,Incident 6: Your partner / forgets your birthday-I would assume that my partner would eventually remember,Incident 6: Your partner / forgets your birthday-I would consider ending the relationship,"Incident 7: You find out that / your partner kissed someone else at a party.-I would understand that things got out of hand, and that my partner behaved in a very unusual manner on that occasion",Incident 7: You find out that / your partner kissed someone else at a party.-I would yell at my partner about how horrible he/she has behaved,"Incident 7: You find out that / your partner kissed someone else at a party.-I would tell my partner I'm glad things didn't go further than ""just kissing""",Incident 7: You find out that / your partner kissed someone else at a party.-I would feel irritated at my partner for awhile,"Incident 8: Your partner fails to support you when you're really upset.-I would recognize that my partner's life is busy, and deal with the situation myself",Incident 8: Your partner fails to support you when you're really upset.-I would decide to quit supporting my partner so much in the future,"Incident 8: Your partner fails to support you when you're really upset.-I would ask if my partner is upset about something, and whether that caused him/her to let me down",Incident 8: Your partner fails to support you when you're really upset.-I would tell my partner I'm going to cut off the relationship unless things improve fast,Incident 9: Your partner / flirts with a classmate.-I would insist that my partner apologize to me over and over again,Incident 9: Your partner / flirts with a classmate.-I would suggest that we go out to dinner and have a constructive talk about flirting,"Incident 9: Your partner / flirts with a classmate.-I would recognize that I sometimes flirt, so I shouldn't be too hard on my partner",Incident 9: Your partner / flirts with a classmate.-I would behave in a cold manner toward my partner for awhile,Incident 10: Your partner / lies to you about something important.-I would feel angry that my partner can't be honest with me,Incident 10: Your partner / lies to you about something important.-I would tell my partner that I'd like us to try and resolve the situation,Incident 10: Your partner / lies to you about something important.-I would try to understand the situation from my partner's point of view,Incident 10: Your partner / lies to you about something important.-I would come up with ways to get even with my partner,"Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would quit arguing, but would feel angry that my partner didn't take my side","Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would imagine that my partner has strong feelings about this issue, because usually he/she is on my side","Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would do the same thing to my partner the next chance I had","Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would exert extra effort to understand my partner's perspective on the issue at hand",Incident 12: Your partner / says something bad about you behind your back.-I would feel so irritated that I wouldn't be able to deal with the situation,Incident 12: Your partner / says something bad about you behind your back.-I would forgive my partner because I've done similar things in the past,Incident 12: Your partner / says something bad about you behind your back.-I would tell my partner that I hope we can work out this problem,Incident 12: Your partner / says something bad about you behind your back.-I would get even by saying bad things about my partner behind his/her back,"In the next part of the study, you will be completing a couple of / questionnaires and will then pr...",Intentions Regarding the / Future,To what extent do you agree with each of the following statements? / Select the number that best re...-1) I want our relationship to last for a very long time.,To what extent do you agree with each of the following statements? / Select the number that best re...-2) I am committed to maintaining my relationship with my partner.,To what extent do you agree with each of the following statements? / Select the number that best re...-3) I would feel very upset if our relationship were to end in the near future.,To what extent do you agree with each of the following statements? / Select the number that best re...-4) It is likely that I will date someone other than my partner within the next year.,To what extent do you agree with each of the following statements? / Select the number that best re...-5) I feel very attached to our relationship - very strongly linked to my partner.,To what extent do you agree with each of the following statements? / Select the number that best re...-6) I want our relationship to last forever.,"To what extent do you agree with each of the following statements? / Select the number that best re...-7) I am oriented toward the long-term future of my relationship (for example, I imagine being with my partner   several years from now).",To what extent do you agree with each of the following statements? / Select the number that best re...-1) My first impressions of people usually turn out to be right.,To what extent do you agree with each of the following statements? / Select the number that best re...-2) It would be hard for me to break any of my bad habits.,To what extent do you agree with each of the following statements? / Select the number that best re...-3) I don't care to know what other people really think of me.,To what extent do you agree with each of the following statements? / Select the number that best re...-4) I have not always been honest with myself.,To what extent do you agree with each of the following statements? / Select the number that best re...-5) I always know why I like things.,"To what extent do you agree with each of the following statements? / Select the number that best re...-6) When my emotions are aroused, it biases my thinking.","To what extent do you agree with each of the following statements? / Select the number that best re...-7) Once I've made up my mind, other people can seldom change my opinion.",To what extent do you agree with each of the following statements? / Select the number that best re...-8) I am not a safe driver when I exceed the speed limit.,To what extent do you agree with each of the following statements? / Select the number that best re...-9) I am fully in control of my own fate.,To what extent do you agree with each of the following statements? / Select the number that best re...-10) It's hard for me to shut off a disturbing thought.,To what extent do you agree with each of the following statements? / Select the number that best re...-11) I never regret my decisions.,To what extent do you agree with each of the following statements? / Select the number that best re...-12) I sometimes lose out on things because I can't make up my mind soon enough.,To what extent do you agree with each of the following statements? / Select the number that best re...-13) The reason I vote is because my vote can make a difference.,To what extent do you agree with each of the following statements? / Select the number that best re...-14) My parents were not always fair when they punished me.,To what extent do you agree with each of the following statements? / Select the number that best re...-15) I am a completely rational person.,To what extent do you agree with each of the following statements? / Select the number that best re...-16) I rarely appreciate criticism.,To what extent do you agree with each of the following statements? / Select the number that best re...-17) I am very confident of my judgments.,To what extent do you agree with each of the following statements? / Select the number that best re...-18) I have sometimes doubted my ability as a lover.,To what extent do you agree with each of the following statements? / Select the number that best re...-19) It's all right with my if some people happen to dislike me.,To what extent do you agree with each of the following statements? / Select the number that best re...-20) I don't always know the reasons why I do the things I do.,To what extent do you agree with each of the following statements? / Select the number that best re...-21) I sometimes tell lies if I have to.,To what extent do you agree with each of the following statements? / Select the number that best re...-22) I never cover up my mistakes.,To what extent do you agree with each of the following statements? / Select the number that best re...-23) There have been occasions when I have taken advantage of someone.,To what extent do you agree with each of the following statements? / Select the number that best re...-24) I never swear.,To what extent do you agree with each of the following statements? / Select the number that best re...-25) I sometimes try to get even rather than forgive and forget.,"To what extent do you agree with each of the following statements? / Select the number that best re...-26) I always obey laws, even if I'm unlikely to get caught.",To what extent do you agree with each of the following statements? / Select the number that best re...-27) I have said something bad about a friend behind his or her back.,"To what extent do you agree with each of the following statements? / Select the number that best re...-28) When I hear people talking privately, I avoid listening.",To what extent do you agree with each of the following statements? / Select the number that best re...-29) I have received too much change from a salesperson without telling him or her.,To what extent do you agree with each of the following statements? / Select the number that best re...-30) I always declare everything at customs.,To what extent do you agree with each of the following statements? / Select the number that best re...-31) When I was young I sometimes stole things.,To what extent do you agree with each of the following statements? / Select the number that best re...-32) I have never dropped litter on the street.,To what extent do you agree with each of the following statements? / Select the number that best re...-33) I sometimes drive faster than the speed limit.,To what extent do you agree with each of the following statements? / Select the number that best re...-34) I never read sexy books or magazines.,To what extent do you agree with each of the following statements? / Select the number that best re...-35) I have done things that I don't tell other people about.,To what extent do you agree with each of the following statements? / Select the number that best re...-36) I never take things that don't belong to me.,To what extent do you agree with each of the following statements? / Select the number that best re...-37) I have taken sick-leave from work or school even though I wasn't really sick.,To what extent do you agree with each of the following statements? / Select the number that best re...-38) I have never damaged a library book or store merchandise without reporting it.,To what extent do you agree with each of the following statements? / Select the number that best re...-39) I have some pretty awful habits.,To what extent do you agree with each of the following statements? / Select the number that best re...-40) I don't gossip about other people's business.,Your sex (please select one):,Your sex (please select one):-TEXT,Your age:,Your year in school (please check one),Your year in school (please check one)-TEXT,Are you describing a current relationship or a past relationship / (select one):,Status of your relationship (select one):,Status of your relationship (select one):-TEXT,For how long have you been involved with your partner? Please / indicate the number of years and mo...,Number of months,How exclusive is your relationship? (select one),"About how many days per month do you see your partner, on average?",Do you an your partner live within 60 miles (approximately 97 km) / of each other?,We would like to ask you some questions about the study that you / just completed. If you are uncer...,"Please answer each question. If you are not sure how to answer, / please give your best guess.","Did anything about the study seem strange to you, or was there /  anything you were wondering about?",What was the purpose of the pilot study (administered on paper)?,What was the purpose of the main study (administered on the /  computer)?," Were the two studies were related in any way? If /  yes, how?",Did completing the pilot study (administered on paper) influence /  your responses on the main stud...,"In the pilot study (administered on paper), did everybody receive /  the same writing prompts? If n...","Please wait quietly for other participants to finish. When everyone / is done, the experimenter wil...",The experiment is now finished. Please wait quietly for further / instructions.,Experimental condition:,Lab,LocationLatitude,LocationLongitude,LocationAccuracy,"0 = include, 1=exclude, 2=maybe"
R_1Q4tg6zHjtTLM7V,Default Response Set,Anonymous,,,139.62.163.127,0,10/8/2015 13:48,10/8/2015 15:39,1,F001,1,1,1,0,5,5,1,3,0,0,7,0,5,7,3,8,0,7,3,1,7,7,8,7,1,7,0,6,2,8,3,4,0,5,0,0,0,3,1,3,8,8,0,0,8,0,8,5,0,8,0,1,1,8,8,8,4,8,8,8,5,3,2,2,5,4,2,5,3,2,1,2,1,4,3,4,4,7,2,3,5,2,7,1,1,5,2,2,1,7,2,5,7,7,5,2,5,7,2,5,2,,20,3,,1,3,,7,2,1,31,1,1,1,No,To gather more personal information,To  analyze relationships ,"Yes, they were analyzing relationships ",no,It was just me taking doing it  / ,1,1,1,Fuglestad,30.28779602,-81.42639923,-1,0
R_3mk0YmHZP7uiwZ3,Default Response Set,Anonymous,,,139.62.163.52,0,10/8/2015 13:49,10/8/2015 14:32,1,F002,1,1,1,2,7,2,3,5,5,7,5,0,4,5,1,7,1,2,7,6,6,3,6,6,5,5,0,0,8,0,5,1,3,6,0,5,6,2,5,8,7,1,1,6,5,1,4,5,0,6,0,1,1,8,8,7,0,8,8,8,7,5,4,4,4,5,4,2,4,5,3,4,7,3,4,2,3,2,4,3,2,4,3,2,3,5,3,4,1,6,2,2,6,2,6,6,6,6,4,6,2,,21,4,,1,4,,6,2,1,20,2,1,1,The questions after the study were somewhat related and yet somewhat not; by the way on number 19 you've misspelled a word.,I believe it was to get you thinking about the study as a whole and dive deep into you relationship and then hit you with the tough questions afterwards.,To understand reactions to situational events; how likely you will leave your partner for soemthing or if you would stay with them or if you are the type of person who would seek revenge on soemthing. ,"Yes, they were titally related. Well the first study was about your partner and how close you were and the second study was about your partner and what would you do in situational events dependiong on you ""relationship status"" as partners.","Yes, because they helped me understand just how close my partner and I were and made me give a geniune response to the following quiestions. ",I am not sure if everyone had recieved the same or not the same. Sorry.,1,1,1,Fuglestad,30.28779602,-81.42639923,-1,2
R_3Dp7KAvaW5RzCOA,Default Response Set,Anonymous,,,139.62.4.94,0,10/9/2015 10:37,10/9/2015 11:47,1,F003,1,1,1,6,3,5,8,5,0,1,8,0,8,6,2,7,6,2,6,1,5,6,8,1,6,5,2,0,7,1,8,2,1,6,1,4,4,3,6,8,8,4,2,6,7,2,4,5,5,6,1,1,1,8,8,8,0,8,8,8,2,2,2,5,3,7,6,6,2,7,2,6,2,1,2,7,2,7,3,7,7,2,6,2,5,4,5,2,6,4,6,1,7,7,7,3,7,2,5,1,2,,21,4,,1,4,,2,8,1,31,1,1,1,No.,To gather data about a future study about dating relationships.,To see how people react to certain events in dating relationships,I am unsure if they are related but they seem to be on similar topics.,No.,I am not sure if everyone received the same prompts. But hypothetically some could have been about positive aspects of your partner and others about negative aspects.,1,1,1,Fuglestad,30.28779602,-81.42639923,-1,0
R_2X4pVh0QOeVjOWi,Default Response Set,Anonymous,,,139.62.4.160,0,10/9/2015 14:29,10/9/2015 15:51,0,F004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1
R_W7itBCGHHKRiwU1,Default Response Set,Anonymous,,,139.62.4.72,0,10/12/2015 10:37,10/12/2015 11:22,1,F005,1,1,1,2,8,0,0,4,4,5,6,5,6,2,0,6,4,1,8,2,8,1,3,1,6,3,0,0,6,1,6,1,6,4,7,2,1,3,6,4,6,7,6,4,4,6,7,6,2,3,5,1,1,5,5,7,6,7,7,5,7,3,1,4,6,6,5,7,6,6,1,4,3,7,5,3,6,5,2,2,5,2,6,1,6,2,6,2,4,3,6,1,6,3,6,2,7,7,3,1,2,,30,3,,1,5,,0,6,1,31,1,1,1,Nothing seemed stranged,How I view my partner or how my partner would view me in our realtionship,To see how people interact in relationships,They relate in getting perpective about different forms of relationship,No,Yes,1,1,2,Fuglestad,30.28779602,-81.42639923,-1,1
R_1M4WKT1KHlyQE9f,Default Response Set,Anonymous,,,139.62.150.201,0,10/12/2015 10:38,10/12/2015 11:23,1,F006,1,1,1,1,4,1,3,0,0,0,4,0,2,2,0,5,4,4,5,3,1,2,4,0,6,5,4,2,7,0,8,2,5,2,7,5,3,4,4,6,5,4,1,4,5,4,2,1,7,7,2,1,1,8,8,7,0,8,8,8,6,3,1,2,4,6,3,3,2,6,3,6,3,2,3,3,4,5,3,4,4,2,7,1,4,1,7,1,7,1,1,1,7,1,7,1,7,1,7,1,2,,21,4,,1,4,,1,5,1,31,1,1,1,Nothing seemed strange to me in the experiment. ,To gain information on how individuals describe their partners and their relationships,To gain information about how individuals treat their partners ,Both studies investigate relationships. ,No,I don't know if everyone received the same writing prompts. We were not told this information. ,1,1,2,Fuglestad,30.28779602,-81.42639923,-1,0
R_3NRiPqSLTWd4KbF,Default Response Set,Anonymous,,,139.62.5.167,0,10/12/2015 10:35,10/12/2015 11:23,1,F007,1,1,1,0,6,0,4,1,2,2,3,5,8,0,0,2,7,1,6,5,7,2,3,1,4,3,0,0,8,0,7,4,2,4,5,2,5,6,6,8,7,2,1,6,2,3,2,5,1,3,0,1,1,8,8,8,0,6,7,8,5,6,1,6,2,6,7,2,7,5,1,2,5,7,4,3,3,6,4,6,7,1,6,1,3,2,7,2,1,2,5,2,7,2,6,4,6,5,6,2,2,,21,3,,1,4,,2,0,1,10,1,1,1,"It switched from asking questions about my relationship to me, I'm not sure how I feel about myself would be included in this study. Also, filling out the paper at the beginning was weird.",To get me thinking about my relationship and in the right mindset.,To see if people like to get revenge in relationships and if there's certain personality characteristics that cause that. ,"Yes, they were both about relationships somewhat.","I don't really think so, the questions didn't seem to affect my answers. Most of the questions were scenarios I've already lived through so I was able to base my answers on how I've reacted to them in the past.","I imagine they received the same questions. They could of had more questions about oneself in the pilot study, and that could've affected the answers.",1,1,2,Fuglestad,30.28779602,-81.42639923,-1,0
R_23fRqYDoxZn7dj8,Default Response Set,Anonymous,,,139.62.150.201,0,10/12/2015 11:32,10/12/2015 12:03,1,F008,1,1,1,0,5,6,4,4,0,0,3,0,4,4,5,5,0,3,6,0,1,3,6,4,0,8,0,2,0,0,8,4,0,2,0,0,0,3,2,4,6,8,0,3,8,0,8,3,3,8,1,1,1,8,8,8,0,8,8,8,7,5,2,7,3,7,6,1,3,3,1,7,7,6,4,5,7,7,7,6,6,1,7,1,7,6,6,2,1,1,3,6,1,1,7,3,7,4,7,1,2,,20,3,,1,1,,2,4,2,24,1,1,1,Most of the options didn't really accurately ask what I was feeling. A lot of the questions seemed to be biased towards getting revenge or being a pushover.,To see what people value most in their partners.,To see how vengeful/submissive people are in relationships based on how long they have been together.,Both were about feelings in relationships.,"No, I don't think so. Maybe subconsciously.","I'm not sure. I guess there could have been a negative prompt, like, what do you dislike most about your partner.",1,1,1,Fuglestad,30.28779602,-81.42639923,-1,0
R_3CIbFFWSvc4iV3w,Default Response Set,Anonymous,,,139.62.5.167,0,10/12/2015 11:30,10/12/2015 13:02,0,F009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1
