V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.3_1,Q2.3_2,Q2.3_3,Q2.3_10,Q2.4_1,Q2.4_2,Q2.4_3,Q2.4_4,Q2.5_1,Q2.5_2,Q2.5_3,Q2.5_4,Q2.6_1,Q2.6_2,Q2.6_3,Q2.6_4,Q2.7_1,Q2.7_2,Q2.7_3,Q2.7_4,Q2.8_1,Q2.8_2,Q2.8_3,Q2.8_4,Q2.9_1,Q2.9_2,Q2.9_3,Q2.9_4,Q2.10_1,Q2.10_2,Q2.10_3,Q2.10_4,Q2.11_1,Q2.11_2,Q2.11_3,Q2.11_4,Q2.12_1,Q2.12_2,Q2.12_3,Q2.12_4,Q2.13_1,Q2.13_2,Q2.13_3,Q2.13_4,Q3.1,Q3.2,Q3.3_1,Q3.3_2,Q3.3_3,Q3.3_4,Q3.3_5,Q3.3_6,Q3.3_7,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.3_5,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.4_5,Q4.5_1,Q4.5_2,Q4.5_3,Q4.5_4,Q4.5_5,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.7_1,Q4.7_2,Q4.7_3,Q4.7_4,Q4.7_5,Q4.8_1,Q4.8_2,Q4.8_3,Q4.8_4,Q4.8_5,Q5.1,Q5.1_TEXT,Q5.2,Q5.3,Q5.3_TEXT,Q5.4,Q5.5,Q5.5_TEXT,Q5.6,Q5.7,Q5.8,Q5.9,Q5.10,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5,Q6.6,Q6.7,Q6.8,Q6.9,Q51,Q7.1,Q7.2,LocationLatitude,LocationLongitude,LocationAccuracy,Exclude
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Participant ID,"When you have completed the paper questionnaire, please click / 'next' to continue.",The information that you provide will be kept anonymous. Any / identifying information will be remo...,"Reactions to Hypothetical Incidents / In this part of the study, we will ask you to read about / hypo...",Incident 1: Your partner / talks to friends about private issues in your / relationship-I would tell my partner that it will take a long time to make it up to me,Incident 1: Your partner / talks to friends about private issues in your / relationship-I would calmly tell my partner why I'd prefer that our private life remain private,Incident 1: Your partner / talks to friends about private issues in your / relationship-I would assume that my partner probably didn't mean to expose our private life,"Incident 1: Your partner / talks to friends about private issues in your / relationship-I would dwell on how angry I feel, but wouldn't talk to my partner about it",Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would assume that my partner must feel very uncomfortable about the issue underlying my fears,Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would imagine ways to obtain revenge in the future,Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would make fun of my partner at the next available opportunity,Incident 2: Your partner / makes fun of you when you talk about your deepest / fears.-I would talk about how important it is that we understand each other's weaknesses,"Incident 3: Your / partnerÿbecomes sexually intimate with another / person.-I would retaliate, becoming sexually intimate with someone myself","Incident 3: Your / partnerÿbecomes sexually intimate with another / person.-I would imagine breaking up because there are ""other fish in the sea""",Incident 3: Your / partnerÿbecomes sexually intimate with another / person.-I would suggest that we have a positive talk about sexual monogamy,"Incident 3: Your / partnerÿbecomes sexually intimate with another / person.-I would remind myself that in general, my partner treats me very well",Incident 4: Your partner / deliberately says something that hurts you badly.-I would ask my partner why he/she had hurt my feelings,Incident 4: Your partner / deliberately says something that hurts you badly.-I would say something equally mean right back to my partner,Incident 4: Your partner / deliberately says something that hurts you badly.-I would try to understand that my partner may not have intended to hurt me,Incident 4: Your partner / deliberately says something that hurts you badly.-I would give my partner the cold shoulder for awhile,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would imagine ways to get revenge,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would yell at my partner not to do that again,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would assume that my partner didn't mean to embarrass me in front of friends,Incident 5: Your partner / tells friends about an embarrassing secret from your / past.-I would nicely explain that I'd prefer that we keep embarrassing events to ourselves,Incident 6: Your partner / forgets your birthday-I would calmly remind my partner that it's my birthday,Incident 6: Your partner / forgets your birthday-I would keep my anger bottled up inside me,Incident 6: Your partner / forgets your birthday-I would assume that my partner would eventually remember,Incident 6: Your partner / forgets your birthday-I would consider ending the relationship,"Incident 7: You find out that / your partner kissed someone else at a party.-I would understand that things got out of hand, and that my partner behaved in a very unusual manner on that occasion",Incident 7: You find out that / your partner kissed someone else at a party.-I would yell at my partner about how horrible he/she has behaved,"Incident 7: You find out that / your partner kissed someone else at a party.-I would tell my partner I'm glad things didn't go further than ""just kissing""",Incident 7: You find out that / your partner kissed someone else at a party.-I would feel irritated at my partner for awhile,"Incident 8: Your partner / fails to support you when you're really upset.-I would recognize that my partner's life is busy, and deal with the situation myself",Incident 8: Your partner / fails to support you when you're really upset.-I would decide to quit supporting my partner so much in the future,"Incident 8: Your partner / fails to support you when you're really upset.-I would ask if my partner is upset about something, and whether that cause him/her to let me down",Incident 8: Your partner / fails to support you when you're really upset.-I would tell my partner I'm going to cut off the relationship unless things improve fast,Incident 9: Your partner / flirts with a classmate.-I would insist that my partner apologize to me over and over again,Incident 9: Your partner / flirts with a classmate.-I would suggest that we go out to dinner and have a constructive talk about flirting,"Incident 9: Your partner / flirts with a classmate.-I would recognize that I sometimes flirt, so I shouldn't be too hard on my partner",Incident 9: Your partner / flirts with a classmate.-I would behave in a cold manner toward my partner for awhile,Incident 10: Your partner / lies to you about something important.-I would feel angry that my partner can't be honest with me,Incident 10: Your partner / lies to you about something important.-I would tell my partner that I'd like us to try and resolve the situation,Incident 10: Your partner / lies to you about something important.-I would try to understand the situation from my partner's point of view,Incident 10: Your partner / lies to you about something important.-I would come up with ways to get even with my partner,"Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would quit arguing, but would feel angry that my partner didn't take my side","Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would imagine that my partner has strong feelings about this issue, because usually he/she is on my side","Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would do the same thing to my partner the next chance I had","Incident 11: In a / disagreement with a third person, your partner takes the other / person's side.-I would exert extra effort to understand my partner's perspective on the issue at hand",Incident 12: Your partner / says something bad about you behind your back.-I would feel so irritated that I wouldn't be able to deal with the situation,Incident 12: Your partner / says something bad about you behind your back.-I would forgive my partner because I've done similar things in the past,Incident 12: Your partner / says something bad about you behind your back.-I would tell my partner that I hope we can work out this problem,Incident 12: Your partner / says something bad about you behind your back.-I would get even by saying bad things about my partner behind his/her back,"In the next part of the study, you will be completing a couple of / questionnaires and will then pr...",Intentions Regarding the / Future,To what extent do you agree with each of the following statements? / Select the number that best re...-1) I want our relationship to last for a very long time.,To what extent do you agree with each of the following statements? / Select the number that best re...-2) I am committed to maintaining my relationship with my partner.,To what extent do you agree with each of the following statements? / Select the number that best re...-3) I would feel very upset if our relationship were to end in the near future.,To what extent do you agree with each of the following statements? / Select the number that best re...-4) It is likely that I will date someone other than my partner within the next year.,To what extent do you agree with each of the following statements? / Select the number that best re...-5) I feel very attached to our relationship - very strongly linked to my partner.,To what extent do you agree with each of the following statements? / Select the number that best re...-6) I want our relationship to last forever.,"To what extent do you agree with each of the following statements? / Select the number that best re...-7) I am oriented toward the long-term future of my relationship (for example, I imagine being with my partner   several years from now).",To what extent do you agree with each of the following statements? / Select the number that best re...-1) My first impressions of people usually turn out to be right.,To what extent do you agree with each of the following statements? / Select the number that best re...-2) It would be hard for me to break any of my bad habits.,To what extent do you agree with each of the following statements? / Select the number that best re...-3) I don't care to know what other people really think of me.,To what extent do you agree with each of the following statements? / Select the number that best re...-4) I have not always been honest with myself.,To what extent do you agree with each of the following statements? / Select the number that best re...-5) I always know why I like things.,"To what extent do you agree with each of the following statements? / Select the number that best re...-6) When my emotions are aroused, it biases my thinking.","To what extent do you agree with each of the following statements? / Select the number that best re...-7) Once I've made up my mind, other people can seldom change my opinion.",To what extent do you agree with each of the following statements? / Select the number that best re...-8) I am not a safe driver when I exceed the speed limit.,To what extent do you agree with each of the following statements? / Select the number that best re...-9) I am fully in control of my own fate.,To what extent do you agree with each of the following statements? / Select the number that best re...-10) It's hard for me to shut off a disturbing thought.,To what extent do you agree with each of the following statements? / Select the number that best re...-11) I never regret my decisions.,To what extent do you agree with each of the following statements? / Select the number that best re...-12) I sometimes lose out on things because I can't make up my mind soon enough.,To what extent do you agree with each of the following statements? / Select the number that best re...-13) The reason I vote is because my vote can make a difference.,To what extent do you agree with each of the following statements? / Select the number that best re...-14) My parents were not always fair when they punished me.,To what extent do you agree with each of the following statements? / Select the number that best re...-15) I am a completely rational person.,To what extent do you agree with each of the following statements? / Select the number that best re...-16) I rarely appreciate criticism.,To what extent do you agree with each of the following statements? / Select the number that best re...-17) I am very confident of my judgments.,To what extent do you agree with each of the following statements? / Select the number that best re...-18) I have sometimes doubted my ability as a lover.,To what extent do you agree with each of the following statements? / Select the number that best re...-19) It's all right with my if some people happen to dislike me.,To what extent do you agree with each of the following statements? / Select the number that best re...-20) I don't always know the reasons why I do the things I do.,To what extent do you agree with each of the following statements? / Select the number that best re...-21) I sometimes tell lies if I have to.,To what extent do you agree with each of the following statements? / Select the number that best re...-22) I never cover up my mistakes.,To what extent do you agree with each of the following statements? / Select the number that best re...-23) There have been occasions when I have taken advantage of someone.,To what extent do you agree with each of the following statements? / Select the number that best re...-24) I never swear.,To what extent do you agree with each of the following statements? / Select the number that best re...-25) I sometimes try to get even rather than forgive and forget.,"To what extent do you agree with each of the following statements? / Select the number that best re...-26) I always obey laws, even if I'm unlikely to get caught.",To what extent do you agree with each of the following statements? / Select the number that best re...-27) I have said something bad about a friend behind his or her back.,"To what extent do you agree with each of the following statements? / Select the number that best re...-28) When I hear people talking privately, I avoid listening.",To what extent do you agree with each of the following statements? / Select the number that best re...-29) I have received too much change from a salesperson without telling him or her.,To what extent do you agree with each of the following statements? / Select the number that best re...-30) I always declare everything at customs.,To what extent do you agree with each of the following statements? / Select the number that best re...-31) When I was young I sometimes stole things.,To what extent do you agree with each of the following statements? / Select the number that best re...-32) I have never dropped litter on the street.,To what extent do you agree with each of the following statements? / Select the number that best re...-33) I sometimes drive faster than the speed limit.,To what extent do you agree with each of the following statements? / Select the number that best re...-34) I never read sexy books or magazines.,To what extent do you agree with each of the following statements? / Select the number that best re...-35) I have done things that I don't tell other people about.,To what extent do you agree with each of the following statements? / Select the number that best re...-36) I never take things that don't belong to me.,To what extent do you agree with each of the following statements? / Select the number that best re...-37) I have taken sick-leave from work or school even though I wasn't really sick.,To what extent do you agree with each of the following statements? / Select the number that best re...-38) I have never damaged a library book or store merchandise without reporting it.,To what extent do you agree with each of the following statements? / Select the number that best re...-39) I have some pretty awful habits.,To what extent do you agree with each of the following statements? / Select the number that best re...-40) I don't gossip about other people's business.,Your sex (please select one):,Your sex (please select one):-TEXT,Your age:,Your year in school (please check one),Your year in school (please check one)-TEXT,Are you describing a current relationship or a past relationship / (select one):,Status of your relationship (select one):,Status of your relationship (select one):-TEXT,For how long have you been involved with your partner? Please / indicate the number of years and mo...,Number of months,How exclusive is your relationship? (select one),"About how many days per month do you see your partner, on average?",Do you an your partner live within 60 miles (approximately 97 km) / of each other?,We would like to ask you some questions about the study that you / just completed. If you are uncer...,"Please answer each question. If you are not sure how to answer, / please give your best guess.","Did anything about the study seem strange to you, or was there /  anything you were wondering about?",What was the purpose of the pilot study (administered on paper)?,What was the purpose of the main study (administered on the /  computer)?,"ÿWere the two studies were related in any way? If /  yes, how?",Did completing the pilot study (administered on paper) influence /  your responses on the main stud...,"In the pilot study (administered on paper), did everybody receive /  the same writing prompts? If n...","Please wait quietly for other participants to finish. When everyone / is done, the experimenter wil...",The experiment is now finished. Please wait quietly for further / instructions.,Experimental condition:,Lab,LocationLatitude,LocationLongitude,LocationAccuracy,"0 = include, 1=exclude, 2=maybe"
R_2djeJv2Qk4iLoYu,Default Response Set,Anonymous,,,130.18.193.126,0,9/9/2015 15:35,9/9/2015 16:31,1,120,1,1,1,2,3,4,0,4,0,0,8,1,8,0,0,8,3,3,5,1,5,2,6,5,0,3,2,0,8,2,8,2,0,5,6,0,0,2,1,6,6,8,0,3,3,0,5,3,4,8,0,1,1,4,3,2,3,6,3,4,6,7,4,6,6,7,5,2,5,7,1,4,7,2,1,3,3,2,6,3,3,2,3,1,1,6,3,6,2,6,3,1,7,1,7,7,7,7,6,3,2,,22,3,,1,3,,5,0,1,23,1,1,1,"No, the study was presented well.",To get more detailed personal information about the relationship.,To obtain general information about the relationship.,Both studies were about relationships. The pilot study asked more positive questions while the online assessment asked questions about the stability of the relationship when faced with negative situations. ,"No, I do not feel that it influenced my computer responses.",I'm not sure. It would be interesting to know if a different set of prompts showed a variance in the results of the computerized assessment. ,1,1,1,Social Relations Lab,33.45309448,-88.79319763,-1,0
R_3HB2lUub4X5XnlQ,Default Response Set,Anonymous,,,130.18.193.30,0,9/22/2015 12:49,9/22/2015 13:53,1,126,1,1,1,0,8,8,0,0,0,3,8,0,8,8,0,8,3,8,3,0,8,0,8,0,0,3,0,8,8,5,3,0,0,8,0,0,7,7,3,6,8,8,0,8,7,0,8,0,0,5,0,1,1,8,8,8,0,8,8,8,6,6,6,3,7,4,6,1,7,6,2,2,5,1,6,3,6,3,7,1,3,3,3,7,2,5,1,1,3,5,7,7,7,1,7,7,1,7,4,7,2,,18,1,,1,4,,5,0,1,3,1,1,1,NO,The purpose was to examine how dating partners react to a variety of events.,The purpose of the main study was to find out how and why different partners relate to circumstances.,Yes,No,I do not know what prompt the other person had.,1,1,1,Social Relations Lab,33.45309448,-88.79319763,-1,0
R_3EZ6AnG0ni3TOGS,Default Response Set,Anonymous,,,130.18.193.126,0,10/29/2015 9:56,10/29/2015 10:25,1,177,1,1,1,0,6,4,1,4,0,0,6,0,6,6,3,4,3,3,6,2,6,3,6,5,6,8,1,8,7,6,8,5,0,7,4,3,4,2,6,8,8,8,0,2,7,0,5,7,2,5,0,1,1,8,8,8,1,8,7,8,3,4,3,5,3,3,2,2,2,6,3,3,7,1,5,2,4,7,6,4,6,2,6,1,1,6,7,1,1,6,1,2,7,7,7,6,7,7,7,3,2,,18,1,,1,4,,4,2,1,2,2,1,1,"I wondered about the relevance of the questions pertaining to my integrity (littering, speeding, etc.).",I assume it was to see what I thought about my partner as a person.,To see how I handle situations in my relationship.,I believe so. I would probably handle situations in my relationship differently if I didn't respect who my partner was as a person. ,Not really.,I have no idea if we all got the same prompts or not.,1,1,2,Social Relations Lab,33.45309448,-88.79319763,-1,0
R_2sceYAYQhm1aHYW,Default Response Set,Anonymous,,,130.18.193.30,0,11/4/2015 10:11,11/4/2015 10:35,1,193,1,1,1,3,6,7,4,1,1,4,3,0,6,0,0,7,5,6,6,1,8,5,8,7,0,2,1,0,8,0,8,0,7,7,7,4,5,2,3,8,8,5,1,4,6,1,3,8,1,5,0,1,1,8,8,8,0,8,8,8,3,4,2,3,3,6,6,2,1,7,1,2,5,3,1,5,4,6,5,5,5,2,6,6,6,6,7,1,1,1,3,1,7,1,7,6,6,6,3,1,2,,22,4,,1,5,,4,2,1,20,1,1,1,"i wasn't exactly sure how the questions about lying, speeding, etc. had to do with dating.",To examine how I feel about my partner and think about our future together.,To analyze and see if how I act and treat my partner is different than I act without him,"Yes, they both asked me questions about my relationship and plans for our future together.","Not really, I think my answers would have been the same either way.",I am not sure if everyone received the same paper.,1,1,1,Social Relations Lab,33.45309448,-88.79319763,-1,0
R_wNby2muHD3rmHnP,Default Response Set,Anonymous,,,130.18.193.30,0,11/9/2015 15:18,11/9/2015 15:46,1,200,1,1,1,0,3,3,0,0,0,1,3,7,7,0,0,6,2,5,4,0,0,7,5,1,8,7,0,6,5,0,6,8,0,1,0,7,7,7,0,5,8,8,0,7,7,0,5,0,5,1,0,1,1,8,8,8,0,8,8,8,3,2,5,5,7,6,3,1,7,3,5,2,4,6,7,1,6,4,7,7,4,2,1,1,1,6,2,2,2,2,1,1,6,1,7,6,1,7,2,7,1,,20,1,,1,4,,4,1,1,29,1,1,1,"no, everything was reasonable.",to see our future views on our relationship.,to see how you would react in certain situations.,"yes, because they received your opinion on certain matters in a relationship.",no,yes,1,1,1,Social Relations Lab,33.45309448,-88.79319763,-1,0
R_1dcxAt5hp5MdNct,Default Response Set,Anonymous,,,130.18.193.126,0,9/3/2015 14:13,9/3/2015 14:37,1,111,1,1,1,2,7,5,1,6,0,1,8,0,7,8,1,8,5,4,2,1,7,6,8,5,1,7,2,1,8,6,7,6,0,8,3,4,8,1,3,8,8,8,0,5,6,0,6,3,6,7,0,1,1,8,8,8,1,8,7,7,6,2,2,3,5,4,5,2,5,2,3,2,6,4,6,2,6,3,6,3,3,2,1,2,1,6,6,3,1,3,3,2,5,7,6,6,6,3,3,6,2,,23,5,Graduate Student,1,4,,3,3,1,6,2,1,1,Some of the questions weren't about my dating relationship. It didn't seem strange but it caught my attention. ,The purpose of the pilot study was to aid in generating questions for another study about relationships.  ,The purpose of the main study was to gather information about individuals in relationships.   ,The two studies were related because they were both about relationships. ,The pilot study did not influence my responses on the main study.,,1,1,2,Social Relations Lab ,33.45309448,-88.79319763,-1,0
R_3PWQdVtFUXaikk3,Default Response Set,Anonymous,,,54.174.77.195,0,7/8/2015 14:56,7/8/2015 15:28,1,113,1,1,1,0,6,0,0,0,0,0,4,0,0,0,8,8,2,6,4,0,0,0,0,6,0,6,0,6,0,0,0,6,0,6,0,0,0,8,0,8,8,8,0,0,8,0,8,0,8,8,0,1,1,8,8,8,2,8,8,8,5,3,3,5,4,1,4,6,2,1,4,1,6,6,7,1,7,6,6,3,4,3,3,1,1,6,6,2,2,6,6,5,6,3,6,6,7,7,2,4,2,,24,5,Graduate Student,1,5,,3,6,1,30,1,1,1,"Many of the responses were not at all how I would actually respond.  There seemed to be too many answers that were vindictive in nature.  What if a person reacts rationally?  Also, what does following the law and my driving ability have to do with my relationship?",The pilot study was to help create questionaire items for some research in the future.,The main study was to see how people react to a bunch of different scenarios within a relationship.,"The pilot study focused more on an individual within a relationship functioning as an individual.  The main study seemed to focus on the negative reactions one might feel in a relationship.  They could overlap, but they seemed fairly distinct.",Not at all.,"I was the only person in the room, so I would assume so.",1,1,2,Social Relations Lab,39.04370117,-77.48750305,-1,0
R_1FJ3WyjrXVpxlcl,Default Response Set,Anonymous,,,130.18.193.45,0,10/12/2015 14:37,10/12/2015 15:14,1,147,1,1,1,4,8,8,1,1,0,0,8,0,0,8,8,8,5,6,6,0,8,6,3,0,8,5,2,0,8,0,8,6,0,6,8,6,0,0,8,8,8,8,0,8,4,4,3,8,5,5,4,1,1,8,8,8,0,8,8,8,1,6,3,7,3,7,3,1,1,2,1,2,7,3,7,4,5,7,7,7,7,4,3,1,3,7,7,3,3,5,1,1,7,7,7,7,7,7,5,1,2,,18,1,,1,4,,3,2,1,1,2,1,1,No,To generate structured questionnaire items for research that currently is in the planning stge,To examine how dating partners react to a variety of events,"Yes, both studies asked about your relationship.",No,Yes,1,1,2,Social Relations Lab,33.45309448,-88.79319763,-1,0
R_2rxx9tuIVwVujHN,Default Response Set,Anonymous,,,130.18.193.45,0,10/12/2015 16:05,10/12/2015 16:42,1,148,1,1,1,0,8,6,0,1,0,4,4,0,4,4,1,6,1,4,3,0,0,7,7,7,0,7,0,7,0,3,5,4,0,7,0,0,0,6,0,3,6,7,0,2,6,0,7,0,5,6,0,1,1,8,8,8,0,6,8,8,5,2,6,2,4,2,4,6,5,1,1,2,5,1,6,3,6,6,6,4,4,3,2,2,1,6,6,7,1,7,1,6,7,4,2,7,4,6,1,7,2,,18,1,,1,4,,3,7,1,26,1,1,1,"Yes! The questions about honesty towards the end were very interesting. I chuckled at the question about ""claiming everything at customs"".","The purpose of the pilot study was to obtain information to better formulate questions for the ""real"" study.",The purpose of the main study was to analyze partners' reactions to events that may occur in dating relationships. ,Yes. They both asked questions about relationships with a romantic partner. ,"If anything, the paper study made me think about my partner so I was really able to place his name in the main study and what my true reaction to him would be. ","I am not sure if everyone received the same prompts, but I would assume that some were different so that the researcher can gain a greater scope of results. ",1,1,1,Social Relations Lab,33.45309448,-88.79319763,-1,0
