Author,mimp,sdimp,nimp,mperf,sdperf,nperf
H & A EXPERIMENT 3,4.61,0.84,24,4.06,0.79,24
"ONLINE-Eerland, Sherrill, Magliano, Zwaan",4.15,0.59,130,4.13,0.58,130
Arnal,3.88,0.54,32,4.03,0.57,35
Berger,3.68,0.53,40,3.83,0.54,35
"Birt , Aucoin",3.91,0.63,33,3.83,0.53,33
"Eerland, Sherrill, Magliano,  Zwaan",3.75,0.45,50,3.76,0.56,50
Ferretti,3.98,0.66,43,3.79,0.54,42
Knepp,3.62,0.74,43,3.91,0.66,43
"Kurby, Kibbe",3.94,0.62,60,3.94,0.52,60
Melcher,3.94,0.83,33,3.82,0.65,33
Michael,4.14,0.58,44,4.01,0.56,39
"Poirier, Capezza, Crocker",3.84,0.63,39,3.78,0.62,40
"Prenoveau, Carlucci",3.82,0.6,50,3.79,0.58,50
