,Study name,Subgroup within study,Ego-Depletion Mean ,Ego-Depletion Std-Dev ,Ego-Depletion Sample size ,Control Mean ,Control Std-Dev ,Control Sample size ,Std diff in means,Std Err,Hedges's g,Std Err,Difference in means,Std Err
1,Birt & Muise,English,0.935,0.042,31,0.995,0.006,28,-1.951311157,0.316607448,-1.925522904,0.312423208,-6.00E-02,8.02E-03
12,Calvillo & Mills,English,0.914,0.05,36,0.996,0.006,39,-2.350187864,0.300401992,-2.325959123,0.297305064,-0.082,8.06E-03
8,Carruth & Miyake,English,0.938,0.046,55,0.991,0.011,71,-1.684628982,0.208633962,-1.674419109,0.207369514,-0.053,5.65E-03
10,"Crowell, Finley, & Schmeichel",English,0.939,0.041,34,0.996,0.005,39,-2.021975752,0.288193396,-2.00054138,0.285138343,-5.70E-02,6.61E-03
11,"Evans, Fay & Mosser",English,0.923,0.05,40,0.995,0.008,49,-2.117647059,0.265709588,-2.099338871,0.263412387,-0.072,7.25E-03
3,Francis & Inzlicht,English,0.922,0.047,23,0.991,0.009,27,-2.122993177,0.354381572,-2.089647735,0.348815369,-0.069,9.22E-03
4,"Hagger, Chatzisarantis & Zwienenberg",English,0.922,0.045,46,0.989,0.017,55,-2.040549389,0.246036637,-2.025051545,0.244168005,-6.70E-02,6.56E-03
2,Lau & Brewer,English,0.935,0.04,47,0.995,0.008,52,-2.131452343,0.251897319,-2.114929457,0.249944627,-6.00E-02,5.67E-03
13,"Lynch, vanDellen & Campbell",English,0.939,0.033,42,0.993,0.012,37,-2.12266083,0.281697657,-2.101918217,0.278944911,-0.054,5.74E-03
5,Philipp & Cannon,English,0.943,0.05,38,0.997,0.005,37,-1.509669051,0.26179538,-1.494105452,0.259096458,-0.054,8.26E-03
9,Ringos & Carlucci,English,0.932,0.052,32,0.995,0.007,36,-1.749969312,0.2855615,-1.730007685,0.282304145,-6.30E-02,8.75E-03
16,Brandt,Non-English,0.95,0.036,48,0.989,0.014,54,-1.460561478,0.223179098,-1.449579813,0.22150106,-0.039,5.30E-03
14,"Cheung, Kroese, Fennis, & de Ridder",Non-English,0.964,0.032,89,0.994,0.008,92,-1.295856665,0.163536899,-1.290419504,0.16285073,-0.03,0.00344203
21,Elson,Non-English,0.95,0.04,42,0.996,0.006,48,-1.663479486,0.244981613,-1.649261713,0.242887753,-0.046,5.84E-03
17,"Lange, Heise & Hoemann",Non-English,0.935,0.046,54,0.99,0.014,52,-1.60488268,0.223379884,-1.593281118,0.22176509,-5.50E-02,6.66E-03
20,"Muller, Zerhouni & Batailler ",Non-English,0.901,0.046,32,0.995,0.005,46,-3.172512751,0.342793403,-3.141101734,0.339399409,-0.094,6.82E-03
22,"Otgaar, Martijn, Alberts, Michirev, Merckelbach & Howe",Non-English,0.949,0.04,25,0.992,0.008,44,-1.735043563,0.29076037,-1.715548692,0.2874934,-0.043,6.21E-03
6,"Rentzsch, Nalis & Schütz",Non-English,0.949,0.034,51,0.994,0.008,52,-1.830124251,0.234728814,-1.816500498,0.232981453,-0.045,4.85E-03
7,"Schlinkert, Schrama & Koole",Non-English,0.96,0.035,36,0.991,0.011,43,-1.242170047,0.246575199,-1.230031577,0.244165669,-0.031,5.64E-03
15,"Stamos, Bruyneel & Dewitte",Non-English,0.955,0.033,43,0.994,0.007,50,-1.695652174,0.242309871,-1.68163852,0.24030731,-0.039,4.78E-03
18,"Ullrich, Primoceri & Schoch",Non-English,0.952,0.027,50,0.993,0.007,53,-2.106303681,0.245773078,-2.090624001,0.243943502,-0.041,3.84E-03
23,"Wolff, Muzi & Brand",Non-English,0.93,0.05,38,0.99,0.01,49,-1.773390155,0.254554834,-1.757696437,0.252302136,-6.00E-02,7.31E-03
19,"Yusainy, Wimbarti, Nurwanti & Anggono",Non-English,0.958,0.034,82,0.995,0.007,74,-1.472651254,0.180719679,-1.46546759,0.17983812,-0.037,4.03E-03
