Study,Study name,Subgroup within study,Ego-Depletion Mean ,Ego-Depletion Std-Dev ,Ego-Depletion Sample size ,Control Mean ,Control Std-Dev ,Control Sample size ,Std diff in means,Std Err,Hedges's g,Std Err,Difference in means,Std Err
0,Sripada et al. (2014),English,0.955,0.158,23,0.913,0.131,24,,,,,,
1,Birt & Muise,English,0.982,0.139,31,0.939,0.109,28,0.342124393,0.262610532,0.337602926,0.259139909,0.043,3.28E-02
12,Calvillo & Mills,English,1.015,0.136,36,0.962,0.154,39,0.363891708,0.233027004,0.360140247,0.230624664,5.30E-02,0.033662843
8,Carruth & Miyake,English,0.972,0.143,55,0.969,0.144,71,2.09E-02,0.179633121,2.08E-02,0.178544435,0.003,2.58E-02
10,"Crowell, Finley & Schmeichel",English,0.955,0.143,34,0.957,0.128,39,-1.48E-02,0.234636505,-1.46E-02,0.232149193,-0.002,3.17E-02
11,"Evans, Fay & Mosser",English,0.967,0.146,40,1.029,0.148,49,-0.421462471,0.215420723,-0.417818703,0.213558296,-6.20E-02,3.13E-02
3,Francis & Inzlicht,English,0.86,0.127,23,0.909,0.153,27,-0.345857462,0.285852185,-0.340425146,0.28136236,-0.049,4.02E-02
4,"Hagger, Chatzisarantis & Zweinenberg",English,0.93,0.134,46,0.95,0.13,55,-0.151706822,0.200087191,-0.150554618,0.198567542,-2.00E-02,2.63E-02
2,Lau & Brewer,English,0.969,0.144,47,0.927,0.131,52,0.305858356,0.202434771,0.303487361,0.200865509,4.20E-02,2.76E-02
13,"Lynch, vanDellen & Campbell",English,0.954,0.15,42,0.884,0.137,37,0.485881108,0.228759111,0.481133084,0.22652368,0.07,3.25E-02
5,Philipp & Cannon,English,0.951,0.164,38,0.973,0.133,37,-0.147139707,0.231272892,-0.145622803,0.228888635,-0.022,3.45E-02
9,Ringos & Carlucci,English,0.994,0.155,32,0.929,0.144,36,-1.749969312,0.2855615,-1.730007685,0.282304145,-6.30E-02,8.75E-03
16,Brandt,Non-English,0.883,0.128,48,0.891,0.126,54,-0.063019952,0.198422076,-6.25E-02,0.19693018,-8.00E-03,2.52E-02
14,"Cheung, Kroese, Fennis & de Ridder",Non-English,0.964,0.131,89,0.943,0.129,92,0.16155451,0.148921521,0.160876659,0.148296675,0.021,1.93E-02
21,Elson,Non-English,0.96,0.135,42,0.947,0.15,48,9.08E-02,0.211396874,9.00E-02,0.209590063,0.013,3.03E-02
17,"Lange, Heise & Hoemann",Non-English,0.881,0.097,54,0.902,0.145,52,-0.170865549,0.194645833,-0.169630376,0.193238754,-0.021,0.023879167
20,"Muller, Zerhouni & Batailler",Non-English,1.037,0.131,32,1.089,0.138,46,-0.384648064,0.2322446,-0.380839667,0.229945149,-0.052,3.11E-02
22,"Otgaar, Martijn, Alberts, Michirev, Merckelbach & Howe",Non-English,0.861,0.12,25,0.931,0.141,44,-0.522946709,0.254379565,-0.517070903,0.251521368,-7.00E-02,3.35E-02
6,"Rentzsch, Nalis & Schütz",Non-English,0.878,0.091,51,0.882,0.113,52,-3.89E-02,0.197093826,-3.87E-02,0.195626627,-0.004,2.02E-02
7,"Schlinkert, Schrama & Koole",Non-English,0.929,0.139,36,0.922,0.124,43,5.34E-02,0.225946132,5.29E-02,0.22373819,7.00E-03,2.96E-02
15,"Stamos, Bruyneel & Dewitte",Non-English,0.943,0.151,43,0.939,0.142,50,2.74E-02,0.207989993,2.71E-02,0.206271067,0.004,0.030411443
18,"Ullrich, Primoceri & Schoch",Non-English,0.897,0.119,50,0.886,0.113,53,0.094868745,0.19726027,9.42E-02,0.195791832,0.011,2.29E-02
23,"Wolff, Muzi & Brand",Non-English,0.97,0.12,38,0.92,0.12,49,0.416666667,0.21845301,0.412979351,0.216519798,5.00E-02,2.59E-02
19,"Yusainy, Wimbarti, Nurwanti & Anggono",Non-English,0.908,0.132,82,0.89,0.133,74,0.135874727,0.160523545,0.135211924,0.159740503,0.018,2.12E-02
