V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_10wn8phTxQp03uT,Default Response Set,Anonymous,,,195.221.44.2,0,9/10/15 15:23,9/10/15 15:44,1,1,1,0,0,61.458,0,1,200,1,0,0,13.1,0,,,,,,,1,9,5,Car je pense que les autres participants auront fait de m̻me.,1,5,8,9,4,6,7,8,5,4,6,7,4,6,9,1,5,5,4,6,4,3,5,8,4,5,4,2,5,5,5,3,3,1,15,1,0,2,1,4,2,1,3,1,2,"Je pense que cette ̩tude  cherche �� d̩montrer qu'une personne ayant une ""haute"" estime de ses comp̩tences et cherchant �� ̻tre plus performant que les autres est une personne qui ne donnera pas la totalit̩ de sa cagnotte afin de s'assurer d'avoir une r̩compense �� la fin; par manque de confiance en l'autre.",Non,2,2,2,2,75,2,"France, Grenoble",1,45.17149353,5.722396851,-1
R_12fklv00q4jmm2R,Default Response Set,Anonymous,,,195.221.44.4,0,9/11/15 12:51,9/11/15 13:21,1,1,1,0,0,132.671,0,1,,,,,,,0,1,0,0,24.98,0,1,9,1,J'ai vis̩ la somme la plus ̩lev̩e que je pouvais avoir pour moi-m̻me.,1,7,6,9,9,9,6,5,5,2,5,3,2,1,1,3,8,3,8,7,5,9,7,6,9,5,4,8,5,9,9,4,9,1,0,2,0,1,5,5,2,1,3,1,2,"L'̩tude actuelle tente de montrer si on privil̩gie notre int̩r̻t personnel ou plut̫t celui du groupe, l'int̩r̻t commun.",J'ai un doute sur le montant de la somme d'argent si on ne mise rien.,6,6,6,6,75,2,"France, Haute-Savoie",0,45.17149353,5.722396851,-1
R_1CkFqgjn89iTOuw,Default Response Set,Anonymous,,,195.221.44.4,0,9/14/15 09:04,9/14/15 09:28,1,1,1,9.997,29.903,67.841,2,1,,,,,,,0,1,0,0,43.528,0,1,9,1,pour gagner le plus d'argent,1,2,2,9,9,3,4,4,6,6,9,6,8,8,6,2,2,6,7,7,6,2,5,7,2,9,8,9,4,9,6,9,9,1,15,3,0,5,1,1,2,1,2,1,2,Je pense que l'̩tude essaie de montrer dans quelle mesure les gens sont pr̬s �� se montrer g̩n̩reux ou pas.  / Je ne sais pas comment elle tente de le montrer,Je pense que les personnes pr̩sentent dans la salle n'int̩ragissaient pas r̩ellement avec moi.,9,6,9,5,74,2,France 38130,0,45.17149353,5.722396851,-1
R_1db69InFItP3w6g,Default Response Set,Anonymous,,,195.221.44.27,0,9/10/15 11:00,9/10/15 11:39,1,1,1,0,0,81.165,0,1,,,,,,,400,1,0,0,32.335,0,1,9,1,"J'ai choisis ce montant car comme dit pr̩c̩dement, si je garde mes 4 euros et que les autres participants donnent leurs 4 euros, j'obtiendrais 10 euros.",1,7,4,9,8,9,4,7,6,6,2,6,2,1,2,2,9,8,7,9,9,8,8,8,6,7,7,8,7,4,5,5,7,1,0,0,0,0,6,8,2,3,3,1,2,"L'̩tude est sur la prise de d̩cisions, d'abord sur le point o�_ nous devons choisir une somme d'argent, dans l'interet du groupe et dans notre propre interet, puis nous r̩pondons �� quelques questions pour voir nos moyens de prendre partit �� une situation de la vie de tout les jours, �� des sentiments envers la soci̩t̩ etc.",non,6,2,7,9,77,2,"France, 38",2,45.17149353,5.722396851,-1
R_1ddgO4kZqaTIn0z,Default Response Set,Anonymous,,,195.221.44.17,0,9/10/15 15:06,9/10/15 15:43,1,1,1,0,0,82.703,0,1,0,1,0,0,19.754,0,,,,,,,1,9,1,J'ai choisi d'allouer ce montant �� cause du manque de temps et en pensant que si les autres feraient le contraire cela serait b̩n̩fique pour moi.,1,7,2,8,7,6,3,4,8,6,4,5,4,2,5,2,6,7,8,7,8,7,6,8,9,6,6,7,4,6,4,2,7,1,0,0,0,0,7,8,3,3,1,2,2,"Je pense que cette ̩tude essaye de montrer si l'individualisme ̩volue dans la solci̩t̩ et si oui dans quel sens. Pour moi, elle tente de le montrer gr̢ce �� l'opinion d'inconnus choisis au hasard sur les autres et sur eux-m̻mes.",non,5,4,4,5,77,2,Voiron (Is̬re) FRANCE,4,45.17149353,5.722396851,-1
R_1DN2sEIAb1JZ5z7,Default Response Set,Anonymous,,,195.221.44.24,0,9/10/15 16:33,9/10/15 16:57,1,1,1,14.325,14.674,46.135,2,1,40,1,0,0,9.381,0,,,,,,,1,9,1,"J'ai choisi de donner peu pour maximiser mon b̩n̩fice personnel.  / J'ai donn̩ 40 centimes plut̫t que z̩ro par ce que je voulais voir ce que ̤a faisait de participer, et que je me serais senti tr̬s ̩go��ste si je n'avais strictement rien donn̩.",1,9,5,9,8,7,7,9,8,2,5,2,1,1,6,6,2,9,7,8,9,9,8,8,7,1,1,7,2,1,1,5,1,1,5,1,0,1,7,8,3,2,3,2,1,Quelle est notre tendance �� ̻tre altruiste/non altruiste. Surement un peu plus loin que ̤a mais j'ai la flemme de r̩fl̩chir^^,non,5,3,2,4,75,1,"France, St julien de l'herms (38)",2,45.17149353,5.722396851,-1
R_1dnpWkHtxVMzNkz,Default Response Set,Anonymous,,,195.221.44.2,0,9/11/15 12:50,9/11/15 13:24,1,1,1,0,0,89.078,0,1,400,1,7.774,7.774,9.901,1,,,,,,,1,9,1,"J'ai d̩cid̩ de verser l'int̩gralit̩ de ma cagnotte personnelle car je fais confiance au bon sens des autres participants. Il me semble en effet plus profitable que tout le monde obtienne 8���, ainsi personne ne sera l̩s̩.",1,8,9,9,9,8,6,8,9,8,8,8,9,8,8,8,1,6,1,8,8,5,8,8,7,3,3,4,6,6,7,7,6,1,0,0,0,0,6,8,3,3,2,1,2,"Selon moi, cette ̩tude vise �� identifier les facteurs pris en compte par un individu lors d'une prise de d̩cision, ici en l'occurrence une d̩cision �� propos d'argent. Le fait d'̻tre avec un groupe d'individus inconnus aide la prise de d̩cision, car elle est plus objective.  / Il est ̩galement possible de trouver certaines contradictions entre la prise de d̩cisions d'un individu et les r̩ponses qu'il aura pu donner lors des s̩ries de questions.",Non,5,2,4,6,74,1,"Berre l'Etang, France",1,45.17149353,5.722396851,-1
R_1Eb3BXTkNB6rkxz,Default Response Set,Anonymous,,,195.221.44.25,0,9/10/15 15:06,9/10/15 15:57,1,1,1,11.081,104.309,108.114,4,1,,,,,,,400,1,0,0,40.88,0,1,9,1,"J'ai choisie le montant en pensant en premier temps �� l'int̩r̻t de l'ensemble du groupe. Je l'ai ̩galement choisi par rapport �� mes propres valeurs qui me conduirait, dans un choix contraire, �� un sentiment de culpabilit̩ vis �� vis des autres personnes du groupe.",1,8,3,9,8,8,5,8,9,5,1,3,1,5,5,1,5,9,2,8,9,9,8,9,6,1,1,6,7,1,2,1,7,1,0,0,0,0,5,8,3,2,3,2,2,Je pense que cette ̩tude tente de montrer l'importance du groupe et d'autrui pour chaque individu et le niveau de confiance entre ̻tre humain. Je pense que cette ̩tude essaye de le montrer par le comportement des individus face �� l'argent et le collectif.,j'ai eu des doutes quant �� la r̩alit̩ de la remise d'argent en fonction des d̩cisions de l'ensemble du groupe.,5,2,2,5,77,2,69600,0,45.17149353,5.722396851,-1
R_1ergCYvcZuJKfT2,Default Response Set,Anonymous,,,195.221.44.17,0,9/9/15 09:10,9/9/15 09:43,1,1,1,16.528,90.694,94.716,6,1,376,1,0,0,13.27,0,,,,,,,1,9,1,"J'ai choisi ce montant parce qu'ainsi tout le groupe b̩n̩ficiera de cet argent, je trouve cela plus juste.",1,9,9,8,8,7,3,5,8,9,9,6,3,5,9,9,2,7,5,9,9,6,8,8,8,4,6,8,7,2,2,4,7,1,2,2,0,0,3,8,3,2,1,1,2,"J'imagine que le but de cette ̩tude est de voir si lorsque des personnes sont dans leur intimit̩ et qu'elles peuvent plus ou moins choisir le montant qu'elles peuvent gagner, elles d̩cident de partager ou de garder un maximum d'argent. De plus, elle permet gr̢ce aux questions d'en savoir plus sur le mode de fonctionnement de ces personnes.",Non.,3,6,2,4,77,2,"France, Grenoble (38)",4,45.17149353,5.722396851,-1
