V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_1,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0IN9gMiwRmS2PQt,Default Response Set,Anonymous,,,130.115.213.137,0,10/28/2015 13:55,10/28/2015 14:19,1,1,1,0,0,98.788,0,1,160,1,0,0,18.313,0,,,,,,,1,9,5,"Tijdsdruk, niet lang nagedacht over welk bedrag.",1,8,6,8,7,7,7,7,7,4,6,4,6,2,7,5,6,7,6,8,8,4,6,3,6,5,4,5,6,2,4,2,3,1,0,0,1,0,4,6,2,3,3,1,2,Het aantonen van eigen belang versus belang van de/een groep.,geen,3,5,2,2,75,2,Schiedam,0,51.91670227,4.5,-1
R_115XnUuIVhmcmSX,Default Response Set,Anonymous,,,130.115.213.102,0,10/28/2015 13:55,10/28/2015 14:12,1,1,1,0,0,50.012,0,1,250,1,0,0,13.682,0,,,,,,,1,9,1,Het bedrag dat ik heb gekozen is 250 cent. Dit gedrag heb ik gekozen omdat dat net iets hoger is dan gemiddeld.,1,8,6,8,8,7,6,5,6,5,5,5,3,3,5,6,7,7,4,6,7,4,5,7,6,5,2,7,8,4,7,3,3,1,3,1,1,0,3,7,3,1,3,1,2,"Ik denk dat de studie probeert aan te tonen hoe veel vertrouwen je hebt in vreemden. Als je 0 cent had gekozen, betekent dit dat je geen vertrouwen hebt in vreemden. Als je echter voor 400 cent kiest, heb je dit juist heel erg. ",Geen,5,4,4,3,78,2,Honselersdijk in Nederland,4,51.91670227,4.5,-1
R_11gSrXUOqeGaXmA,Default Response Set,Anonymous,,,130.115.213.135,0,1/29/2016 13:31,1/29/2016 14:11,1,1,1,0,0,22.559,0,1,0,1,4.988,4.988,11.491,1,,,,,,,1,5,1,"since i think if i don not contribute any cent, i can earn 8 euro, while if i contribute 4 euro, maybe i will lose all of it even though maybe i can earn up 10 10, so i still think keep this 8 euro is best choice for me",1,4,4,7,6,4,6,6,7,4,5,5,6,6,6,7,5,7,6,6,6,4,5,5,5,6,4,7,3,6,5,7,5,1,0,0,0,0,5,7,3,3,3,1,2,about decision making when people have group work with others,no,3,4,2,4,74,2,china,8,51.92250061,4.479202271,-1
R_12LPwbrFX7s3FRj,Default Response Set,Anonymous,,,130.115.213.78,0,1/21/2016 11:55,1/21/2016 12:27,1,1,1,87.887,136.077,149.466,4,1,,,,,,,400,1,6.208,15.175,40.529,4,1,9,1,"ik zag dat de proefpersonen voornamelijk meisjes waren, en het klinkt misschien heel stom maar ik denk dat meisjes eerder willen samenwerken. met andere woorden: ik heb het gevoel dat de rest ook geld heeft ingezet. ook van de andere deelnemers denk ik dat ze wel willen samenwerken zodat de hele groep maximaal krijgt uitbetaald, dus ik denk eigenlijk dat iedereen hetzelfde als mij denkt.",1,9,9,8,6,5,9,6,5,3,4,4,6,4,6,3,9,7,9,9,9,7,7,4,6,4,5,7,7,5,5,7,1,1,3,1,0,1,5,4,3,1,3,1,2,prisoners dilemma en dan onderzoeken wat daar allemaal invloed op heeft (door  middel van de vragen),ik heb het gevoel dat de onderzoekers random bedragen aan iedereen gaan geven.. volgens mij doet iedereen indiviueel mee en is er geen sprake van groepjes van 3 proefpersonen.of misschien hangt het berdag dat we gaan krijgen af van de vragen die wij net hebben beantwoord (dus de vragen over hoe veel je vreemden vertrouwt etc),7,3,3,2,77,2,Ankara (Turkije),0,51.92250061,4.479202271,-1
R_12MeKVmGlQDLI2J,Default Response Set,Anonymous,,,130.115.213.102,0,1/29/2016 11:53,1/29/2016 12:17,1,1,1,0,0,70.941,0,1,316,1,10.722,17.749,18.84,3,,,,,,,1,9,1,"Its good if all pay the 4 euros because ill earn more, but if we all do less I still earn something",1,7,9,9,9,5,9,9,8,5,8,4,7,4,8,9,4,9,6,7,8,3,6,7,8,1,3,4,3,4,3,4,6,3,2,3,0,1,4,7,2,2,2,2,2,"I feel decieved and not sure about the money , the last few questions got me suspicious about it.",The first money and group thing is irrelevant,9,7,9,7,75,1,Blumenau - Santa Catarina- Brazil,0,51.92250061,4.479202271,-1
R_1CrulJXJZyc4G4Q,Default Response Set,Anonymous,,,130.115.213.133,0,11/17/2015 11:55,11/17/2015 12:22,1,1,1,0,0,85.991,0,1,,,,,,,290,1,17.403,17.403,19.406,1,1,9,9,Because I want to keep myself first priority because there might be other people who are not contributing at all. ,1,8,4,6,5,4,9,7,4,3,2,2,1,2,6,1,5,5,6,5,8,7,8,7,8,7,9,8,7,6,6,9,5,1,0,0,0,0,6,7,3,1,3,1,2,"The present study tried to show how each person would make a decision interacting toward others by using the contributing to wipe out all the previous experience, so that every answer would be more true to self. I think the result might be shown in the comparison of the amount of contributing and decision making test score. ",no,2,4,9,6,77,2,"Ayutthaya, Thailand ",2,51.91670227,4.5,-1
R_1dGP1bG36GjsI3M,Default Response Set,Anonymous,,,130.115.213.67,0,12/14/2015 14:10,12/14/2015 14:35,1,1,1,0,0,113.244,0,1,,,,,,,200,1,10.426,10.426,13.283,1,1,9,1,"Zodat ik niet door een egoistisch iemand het minst verdien, maar ik ook zelf niet egoistisch wil zijn en dus maar voor de helft heb gekozen",1,5,5,7,7,7,7,7,7,9,7,6,7,6,7,5,5,8,7,8,9,5,8,6,7,6,4,2,8,6,9,7,5,2,2,0,0,2,7,8,1,3,3,2,2,"Hoe het gedrag van mensen afhangt, door wat ze er voor kunnen krijgen of verliezen",geen,6,2,6,2,78,2,Nieuw Vossemeer,2,51.91670227,4.5,-1
R_1DIvs34vTETcvP0,Default Response Set,Anonymous,,,130.115.213.139,0,11/17/2015 13:50,11/17/2015 14:13,1,1,1,0,0,114.925,0,1,102,1,11.817,11.817,16.943,1,,,,,,,1,9,1,Ik denk dat de andere personen meer zullen bijdragen en ik er dus zelf meer van profijt. / ,1,8,4,8,7,8,6,6,7,7,7,6,7,7,7,7,4,8,8,9,7,5,7,7,7,8,5,3,3,6,8,6,8,1,5,0,2,0,7,9,1,2,1,2,1,samenhang tussen persoonlijkheid en het al dan niet bijdragen aan groep / ,twijfels over doel van de studie,9,6,6,6,75,2,"Borssele, Nederland",0,51.91670227,4.5,-1
R_1divs8J78GH1VRJ,Default Response Set,Anonymous,,,130.115.213.127,0,1/29/2016 12:48,1/29/2016 13:15,1,1,1,0,0,73.614,0,1,400,1,7.122,7.122,12.483,1,,,,,,,1,9,1,I have nothing to lose. When I decided to participate I did it for the 4 euros only and I will receive them nevertheless. So any extra euros will only be a plus.,1,9,6,9,1,9,9,4,9,6,1,6,1,1,1,1,9,9,8,7,9,5,6,5,5,1,1,5,3,1,7,1,2,3,0,8,1,3,9,9,1,2,1,2,2,That if we have higher trust in people we would be willing to sacrifice more for the group.,no,9,4,4,6,75,2,rozenburg - the netherlands,0,51.92250061,4.479202271,-1
R_1eLbD2ljDRlF7Cd,Default Response Set,Anonymous,,,130.115.213.126,0,12/7/2015 12:08,12/7/2015 12:31,1,1,1,0,0,78.445,0,1,,,,,,,239,1,19.496,19.496,21.148,1,1,9,1,in order to make the balance individual/group,1,8,3,9,9,8,9,9,7,1,5,2,1,2,3,9,1,7,9,9,7,6,9,8,8,9,7,8,3,5,3,9,7,1,3,0,0,0,3,7,3,3,2,1,2,"In my opinion it was a study of intragroup process (deindividuation), trying to show how much we are ready to give to the group without actually knowing who are we",I really hope it is not a deception of any kind :D,6,5,5,4,75,1,"Burgas, Burlgaria",0,51.91670227,4.5,-1
R_1eWscWTc8Wd0Y69,Default Response Set,Anonymous,,,130.115.213.83,0,12/14/2015 14:10,12/14/2015 14:30,1,1,1,0,0,92.198,0,1,160,1,9.342,9.342,10.733,1,,,,,,,1,9,1,Om mijn winst te verzekeren en door tijdsnood.,1,4,3,9,5,9,3,3,7,2,2,2,7,2,5,1,1,8,5,8,8,6,5,8,8,1,2,7,6,6,2,3,1,1,1,0,0,0,6,8,3,2,2,2,2,Hoe het prisoners dilemma invloed heeft op je gift aan het project en hoe persoonlijkheid hier invloed op heeft?,het eigen belang t.o.v. het groepsbelang,4,2,7,3,78,1,'s-Gravendeel,2,51.91670227,4.5,-1
R_1eWV8vKWBcNEPuL,Default Response Set,Anonymous,,,130.115.213.131,0,10/28/2015 13:56,10/28/2015 14:22,1,1,1,0,0,88.273,0,1,,,,,,,324,1,0,0,24.009,0,1,9,9,it was the highest amount of money thus when it is contributed everybody earns the highest amount of money,1,8,4,9,4,9,6,8,7,6,6,6,3,3,4,4,6,9,6,7,7,7,7,7,7,5,6,7,7,5,6,5,8,1,1,0,0,0,6,8,3,1,2,1,2,I think the present study wanted to test to which extent people act egoistic by keeping all the money for them. ,I doubt that I really got the purpose of the story,5,3,9,2,77,2,"Germany, Sersheim",2,51.91670227,4.5,-1
R_1EYRHIYXKHzaJ2r,Default Response Set,Anonymous,,,130.115.213.82,0,12/14/2015 14:10,12/14/2015 14:31,1,1,1,0,0,52.784,0,1,148,1,10.649,10.649,16.182,1,,,,,,,1,9,1,Een onderzoek naar het maken van beslissingen leek me interessant.,1,7,5,8,5,5,4,5,4,7,7,5,4,2,5,5,5,6,7,5,5,6,7,5,5,2,4,5,4,4,4,3,5,1,4,0,2,0,5,7,3,3,3,1,2,Kijken naar hoe mensen beslissingen nemen als er een beloning op het spel staat en er vreemden meedoen.,geen,2,4,9,2,78,2,"Rotterdam, Nederland",1,51.91670227,4.5,-1
R_1FzZalEZgo210As,Default Response Set,Anonymous,,,130.115.213.80,0,1/21/2016 12:35,1/21/2016 13:02,1,1,1,0,0,56.486,0,1,,,,,,,100,1,19.451,28.754,29.154,3,1,9,1,because I thought other people will not also be willing to contribute as not contributing gives highest payoff,1,7,8,8,8,8,9,9,8,3,8,3,7,2,7,7,5,8,7,9,7,8,6,8,8,2,4,9,3,7,2,5,9,3,2,4,0,4,3,8,2,3,1,1,2,how do we trust strangers,no,9,7,9,7,77,2,"Gdynia, Poland",0,51.92250061,4.479202271,-1
R_1gIuqQPSQyYFVG3,Default Response Set,Anonymous,,,130.115.213.78,0,1/21/2016 12:35,1/21/2016 13:01,1,1,1,0,0,71.092,0,1,,,,,,,200,1,23.343,23.343,40.188,1,1,9,1,One can never be sure the others truly understand the task. They may not spend any money thinking they will get a higher payoff,1,5,6,8,6,9,6,8,6,7,8,7,8,6,8,8,2,6,5,5,6,3,8,6,5,4,2,2,4,7,3,4,8,3,10,10,0,4,3,3,2,3,3,1,2,Game theory principles by allocating the money,"Yes, it's an experiment after all",2,5,5,6,74,2,Spain,1,51.92250061,4.479202271,-1
