V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0UO7cYPgQ9LKUJH,Default Response Set,Anonymous,,,158.94.83.105,0,1/26/16 11:04,1/26/16 11:54,1,1,1,0,0,125.781,0,1,240,1,10.605,10.605,12.058,1,,,,,,,1,9,1,"In my opinion, earnings have to be divided in some groups: first, you handle for yourself around 10 to 20% as a saving, than you take 10-20% into your own use. The other amount wich is left have to work on you, and can be invested into anything which could contribute earnings.",1,9,2,6,7,5,9,9,4,2,2,3,2,7,6,7,5,7,6,8,8,7,8,8,7,2,6,5,9,6,1,8,5,3,0,0,0,0,3,6,3,1,2,1,2,I believe that studies is made to undestand the capability of people to deal with each other in case to contribute together to one goal,"no doubts, I believe that this study is useful for future society development",4,2,7,9,75,1,Republic of Moldova,1,51.6000061,-0.216705322,-1
R_10MAUpPANgZaQsB,Default Response Set,Anonymous,,,158.94.83.72,0,1/26/16 11:03,1/26/16 11:54,1,1,1,0,0,65.849,0,1,,,,,,,14,1,12.791,27.42,28.554,2,1,9,1,I would like to share the amount equally,1,6,7,9,8,6,3,4,7,6,2,8,4,1,5,1,2,8,7,5,9,8,9,2,5,3,1,3,6,6,4,4,9,1,2,2,0,0,3,5,3,3,3,2,2,It was mainly trying to understand what you think about competitive scenarios and how you deal with those. Probably also mesuring your interaction with other people and understand the correlation bettween not trusting people and being too competitive.,I guess I didn't understand the first task about sharing the money.,2,4,2,4,70,2,"Rio de Janeiro, BR",0,51.6000061,-0.216705322,-1
R_10qPpEHKlmL41Em,Default Response Set,Anonymous,,,158.94.100.167,0,1/26/16 15:53,1/26/16 16:44,1,1,1,0,0,76.537,0,1,,,,,,,100,1,33.356,41.513,43.785,2,1,9,1,I chose 100p as it was 1/4 of my total earnings for the interaction. By investing this amount into the group i am allowing room for my investment to grow whilst also considering the risks of investing. I am keeping the majority of my earnings to myself as I will not take the risk of contributing too much when other members of my team may contribute nothing. Therefore I have the chance of earning more money whilst also contributing to the group without risking losing all of my earnings.,1,9,7,9,8,9,8,9,8,8,7,3,6,9,9,4,1,7,6,9,7,8,7,6,6,1,6,2,4,5,4,3,3,1,0,0,0,0,2,8,2,3,2,1,2,This study was an attempt at correlating risk taking behaviours with economical activity. It was trying to understand how an individual's personality links to their financial decisions. I am unsure what it was trying to prove. ,"There are underlying psychological tests in this study. Although this study was presented as an 'economics' experiment, There is evidence of psychological analysis in the questions.",5,3,5,3,76,1,"London, UK",1,51.6000061,-0.216705322,-1
R_1cREXGo9FX3KgYO,Default Response Set,Anonymous,,,158.94.112.139,0,1/25/16 17:24,1/25/16 17:52,1,1,1,0,0,48.272,0,1,,,,,,,330,1,7.357,13.326,14.144,2,1,9,8,Because as a team we need to contribute as much as we can / ,1,7,8,9,7,9,8,9,7,9,7,9,9,9,9,9,1,5,2,6,8,5,5,9,5,9,9,9,6,8,9,9,9,5,2,2,0,0,5,10,3,1,2,1,2,To test our decision making process and the decison we made ,no,7,5,5,5,75,1,Malaysia ,0,51.47470093,-0.155502319,-1
R_1eFDupJIjQcLSsH,Default Response Set,Anonymous,,,158.94.100.166,0,1/26/16 15:12,1/26/16 15:42,1,1,1,0,0,69.673,0,1,381,1,9.842,9.842,11.681,1,,,,,,,1,8,2,this amount is the most fair in my opinion to everyone ,1,8,7,8,7,5,9,7,6,8,9,5,7,2,4,8,5,9,8,9,8,9,7,5,8,1,9,8,7,7,8,7,8,3,0,0,0,2,8,7,3,3,3,2,2,"I think it's about how people can interract, how can we thrust others, what is perspective to different people in view of they family and friends thrust .",no,5,3,6,4,77,1,Poland,0,51.6000061,-0.216705322,-1
R_1EWFSK9N9470KkZ,Default Response Set,Anonymous,,,158.94.110.143,0,1/26/16 13:55,1/26/16 14:34,1,1,1,0,0,46.188,0,1,400,1,4.284,4.284,5.924,1,,,,,,,1,9,1,Hopefully everyone else would have contributed the full amount so we all benefit equally rather than one or more people taking it for themselves.,1,7,3,9,7,8,5,7,5,7,3,8,5,4,3,7,6,8,7,8,8,5,9,8,5,4,2,5,5,2,7,3,7,3,1,1,0,1,8,5,1,1,1,1,2,Whether people will act for the good of the group and how they feel about being part of a group/social circle or whether they would act to benefit themselves because they either don't trust strangers or because they think more about themselves than others.,No,7,2,5,5,78,1,"Hertfordshire, England",1,51.5144043,-0.094100952,-1
R_1F2Pz8i5BLKamKB,Default Response Set,Anonymous,,,158.94.84.146,0,1/26/16 11:05,1/26/16 11:49,1,1,1,0,0,61.855,0,1,,,,,,,80,1,12.839,19.897,21.504,2,1,9,1,"As some contribution will double, but it's not too much to lose out on. ",1,9,6,9,8,7,9,7,8,3,9,3,6,3,7,5,6,6,7,9,9,9,9,7,3,3,1,2,4,2,2,6,9,3,3,3,0,0,7,8,2,2,3,2,2,People's perception of right and wrong involve instant gratification for themselves.,no.,2,6,2,6,76,2,Felxistowe (Norwich closest city),1,51.5144043,-0.094100952,-1
R_1GvRRC34dsbAZDy,Default Response Set,Anonymous,,,158.94.113.40,0,1/25/16 16:12,1/25/16 16:53,1,1,1,0,0,118.031,0,1,0,1,10.071,28.135,29.587,2,,,,,,,1,9,1,i dont know the other people,1,6,6,7,5,6,7,5,6,6,2,5,2,3,5,2,2,4,5,5,4,3,5,3,5,4,7,3,6,4,6,7,3,1,0,1,0,0,4,4,3,3,1,2,2,how much you trust strangers when it comes to money,I was unsure how much other people would put into money wise,2,6,3,3,66,1,London UK,0,51.58430481,-0.072998047,-1
R_1H8orFsC002L8sC,Default Response Set,Anonymous,,,158.94.109.55,0,1/25/16 17:11,1/25/16 17:57,1,1,1,0,0,81.55,0,1,,,,,,,400,1,14.948,14.948,16.335,1,1,9,1,"I want to be fair so that everyone in the group receives an equal amount of money. Of course, I am relying on others' fairness here which might prove to be a mistake, but I acted upon my personal judgement and moral code.",1,8,2,7,9,6,8,6,8,6,7,5,7,1,4,6,4,3,1,2,7,6,6,6,5,1,2,1,3,5,4,4,5,4,2,2,0,0,3,6,2,3,3,1,2,It is trying to find out whether the majority of people would cooperate with their team members to everyone's advantage or would solely look out for themselves and abandon everyone else if they had the chance.,No,6,9,7,9,74,2,"Sofia, Bulgaria",1,51.6000061,-0.116699219,-1
