V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_1,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0MwfEbs7jybmxfH,Default Response Set,Anonymous,,,137.56.138.85,0,10/5/15 10:45,10/5/15 11:19,1,1,1,0,0,87.145,0,1,275,1,0,0,9.989,0,,,,,,,1,9,1,"wanneer iedereen het hoogste bedrag inzet, wordt dit verdubbeld en krijgt iedereen het hoogste bedrag dat gedeeld wordt terug. Wanneer je zelf geen bedrag inlegt, heb je geen persoonlijk verlies en dus heb je de hoogste uitbetaling.",1,7,6,8,7,5,3,6,5,5,6,5,5,2,3,5,8,8,8,5,9,1,4,4,7,4,3,4,5,5,8,4,8,3,2,0,3,0,6,7,3,1,3,2,2,in hoeverre mensen vreemden vertrouwen.,geen,2,5,2,4,78,2,"Vlissingen, Nederland",1,51.5769043,5.106292725,-1
R_10pGHRcM4WBSK1m,Default Response Set,Anonymous,,,137.56.138.85,0,9/28/15 10:37,9/28/15 11:19,1,1,1,0,0,95.449,0,1,243,1,0,0,11.566,0,,,,,,,1,6,5,,1,6,5,9,8,7,5,7,7,3,5,7,6,5,7,5,5,6,9,8,8,2,8,2,6,2,5,7,8,5,5,2,5,3,2,0,0,0,1,6,3,1,2,1,2,in hoeverre je beslissingen kunt nemen in het leven en hoe je er zelf als persoon voor staat,geen,9,3,9,7,75,2,Drunen,0,51.5769043,5.106292725,-1
R_1BWsnnmqC785gl3,Default Response Set,Anonymous,,,137.56.138.85,0,9/29/15 10:50,9/29/15 11:19,1,1,1,0,0,64.31,0,1,,,,,,,400,1,0,0,46.715,0,1,9,1,"Omdat als ik 4 euro bijdraag iedereen 8 euro krijgt. Terwijl als ik niks bijdraag ik 10 euro krijg, en de rest 6 euro. Dat is 4 euro minder dan mij. En als ik ook gewoon het volledige bedrag bijdraag krijg ik ''maar'' twee euro minder dan wanneer ik niets zou bijdragen. En de rest zou door mij vier euro minder dan mij krijgen. Dit vond ik toch wel wat oneerlijk, dat ik met 4 euro meer zou eindigen, terwijl het ook gelijk kan. Die extra 2 euro maakt me dan niets uit.",1,8,8,9,9,9,7,6,8,4,4,3,7,3,3,1,9,9,8,2,5,1,3,2,5,1,1,1,3,2,4,3,8,3,2,0,0,0,1,8,2,1,2,1,2,"Kijken naar hoeveel je de mensheid vertrouwt/wantrouwt, en kijken naar of je het eens bent met de ware aard van mensen. Naar mijn idee is er __n ware aard, en probeert deze studie te zien of wij dat inzien of niet.","Verdenkingen: jullie willen wel heel graag zien hoe ego•stisch wij mensen eigelijk zijn. Dat is goed, maar het confronteert je wel weer wanneer je meedoet aan zo'n test.",9,4,9,4,75,2,Eindhoven,0,51.5769043,5.106292725,-1
R_1BXWrm7nYpY3qN5,Default Response Set,Anonymous,,,137.56.138.62,0,10/8/15 12:40,10/8/15 13:14,1,1,1,0,0,88.777,0,1,198,1,20.029,31.133,31.345,2,,,,,,,1,9,1,Door ongeveer de helft van het befrsg weg te geven en de helft te houden hou je zelf wat over en draag je toch bij aan de groep,1,8,3,8,8,7,7,7,3,3,6,2,7,6,6,6,7,8,7,5,8,2,6,7,8,2,4,9,4,6,7,4,6,4,4,0,0,0,3,7,3,1,3,1,1,"Keuzes maken met betrekking tot vertrouwen, wat je voor de ander over hebt en dergelijke. Ik denk dat de studie dit doet doormiddel van het geld. Mensen moeten hierbij keuzes maken wat ze voor anderen over hebben.",Geen,3,6,5,3,76,2,"Etten-Leur, Nederland",3,51.5769043,5.106292725,-1
R_1CHIBusHnyMHIxD,Default Response Set,Anonymous,,,137.56.138.87,0,10/5/15 11:56,10/5/15 12:51,1,1,1,0,0,48.625,0,1,400,1,0,0,6.566,0,,,,,,,1,9,1,Als iedereen voor 400 cent zal kiezen is de 'winst' voor de groep het grootst. Iedereen profiteert er van.,1,6,2,4,6,5,7,6,8,3,6,3,6,1,2,4,8,9,8,9,8,7,8,8,8,7,8,6,8,2,4,8,2,3,1,0,0,0,8,10,1,3,2,2,2,Deze studie probeerde aan te tonen dat veel mensen de voorkeur geven aan zichzelf in plaats van de groep. / Deze studie probeerde dit aan te tonen door vragen te stellen over het vertrouwen dat je in anderen (vreemden) hebt.,geen,2,4,3,3,77,1,"Tilburg, Nederland",2,51.5769043,5.106292725,-1
R_1cS4iOszFbrXQns,Default Response Set,Anonymous,,,137.56.137.57,0,10/5/15 10:46,10/5/15 11:17,1,1,1,0,0,42.556,0,1,400,1,0,0,21.277,0,,,,,,,1,9,9,ik heb niet echt wat te verliezen met dit geld. Daarom kan ik gemakkelijk risico's gaan nemen. ,1,6,9,9,9,6,7,7,7,4,5,1,5,3,5,5,5,7,8,7,7,7,7,6,5,4,3,3,6,5,6,9,7,1,2,0,0,0,3,4,2,3,3,1,2,de relatie tussen jezelf en de omgeving. door middel van vragen stellen over jezelf en jouw situatie. ,geen.,4,5,4,4,75,2,"Dordrecht, Nederland",1,51.5769043,5.106292725,-1
R_1d1cVtWdUKYS0ja,Default Response Set,Anonymous,,,137.56.138.87,0,9/29/15 10:50,9/29/15 11:24,1,1,1,0,0,62.971,0,1,30,1,0,0,22.001,0,,,,,,,1,9,1,Ik heb niet het vertrouwen dat de andere deelnemers veel bij zullen dragen aan het groeps geheel. Om mijn pro-self gedrag enigsinds goed te kunnen praten heb ik toch een kleine bijdrage geleverd.,1,6,6,7,8,6,3,5,5,3,3,3,6,2,5,3,8,8,7,8,7,6,8,8,7,3,3,5,5,4,4,3,5,4,10,8,0,3,5,8,3,3,2,2,2,De studie probeerde aan te tonen in hoeverre een persoon pro-self behavior vertoont of pro-group behavior. Dit doormiddel van te kijken of je liever zelf je geld houdt of dat je het liever deelt met anderen. Onzekerheid speelt hierin ook een factor.  / Ook is er gekeken in hoeverre een persoon individualist of collectivist is.,geen,5,3,4,3,71,1,den bosch,2,51.5769043,5.106292725,-1
R_1daGZJ3CZQWDJQx,Default Response Set,Anonymous,,,137.56.138.62,0,10/5/15 11:56,10/5/15 12:52,1,1,1,0,0,51.673,0,1,,,,,,,0,1,0,0,25.878,0,1,9,1,"Ik denk eigenlijk dat iedereen wel bijdraagt, en dat zou mij de 'winnaar' maken. Dit is een spel. Een spel kun je niet half winnen. Zie het dus als een soort 'all-in'. ",1,8,4,8,8,3,6,7,6,6,7,2,7,7,7,7,3,7,8,9,5,2,7,7,8,1,2,6,2,2,1,9,5,4,5,1,0,1,3,8,3,3,2,1,2,"Kijken of je voor eigen- of voor groepsbelang gaat in een min of meer anonieme situatie (en kijken hoe je daar van anderen over denkt). Delen is goed voor de groep, mits iedereen dat doet..",geen,5,4,5,4,71,1,Tilburg,0,51.5769043,5.106292725,-1
R_1DNhubvOwyZLLve,Default Response Set,Anonymous,,,137.56.138.85,0,10/7/15 10:28,10/7/15 11:15,1,1,1,0,0,53.702,0,1,,,,,,,300,1,0,0,39.563,0,1,9,1,Ik wilde sowieso iets bijdragen omdat dat voordelig is voor de hele groep en niet alleen voor mij. Dus ik heb zelf maar een klein bedrag gehouden en het grootste deel bijgedragen.,1,6,6,8,6,6,5,6,7,3,6,4,6,3,4,6,7,6,7,6,6,4,6,5,8,2,4,5,6,3,6,4,5,3,1,0,0,0,4,7,3,2,2,1,2,Iets over hoe mensen denken en werken in groepsverband. Door te kijken of je dus bij die eerste vragen over het bedrag voor jezelf kiest of voor de groep.,geen,9,6,3,5,76,2,Roosendaal in Nederland,0,51.5769043,5.106292725,-1
