V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_08OcHYCEdgXM6ot,Default Response Set,Anonymous,,,193.136.53.32,0,4/26/16 16:34,4/26/16 17:06,1,1,1,0,0,139.903,0,1,,,,,,,0,1,12.823,12.823,34.566,1,1,9,1,"Porque creio que o resto do grupo contribuirá, sendo que pessoalmente obterei mais lucros não contribuindo",1,7,4,9,6,9,5,5,9,6,7,7,9,6,9,6,1,6,4,7,6,1,6,4,7,5,1,3,4,1,6,5,9,1,2,0,0,0,6,5,2,1,3,1,2,"De que forma é que as pessoas se vêem/vêem a competição e comparar com o comportamento que tiveram face à distribuição de dinheiro, que constitui uma situação em que a pessoa é posta face à competição/cooperação. Ou seja,verificar de que forma a maneira com se vêem se reflecte na forma como ajem.",não,5,7,3,6,76,2,"Porto, Portugal",1,41.14959717,-8.610992432,-1
R_0jk54XalCsVXqMh,Default Response Set,Anonymous,,,193.136.53.32,0,4/20/16 15:24,4/20/16 15:43,1,1,1,79.101,79.101,79.947,1,1,,,,,,,2,1,15.583,15.583,16.891,1,1,9,1,Por entender que o ganho colectivo é mais eficaz do que o ganho individual.,1,6,2,7,5,1,4,5,4,3,2,2,2,1,4,5,3,9,9,9,9,6,9,5,4,3,3,3,6,6,2,7,1,1,10,0,2,0,7,9,1,2,3,2,2,"Perspectivo que este estudo tem como objectivo verificar se em uma amostra representativa o processo de tomada de decisão é demasiadamente individualista de modo a considerar o perfil de cada participante. Por meio de perguntas de carácter pessoal, o qual identifica no participante características individualistas ou colectivas, pretende demonstrar a relação com a decisão tomada em compartilhar ou não o dinheiro.",Não.,9,9,6,9,73,1,"Ribeirão Preto, São Paulo, Brasil.",0,41.14959717,-8.610992432,-1
R_0wdmWuhqbrr4VHj,Default Response Set,Anonymous,,,193.136.53.32,0,3/8/16 15:58,3/8/16 16:32,1,1,1,113.468,113.468,115.058,1,1,,,,,,,0.4,1,11.174,11.174,27.473,1,1,9,1,"Escolhi 0,04 pois achei que seria um valor baixo que implicaria pouco risco a nível financeiro para mim e poderia ganhar de igual forma com o grupo mesmo apostando pouco dinehrio.",1,3,9,9,9,9,6,7,9,2,1,1,4,2,7,5,8,9,9,9,9,8,9,9,9,1,2,5,7,9,8,9,9,1,0,0,0,0,6,9,3,1,2,1,2,Este estudo mostra de que forma as pessoas gerem o seu dinheiro e de que forma interagem com a sociedade e ainda a visão que tem delas próprias.,Não.,4,7,7,9,74,2,"Vila do Conde, Portugal",6,41.14959717,-8.610992432,-1
R_0xob3iIdQkqNbNL,Default Response Set,Anonymous,,,193.136.53.32,0,4/20/16 15:24,4/20/16 15:41,1,1,1,0,0,74.214,0,1,,,,,,,1.6,1,12.774,12.774,14.54,1,1,9,5,Porque se encontra entre a quantia máxima que o grupo pode ganhar e a quantia máxima que posso ganhar.,1,2,5,7,9,1,7,6,3,2,6,3,7,3,7,7,3,7,7,7,6,6,8,7,7,3,3,3,5,1,3,7,7,1,5,0,0,1,4,8,2,3,2,1,2,Penso que este estudo tenta demonstrar a maneira como tomamos decisões tendo em conta certos aspectos da personalidade.,Não.,2,6,3,3,73,1,"Viseu, Portugal",1,41.14959717,-8.610992432,-1
R_10CoQE2PUDdr1AJ,Default Response Set,Anonymous,,,193.136.53.32,0,3/16/16 15:50,3/16/16 16:28,1,1,1,0,0,53.814,0,1,1.6,1,6.136,6.136,6.926,1,,,,,,,1,9,1,"Porque não vi a opção 1,50. A que selecionei era a mais próxima e se é um projeto em comum então vali a pena dar mais , salvaguardado o mínimo para mim.",1,7,7,7,8,9,5,7,7,1,6,2,4,1,4,7,2,8,9,9,8,5,8,3,7,1,2,4,3,3,3,7,9,3,1,0,0,0,3,8,3,1,1,1,1,Tenta demonstrar as atitudes das pessoas face a divisão do dinheiro para um projeto comum.,não,5,2,5,9,78,2,Porto,4,41.14959717,-8.610992432,-1
R_10Ox6bqx16gpZnh,Default Response Set,Anonymous,,,193.136.53.32,0,4/20/16 15:24,4/20/16 15:44,1,1,1,0,0,80.063,0,1,,,,,,,1,1,15.466,20.553,23.255,2,1,9,5,"seleccionei a quantia de 1 euro para contribuir para o projecto comum, pois é a quantia que me permite precaver no caso das restantes pessoas não contribuirem. Esta quantia permite-me participar na contribuição sem que com isso incorra na possibilidade de perder tudo.",1,4,4,5,7,9,7,3,9,2,3,4,7,2,5,6,5,7,7,8,7,7,7,6,7,6,8,4,4,6,5,5,8,1,0,2,0,0,6,7,3,3,1,2,2,"Penso que este estudo tenta demonstrar a maneira como nós, humanos, tomamos decisões, incidindo-se na confiança que temos perante as partes sobre as quais a nossa decisão depende. Um estudo preocupado com a confiança nas pessoas e como essa confiança, ou a falta dela, influência a nossa tomada de decisão.",não,2,6,6,6,77,2,"Porto, Portugal",2,41.14959717,-8.610992432,-1
R_1cSrl90Vp2RIvDi,Default Response Set,Anonymous,,,193.136.53.32,0,3/15/16 16:28,3/15/16 16:53,1,1,1,0,0,60.242,0,1,0.8,1,8.877,8.877,13.636,1,,,,,,,1,9,1,"Uma vez que não queria arriscar tudo, sem saber a decisão dos outros, tomei essa decisão, também um pouco com a pressão do tempo.",1,7,8,9,8,6,6,8,2,2,2,2,1,2,5,2,5,9,9,9,9,6,8,9,8,8,7,7,7,7,6,5,9,1,2,0,1,0,2,9,3,1,3,2,2,"Tenta demonstrar a maneira como as pessoas são ou não gentis para os outros, a maneira como confiam em desconhecidos.",Não,4,4,4,4,78,2,Baião,5,41.14959717,-8.610992432,-1
R_1dbm4l0MkDdePr2,Default Response Set,Anonymous,,,193.136.53.32,0,4/20/16 15:24,4/20/16 15:44,1,1,1,0,0,137.954,0,1,1.2,1,12.223,19.701,21.168,3,,,,,,,1,9,1,Selecionei essa quantia para contribuir para o projeto comum na medida em que é a quantia que se encontra mais ou menos a meio do que é bom para mim pessoalmente e do que é bom para o grupo,1,6,6,9,3,9,8,9,8,6,8,7,9,6,9,7,1,9,5,9,9,1,9,9,6,2,2,5,4,8,4,8,9,1,0,0,0,0,5,5,3,3,3,2,2,"Este estudo tenta demonstrar o modo como as pessoas pensam relativamente às tomadas de decisão que têm que ser feitas no seu dia a dia, em sociedade",Ao responder à pergunta anterior fiquei com algumas suspeitas mas não consigo expressar quais... Talvez o objetivo do estudo não seja propriamente aquilo que aparenta à primeira vista...,5,5,5,5,77,2,"Oliveira de Azeméis, Portugal",2,41.14959717,-8.610992432,-1
R_1DnB1Gh1uVgYGmO,Default Response Set,Anonymous,,,193.136.53.32,0,3/9/16 15:55,3/9/16 16:34,1,1,1,0,0,94.001,0,1,,,,,,,0.8,1,21.372,21.372,26.586,1,1,4,9,Desejei contribuir com os colegas e não perder muito dinheiro.,1,5,5,8,7,7,5,5,6,5,5,4,4,2,6,5,4,7,7,4,8,5,7,5,5,4,3,4,4,5,3,5,6,3,2,0,2,1,4,6,3,1,3,2,1,"Acredito que o estudo queira demonstrar que embora as pessoas tenham a intenção de colaborar com colegas e não serem egoístas, acabam por beneficiar-se mais, apesar do desejo de serem justos. ",Suspeito que o estudo tenha alguma relação com um estudo que já participei no laboratório de Psicologia Social. ,4,4,4,4,77,2,"São Paulo, Brasil.",5,41.14959717,-8.610992432,-1
