V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0AH8dh53o2ITMCF,Default Response Set,Anonymous,,,195.37.116.3,0,06.11.15 09:45,06.11.15 10:58,1,1,1,0,0,94.052,0,1,0,1,14.43,14.43,15.397,1,,,,,,,1,9,1,"Ich gehe davon aus, dass die anderen Gruppenmitglieder denken werden, dass wenn jeder 0 Euro beisteuert alle leer ausgehen. Daher werden die anderen Gruppenmitglieder Geld beisteuern. Wenn ich aber 0 Euro beistuere erhalte ich mehr Geld als wenn ich auch etwas beisteuere.",1,8,9,8,8,9,1,9,6,8,9,4,1,1,7,7,8,9,2,7,9,1,9,2,7,1,1,9,7,1,1,3,7,1,0,0,0,0,4,6,3,1,2,1,2,"Ich denke, dass in dieser Studie gezeigt werden sollte, wie Menschen das heutige Zusammenleben einschÕ_tzen und nach welchen Normen und Werten sie miteinander interagieren und welche Vorstellungen sie vom  Leben haben. Dies wurde versucht zu zeigen mit Multiple choice fragen, wie z.B. denken sie, dass Kinder Pflicht vor VergnÕ_gen stellen sollten. Oder mit Fragen bezÕ_glich der Gesellschaft, die immer mehr an der Wirtschaft orientiert ist, z.B. Fragen bezÕ_glich des Konkurrenzverhaltens in der Gesellschaft. Es geht also alles in allem darum, auf welche Werte die Individuen Wert legen, wenn sie mit anderen zusammenarbeiten, ob sie z.b. nur an sich selber denken oder an die Gemeinschaft. ","Ich war mir nicht ganz sicher, wie ich die Frage bezÕ_glich des Vertrauens beantworten sollte. Da es eigentlich immer auf die Situation ankommt und auf die Person. Eigentlich kann man aber nie eine kopnkrete Antwort parat haben wenn es um Vertrauen geht, weil jeder Mensch unterschiedlich ist. ",2,7,6,7,78,2,Hennef (Sieg) in Deutschland,0,50.860.107.421.875,69.741.058.349.609,-1
R_0AtVkIkVdkfOE8x,Default Response Set,Anonymous,,,195.37.116.3,0,03.11.15 11:11,03.11.15 12:03,1,1,1,0,0,81.315,0,1,,,,,,,400,1,0,0,19.316,0,1,9,1,Weil ich das Geld fair aufgeteilt haben mÕ_chte.,1,4,1,9,9,4,7,9,6,6,5,7,2,3,6,1,3,9,4,9,9,9,7,9,9,1,8,9,5,4,1,1,3,1,0,0,0,0,9,7,1,3,3,2,2,"Ich denke es sollte gezeigt werden, wie sich das Verhalten der Menschen um einen herum auf einen selbst auswirkt und das Denken Õ_ber andere Menschen beeinflusst. AuÕªerdem hat es mich selbst dazu angeregt Õ_ber mich nachzudenken und meine Einstellung anderen gegenÕ_ber.  / Es wird versucht, das zu zeigen, indem Fragen Õ_ber die eigene Person verknÕ_pft wurden mit Fragen dazu wie man von Fremden denkt. ","Ich bezweifle, dass man alle Fragen wirklich genau bedacht hat und der Wahrheit entsprechend geantwortet, anstatt das anzugeben was einem durch Erziehung etc. dazu einfÕ_llt. Z.B die Frage ob Konkurrenz natÕ_rlich sein wÕ_rde, habe ich sofort als zutreffend angeklickt weil man es im Biologie Unterricht so gelernt hat, unabhÕ_ngig davon, ob ich selber wirklich so denke. ",5,2,5,2,78,2,"DÕ_ren, Deutschland",0,50.860.107.421.875,69.741.058.349.609,-1
R_0kzenYnPMO3Qf1r,Default Response Set,Anonymous,,,195.37.116.3,0,06.11.15 12:52,06.11.15 14:28,1,1,1,0,0,65.598,0,1,91,1,6.599,14.336,16.692,3,,,,,,,1,9,1,"Mein Beitrag befand sich ca. in der Mitte, wodurch ich das GefÕ_hl hatte allen etwas beizusteuern",1,7,9,8,8,9,5,6,8,5,7,4,3,2,8,8,6,8,7,8,7,8,9,6,8,3,7,9,5,4,1,8,3,1,1,0,0,1,6,7,2,3,1,1,2,"MÕ_glicherweise wurde geprÕ_ft wie Menschen, hier im finanziellen Bereich, anderen Mitmenschen vertrauen mit Hinsicht auf den eigenen Vorteil. VerhÕ_lt man sich eher kollegial, indem man als Teamplayer das wohl der Gruppe an erste Stelle setzt, oder agiert man egoistisch und ist nur auf seinen eigenen Vorteil aus.",nein,5,2,4,5,76,1,"Kerpen, Deutschland",0,50.860.107.421.875,69.741.058.349.609,-1
R_0wCZgEVUvEiJUB3,Default Response Set,Anonymous,,,195.37.116.3,0,03.11.15 11:14,03.11.15 12:04,1,1,1,0,0,128.076,0,1,,,,,,,0,1,0,0,24.201,0,1,9,1,"weil da stand, dass ich persÕ_nlich Geld verliere wenn ich was in die Gruppe beisteuere. / und das ich trotzdem mehr bekomme wenn jemand anders aus der gruppe etwas beisteuert.",1,2,7,8,4,9,6,4,2,7,8,7,2,3,6,8,6,7,3,6,8,4,2,6,8,3,6,9,3,3,7,4,2,3,0,0,0,0,4,7,1,3,2,1,2,"in dieser Studie sollte herraus gefunden werden, wie groÕª mein Vertrauen in die Menschen allgemein ist. Die Frage ist, ob ich eher vom Guten oder vom Schlechten im Menschen ausgehe. / bei den Fragen davor sollte heraus gefunden werden, ob ich eher ein EinzelgÕ_nger bin oder eher ein Gruppenmensch und wie groÕª mein Ehrgeiz ist. /  / die fragen haben nicht direkt diese dinge gefragt, aber sie zeigen es, indem sie indirekt und mehrere solcher fragen zu dem Thema stellen, die sich alle etwas Õ_hnlich sind.","ich hatte zweifel, dass manche menschen mit denen ich zu tun habe, mich nicht so kennen wie ich wirklich bin. / und das andere menschen aus meinem Umfeld mich nicht mehr so sehr mÕ_gen wÕ_rden wenn sie meine antworten auf diese fragen sehen kÕ_nnten.",5,3,3,5,76,2,"Roetgen, Deutschland",0,50.860.107.421.875,69.741.058.349.609,-1
R_12cohJK1bckzmNB,Default Response Set,Anonymous,,,195.37.116.3,0,03.11.15 08:45,03.11.15 10:41,1,1,1,0,0,84.306,0,1,,,,,,,,1,0,0,25.922,0,1,9,1,weil es so genau die Mitte ist. Ich gebe etwas zu den Gruppenprojekten dazu und behalte aber noch etwas.,1,7,8,7,8,6,6,7,7,9,9,8,7,7,9,7,1,5,3,2,7,8,8,7,2,1,7,2,2,6,9,1,7,2,0,0,0,0,1,5,3,1,2,1,2,"Ich denke es soll gezeigt werden, wie Menschen handeln und warum sie in bestimmten Situationen so handeln wie sie es tun.",nein,3,3,4,2,77,2,Troisdorf nordrhein-westfahlen,1,50.860.107.421.875,69.741.058.349.609,-1
R_12F65dSlSt0tAKv,Default Response Set,Anonymous,,,195.37.116.3,0,04.11.15 15:01,04.11.15 15:36,1,1,1,0,0,66.954,0,1,,,,,,,200,1,0,0,27.59,0,1,9,1,"Wenn ich nichts einzahle, die anderen Gruppenmitglieder aber deutlich mehr Geld geben, habe ich insgesamt mehr Gewinn gemacht. Das liegt daran, dass ich dann die vier Euro plus den ausgezahlten Betrag aus der Gruppe habe.",1,4,6,8,7,3,9,2,5,9,6,7,6,7,8,6,2,6,2,8,6,8,7,3,4,3,7,8,6,7,4,3,4,1,0,0,0,0,7,5,1,2,3,2,2,"Es soll gezeigt werden, inwieweit selbst angegebene Charaktereigenschaften mit dem ausgegebenen Geldbetrag Õ_bereinstimmen.",nein,3,7,2,6,78,2,Erfurt,0,50.860.107.421.875,69.741.058.349.609,-1
R_12tDlWM3cHCF6Mx,Default Response Set,Anonymous,,,195.37.116.3,0,03.11.15 08:44,03.11.15 10:38,1,1,1,0,0,56.834,0,1,,,,,,,250,1,0,0,21.758,0,1,9,1,"Um fair zu bleiben habe ich mich nicht fÕ_r 0 Cent entschieden, allerdings auch nicht fÕ_r 400 Cent, da ich eher an mich gedacht habe, als an die Gruppe.",1,5,5,7,7,6,5,7,7,7,7,7,4,4,5,5,5,8,6,6,8,7,8,6,9,3,7,9,6,7,6,5,6,2,0,0,0,0,5,8,3,2,3,2,2,"Es sollte zeigen, ob Menschen eher an sich oder eher an das Wohl der Gruppe denken und ob sie fremden Menschen vertrauen oder nicht.",nein,5,3,4,3,74,2,"SÕ_dlohn, Deutschland",2,50.860.107.421.875,69.741.058.349.609,-1
R_1BVCeDEkmnJC8De,Default Response Set,Anonymous,,,195.37.116.3,0,10.11.15 10:25,10.11.15 11:44,1,1,1,0,0,55.414,0,1,400,1,17.169,17.169,19.788,1,,,,,,,1,9,1,"Ich mÕ_chte, dass mÕ_glichst alle gleich viel Geld erhalten und hÕ_tte ein schlechtes Gewissen, wenn ich die vier Euro fÕ_r mich behalten, und am meisten Geld von allen erhalten wÕ_rde",1,4,4,7,3,5,8,8,6,8,5,6,6,5,9,1,9,9,7,8,9,9,8,9,9,9,9,9,8,8,7,6,3,4,0,0,0,0,4,9,3,2,3,1,2,"Ich glaube, dass man in dieser Studie versucht herauszufinden, in welchem MaÕªe Menschen heutzutage eigennÕ_tzig sind, beziehungsweise am Wohl der Gemeinschaft/Gruppe interessiert sind, und in welchem MaÕªe sie danach dazu stehen und wie sie ihre Entscheidungen begrÕ_nden.",nein,3,6,9,6,77,2,"Tettnang, Deutschland",1,50.860.107.421.875,69.741.058.349.609,-1
R_1C4wBGpPowTC49A,Default Response Set,Anonymous,,,195.37.116.3,0,10.11.15 10:23,10.11.15 11:44,1,1,1,0,0,84.54,0,1,204,1,13.716,13.716,16.063,1,,,,,,,1,9,5,Ich habe mich ungefÕ_hr fÕ_r die HÕ_lfte entschieden also fÕ_r ca. 200 Cent weil damit sicher gestellt ist dass ich etwas zum Gesamtgruppenbetrag beigetragen habe. Jedoch habe ich nicht alles der Gruppe gespendet weil wenn alle zu viel geben am Ende die Auszahlung fÕ_r jede Einzelperson wieder sinkt. ,1,5,5,6,7,8,4,5,5,6,9,5,7,1,3,6,5,7,4,9,8,9,7,6,6,3,8,8,6,5,4,4,7,1,0,7,0,0,6,8,3,2,1,2,1,"Ich denke in der Studie soll herausgefunden werden wie und warum der Mensch entscheidet, wovon diese Entscheidung abhÕ_ngig ist und ob es irgendwelche Unterschiede gibt wenn der Mensch vorher etwas weiÕª was diese Entscheidung beeinflussen kann so wie die Aufgabe mit dem Geld in diesem Fall.","Ich dachte eigentlich, dass es um die Augenbewegungen oder generell die Õ_uÕªeren Bewegungen des KÕ_rpers geht wenn der Mensch sich entscheidet.",3,6,2,5,76,2,"Neukirchen-Vluyn, Deutschland",1,50.860.107.421.875,69.741.058.349.609,-1
