V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0IiskognmGV2iw9,Default Response Set,,,,128.243.69.189,0,21/04/2016 11:41,21/04/2016 12:15,1,1,1,1.556,79.302,81.823,11,1,,,,,,,200,1,10.272,10.272,17.747,1,1,9,1,It will only be fair if I contributed half of my own earnings towards the group result though I know that most people would not contribute a single cent in it.,1,9,7,9,8,9,8,6,9,6,7,6,7,4,9,7,7,6,5,8,7,4,7,5,6,4,5,7,4,9,4,6,8,4,5,5,0,0,5,6,3,2,1,1,2,"I think the present study is to ask the participants about their degree of trust-worthyness to a stranger. In the experiment, we were asked to allocate a specific amount of money into a group project where each earnings doubled out of a certain amount being allocated to us. The amount of money put into the project would be the degree of trust-worthyness to a stranger as we do not know whom are we in a group with.",no,6,2,6,9,76,1,Malaysia,0,52.95359802,-1.150497437,-1
R_0jjJwzoeH2U4JMt,Default Response Set,,,,128.243.69.192,0,21/04/2016 12:43,21/04/2016 13:11,1,1,1,0,0,56.737,0,1,110,1,9.675,9.675,13.894,1,,,,,,,1,9,1,I chose the amount I did so that I contribute a bit to the groups earnings but don't lose out on much if the other people in the group do not contribute.,1,4,6,6,9,6,8,6,7,2,7,1,7,3,5,9,8,9,8,7,7,8,8,8,9,6,8,9,3,6,5,9,7,5,8,8,0,0,7,9,3,2,1,2,2,I think this study was trying to focus on how people think about today's society with a variety of questions on social skills and the behavioral skills.,No,9,5,9,6,75,2,"Mombasa, Kenya",0,52.95359802,-1.150497437,-1
R_0Th3xTjkIurrGU1,Default Response Set,,,,128.243.69.185,0,21/04/2016 10:46,21/04/2016 11:10,1,1,1,0,0,60.965,0,1,,,,,,,300,1,8.813,12.097,13.99,4,1,9,1,Because I think it would be a good idea to benefit the whole group.,1,6,6,8,8,8,7,5,7,3,8,4,7,2,7,8,5,7,6,3,5,8,6,6,7,7,3,3,3,8,3,7,8,3,3,3,3,3,6,7,3,3,2,2,2,"I think this study was trying to show how much people would trust strangers, because participants were divided into different groups randomly and only needed to decide once, and they did not need to worry about what followed when they made the decision.",NO,6,3,4,3,75,2,"Zhejiang, China",0,52.95359802,-1.150497437,-1
R_10IXor9U6Lmp3Tw,Default Response Set,,,,128.243.69.170,0,21/04/2016 12:43,21/04/2016 13:10,1,1,1,0,0,53.145,0,1,,,,,,,0,1,10.696,10.696,13.118,1,1,9,1,So I could get more money than everyone else,1,7,7,6,6,6,4,8,6,7,7,7,7,6,7,4,7,6,5,8,8,2,7,3,7,2,3,6,3,5,4,5,9,4,3,20,0,0,5,8,1,3,3,1,2,"To see if you can trust strangers for everyone to achieve the highest amount of money possible, for everyone to cooperate with each other.",no,5,3,9,5,75,1,"Surrey, United Kingdom",0,52.95359802,-1.150497437,-1
R_110iY15owrn5zYS,Default Response Set,,,,128.243.69.178,0,21/04/2016 10:43,21/04/2016 11:11,1,1,1,0,0,69.048,0,1,0,1,5.224,5.224,13.888,1,,,,,,,1,9,5,"In my experience, people would rather keep their money so I do the same, in order to protect my earnings rather than taking risks to lose it.",1,8,9,7,7,7,6,7,8,8,7,8,6,6,5,5,5,7,7,5,7,8,8,7,6,5,6,8,6,7,6,6,7,3,10,10,0,0,6,7,3,1,3,2,2,"I don't understand what do you mean by show, what to show?",no,6,5,5,5,75,2,Hong Kong,1,52.95359802,-1.150497437,-1
R_12bSmLoQqnPLYfv,Default Response Set,,,,128.243.69.164,0,21/04/2016 10:45,21/04/2016 11:11,1,1,1,0,0,86.444,0,1,100,1,7.646,7.646,8.89,1,,,,,,,1,9,1,To have a larger return,1,4,8,6,5,5,9,6,4,4,8,5,8,3,5,5,3,7,4,8,9,7,8,8,8,3,4,6,5,5,7,2,8,4,0,15,0,5,5,8,1,1,1,2,2,"How well strangers can trust others with money, then the questionnaire was trying to understand if i am a trusting person",no,5,2,6,2,74,1,Reading,0,52.95359802,-1.150497437,-1
R_12D4t7c6kxAKNHY,Default Response Set,,,,128.243.69.179,0,21/04/2016 11:41,21/04/2016 12:15,1,1,1,0,0,69.167,0,1,0,1,5.686,5.686,7.823,1,,,,,,,1,9,1,"contributing to the group requires commitment that the other members will also contribute in order to all earn profit. However, an anonymous group is less inclined to make the contribution because of mistrust or no personal contact. Therefore, in order to make the most personal profit whilst risking the least I contributed the minimum (0).",1,6,6,8,8,8,9,8,9,9,7,7,9,9,9,9,3,8,8,9,8,5,7,7,7,9,8,7,5,6,6,1,9,5,2,2,0,0,5,8,2,2,2,2,2,"Interaction with strangers. The exercise is based on trust with anonymous group members and how, despite not personally interacting with the others, each individual would react.",no,6,2,7,9,76,1,London,0,52.95359802,-1.150497437,-1
R_12g7zNrIq8JNLAM,Default Response Set,,,,128.243.69.173,0,21/04/2016 12:42,21/04/2016 13:34,1,1,1,0,0,82.227,0,1,,,,,,,400,1,9.846,9.846,21.764,1,1,9,6,"This is because when I contribute the amount less than $4, I will be able to earn $10 from the contribution whilst other people could only earn $6.",1,6,6,8,2,7,5,5,6,5,5,6,5,2,5,3,7,6,6,5,6,2,5,6,4,4,4,4,4,3,5,3,6,3,1,2,0,0,2,7,3,1,1,2,2,It was trying to show whether a person would try to be fair to other strangers in the group. It depends on how willing they are to contribute the money they have to the group.,no,5,3,5,3,74,2,"Kuala Lumpur, Malaysia",0,52.95359802,-1.150497437,-1
R_12zCSE2DKKw2zp5,Default Response Set,,,,128.243.69.170,0,21/04/2016 11:40,21/04/2016 12:27,1,1,1,0,0,226.273,0,1,80,1,7.473,29.539,34.991,4,,,,,,,1,9,1,Just have a try.,1,8,2,5,7,8,7,8,5,7,9,7,5,1,8,6,7,8,5,7,8,3,8,1,5,7,3,6,6,8,5,4,7,1,2,7,0,0,6,8,3,3,3,2,2,It seems like a study want to know how do people work with strangers. Whether trust strangers.,no,7,2,5,9,76,2,"Karamay, China",0,52.95359802,-1.150497437,-1
