V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Sie wurden zufällig ausgewählt mit drei anderen Personen in diesem Raum zu interagieren. Jeder vo...,Bitte treffen Sie Ihre Entscheidung so schnell wie möglich. Sie müssen Ihre Entscheidung in wenig...-Ihr Beitrag: &nbsp;,Verbleibende Zeit:,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Bitte überdenken Sie Ihre Entscheidung sorgfältig. Sie müssen mindestens 10 Sekunden warten und n...-Ihr Beitrag: &nbsp;,Bereits verstrichene Zeit:,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Die zwei folgenden Fragen dienen dazu, zu beurteilen wie gut Sie die Entscheidungsaufgabe verstan...","Wie hoch ist der Beitrag, der für die Gruppe als Ganzes zur höchsten Auszahlung führt?","Wie hoch ist der Beitrag, der für Sie persönlich zur höchsten Auszahlung führt?  ","Bitte beschreiben Sie, warum Sie sich für die von Ihnen gewählte Höhe des Beitrags entschieden ha...","Im Anschluss werden Sie gebeten, einige Fragen über sich selbst zu beantworten. Bitte beantworten...",I often do my own things.-Ich mache oft “mein eigenes Ding”.,Bitte geben Sie den Grad Ihrer Zustimmung an.        -Man sollte sein eigenes Leben von anderen unabhängig führen.,Bitte geben Sie den Grad Ihrer Zustimmung an.-Ich mag meine Privatsphäre.,"Bitte geben Sie den Grad Ihrer Zustimmung an.-Wenn ich mit Leuten diskutiere, bin ich lieber direkt und geradeheraus.",Bitte geben Sie den Grad Ihrer Zustimmung an.-Ich bin ein einzigartiges Individuum.,"Bitte geben Sie den Grad Ihrer Zustimmung an.-Was mir zustößt, ist auf mein eigenes Tun zurückzuführen.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Wenn ich erfolgreich bin, dann liegt das meistens an meinen Fähigkeiten.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Ich genieße es, einzigartig zu sein und mich von anderen in vielen Dingen zu unterscheiden.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Es ärgert mich, wenn andere Leute etwas besser machen als ich.",Bitte geben Sie den Grad Ihrer Zustimmung an.-Konkurrenz ist ein Naturgesetz.,"Bitte geben Sie den Grad Ihrer Zustimmung an.-Wenn eine andere Person etwas besser macht als ich, rege ich mich auf/nervt mich das.",Bitte geben Sie den Grad Ihrer Zustimmung an.      -Ohne Konkurrenz gibt es keine gute Gesellschaft.,Bitte geben Sie den Grad Ihrer Zustimmung an.-Gewinnen ist alles.,"Bitte geben Sie den Grad Ihrer Zustimmung an.-Es ist wichtig, dass ich meine Arbeit besser mache als andere.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Ich arbeite gerne in Situationen, in denen ich mit anderen in Konkurrenz trete.",Bitte geben Sie den Grad Ihrer Zustimmung an.-Für einige Leute ist Gewinnen wichtig; für mich nicht.,Bitte geben Sie den Grad Ihrer Zustimmung an.-Das Wohlbefinden meiner Kollegen/Mitschüler ist mir wichtig.,"Bitte geben Sie den Grad Ihrer Zustimmung an.-Wenn ein Kollege/Mitschüler einen Preis bekäme, wäre ich stolz.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Wenn ein Verwandter in finanziellen Schwierigkeiten wäre, würde ich im Rahmen meiner Möglichkeiten helfen.",Bitte geben Sie den Grad Ihrer Zustimmung an.-Harmonie in meiner Gruppe ist mir wichtig.,"Bitte geben Sie den Grad Ihrer Zustimmung an.-Ich helfe meinen Nachbarn gerne aus, wenn sie Kleinigkeiten brauchen.",Bitte geben Sie den Grad Ihrer Zustimmung an.-Ich arbeite gerne mit anderen zusammen.,"Bitte geben Sie den Grad Ihrer Zustimmung an.-Meine innere Zufriedenheit hängt stark von der Zufriedenheit derjenigen ab, die um mich herum sind.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Glück bedeutet für mich, Zeit mit anderen zu verbringen.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Ich würde eine Aktivität, die mir großen Spaß macht, aufgeben, wenn meine Familie damit nicht einverstanden wäre.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Ich würde das tun, was meiner Familie Freude macht, auch wenn ich diese Aktivität verabscheuen würde.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Bevor ich eine größere Reise unternehme, berate ich mich mit  meiner Familie und Freunden.",Bitte geben Sie den Grad Ihrer Zustimmung an.-Meistens stelle ich meine eigenen Interessen zum Wohl der Gruppe zurück.,"Bitte geben Sie den Grad Ihrer Zustimmung an.-Kinder sollten lernen, Pflicht vor Vergnügen zu stellen.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Ich hasse es, wenn wir in der Gruppe nicht einer Meinung sind.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Man soll die Eltern bei sich zu Hause haben, wenn sie alt werden.","Bitte geben Sie den Grad Ihrer Zustimmung an.-Kinder sollten sich geehrt fühlen, wenn ihre Eltern eine  Auszeichnung erhalten.","In welchem Maße waren Studien, an denen Sie teilgenommen haben, dieser Studie ähnlich (d.h., dass...",An wie vielen Experimenten haben Sie gegen eine Vergütung mit Versuchspersonenstunden oder mit Pu...,An wie vielen bezahlten Experimenten haben Sie bereits teilgenommen? Wenn das Ihr erstes bezahlte...,Haben Sie jemals an Experimenten von Mechanical Turk oder anderen Websites teilgenommen? Wenn nei...,"Wenngleich in dieser Studie nicht getäuscht wurde, haben Sie jemals (in einem anderen Labor) an S...","In welchem Ausmaß haben Sie das Gefühl, Unbekannten vertrauen zu können?","In welchem Ausmaß haben Sie das Gefühl anderen Menschen, mit denen Sie in Ihrem alltäglichen Lebe...","Im Allgemeinen, würden Sie sagen, dass man den meisten Menschen vertrauen kann oder dass man im U...","Denken Sie, dass die meisten Menschen Sie ausnutzen würden, wenn sie die Chance dazu hätten oder...","Würden Sie sagen, dass Menschen die meiste Zeit versuchen, hilfsbereit zu sein oder dass sie haup...",Man kann sich nicht mehr auf Fremde verlassen.,"Haben Sie von vorherigen Teilnehmern etwas zu der Studie gehört, an der Sie im Moment teilnehmen?","Bitte berichten Sie kurz, was Sie denken, was in dieser Studie gezeigt werden sollte und auf welc...","Bitte beschreiben Sie kurz  Vermutungen oder Zweifel, die Sie im Zuge dieser Studie hatten. Wenn...","Bitte geben Sie das Ausmaß Ihrer Zustimmung zu jeder der vier Aussagen an.-1. Ich wusste, was die Forscher in dieser Studie untersucht haben.","Bitte geben Sie das Ausmaß Ihrer Zustimmung zu jeder der vier Aussagen an.-2. Ich war mir nicht sicher, was die Forscher in dieser Studie zeigen wollten.","Bitte geben Sie das Ausmaß Ihrer Zustimmung zu jeder der vier Aussagen an.-3. Ich hatte ein klares Bild davon, was die Hypothesen in dieser Studie waren.","Bitte geben Sie das Ausmaß Ihrer Zustimmung zu jeder der vier Aussagen an.-4. Mir war unklar, was genau die Forscher in dieser Studie beweisen wollten.",In welchem Jahr wurden Sie geboren?,Was ist Ihr Geschlecht?,In welcher Stadt und in welchem Land sind Sie aufgewachsen? Wenn Sie an mehr als einem Ort gewohn...,Wie viele Teilnehmer/innen im Raum kennen Sie? Geben Sie die Nummer in das Textfeld unten ein. Ge...,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,0,0,55.962,0,1,,1,0,0,9.964,0,,,,,,,1,9,1,"Spontane Wahl der ""guten"" Mitte",1,6,6,8,4,6,7,7,7,6,7,4,4,5,6,7,4,6,4,6,8,8,8,4,8,2,2,7,6,5,4,6,7,3,3,3,0,1,3,3,2,3,2,1,2,Funktionieren der Zusammenarbeit im Team; Risikobereitschaft,"Vermutung, dass die meisten Teilnehmer kaum daran interessiert sind etwas zum Wohl der Gruppe beizutragen",4,5,3,4,74,2,"Merzig, Saarland",0,49.41670227,8.699996948,-1
,,,,,,,,,,,,0,0,90.879,0,1,,,,,,,400,1,0,0,34.977,0,1,9,1,Somit verdienen die meisten das meiste Geld. ,1,8,7,4,8,8,9,8,7,8,7,8,7,4,6,8,3,9,5,8,9,4,6,9,8,3,6,8,4,6,8,2,8,1,0,0,0,0,8,10,1,3,1,2,2,"Es geht darum wie sehr einem das Wohl der anderen am Herzen liegt, oder ob man im Zweifel eher an sich selbst denkt (also ob man selbst mehr Geld verdienen will). Es geht wohl um eigenes Wohl oder gemeinsames Wohl.",nein,6,2,5,2,77,1,Karlsruhe Deutschland,0,49.41670227,8.699996948,-1
,,,,,,,,,,,,0,0,50.553,0,1,50,1,0,0,24.902,0,,,,,,,1,9,9,Eigener Verlust ist nicht so hoch und doch bekommen die anderen Gruppenmitglieder auch einen Beitrag,1,4,6,7,5,9,6,7,4,2,5,1,3,1,2,5,5,8,8,9,5,9,6,3,5,9,9,9,6,3,5,6,7,3,0,0,0,0,1,5,3,3,3,1,2,"Ob man ein Egoist/Einzelgänger oder ein ""Rudeltier"" ist. Es soll zeigen wie wichtig einem Geld ist und wie wichtig für einen die Bedürfnisse der anderen sind. Außerdem ob man lieber einen harten Konkurrenzkampf haben möchte oder lieber einen harmonischen Umgang untereinander. ","Man kann es nie allen recht machen. Am Ende vergisst man sich selber. Ein gewisser Egoismus ist notwendig um selber glücklich zu sein. Leider habe ich die Vermutung, dass viele Menschen ein zu großes Ego haben und die Bedürfnisse der anderen nicht beachten und nur auf ihr eigenes Wohl aus sind. ",6,2,6,2,74,2,BaWü,0,49.41670227,8.699996948,-1
,,,,,,,,,,,,0,0,86.596,0,1,,,,,,,80,1,0,0,26.55,0,1,9,1,"herausfinden, ob ein niedrigerer Beitrag sinnvoller (also weniger risikoreich und trotzdem rentabel) ist als entweder 400c oder 0c",1,8,8,6,8,9,8,7,9,6,7,4,8,1,6,6,5,3,1,9,8,9,8,4,9,2,3,4,5,5,2,2,2,4,5,5,0,0,3,8,3,3,3,2,2,"Da es wie bei vielen Studien in diesem Labor a) um Geld ging, b) man mit anderen interagieren muss, um Geld zu gewinnen und c) nicht nur der eigene gegebene Betrag darüber entscheidet, wie viel man gewinnt, sondern auch der Betrag der anderen und man diesen Faktor miteinbeziehen muss, tippe ich auf den Zusammenhang zwischen Egoismus, Konkurrenzdenken, Planungsfähigkeit, kurz Wirtschaftspsychologie. Was man von drei anderen Parteien als Risikobereitschaft oder Egoismus erwartet und wie man selber in so einer Situation agiert.",nein,2,2,4,9,73,1,"Bochum, NRW, Deutschland",0,49.41670227,8.699996948,-1
,,,,,,,,,,,,0,0,122.628,0,1,,,,,,,0,1,0,0,33.129,0,1,9,1,"Wenn ich es richtig verstanden habe, hängt die Höher der Auszahlung von der eigenen und den Entscheidungen der Anderen ab. Zahle ich nichts ein, behalte ich meine 400c, bekomme jedoch nicht den Überschuss des Geldes ausgezahlt, der in der gemeinsamen Kasse liegt. Zahle ich 400c ein, verliere ich 200c, sofern die 2 anderen meiner Gruppe nichts eingezahlt haben. Haben sie ebenfalls 400c eingezahlt, bekomme ich 200c zusätzlich zu den 400c, also 600c. ",1,7,7,7,8,9,8,8,6,3,2,4,3,5,3,5,2,8,8,9,9,9,9,8,8,8,3,8,6,7,6,5,4,2,0,0,0,0,7,10,1,2,3,2,2,"Es soll versucht werden, ein Muster in Bezug auf das Persönlichkeitsprofil der Probanden und die damit zusammenhängenden Entscheidungen zu erstellen. Es soll geprüft werden, ob sehr selbst-zentrierte Menschen sich in ihrem Entscheidungsverhalten von dem nicht selbst-zentrierter Menschen unterscheiden und wenn ja, wie. ","Ich denke, dass jemand der sich etwas mit solchen Studien auskennt, andere Ergebnisse produziert, und das unabhängig von seinen persönlichen Angaben. ",6,6,4,2,72,1,"Rheinland-Pfalz, Deutschland",0,49.41670227,8.699996948,-1
,,,,,,,,,,,,0,0,110.326,0,1,400,1,0,0,10.278,0,,,,,,,1,8,9,"Ich hoffe, dass die anderen weniger wählen und darauf setzen, dass keiner die 4Euro wählt.",1,7,8,8,8,8,8,3,7,2,8,1,7,1,2,8,2,7,5,9,7,9,7,9,7,5,7,9,6,2,3,8,2,3,0,0,0,0,3,9,3,3,1,1,2,"Es soll gezeigt werden, ob die Menschen mit fremden zusammen arbeiten, sobald ein monetärer Anreiz gegeben wird. Es wird gezeigt, indem geschaut wird, ob die Teilnehmer weniger als 4 wählen und alle was verdienen. Oder ob es auch Teilnehmer gibt, die 4 wählen, um mehr als andere zu bekommen. Diese haben kein Vertrauen in die anderen.","Ich habe darüber nachgedacht, ob die anderen für das Wohlbefinden der Gruppe wählen. Dann habe ich mich dagegen entschieden und daher 4Euro gewählt. ",3,6,2,3,74,2,Hannover,0,49.41670227,8.699996948,-1
,,,,,,,,,,,,0,0,44.787,0,1,,,,,,,4,1,0,0,17.308,0,1,9,1,"Da es sich um Geld handelt, dass ich bis jetzt noch nicht besitze und es sich nicht um einen sehr hohen Betrag handelt, habe ich beschlossen, darauf zu vertrauen, dass die anderen Mitglieder (auch wenn ich sie nicht kenne) nicht an sich sondern, an den gerechtesten Gewinn für die gesamte Gruppe denken. Bei diesem eher geringen Betrag hätte ich somit am Ende auch keinen riesen großen Verlust gemacht, wäre ich die Einzige, die ihr gesamtes Geld investiert.",1,3,7,9,4,7,6,7,4,3,9,6,8,3,7,7,2,8,5,7,8,9,7,7,7,1,7,6,5,5,2,2,2,1,0,0,0,0,7,9,3,2,3,2,2,"Es könnte gezeigt werden wollen, wie sich Menschen auf unbekannte einlassen können/wollen. Und wie viel Vertrauen sie in das Urteilsvermögen anderer Menschen haben. Außerdem kann man an der Anfangsfragestellung bezüglich der Investition sehen wie stark eine bestimmte Person darauf aus ist, für sich persönlich den größten Profit zu erzielen.  / ",Nein,3,3,4,6,76,2,"Landau/ Pfalz, Deutschland",0,49.41670227,8.699996948,-1
,,,,,,,,,,,,0,0,65.501,0,1,,,,,,,400,1,0,0,93.777,0,1,9,1,"Ca. der eine Euro, den ich durch das ""Spenden"" der 4€ an die Gruppe verloren habe, würde mir weniger bringen, als die Freude der anderen, dass sie jeweils ca. 1 € gewonnen haben.",1,4,5,8,9,6,7,9,8,4,9,6,8,7,7,9,2,6,3,9,6,6,5,6,7,2,6,8,7,3,5,7,3,4,1,1,0,0,7,9,1,3,3,2,2,"Ich denke, es geht darum verschiedene Charaktereigenschaften von Personen zu korrelieren, d.h. zum Beispiel das Interesse an Geld mit Ehrgeiz, usw. Die Idee ist, mittels des verteilten Gelds in der Studie zu testen, wie wichtig dem Probanden die Mitmenschen sind und dann die Interviewfragen damit zu vergleichen. ","Ich habe die Vermutung, dass sich durch diese Studie nicht alle Eigenschaften direkt vergleichen lassen, da z.B. Ehrgeiz und Zielstrebigkeit nicht direkt mit dem Interesse an Geld verknüpft sein müssen.",9,2,6,2,75,1,"Tuttlingen, Deutschland",0,49.41670227,8.699996948,-1
,,,,,,,,,,,,0,0,86.212,0,1,,,,,,,210,1,0,0,18.28,0,1,9,1,"ich habe mich dafür entschieden, um den gesamt Betrag der Gruppe etwas höher zu setzen, ohne selbst viel zu verlieren. Daher ein wenig mehr als die Hälfte meines Betrages abgegeben.",1,4,3,7,7,7,5,5,6,5,2,1,2,5,7,5,7,9,8,5,8,8,8,9,8,4,4,8,7,4,4,7,3,4,15,15,0,1,6,8,3,3,3,2,2,"Ich denke, es sollte untersucht werden, wie Selbstbezogen bzw. Egoistisch Menschen sind und wie sich das zeigt. Zudem wird untersucht, wie viel Menschen bereit sind von ihren eigenen Ressourcen abzugeben und anderen zu helfen.","Ich wundere mich nur, weshalb um mich herum einige Leute immer tippen. Und frage mich, welche Aufgaben sie lösen müssen.",4,4,4,4,76,2,"Weinheim, Deutschland",0,49.41670227,8.699996948,-1
