V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,age,>34,contribution nonmissing,
R_0qXRPdvju7tUFmp,Default Response Set,,,,134.76.136.232,,09.09.2015 14:08,09.09.2015 14:49,1,1,1,0,0,45.968,0,1,,,,,,,400,1,0,0,15.247,0,1,9,1,"Ich rechne damit, dass alle anderen Teilnehmer auch ihr Gesamtvermí_gen in den gemeinsamen pool einbringen, um so ein maximales Ergebnis fí_r die Gruppe zu erreichen.",1,7,5,8,8,9,5,8,8,2,5,1,5,2,6,3,1,6,5,6,6,2,6,3,3,1,1,9,6,7,1,4,4,3,12,12,0,0,2,3,3,2,3,1,2,"Ich vermute, es soll eine Beziehung aus selbsteingeschí_tzten Persí_nlichkeitsmerkmalen und der getroffenen Entscheidung (risikoavers-/affin) ermittelt werden, unter der Frage, ob und in wie weit man fremden Personen vertrauen kann.","Ich vermute, dass die meisten Personen bei einer recht einfach gestellten Aufgabe wie dieser gewinnmaximierend fí_r die Gruppe handeln und das komplette Vermí_gen in den pool einflieíôen lassen.",6,2,5,3,72,1,"Osterode, Deutschland",0,51.53640747,9.938995361,-1,,24,1,1,1
R_11cjdUM0xXs4CZu,Default Response Set,,,,134.76.136.152,,09.09.2015 14:13,09.09.2015 14:55,1,1,1,0,0,77.323,0,1,100,1,0,0,13.813,0,,,,,,,1,9,1,"ich wollte was fí_r das projekt ausgeben, aber ich war mir nicht sicher ob die anderen auch was ausgeben wí_rden",1,8,6,7,5,9,6,6,9,3,7,5,6,3,7,6,4,7,7,7,8,8,7,6,5,5,7,7,6,7,6,8,7,2,3,7,0,1,2,4,3,1,3,1,2,"ich glaube es geht darum zu finden, inwiefern die leute in anderen vertrauen wollen bzw kí_nnen.\deshalb alle die ""vertrauen"" fragen",nein,9,7,9,7,63,2,"Asuncion, Paraguay",0,51.53640747,9.938995361,-1,,33,1,1,1
R_12bDmINhYFFs5K7,Default Response Set,,,,134.76.136.62,,08.09.2015 15:07,08.09.2015 15:48,1,1,1,0,0,74.056,0,1,400,1,0,0,8.21,0,,,,,,,1,9,9,um am meisten zu verdienen,1,5,4,7,6,8,7,8,7,4,4,5,4,6,5,3,4,8,8,8,8,9,7,7,9,5,6,8,6,6,4,7,9,3,3,10,0,1,5,9,1,2,1,1,2,"Moral, Zusammenarbeit, Gemeinschaftsgedanke, Egoismus",nein,2,6,5,4,69,2,Gí_ttingen,0,51.53640747,9.938995361,-1,,27,1,1,1
R_12mYlbpj5VkQ9wa,Default Response Set,,,,134.76.136.62,,10.09.2015 10:08,10.09.2015 10:51,1,1,1,0,0,56.56,0,1,,,,,,,100,1,0,0,16.543,0,1,9,1,"Fí_r meinen eigenen Vorteil, da ich nicht abschí_tzen kann, wie viel die anderen in die Gruppe spenden.",1,7,8,8,5,7,6,6,4,6,8,6,8,8,7,4,2,5,5,6,3,6,4,3,2,1,6,4,2,4,3,5,7,4,4,4,0,2,3,9,2,1,3,1,2,"Ob das leben in einer Gruppe(Gesellschaft) auf Konkurrenzkampf oder auf Vertrauen beruht bzw. beruhen sollte und wie die Einstellung der Teilnehmer zu diesem Thema ist, ob man sich selbst in den Vordergrund stellt oder die Bedí_rfnisse anderer und auf welchen Motiven (Konkurrenzkampf, eigener Vorteil, Vertrauen) diese Einstellung beruht.",nein,4,6,3,3,73,2,"Kassel, Deutschland",0,51.53640747,9.938995361,-1,,23,1,1,1
R_12PRZRBuysiQXN5,Default Response Set,,,,134.76.136.62,,09.09.2015 09:56,09.09.2015 10:51,1,1,1,0,0,80.735,0,1,,,,,,,400,1,0,0,32.877,0,1,9,1,"Wenn alle 4ä‰å in den Pott geben, machen alle einen Gewinn, da wir mit mehr als 2 Leute am Porjekt beteiligt sind. Dies trifft aber nur zu, wenn alle etwas in den Pott geben.",1,2,8,9,8,9,6,7,8,8,8,6,8,3,8,9,7,8,3,6,6,8,9,6,7,5,3,7,8,5,7,4,6,1,5,5,0,0,4,7,1,2,3,2,2,"Wie die Grundeinstellung zu mir unbekannten Personen ist. Ebenfalls wie die Einstellung zu bekannten (Familie, Freunde) ist und inwieweit ich dehnen vertraue.","Vermutung bei der Angabe der Hí_he der eignenen Investition, dass die anderen nichts geben und so auf jedenfall sich nicht verschlechtern.",9,5,9,3,70,1,"Lí_neburg, Deutschland",1,51.53640747,9.938995361,-1,,26,1,1,1
R_1BXXZSbohA1MLMD,Default Response Set,,,,134.76.136.62,,14.09.2015 13:01,14.09.2015 14:14,1,1,1,0,0,54.786,0,1,,,,,,,0,1,0,0,6.463,0,1,9,1,weil ich so das geld sicher behalte,1,6,6,8,6,6,4,5,2,5,3,3,3,3,4,2,5,6,4,6,7,4,5,6,3,2,5,4,4,4,7,3,5,4,1,6,0,0,3,6,3,3,3,1,2,"wieviel geld man selbst behí_lt und inwiefern das darauf zurí_ckzufí_hren ist, dass man den anderen teilnehmern in der gruppe und generell anderen menschen vertraut oder nicht",nein,2,6,2,6,75,2,"bad sooden-allendorf, hessen, deutschland",0,51.53640747,9.938995361,-1,,21,1,1,1
R_1CeypaIjFHH83Fq,Default Response Set,,,,134.76.136.66,,11.09.2015 10:19,11.09.2015 11:35,1,1,1,0,0,79.176,0,1,,,,,,,400,1,0,0,74.363,0,1,9,7,"Weil ich denke, dass es die fairste Variante ist und jeder das Maximum erhí_lt, dass unter der Prí_misse, dass jeder gleich viel bekommen soll, mí_glich ist.",1,8,6,4,8,9,8,8,6,7,2,6,2,1,8,1,6,8,2,9,9,8,9,5,7,1,6,7,8,1,2,5,1,1,1,1,0,0,8,10,1,2,3,2,2,"Ich denke, es soll untersucht werden, in wie weit Menschen bereit sind,  ihr persí_nliches Glí_ck (also in diesem Fall, wie viel Geld sie selbst verdienen) í_ber das Glí_cka nderer zu stellen bzw. in wie weit sie bereit sind, auf einen bestimmten Betrag an Geld zu verzichten, wenn dafí_r fí_r alle gleich viel herausspringen wí_rde.\Dies steht vermutlich damit in Zusammenhang, in wie weit die einzelnen Probanden anderen Menschen vertrauen, also in wie weit sie darauf vertrauen, dass andere Probanden auf einen bestimmten Betrag verzichten, oder ob sie davon ausgehen, dass alle auf ihrenn eogenen Vorteil bedacht sind, also versuchen das Maximum zu verdienen. \Vermutlich lautet die These: Je mehr der Proband anderen bereit ist zu vertrauen, desto eher investiert er sein volles Gehalt an die Gruppe.","Vermutung: Die wenigsten dieser Gruppe  geben, so wie ich, ihr gesamtes Geld der Gruppe.",2,2,9,6,73,2,"Rinteln, Deutschland",0,51.53640747,9.938995361,-1,,23,1,1,1
R_1CIOICAjyBDdtrz,Default Response Set,,,,134.76.136.48,,10.09.2015 10:01,10.09.2015 10:50,1,1,1,0,0,77.923,0,1,,,,,,,400,1,0,0,12.543,0,1,9,1,"Weil ich hoffe, dass andere ebenfalls 4ä‰å fí_r die Gruppe gespendet haben",1,7,6,8,8,6,5,7,8,6,6,5,3,3,6,6,5,8,7,7,6,9,8,6,8,1,3,8,5,3,6,4,7,1,3,3,0,1,7,8,1,2,1,2,2,"Ob Menschen eher bereit sind, etwas zu tun, dass ihnen selbst nutzt, oder ob sie auch an andere denken",nein,2,6,2,6,74,2,"Northeim, Deutschland",0,51.53640747,9.938995361,-1,,22,1,1,1
R_1dtBGleYf5SJvzM,Default Response Set,,,,134.76.136.167,,14.09.2015 09:06,14.09.2015 10:22,1,1,1,0,0,53.666,0,1,400,1,0,0,11.23,0,,,,,,,1,9,1,weil es fí_r die Gruppe insgesamt auf die Weise profitabler ist,1,3,1,9,5,7,3,6,5,6,5,6,5,3,5,1,3,9,9,6,9,9,9,9,9,6,7,9,7,5,4,5,9,1,10,10,0,0,8,9,1,2,1,2,2,"Ich denke, dass untersucht werden soll, welche Handlunsmotive den Entscheidungen von Individuen zu Grunde liegen. Also, ob ihre Handlungen beispielsweise egoistisch motiviert sind oder ob Hilfsbereitschaft im Vordergrund steht.",nein,2,7,9,7,71,2,Dassel,0,51.53640747,9.938995361,-1,,25,1,1,1
