V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,æ Please click below after the experimenter says to begin,"In this task, you will participate in a simple decision making study. You will receive two credit...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,You have been randomly assigned to interact with 3 of the other people in the room. All of you re...,Please make your decision as quickly as possible. You must make your decision in less than 10 sec...-Your contribution: &nbsp;,Time remaining:æ,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please carefully consider you decision. You must wait and think for at least 10 seconds before ma...-Your contribution: &nbsp;,Time elapsed so far:,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,The next two items are meant to / assess your understanding of the decision making task you just / pa...,What level of contribution earns the / highest payoff for the group as a whole?æ,What level of contribution earns the / highest payoff for you personally?æ,Please describe why you chose to contribute the amount that you did:,Next you will be asked to answer a series of questions about yourself. Please answer the question...,I often do my own things.-I often do my own things,Please indicate your level of agreement.-One should live one&#39;s life independently of others,Please indicate your level of agreement.-I like my privacy,Please indicate your level of agreement.-I prefer to be direct and forthright when discussing with people.,Please indicate your level of agreement.-I am a unique individual.,Please indicate your level of agreement.-What happens to me is my own doing.,"Please indicate your level of agreement.-When I succeed, it is usually because of my abilities.",Please indicate your level of agreement.-I enjoy being unique and different from others in many ways.,Please indicate your level of agreement.-It annoys me when others perform better than I do.,Please indicate your level of agreement.-Competition is the law of nature.,"Please indicate your level of agreement.-When another person does better than I do, I get tense and anxious","Please indicate your level of agreement.-Without competition, it is not possible to have a good society.",Please indicate your level of agreement.-Winning is everything.,Please indicate your level of agreement.-It is important that I do my job better than others.,Please indicate your level of agreement.-I enjoy working in situations involving competition with others.,Please indicate your level of agreement.-Some people emphasize winning; I'm not one of them.,Please indicate your level of agreement.-The well-being of my co-workers is important to me.,"Please indicate your level of agreement.-If a co-worker gets a prize, I would feel proud.","Please indicate your level of agreement.-If a relative were in financial difficulty, I would help within my means.",Please indicate your level of agreement.-It is important to maintain harmony with my group.,Please indicate your level of agreement.-I like sharing little things with my neighbors.,Please indicate your level of agreement.-I feel good when I cooperate with others.,Please indicate your level of agreement.-My happiness depends very much on the happiness of those around me.,"Please indicate your level of agreement.-To me, pleasure is spending time with others.",Please indicate your level of agreement.-I would sacrifice an activity that I enjoy very much if my family did not approve of it.,"Please indicate your level of agreement.-I would do what would please my family, even if I detested that activity.","Please indicate your level of agreement.-Before taking a major trip, I consult with most members of my family and many friends.",Please indicate your level of agreement.-I usually sacrifice my self-interest for the benefit of my group.,Please indicate your level of agreement.-Children should be taught to place duty before pleasure.,Please indicate your level of agreement.-I hate to disagree with others in my group.,Please indicate your level of agreement.-We should keep our aging parents with us at home.,Please indicate your level of agreement.-Children should feel honored if their parents receive a distinguished award.,To what extent have you participated in studies like this one before? (i.e. where you choose how...,How many experiments have you completed as part of a subject pool before?æ If this is your first...,"How many paid experiments have you done before?æ If this is your first paid experiment, please ty...","Have you done any experiments on Mechanical Turk or other online sites?æ If no, please type 0 in...","Although this study did not involve deception, have you previously participated in any studies in...",To what extent do you feel you can trust strangers?,To what extent do you feel you can trust other people that you interact with in your daily life?,"Generally speaking, would you say that most people can be trusted / or that you can't be too carefu...","Do you think most people would take advantage of you if they got a / chance, or would they try to b...","Would you say that most of the time people try to be helpful, or / that they are mostly just lookin...",You can't count on strangers anymore. ,Did you hear anything about the present study from previous /  participants?,Please indicate briefly what you think the present study was /  trying to show and how it was tryin...,Please indicate briefly any suspicions or doubts that you had /  about the present study. /  /   /  If yo...,Please indicate for each of the four statements below your level of agreement.-1. I knew what the researchers were investigating in the present study,Please indicate for each of the four statements below your level of agreement.-2. I wasnÍt sure what the researchers were trying to demonstrate in the present study,Please indicate for each of the four statements below your level of agreement.-3. I had a good idea about what the hypotheses were in the present study,Please indicate for each of the four statements below your level of agreement.-4. I was unclear about exactly what the researchers were aiming to prove in the present study,What year were you born?,What is your gender?,"In which city and country did you grow up? If you lived in more than one place, list the one you...","How many participants in the room do you know? Enter the number in the text box below. Enter ""0""...",LocationLatitude,LocationLongitude,LocationAccuracy
R_3Hw57TBzVYaeWdA,Default Response Set,Anonymous,,,149.169.122.217,0,9/22/15 11:51,9/22/15 12:13,1,1,1,0,0,22.419,0,1,400,1,0,0,11.523,0,,,,,,,1,9,1,"In the hope that the group will contribute the max, so we all maximize our outcomes",1,6,4,6,6,6,6,7,6,6,5,6,5,5,6,6,4,6,5,4,6,4,6,5,5,6,4,4,4,5,5,5,5,1,3,0,0,0,7,6,1,2,3,2,2,Whether we would contribute maximally for the group,No,3,6,2,6,64,2,"Omaha, NE",3,33.41479492,-111.9093018,-1
R_1M07loskv3at7K8,Default Response Set,Anonymous,,,149.169.213.138,0,9/22/15 11:54,9/22/15 12:17,1,1,1,0,0,71.348,0,1,,,,,,,200,1,0,0,50.034,0,1,5,1,I chose to contribute this amount because it was already set out for me and the instructions were confusing. I just decided that the other people would probably contribute nothing so I wanted to contribute something.,1,9,4,9,9,2,5,5,2,7,6,4,1,1,6,3,4,1,1,9,2,1,8,7,8,1,1,2,1,3,1,5,6,1,2,0,1,0,1,6,2,2,1,1,2,That people tend to look out for themselves in the modern day instead of thinking of others,no,9,5,9,5,78,2,"Garden Grove, United States",0,33.41479492,-111.9093018,-1
R_ywHQkkXo1CA3hGF,Default Response Set,Anonymous,,,149.169.222.180,0,9/22/15 11:51,9/22/15 12:19,1,1,1,0,0,96.572,0,1,,,,,,,4,1,0,0,18.497,0,1,9,9,I chose to contribute my $4 because I think it is the fair decision to make. I would want all of us to have an equal chance of getting our money doubled. ,1,6,6,8,7,9,6,6,7,6,7,8,7,4,7,6,6,9,9,6,9,4,9,1,8,3,6,4,7,7,4,8,9,1,3,0,0,1,4,8,3,3,3,2,2,I think it was trying to analyze decision making based on how we percieve our self and others. ,no,3,4,3,4,75,2,"Los Angeles, CA - USA",0,33.41479492,-111.9093018,-1
R_237sHHoEISSC0xz,Default Response Set,Anonymous,,,149.169.175.78,0,9/22/15 11:48,9/22/15 12:19,1,1,1,0,0,57.762,0,1,,,,,,,400,1,0,0,20.64,0,1,9,9,"Contributing the highest amount possible has the highest risk of no return. However, contributing the highest amount possible also has the highest potential benefit for myself and for the group as a whole. So by contributing less, there would be a smaller return.",1,9,6,9,9,8,8,9,8,7,6,7,5,7,7,7,2,7,5,9,7,1,7,6,7,1,3,7,1,7,3,9,7,1,3,0,0,0,3,8,3,1,3,1,2,"Perhaps this study is designed to test how well people pay attention to directions. And also if people are interested in benefiting the group as a whole, or keeping the benefits for themselves. ",No,9,4,3,4,72,2,"Arizona, United States",0,33.41479492,-111.9093018,-1
R_vTDoNX3PRSPv3kB,Default Response Set,Anonymous,,,149.169.214.12,0,9/22/15 11:54,9/22/15 12:20,1,1,1,0,0,49.463,0,1,20,1,8.794,10.702,19.193,3,,,,,,,1,5,5,So I was not funding other people to much.,1,6,4,9,4,7,6,8,4,7,9,6,3,3,4,2,3,7,5,7,8,2,8,9,8,3,3,5,8,3,4,7,9,1,2,0,0,1,2,8,1,1,3,1,2,How people think through there views on key things. ,"Was confused on how the whole money problem worked, it was very hard to read for me personally. ",5,4,4,5,75,2,"Burlington Vermont, USA",0,33.41479492,-111.9093018,-1
R_3L1q0YTRyGJl0oY,Default Response Set,Anonymous,,,149.169.224.221,0,9/22/15 11:49,9/22/15 12:21,1,1,1,0,0,69.059,0,1,400,1,0,0,10.467,0,,,,,,,1,9,1,i chose this amount because i came into the study with no money to begin with so walking away from the study with the same amount of money as i did before the study will not negatively affect me as i still recieved credit for the study.  Therefore i chose to give all because i felt it had the highest possible pay off for everyone if we all happened to have the same line of thinking.,1,5,2,7,8,8,4,7,8,6,7,7,3,3,7,7,3,8,7,8,8,5,7,7,8,7,4,6,4,3,2,3,9,2,5,0,0,3,6,8,1,3,2,2,2,i think that this study is trying to show how people can be trusting of others and how that trust relates to our character.  ,my only suspicion is that its possible to have a confederate that chooses the self beneficial monetary option to mess with everyone else,3,5,4,5,76,1,"Phoenix, Arizona",0,33.41479492,-111.9093018,-1
R_OwMrbLSGOmQmXND,Default Response Set,Anonymous,,,149.169.215.0,0,9/22/15 11:55,9/22/15 12:21,1,1,1,0,0,69.161,0,1,400,1,0,0,13.116,0,,,,,,,1,5,9,I distributed the highest amount to receive the highest amount after the contribution. If for every 2 cents I get 1 cent then the highest contribution will allow me the highest amount to receive back. ,1,7,7,8,7,5,8,5,5,2,5,6,5,5,5,1,7,5,6,6,9,5,7,3,5,5,7,6,4,4,7,5,8,1,3,0,2,0,1,2,2,1,3,2,2,"I believe this study is trying to determine how fast people make decisions on both personal questions and analytical questions. They showed this by having the participate assess a question and answer with our best abilities, and then they had us answer personal questions about who we are. ",no,4,4,5,4,76,2,"Anthem, United States ",0,33.41479492,-111.9093018,-1
R_2CCWecemG2Cqoz0,Default Response Set,Anonymous,,,149.169.231.217,0,9/22/15 11:52,9/22/15 12:22,1,1,1,0,0,37.32,0,1,,,,,,,400,1,0,0,18.282,0,1,9,1,I feel that making the group suffer just for my own personal gain is selfish. I'd rather have each group member have an equal share instead of me keeping my money and leaving them with almost nothing. How could I feel good about myself if I made it bad for them just so I can be happy? Knowing that they are going to suffer because of my greed hurts.,1,7,3,8,6,9,5,8,9,5,6,6,1,1,5,6,7,9,7,9,9,8,9,9,5,7,9,8,8,7,7,8,8,1,1,0,0,0,6,8,2,3,3,2,2,"I think that this study was trying to show how people would take advantage over others given that there would be no way of others knowing about their deception. It was trying to show what people would really do, whether it be personal monetary gain or personal conscience gain.","I feel that all us participants should, instead of being in one big room, be separated so that we can't see each other. I know I can't tell who is in my group, but still, I did recognize two people from my other classes. If people knew others in the same subject pool, it can change their decision. I didn't do that, but others might.",7,9,7,9,76,2,"Somerton, Arizona, United States",2,33.41479492,-111.9093018,-1
R_3ptNbtANGqOYysE,Default Response Set,Anonymous,,,149.169.172.13,0,9/22/15 11:53,9/22/15 12:22,1,1,1,53.048,53.048,107.422,1,1,,,,,,,200,1,0,0,39.45,0,1,9,1,I chose 200 cents because it is right in the middle of 0 and 400 cents. It helps out my other group mates without cheap shotting them or giving myself the lowest return amount.,1,5,7,8,8,9,7,6,9,4,6,5,7,1,7,5,8,8,6,9,9,6,6,8,8,7,9,9,9,7,7,8,9,1,1,0,0,1,4,5,3,1,2,1,2,"This study was trying to show how many people are skeptical of others and trust towards them. If they trusted that their group members would put in all of their money, they would too. But if they thought that they would put nothin gin, they would put nothing in as well.",no,5,2,5,2,77,2,"Phoenix, Az",0,33.41479492,-111.9093018,-1
