Study	Condition	Contribution	Disobeyed	Prediction	Female	Age	US_Resident	Education	Failed_Comprehension
7	Time_delay	0	0	50	0	22	1	Attended_college	0
7	Time_delay	0	0	250	0	20	1	Attended_college	0
7	Time_delay	400	0	392	1	18	1	High_school_diploma	0
7	Time_delay	0	0	130	1	21	1	Attended_college	1
7	Time_delay	400	0	300	0	18	1	High_school_diploma	1
7	Time_delay	0	1	150	0	22	1	Attended_college	1
7	Time_delay	300	0	300	1	21	1	Bachelor's_degree	0
7	Time_delay	400	0	350	1	23	1	Bachelor's_degree	1
7	Time_delay	100	0	100	1	19	1	Attended_college	1
7	Time_delay	200	0	200	1	22	1	Attended_college	0
7	Time_delay	0	1	200	1	24	1	Bachelor's_degree	0
7	Time_delay	250	0	300	1	23	1	Graduate_degree_	1
7	Time_delay	0	0	100	0	22	1	Attended_college	0
7	Time_delay	150	0	200	1	20	1	Attended_college	0
7	Time_delay	282	0	282	0	21	1	Attended_college	0
7	Time_delay	300	0	274	1	24	1	Bachelor's_degree	1
7	Time_delay	60	0	100	1	25	1	Bachelor's_degree	1
7	Time_delay	0	0	50	1	19	1	High_school_diploma	1
7	Time_delay	400	0	400	1	22	1	Attended_college	1
7	Time_delay	0	1	20	0	18	1	Attended_college	0
7	Time_delay	50	0	132	1	22	1	Attended_college	1
7	Time_delay	400	0	400	1	21	1	Attended_college	1
7	Time_delay	0	1	200	1	21	1	Attended_college	0
7	Time_delay	100	0	200	1	19	1	Attended_college	0
7	Time_delay	400	0	270	1	18	1	Attended_college	1
7	Time_delay	0	0	0	0	19	1	High_school_diploma	0
7	Time_delay	200	0	154	1	18	1	High_school_diploma	0
7	Time_delay	256	0	286	1	21	1	Attended_college	1
7	Time_delay	0	0	100	1	23	1	Bachelor's_degree	0
7	Time_delay	400	0	350	1	22	1	Bachelor's_degree	1
7	Time_delay	100	0	150	1	21	1	High_school_diploma	0
7	Time_delay	100	0	200	0	19	1	Attended_college	0
7	Time_delay	200	0	100	1	22	1	Bachelor's_degree	0
7	Time_delay	300	0	260	1	25	1	Graduate_degree	0
7	Time_delay	200	0	250	1	25	1	Bachelor's_degree	0
7	Time_delay	100	0	76	0	22	1	Bachelor's_degree	1
7	Time_delay	100	0	100	1	20	1	Attended_college	0
7	Time_delay	0	0	0	0	23	1	Attended_college	0
7	Time_delay	0	0	10	1	19	1	Attended_college	0
7	Time_delay	400	0	300	0	20	1	Attended_college	0
7	Time_delay	400	1	300	0	25	1	Bachelor's_degree	0
7	Time_delay	0	0	400	0	20	1	Attended_college	0
7	Time_delay	200	0	300	0	21	1	Bachelor's_degree	0
7	Time_delay	400	0	400	0	23	1	Bachelor's_degree	0
7	Time_delay	400	0	200	1	26	1	Bachelor's_degree	0
7	Time_delay	0	0	222	1	18	1	Attended_college	0
7	Time_delay	252	0	312	1	25	1	Graduate_degree	0
7	Time_delay	50	0	68	0	21	1	Bachelor's_degree	0
7	Time_delay	400	0	400	1	19	1	High_school_diploma	0
7	Time_delay	0	0	300	0	18	1	High_school_diploma	0
7	Time_delay	100	0	50	1	19	1	High_school_diploma	0
7	Time_delay	400	0	400	0	20	1	Attended_college	0
7	Time_delay	0	0	190	1	20	1	Attended_college	1
7	Time_delay	400	0	300	0	19	1	High_school_diploma	0
7	Time_delay	400	0	300	1	20	1	Attended_college	0
7	Time_delay	0	0	0	1	22	1	Attended_college	1
7	Time_delay	400	0	200	0	21	1	High_school_diploma	0
7	Time_delay	0	0	100	0	19	1	Attended_college	0
7	Time_delay	0	0	120	1	22	1	High_school_diploma	0
7	Time_delay	300	0	250	1	30	1	Bachelor's_degree	0
7	Time_delay	200	0	220	0	22	1	Attended_college	0
7	Time_delay	300	0	250	0	22	1	High_school_diploma	1
7	Time_delay	160	0	160	0	18	1	Attended_college	0
7	Time_delay	300	0	200	1	18	1	High_school_diploma	1
7	Time_delay	400	0	204	0	22	1	Attended_college	0
7	Time_delay	40	0	100	0	19	1	Attended_college	0
7	Time_delay	0	0	180	0	23	1	Attended_college	0
