V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ICR,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,TPC_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,Un1,Un2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0BQnUgdv05LgBmp,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 14:12,4/13/16 14:25,1,1,1,0,0,68.493,0,1,250,1,8.911,8.911,9.637,1,,,,,,,1,4,1,Espero que los demàs hayan tomado la misma decisiÑn que yo y todos nos llevemos 5ó que es una buena cantidad!,1,8,5,9,8,8,8,8,8,2,6,2,3,3,6,7,7,8,9,9,7,6,9,5,8,3,4,6,7,6,3,3,9,3,3,3,0,0,8,9,1,2,2,2,2,"CÑmo tomamos decisiones a partir de ninguna o poca informaciÑn, como la apariencia de las personas. Y si creemos que las personas son altruistas o en funciÑn de qu_ toman sus decisiones.",No.,6,2,6,2,74,2,Barcelona,0,41.38879395,2.158996582,-1,6,1
R_11Yq6YYljHPRN8L,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 13:13,4/13/16 13:27,1,1,1,0,0,119.835,0,1,,,,,,,126,1,19.86,19.86,21.64,1,1,9,1,Aposte la mitad porque si apuesto todo y los demàs no apuestan nada yo pierdo mientra que lo mismo si yo no auesto y los demàs tampoco,1,9,1,9,8,9,9,5,9,1,3,1,5,1,1,1,3,7,6,4,9,1,9,9,7,3,6,1,7,8,9,9,9,1,1,1,0,0,3,7,3,3,3,2,2,Creo que este estudio pretende demostrar hasta que punto somos de egoistas al igual que en cuanto confiamos en los demàs y nos importan los demas,no,9,7,9,7,78,1,Parets Espanya,0,41.38879395,2.158996582,-1,11,1
R_124kUjbmCCi9Oz6,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 15:22,4/13/16 15:35,1,1,1,0,0,76.318,0,1,,,,,,,250,1,2.972,2.972,4.51,1,1,9,1,"ElegÕ aportar toda la cantidad posible puesto que es la manera de que todos ganemos el màximo posible, pero siempre por igual.",1,9,9,5,6,9,9,6,9,2,1,1,1,3,5,1,8,8,9,7,7,1,5,9,9,2,7,5,9,4,9,5,9,3,3,3,0,0,1,1,2,3,3,2,2,"Considero que este estudio pretende valorar la actitud que muestra el ser humano en situaciones clave para ver esto reflejado, la actitud. Se ha enfocado desde distintas perspectivas, desde la econÑmica a la moral. A medida que he ido realizàndolo veÕa que cada vez tenÕa màs forma.",no,3,4,9,5,77,1,"Viladecans, Hospitalet de Llobregat",0,41.38879395,2.158996582,-1,11,1
R_12comAelZEWXS0c,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:18,4/13/16 16:28,1,1,1,52.124,52.354,54.144,2,1,0,1,5.384,5.384,8.235,1,,,,,,,1,9,1,Por beneficio propio,1,9,6,9,9,9,7,8,9,7,4,3,1,1,8,9,8,5,3,9,9,9,8,6,6,1,1,9,3,6,1,1,9,4,7,7,0,0,1,10,2,1,1,1,2,En mi opiniÑn el estudio intenta analizar con breves preguntas como eres y el porque de tu decisiÑn sobre el aporte econÑmico que has realizado.,no,6,4,6,3,78,1,Barcelona,1,41.38879395,2.158996582,-1,11,1
R_12PhkYNWUnWFm1s,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 16:18,4/13/16 16:28,1,1,1,0,0,41.15,0,1,123,1,12.13,12.13,16.686,1,,,,,,,1,9,1,"no me tuve tiempo a pensar, ya que el tiempo fue muy justo.",1,5,5,7,5,9,4,6,6,7,5,7,4,7,8,2,5,5,5,7,9,8,7,8,7,4,5,6,7,5,7,5,8,3,3,3,0,0,3,3,2,3,2,1,2,la dependencia de las personas con su alrededor.,No.,9,9,9,9,74,3,"Barcelona, Espa_a",1,41.38879395,2.158996582,-1,11,1
R_1cRFdo9wYjvVbaR,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 16:19,4/14/16 16:30,1,1,1,1.97,65.736,67.104,5,1,4,1,11.698,11.698,14.047,1,,,,,,,1,9,1,"Porque si aporto cero, salgo ganando ya que seguramente las otras dos personas aportaràn algo de dinero 2,5",1,6,5,6,7,9,8,5,9,7,7,7,6,6,6,8,7,7,6,8,9,3,9,9,8,5,4,6,7,6,5,6,6,3,1,1,0,0,8,8,1,3,1,2,2,El presente estudio intentaba demostrar si las personas suelen velar por sus propios intereses en la mayorÕa de decisiones que toman a lo largo de su vida y su felicidad està basada en si esos intereses que tenÕa previstos los consigue por condiciÑn humana o si a parte de tener sus intereses vela por el cumplimiento del resto de intereses y la felicidad del resto afecta a los intereses que elige tener,No,5,5,6,5,77,2,espa_a,1,41.38879395,2.158996582,-1,11,1
R_1d3QuHj4bFyjV25,Default Response Set,Anonymous,,,193.145.56.242,0,4/14/16 16:20,4/14/16 16:32,1,1,1,0,0,54.872,0,1,,,,,,,200,1,7.041,7.041,8.859,1,1,9,1,"Porque aunque gane menos que si invirtiera la totalidad de mi dinero si todos hiciesen igual, arriesgo solo 4 de 5 partes de mi capital.",1,7,2,3,7,7,6,9,7,5,1,4,1,1,6,2,6,9,9,8,8,8,9,8,8,4,2,8,8,7,7,5,9,2,4,4,1,0,6,8,3,2,3,2,2,"Intenta demostrar que las personas que màs confÕan en la bondad del ser humano y sus correctas actitudes morales, son capaces de arriesgar màs porque confÕan màs en los demàs que no los que creen en la maldad del ser humano.",no,4,5,6,2,76,1,"Barcelona, Espa_a",2,41.38879395,2.158996582,-1,11,1
R_1d6JyrKR39K6oSE,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 15:22,4/13/16 15:42,1,1,1,0,0,137.62,0,1,,,,,,,150,1,14.035,14.035,16.478,1,1,9,1,Para contribuir al fondo comÏn pero a la vez asegura una parte extra para mi.,1,7,5,9,6,9,5,7,9,3,8,2,5,1,5,2,7,9,5,9,8,1,9,2,1,1,2,2,3,2,5,8,5,3,2,3,0,0,8,10,1,2,3,2,2,Quizà intentaba demostrar el grado de confianza y abuso de la misma en circunstancias en las que tu identidad està protegida. Tambi_n que tanto riesgo se puede jugar al decidir confiar en desconocidos cuya identidad està protegida. / PodrÕa demostrarse en funciÑn de las cantidades que los usuarios aportaran al fondo comÏn.,dude si los miembros del equipo tomarÕan ventaja de la situaciÑn,6,7,5,5,64,1,M_xico,0,41.38879395,2.158996582,-1,11,1
R_1DD19IIZYOiUfCy,Default Response Set,Anonymous,,,193.145.56.242,0,4/13/16 14:13,4/13/16 14:22,1,1,1,0,0,63.755,0,1,0,1,2.998,2.998,5.827,1,,,,,,,1,9,1,Porque independientemente de lo que hagan los demàs asÕ yo recibir_ un pago màs elevado.,1,6,5,7,6,5,6,6,6,4,4,2,4,3,3,5,6,4,6,6,6,4,6,4,6,3,3,5,4,6,6,4,6,2,5,5,0,0,7,9,3,3,3,1,2,Intenta demostrar si las personas contribuyen a un fondo comÏn pese a que no sea la mejor opciÑn racionalmente.,No,6,2,6,2,76,2,"Ibiza, Espa_a",1,41.38879395,2.158996582,-1,11,1
