V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_2,HI2_3,HI3_3,HI4_5,HI5_5,HI6_6,HI7_1,HI8_3,VI1_4,VI2_5,VI3_6,VI4_6,VI5_7,VI6_8,VI7_2,VI8_1,HC1_3,HC2_4,HC3_6,HC4_6,HC5_6,HC6_6,HC7_7,HC8_6,VC1_7,VC2_7,VC3_7,VC4_7,VC5_7,VC6_6,VC7_7,VC8_7,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_14,PARH4_7,PARH4_9,PARH4_11,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0ca7ZeOUSmMDjqN,Default Response Set,Anonymous,,,14.139.244.242,0,9/4/2016 14:30,9/4/2016 14:59,1,1,1,0,0,185.838,0,1,45,1,6.672,8.902,9.892,2,,,,,,,1,7,6,its good for me,1,9,6,6,9,8,9,6,7,6,8,2,7,5,6,7,6,8,6,1,7,7,9,7,7,5,6,4,7,9,1,9,9,1,0,0,0,0,7,7,5,3,3,3,2,trying to check if we trust strangers or not,no,5,3,3,4,73,1,"allahabad , india",1,25.44999695,81.8500061,-1
R_0JVGEtTpvqB794t,Default Response Set,Anonymous,,,14.139.244.242,0,28/05/2016 11:36,28/05/2016 12:03,1,1,1,0,0,115.761,0,1,80,1,11.128,90.063,91.015,9,,,,,,,1,2,2,because i have got some more money.,1,6,6,7,6,3,9,9,9,7,6,7,7,4,8,8,6,8,7,6,8,7,8,6,5,7,8,3,6,8,3,9,8,3,1,1,0,0,7,8,1,3,2,1,2,i feels that this study trying to know about my opinion for any other person or any sensitive matter.,no,5,4,3,3,76,1,sultanpur,2,25.44999695,81.8500061,-1
R_10BgmRo2n7kIrMo,Default Response Set,Anonymous,,,14.139.244.242,0,31/03/2016 12:12,31/03/2016 12:45,1,1,1,0,0,159.932,0,1,,,,,,,32,1,35.122,42.016,42.725,2,1,9,1,personal benifit,1,8,9,8,9,8,9,7,4,2,7,4,8,2,2,7,8,9,9,3,9,7,8,8,7,3,4,5,6,9,2,8,9,1,0,9,0,0,3,6,4,1,2,1,2,"Relationship between our decisions, believes about self and others behavious and and inconsistencies between them.",No,2,6,2,6,74,2,Allahabad India,6,25.44999695,81.8500061,-1
R_11c43gmayM9Bxgg,Default Response Set,Anonymous,,,14.139.244.242,0,26/05/2016 12:03,26/05/2016 12:51,1,1,1,0,0,205.759,0,1,,,,,,,0,1,17.51,17.51,19.845,1,1,1,1,benfit for me,1,9,9,9,9,1,1,9,1,1,1,1,1,9,9,9,1,9,9,9,9,1,9,9,1,9,1,9,1,1,9,9,9,1,0,0,0,0,1,1,4,1,2,1,2,[Translated] This study was assessment of my ability. ,[Translated] No,1,6,1,1,77,2,aghiya,1,25.44999695,81.8500061,-1
R_1BV4V2xlPJVJLpg,Default Response Set,Anonymous,,,14.139.244.242,0,9/4/2016 14:31,9/4/2016 14:55,1,1,1,0,0,223.33,0,1,,,,,,,35,1,16.548,28.995,34.502,3,1,9,1,you dont have to be perplexed by the idea of giving all the things that you have got . So keep something with yourself and give something to others. / ,1,2,3,5,9,5,9,7,9,2,9,2,4,1,2,9,7,8,6,9,9,3,5,8,8,7,6,7,3,9,2,9,9,3,0,0,0,0,7,5,5,1,3,3,2,This study finds out the basic ideology of life. This study made me to understand to be versatile in life. This also gives you the idea of celebrating life in all of its flamboyant colours.,NO.,2,6,1,1,79,1,allahabad,0,25.44999695,81.8500061,-1
R_1dBrxzSbXGn7tfL,Default Response Set,Anonymous,,,14.139.244.242,0,18/05/2016 10:12,18/05/2016 10:38,1,1,1,0,0,154.829,0,1,80,1,6.54,8.664,9.405,2,,,,,,,1,9,9,[Translated] This has maximum profit.,1,6,9,5,8,7,7,8,9,8,7,6,8,5,7,9,4,6,6,7,7,5,6,5,6,6,6,6,5,5,3,9,9,1,1,8,1,0,6,8,5,3,3,3,2,[Translated] This experiment shows that how people view self profit when they have competition in group.,no,5,3,5,3,76,1,jhansi ..india ,1,25.44999695,81.8500061,-1
R_1DBSptCOEsUO05B,Default Response Set,Anonymous,,,117.241.102.21,0,19/06/2016 14:39,19/06/2016 15:11,1,1,1,11.232,11.232,131.949,1,1,,,,,,,0,1,7.973,20.01,23.618,3,1,1,2,i help you,1,9,1,5,9,1,1,8,3,9,9,9,1,9,9,4,9,5,9,9,9,1,9,5,7,1,9,9,1,9,6,9,9,5,1,1,0,0,1,1,5,1,3,3,2,i help you puplic,not,7,2,7,7,79,1,allahabad,6,25.44999695,81.8500061,-1
R_1EcXLymGBwCIx82,Default Response Set,Anonymous,,,14.139.244.242,0,4/5/2016 15:33,4/5/2016 16:00,1,1,1,144.965,144.965,152.299,1,1,,,,,,,0,1,41.79,46.589,67.725,2,1,1,1,just human nature to earn money,1,8,1,7,8,7,8,8,7,3,9,6,8,8,8,8,2,6,8,6,6,6,6,2,4,4,3,4,3,2,3,9,8,1,0,1,0,0,3,4,5,3,3,1,2,pesonality test...how your nature are,no / ,5,2,2,6,72,1,"allahabad, india",0,25.44999695,81.8500061,-1
R_1Ejpxf7y5jPMB2m,Default Response Set,Anonymous,,,14.139.244.242,0,6/5/2016 13:36,6/5/2016 14:12,1,1,1,0,0,217.336,0,1,,,,,,,60,1,8.141,8.141,10.62,1,1,9,9,"60 that is contribution among three , which is considered as a equal sharing  / 20 as saving or might be used in  any difficult situation / also, 30 would  be returned as a half amount of sharing. ",1,5,9,8,9,1,9,8,5,1,6,1,7,1,5,7,9,9,9,9,9,6,9,6,9,1,1,8,6,5,2,9,9,1,0,1,0,0,2,5,5,1,3,1,2,"according to me this study is to identify the human tendency or behaviour toward  his/her social environment.  which will be different for different person, based on their past experiences. / how a person could be more  generous or helpful to those who are known to him as compared to unknown ones.",no,3,4,2,3,78,2,"ALLAHABAD , INDIA",1,25.44999695,81.8500061,-1
R_1fdrsqEoThRSLrI,Default Response Set,Anonymous,,,117.241.102.167,0,19/06/2016 11:23,19/06/2016 12:13,1,1,1,3.546,3.546,144.097,1,1,,,,,,,16,1,16.893,55.169,59.149,4,1,6,3,[Translated] For public help.,1,9,8,7,7,9,8,8,5,2,8,2,4,8,8,9,1,7,9,9,8,7,9,2,6,9,3,8,4,2,4,9,9,3,0,0,0,0,4,4,4,1,1,1,2,[Translated] To check mind.,not,4,6,3,4,69,1,goprakhpur,10,25.44999695,81.8500061,-1
R_1FJqm9v2sBhxMa1,Default Response Set,Anonymous,,,14.139.244.242,0,28/05/2016 11:33,28/05/2016 11:56,1,1,1,170.628,170.628,172.434,1,1,,,,,,,15,1,8.763,9.755,16.418,2,1,9,9,contribution might bring profit to group,1,9,9,9,9,8,9,9,9,7,9,7,9,9,8,9,8,7,2,9,9,8,9,8,9,8,6,9,9,9,2,9,9,5,0,2,0,0,1,1,5,1,3,1,2,the experiment was about how we conduct ourselves in a group and take decisions with the help of group members.,no,3,6,1,6,78,2,allahabad,1,25.44999695,81.8500061,-1
R_1FRMUQBCKlr1cde,Default Response Set,Anonymous,,,117.241.102.169,0,18/06/2016 12:22,18/06/2016 12:45,1,1,1,0,0,17.627,0,1,,,,,,,20,1,11.677,11.677,18.363,1,1,3,2,because i want to gave only 20 ruppees,1,8,3,7,8,7,8,9,8,3,9,3,7,5,8,9,5,9,9,5,9,6,1,6,5,8,6,6,8,5,3,9,9,3,0,0,0,0,2,6,5,1,3,3,2,know to the human think,no,4,5,4,6,79,1,ALLAHABAD(INDIA),0,25.44999695,81.8500061,-1
