V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,,HI2_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_07EZ2osBE150h5D,Default Response Set,Anonymous,,,130.236.248.206,0,11/3/15 11:34,11/3/15 11:48,1,1,1,0,0,61.076,0,1,,,,,,,30,1,0,0,29.639,0,1,9,5,Jag valde att bidra med 30 kr f_r gruppens b_sta. Tror _ven att det gynnar mig personligen.,1,7,6,3,7,9,3,6,7,6,6,3,6,5,7,6,6,8,7,7,7,3,6,8,7,3,7,9,7,2,9,3,2,1,0,0,0,0,7,8,3,2,3,2,2,Konsekvenser/resultat av beslutsfattande f_r mig som individ och f_r gruppen. S_tta ig‘ng reflektion kring vad man grundar sina beslut p‘ och vad man v_rderar.,Nej,6,4,5,2,76,2,"Stockholm, Sverige",1,58.41670227,15.61669922,-1,,3
R_0JnV6XkTMs9SpkR,Default Response Set,Anonymous,,,130.236.248.212,0,11/3/15 13:33,11/3/15 13:53,1,1,1,0,0,70.071,0,1,40,1,5.505,10.206,11.58,2,,,,,,,1,9,1,"Eftersom jag vill dela med mig samt ge ett bra intryck av mig som person inf_r de andra. Dessutom anser jag 40 kr som en relativt liten summa d_r jag hellre tar risken att f_rlora upp till 30 kr dels f_r att ha chansen att f‘ 80 kr ist_llet, och dels f_r att framst‘ som en givmild person som vill att vi alla ska hj_lpas ‘t. ",1,6,3,5,8,8,8,6,7,7,9,4,1,2,6,7,8,9,5,5,8,6,9,7,9,5,8,3,8,7,6,2,3,1,3,0,0,0,7,8,1,3,1,2,2,F_rs_kte i n‘gon form visa vad vi har f_r ideologi och _ven till viss del politisk inst_llning. Detta eftersom jag anser att man kan dra tydliga paralleller mellan hur man agerar som person i relation till andra personer och hur man ser p‘ samh_llet och hur det skall styras.,Jag tyckte situationen innan testet b_rjade var stressig. Personen som fr‘gade om jag ville vara med var mycket stressad och det gjorde att jag fick ett mer oseri_st intryck av studien. ,3,6,4,5,77,1,"Tidaholm, Sverige",3,58.41670227,15.61669922,-1,,11
R_123Zk73g8AQ8r50,Default Response Set,Anonymous,,,130.236.248.212,0,11/3/15 15:09,11/3/15 15:28,1,1,1,0,0,80.762,0,1,,,,,,,25,1,0,0,42.993,0,1,9,1,"F_rst var jag inne p‘ att bidra med hela beloppet, men sedan blev jag lite os_ker. D_rf_r best_mde jag mig f_r att bidra med 25 kronor till den gemensamma potten. I detta _gonblick (n_r jag skriver det h_r) s‘ ‘ngrar jag mig lite. Jag skulle ha bidragit med hela beloppet (40 kronor) ist_llet f_r att maximera gruppens ""inkomst"".",1,6,9,7,5,9,6,5,5,4,7,3,7,7,4,5,4,8,8,7,9,7,8,9,7,9,7,7,8,4,8,3,7,1,0,0,0,0,6,8,1,2,3,2,2,Hur folk v_rderar sig sj_lv emot gruppen,nej,3,3,5,3,77,1,"Flen, Sverige",2,58.41670227,15.61669922,-1,,6
R_1C2T9kpHZ3HN00K,Default Response Set,Anonymous,,,130.236.248.222,0,11/4/15 11:05,11/4/15 11:23,1,1,1,0,0,80.195,0,1,40,1,0,0,6.027,0,,,,,,,1,9,1,Jag tror p‘ samarbete f_r allas b_sta. Med de resurser och omst_ndigheter som r‘dde k_ndes det sj_lvklart f_r mig att bidra till den gemensamma poolen. Om jag f_rstod omst_ndigheterna r_tt s‘ var det en skillnad p‘ 20 kr mellan att ta den sj_lviska v_gen och resultatet fr‘n ett gemensamt sammarbete. Att slopa andra p‘ ett par kronor f_r att jag ska ha r‘d med 2 st. cheeseburgare faller inte mig in.,1,6,9,5,6,6,6,7,8,5,8,6,2,2,8,7,6,8,8,7,8,7,7,8,7,2,1,8,6,6,2,3,6,2,0,0,0,0,7,9,1,3,1,2,2,"Jag tror studien f_rs_kte visa hur pass mycket m_nniskor litar p‘ varandra i dagens samh_lle. —ven hur stort tillit man visar familj och v_nner, samt hur man ser p‘ sig sj_lv och hur man j_mf_r sig sj_lv med andra. / Detta visade studien via de olika fr‘gest_llningarna.",nej,9,4,3,4,76,1,"V_ster‘s, Sverige",2,58.41670227,15.61669922,-1,,6
R_1CeHcEIeAuyfM9a,Default Response Set,Anonymous,,,130.236.248.208,0,11/3/15 10:48,11/3/15 11:00,1,1,1,0,0,66.959,0,1,,,,,,,30,1,0,0,24.545,0,1,9,1,Jag valde att bidra med 30 kr eftersom jag hoppas p‘ att de andra ocks‘ t_nker som jag - att vi ska sammarbeta f_r att det ska g‘ s‘ bra som m_jligt - men sparade 10 kr som en back-up ifall det skulle visa sig att de resonerat annorlunda.,1,8,2,4,3,9,5,6,5,4,3,3,2,3,3,2,4,9,7,8,9,7,8,9,9,4,9,8,8,2,8,8,2,1,0,0,0,0,9,9,1,2,3,2,2,"Altruism vs egoism - utf_r jag en handling som kan gagna andra (och mig sj_lv) trots att det finns en riks att jag sj_lv f_rlorar p‘ det eller l‘ter jag ist_llet det s_kra g‘ f_re det os_kra och ""offrar"" andras intressen framf_r mina egna? D_refter sattes detta i perspektiv med hur vi anser att ett samh_lle ska fungera och hur vi sj_lva _r som individer - och kan s‘ledes koppla ihop personlighetsdragen med hur vi valt att agera och kan f_rs_ka dra slutsatser utefter det.",nej,7,9,6,9,77,2,"G_teborg, Sverige",1,58.41670227,15.61669922,-1,,12
R_1CHjv6XpcahTEXs,Default Response Set,Anonymous,,,130.236.248.203,0,11/3/15 15:08,11/3/15 15:19,1,1,1,0,0,174.277,0,1,,,,,,,0,1,0,0,35.528,0,1,9,1,F_r att jag tror att min egen personliga vinning _r st_rst p‘ grund av det h_r,1,5,5,5,5,8,8,7,7,7,7,5,9,6,7,7,3,8,7,8,7,5,8,8,8,5,3,7,4,2,5,1,8,1,1,1,0,0,7,8,1,3,1,2,2,Hur egoistiska vi _r,nej,2,2,2,2,72,3,Kalmar,1,58.41670227,15.61669922,-1,,2
R_1cTxiExVkGyj2iv,Default Response Set,Anonymous,,,130.236.248.206,0,11/3/15 09:18,11/3/15 09:33,1,1,1,43.757,43.757,60.973,1,1,0,1,0,0,9.002,0,,,,,,,1,9,1,"Lite f‘ngarnas dilemma, alla har incitament att beh‘lla sina pengar s‘ jag f_rlorar mer om om jag bidrar till gruppen _n om i ett optimalt scenario alla gjorde det.",1,8,4,4,7,8,8,8,8,7,9,2,8,4,8,7,1,5,1,4,6,8,9,6,7,5,4,1,2,8,4,2,2,3,1,1,0,0,2,5,1,2,2,2,2,Koppling mellan individualism och fr_mlingsfientlighet,nej,9,6,2,7,70,1,V_stervik,0,58.41670227,15.61669922,-1,,1
R_1CxRyTdPWTRIU0h,Default Response Set,Anonymous,,,130.236.248.208,0,11/3/15 11:37,11/3/15 11:58,1,1,1,0,0,205.818,0,1,,,,,,,40,1,0,0,153.104,0,1,9,1,"Jag har sett liknande studier tidigare och resultat visar att de flesta v_ljer det alternativ som har st_rst chans att g‘ igenom. Visserligen tj_nar jag mer p‘ att inte bidra med n‘gonting till gruppen om de andra v_ljer att g_ra det, men jag tror att de flesta kommer att vilja bidra med n‘gon slant...det handlar inte om s‘ mycket pengar och jag tror man _r villig att experimentera och testa. ifall jag hade valt att bidra med 0 SEK och alla andra i min grupp ocks‘ hade gjort det, tj_nar vi enbart 40 SEK var.....",1,6,4,8,3,9,2,3,8,2,8,2,8,2,2,3,5,8,7,6,8,3,3,8,7,1,2,8,8,2,8,2,3,3,0,0,0,0,3,7,3,2,1,2,2,Beslutstagande i olika situationer / P‘litlighet  / Risktagande  / Egenvinning/nyttomaximering / Sammarbete,nej,5,2,5,2,77,2,"Link_ping, Sverige",1,58.41670227,15.61669922,-1,,1
R_1F2ig5wIAfGDjQO,Default Response Set,Anonymous,,,130.236.248.203,0,11/3/15 13:33,11/3/15 13:49,1,1,1,0,0,86.591,0,1,30,1,0,0,16.111,0,,,,,,,1,9,1,Jag _verv_gde risken att n‘gon skulle beh‘lla sina pengar mot nyttan av m_ngden pengar jag sj_lv la i potten. Jag ville inte beh‘lla alla mina pengar eftersom det finns en risk att de andra ocks‘ skulle g_ra det. Av samma anledning ville jag inte s_tta in allting. 30kr k_ndes som en acceptabel och potentiellt gynnsam kompromiss.,1,8,8,5,7,8,5,8,7,6,5,6,3,3,3,3,5,7,6,7,6,7,7,5,5,1,2,3,3,3,5,3,5,1,0,0,0,0,2,6,2,1,2,1,2,"Hur folk agerar i en slumpm_ssigt vald grupp av fr_mlingar, och hur mycket man _r beredd att lita p‘ andras beslut.",Nej,5,3,9,7,70,2,"Helsingfors, Finland",0,58.41670227,15.61669922,-1,,5
