V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_01knBh8LRTfXDfr,Default Response Set,Anonymous,,,129.59.231.190,0,2/15/16 12:24,2/15/16 12:49,1,1,1,0,0,91.223,0,1,,,,,,,400,1,15.714,15.714,16.78,1,1,9,9,Hoping that everyone else in the group will contribute all of their money so we can all get the highest pay off together,1,7,8,9,4,8,5,6,7,8,5,8,5,5,7,4,8,9,7,6,8,6,8,8,2,1,1,8,7,5,9,1,8,1,0,0,0,0,8,9,1,2,1,2,2,Trying to show how much dependence we put on what others think in regards to our own happiness and well-being and to what extent we are willing to sacrifice others well-being for our own.,no,6,2,6,2,70,1,"Franklin, TN",0,36.14729309,-86.77700043,-1
R_034o3hnzDbHMYPb,Default Response Set,Anonymous,,,129.59.231.148,0,3/14/16 12:12,3/14/16 12:49,1,1,1,0,0,65.751,0,1,213,1,5.923,5.923,7.067,1,,,,,,,1,9,5,"i want to make sure that i am contributing enough for the group, but i think it is best if i have some sort of safety net for myself if the others do not contribute as much as i did. ",1,6,1,6,3,9,6,5,9,5,9,4,7,2,6,6,5,7,8,6,9,9,7,7,7,5,7,3,8,7,9,4,9,1,0,15,0,0,7,9,1,2,3,2,2,i think the study is trying to show me whether my values and beliefs about trust and independence reflects on how i make financial decisions. maybe it tries to check whether the values we believe in really did influence our actions,i don't know whether they would reward people with most trustworthiness or less. ,9,6,4,7,69,2,"jakarta, indonesia",1,36.14729309,-86.77700043,-1
R_037BlFt36R4yiPv,Default Response Set,Anonymous,,,129.59.231.190,0,4/21/16 12:38,4/21/16 13:13,1,1,1,0,0,46.921,0,1,,,,,,,235,1,31.344,45.151,56.778,3,1,9,1,"The payoffs will depend on how selfishly the other participants act, and without knowing the behavioral natures of others, the safest choice is to contribute nothing. But having faith that the others will at least contribute something, I chose to contribute a medium amount.",1,8,4,8,6,8,8,7,8,7,7,7,5,3,7,4,7,7,7,6,7,6,9,7,7,1,2,8,7,7,8,6,8,1,0,1,0,0,7,9,3,2,1,2,2,The correlation of different personality types and the ways they interact with strangers (degrees of trust),no,6,2,5,2,77,2,"Dallas, TX",1,36.14729309,-86.77700043,-1
R_10GCiMQsfcyXpKq,Default Response Set,Anonymous,,,129.59.230.246,0,2/8/16 12:15,2/8/16 12:49,1,1,1,0,0,62.891,0,1,,,,,,,240,1,32.821,32.821,36.885,1,1,1,1,"There was really no thouht process, I just chose an asrbitrary number",1,7,4,9,7,7,7,7,6,5,9,5,8,3,7,5,7,7,7,7,7,6,7,6,5,5,6,8,5,6,8,8,8,1,0,3,0,0,3,8,2,3,3,1,2,"I think the study was trying to see if given the opportunity to help only themselves or to help the group as a whole, which option they would chooose. It was showing that most people would choose to help themselves because they don't feel as if they can trust other people that they don't know with their money",no,2,6,2,6,77,2,"Pembroke Pines, Florida, USA",0,36.14729309,-86.77700043,-1
R_1CjtjtTxrahfwVQ,Default Response Set,Anonymous,,,129.59.231.248,0,2/8/16 12:13,2/8/16 12:52,1,1,1,0,0,66.368,0,1,,1,0,0,9.287,0,,,,,,,1,9,1,"Given only 10 seconds to make a decision, I did not have enough time to think through which decision I should make.  Since the option of giving 200 cents was already chosen, I stayed with that decision because it prevented me from losing out completely while still donating some to the group cause.",1,8,7,8,3,8,7,7,6,6,8,7,6,3,6,4,6,7,6,3,6,6,7,6,5,6,4,7,7,8,6,3,7,1,0,1,0,0,5,7,2,3,2,2,2,"This experiment was trying to explain game theory.  In essence, it was trying to see if one person would make the better choice for themselves by not contributing any money so they would end up having the most amount of money in the end at the expense of the group.  Rationally, it is better for the group to donate all of their money, but some might not and leave others with less money.  This experiment was ""blind"" so no one knew who was in the group, so people had to make decisions based on how trustworthy they believe strangers are.",no,6,2,6,2,76,1,"Minnetonka, MN, US",1,36.14729309,-86.77700043,-1
R_1cZIKgG7KQPHktK,Default Response Set,Anonymous,,,129.59.230.191,0,3/21/16 12:10,3/21/16 12:51,1,1,1,0,0,52.479,0,1,,,,,,,241,1,19.962,29.929,33.907,2,1,9,1,"I wanted to give a share that was bigger than half, but was unsure how much the other members would be willing to give. To retain some leverage I did not give the full amount.",1,7,4,7,6,5,6,8,7,5,6,6,3,5,7,3,7,7,7,7,7,5,7,6,6,4,4,8,7,6,6,7,5,3,0,10,0,0,3,4,2,3,3,1,2,How some people rationalize and cooperate with others. The study shows what indicates that someone will be the type of person to be cooperative and/or generous or self-serving and cautious.,No,2,6,5,2,75,2,"United States, Alabama",1,36.14729309,-86.77700043,-1
R_1dMj8sxdw9iSQbP,Default Response Set,Anonymous,,,129.59.230.224,0,2/18/16 12:37,2/18/16 13:17,1,1,1,0,0,73.743,0,1,160,1,11.739,11.739,18.15,1,,,,,,,1,9,5,I choose to contribute the amount that I did because I am unsure of how the others will act in terms of contribution. I chose to play it safe and only give a little. ,1,9,5,9,8,7,3,8,6,3,6,7,8,1,6,9,4,9,6,9,9,7,9,9,8,5,3,8,8,5,3,5,6,1,0,1,0,0,4,9,3,3,3,2,2,"I believe the present study was giving us two options that would test the trust of random strangers. Everyone getting a good amount of money requires that everyone in the group work together. However, there is a chance to stray from the group and get more money. This tests not only if the person has a group mindset or not, but also how trusting they are with random people.",The study says that it is not a deception. But that doesn't mean it isn't a deception. The deception could be in saying it is a deception. ,6,2,6,2,76,1,"Memphis,Tennessee, United States of America",0,36.14729309,-86.77700043,-1
R_1DUBwl6CfOXST0k,Default Response Set,Anonymous,,,129.59.230.191,0,3/23/16 12:11,3/23/16 12:48,1,1,1,0,0,47.349,0,1,300,1,10.997,10.997,15.807,1,,,,,,,1,9,1,"Because it's close to the highest for the group, so it gives everyone a shot at making more, but prevents me from losing everything.",1,8,7,9,8,8,8,8,8,7,6,8,5,1,6,6,3,8,7,9,6,7,8,8,5,6,6,7,7,8,3,7,6,1,2,0,0,1,6,8,3,3,1,1,2,"I think the present study may have been trying to show how interaction with others affects our thoughts on self-preservation and how the type of interaction (strangers vs. friends vs. family) plays a role. The study tried to show this through seeing what decisions we made about the balance between our own lives and those of others, and asking opinion questions on what we would do in different situations (ex: would you trust a stranger vs. would you trust someone you see every day).",I wonder if the stated purpose and procedure are the true purpose and procedure.,6,2,2,6,78,2,"Franklin, TN, USA",0,36.14729309,-86.77700043,-1
R_1duyrMA5TOTvFu8,Default Response Set,Anonymous,,,129.59.230.90,0,2/25/16 12:38,2/25/16 13:18,1,1,1,0,0,69.04,0,1,0,1,7.518,7.518,9.079,1,,,,,,,1,9,1,I chose the amount that I did because I don't know any of my group members so I don't really care about being a team player. I also didn't have any details on what the group project was so I didn't feel compelled to donate my money to it. ,1,7,7,8,8,9,9,8,8,7,9,9,9,7,9,7,3,2,7,7,7,7,7,5,7,1,1,2,2,1,7,1,7,1,0,0,0,0,5,8,3,3,1,2,2,"I think the present study was trying to show to what degree people are willing to help strangers, even when providing help can come at a cost to oneself. ",no,3,2,9,6,78,2,"Summit, NJ",0,36.14729309,-86.77700043,-1
R_1dzfDD6BvRdpK1k,Default Response Set,Anonymous,,,129.59.230.63,0,2/22/16 12:13,2/22/16 12:43,1,1,1,0,0,66.467,0,1,200,1,11.602,16.569,18.652,2,,,,,,,1,9,1,I figured it was a good middle ground between being completely selfish and completely selfless and give me a good vibe of what the rest of the group was doing if we got to do the thing twice and then i'd probably contribute more based on what the other people did,1,6,4,8,7,9,6,7,7,5,6,4,7,1,5,7,5,9,7,8,7,7,7,8,8,3,3,7,7,3,3,7,7,3,0,2,0,0,7,7,1,2,1,2,2,The correlation between altruism in relation to cash rewards and someone's views on societal cooperation and family values.,No,5,4,4,3,78,2,Tennessee,0,36.14729309,-86.77700043,-1
R_1Ft9LXcZ0yhfPgX,Default Response Set,Anonymous,,,129.59.230.90,0,2/8/16 12:11,2/8/16 12:47,1,1,1,0,0,81.446,0,1,300,1,25.313,25.313,27.707,1,,,,,,,1,9,1,"I understand that we will all earn the most money if we contribute all 4 of our dollars.  I contributed $3 because that is the majority of my money, but i kept some to myself just in case everyone else contributed all of their money, meaning I would benefit the most.",1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,3,1,3,5,4,3,3,7,1,1,3,1,7,1,2,6,1,0,5,0,0,1,7,2,1,2,1,2,"Trying to show an aggregate level of selfishness in group scenarios by creating a situation where the group benefits if everyone sacrifices, but where if is beneficial to the individual if everyone else sacrifices, but the individual does not",no,5,2,2,2,78,2,"USA, NJ",0,36.14729309,-86.77700043,-1
