V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,,HI2_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0TXkm2v3Xn0sfaF,Default Response Set,Anonymous,,,130.241.238.195,0,11/11/15 10:42,11/11/15 13:02,1,1,1,0,0,113.833,0,1,16,1,8.71,8.71,24.394,1,,,,,,,1,4,9,"Jag ville kí_ra lite ""safe"" och inte ""fí_rlora"" allt om jag skulle ge alla mina 40 kr till gruppen. Om jag gjort det och alla andra in min grupp inte gett ní«got till gruppen hade jag totalt fí«tt och haft 20 kr. ",1,8,8,5,6,5,5,7,8,8,6,6,8,9,6,5,2,7,5,6,8,5,6,6,8,1,6,7,7,6,9,4,8,1,0,0,0,0,7,10,3,3,1,2,2,"Jag tror att denna studie fí_rsí_kte visa vilka faktorer som pí«verkar ett beslut. Hur mycket spelar personligheten in och tidigare erfarenheter? Beslut pí«verkas av personens ví_rderingar. Genom att se hur ""safe"" man kí_rde ní_r man skulle ge gruppen pengar, splar sí_kert stor roll pí« hur man í_r som person och sociala relationer.",nej,6,4,4,2,75,2,"Lerum( ní_ra Gí_teborg), Sverige",0,57.71670532,11.96670532,-1,,5
R_10DaEEFaWiUlido,Default Response Set,Anonymous,,,130.241.238.195,0,11/11/15 08:51,11/11/15 09:20,1,1,1,0,0,74.253,0,1,40,1,7.985,7.985,9.238,1,,,,,,,1,5,1,"Jag anser att individer í_r rationella ní_r det kommer till pengar och strí_var efter att maximera sina tillgí«ngar, varfí_r det í_r rationellt att bidra till potten.",1,5,9,3,9,9,8,9,8,1,8,1,8,6,7,8,1,5,6,2,7,1,6,2,8,1,1,3,1,5,4,1,1,3,1,5,0,2,7,8,3,1,1,2,2,Jag tror att denna studie syftar till att koppla samman personlighetstyper med deras ekonomiska resonemang och mí_nniskosyn.,Nej,9,3,4,4,75,1,"Gí_teborg, Sverige",0,57.71670532,11.96670532,-1,,6
R_117vnSClDflCBpW,Default Response Set,Anonymous,,,130.241.223.183,0,11/11/15 09:38,11/11/15 10:26,1,1,1,0,0,86.465,0,1,0,1,7.595,12.771,14.29,2,,,,,,,1,9,1,"Jag har en tendens till att ha sví«rt fí_r att lita pí« frí_mlingar, mí_nniskan I sig í_r en egoistisk varelse och prioriterar dí_rmed ""alltid"" (finns undantag) sig sjí_lv och sina egna ní_ra och kí_ra. Jag gissar pí« att de andra resonerar likadant och att inte alls manga bidrog med sina pengar, dí_rmed kí_r jag likadant.",1,3,6,5,7,7,6,8,6,7,8,7,4,7,6,4,2,4,4,6,7,6,8,4,8,5,8,7,3,7,7,7,9,1,0,1,0,0,2,7,3,3,2,1,2,Jag tror att syftet med denna studien var att undersí_ka hur mí_nniskor resonerar kring tillit av andra mí_nniskor (frí_mlingar). Den fí_rsí_kte visa det genom att undersí_ka hur mí_nniskor skulle ví«ga anví_nda sina egna pengar till att potentiellt tjí_na í_nnu mer pengar med hjí_lp av tillit av andra mí_nniskor. Efter att ha fí«tt ett svar pí« hur mycket pengar mí_nniskor var beredda att satsa sí« ville de ta reda pí« personens resonemang och lista ut sjí_lva anledningen till att den agerade sí« som den gjorde och dí_rmed fí_rsí_ka hitta ett monster.,Nej,4,4,5,3,77,1,"Ví«rgí«rda, Sverige",0,57.71670532,11.96670532,-1,,3
R_11haGOO6o5mQ71A,Default Response Set,Anonymous,,,130.241.218.79,0,4/13/16 08:47,4/13/16 09:18,1,1,1,0,0,48.295,0,1,,,,,,,28,1,11.691,21.322,22.964,3,1,9,1,"jag lade mig ní«gonstans mittemellan sí« att jag inte skulle fí_rlora allt men í_ndí« bidra, samtidigt handlar det om sí« lite pengar att det inte spelar sí« stor roll",1,7,2,7,4,6,5,5,6,6,2,5,1,4,4,5,6,6,7,6,7,3,7,7,9,3,7,7,7,4,6,4,6,1,0,1,0,0,5,10,3,2,1,1,2,Kopplingen melan ens syn pí« individualism/egennytta/rí_dlsa fí_r andra personer och ens vilja att bidra till gruppen.,Att det egentligen inte í_r ví_rt att vara med omman tí_nker pí« ersí_ttning och sí«,2,5,2,5,71,2,"Stockholm, Sverige",0,57.71670532,11.96670532,-1,,12
R_12bEQmUL8waenfO,Default Response Set,Anonymous,,,130.241.3.41,0,4/13/16 10:00,4/13/16 11:30,1,1,1,0,0,88.207,0,1,40,1,9.253,9.253,13.389,1,,,,,,,1,9,1,Genom att bidra med hela summan sí« kunde jag fí« minst lika mycket tillbaks.,1,8,7,9,7,7,6,7,9,3,4,3,4,1,5,3,1,6,1,7,8,1,7,7,5,2,6,7,3,2,4,3,1,3,2,4,0,2,1,8,3,3,3,2,2,Den hí_r studien handlade om huruvida man litar blint pí« ifall andra mí_nniskor tí_nker egoistiskt eller ifall de ser till gruppens bí_sta.,nej,3,2,4,5,62,1,Gí_teborg,0,57.71670532,11.96670532,-1,,4
R_12EAfFhe9r79vOv,Default Response Set,Anonymous,,,130.241.12.160,0,11/11/15 09:36,11/11/15 10:22,1,1,1,0,0,176.593,0,1,40,1,10.38,10.38,13.068,1,,,,,,,1,9,9,Det í_r inte sí« mycket pengar det handlar om och dí_rfí_r kí_nde jag att jag kunde chansa pí« att dubbla pengarna fí_r bí«de mig och de andra gruppmedlemmarna. Det kí_nns ocksí« lite bra fí_r samvetet och tryggt att ha tí_nkt pí« gruppen fí_re eventuell personlig vinst/fí_rlust. :),1,8,2,7,6,9,5,7,9,5,5,7,5,1,3,2,6,5,2,6,8,5,6,6,5,2,1,4,5,1,9,5,2,3,0,1,0,0,9,9,1,3,3,2,2,Hur mí_nniskor fattar beslut - fí_r egen vinning eller fí_r gruppens vinning. ,Nej,5,4,2,4,65,2,"Vingí«ker, Sverige",0,57.71670532,11.96670532,-1,,12
R_12rqpk7MLn9viES,Default Response Set,Anonymous,,,130.241.218.31,0,11/10/15 09:17,11/10/15 10:27,1,1,1,0,0,73.449,0,1,,,,,,,15,1,15.285,20.843,49.612,2,1,9,4,"Summan som jag gav till potten utgí_r en andel av min totala summa. Detta í_r en investering som i endera fall kommer sluta med att jag har pengar i handen. Ví_ljer de andra deltagarna att lí_gga en liknande summa, har jag tjí_nat in en stí_rre summa í_n den jag fick frí«n bí_rjan. I ví_rsta fall í_r det bara jag som bidragit till potten, vilket innebí_r att jag kommer ha en minskad kassa.  /  / I slutí_ndan í_r det en smart investering som í_verví_gt risk/win-potentialen. Det í_r en í_verví_gning fí_r att maximera min vinst genom att analysera fí_rhí«llandena som rí«der, och undvika att investera pengarna aggresivt, í_ven om avkastningen kunde blivit stí_rre.",1,5,1,3,6,9,9,7,8,6,9,6,7,7,8,7,1,6,5,8,6,3,8,8,9,4,7,9,6,8,3,6,7,1,0,0,0,0,6,10,1,2,1,2,2,Att undersí_ka individers ekonomiska resonemang i en grupp med frí_mlingar /  / Testet visar hur fí_rsí_ksdeltagare skulle tí_nka i situationer dí_r de gí_r ekonomiska val med frí_mlingar,nej,5,3,3,4,76,1,Gí_teborg,0,57.71670532,11.96670532,-1,,10
R_1CJu14kdoqDxS4K,Default Response Set,Anonymous,,,130.241.218.31,0,11/10/15 08:03,11/10/15 08:29,1,1,1,43.828,43.828,79.284,1,1,,1,0,0,8.164,0,,,,,,,1,9,2,Ville bidra mer frí«n bí_rjan men kí_nde tidpressen sí« klickade pí« det mittersta som var ok enligt min moral,1,8,1,2,7,9,5,4,7,7,9,7,1,2,7,7,7,7,6,8,9,9,7,8,7,2,3,8,8,5,8,9,5,5,3,4,0,0,7,8,2,3,3,2,2,HUr mycket mn í_r beredd att ge(/lita pí« deras godhet) till en frí_mling. ,nej,4,7,4,7,73,2,"sankt-petersburg, Ryssland ",0,57.71670532,11.96670532,-1,,10
R_1dG1C2DLkyxhzcf,Default Response Set,Anonymous,,,130.241.219.20,0,11/12/15 09:56,11/12/15 12:22,1,1,1,0,0,63.574,0,1,,,,,,,0,1,12.521,12.521,16.733,1,1,9,1,Jag ville maximera min egen inkomst,1,9,8,2,8,9,7,9,9,5,7,5,4,7,8,8,3,8,2,8,8,6,3,2,7,3,6,4,3,6,7,5,8,3,2,5,0,0,7,7,3,3,3,2,2,"Individualitet vs kollekvititet, om man litar pí« folk",nej,9,6,2,6,68,1,"Lerum, Sverige",0,57.71670532,11.96670532,-1,,5
