"","num","experiment","replicate","n","r","z","vz"
"1",1,"Tracing attention and the activation flow in spoken word planning using eye movements.",0,24,0.594605285,0.684760158473966,0.0476190476190476
"2",2,"Now you see it, now you don't: repetition blindness for nonwords",0,24,0.611120054,0.710707113969394,0.0476190476190476
"3",3,"Working memory costs of task switching.",0,25,0.424979665,0.453753708518042,0.0454545454545455
"4",4,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",0,240,0.228739615,0.232859089732106,0.00421940928270042
"5",5,"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",0,32,0.461300742,0.498962392476004,0.0344827586206897
"6",6,"A single-system account of the relationship between priming, recognition, and fluency.",0,24,0.594960462,0.685309769582024,0.0476190476190476
"7",7,"Modeling distributions of immediate memory effects: No strategies needed?",0,100,0.715143728,0.897633709106095,0.0103092783505155
"8",8,"Stereotypes and retrieval-provoked illusory source recollections.",0,39,0.561422534,0.634908053973584,0.0277777777777778
"9",10,"Across-notation automatic numerical processing.",0,32,0.698586719,0.864534746467758,0.0344827586206897
"10",11,"Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",0,22,0.672084167,0.814534581372408,0.0526315789473684
"11",12,"When does between-sequence phonological similarity promote irrelevant sound disruption?",0,48,0.178477629,0.180409785295794,0.0222222222222222
"12",13,"Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.",0,36,0.52450217,0.582530435743512,0.0303030303030303
"13",15,"The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",0,95,0.195136354,0.197671341200697,0.0108695652173913
"14",17,"The ultimate sampling dilemma in experience-based decision making.",0,39,0.304772411,0.314772324350052,0.0277777777777778
"15",19,"How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.",0,32,0.560499145,0.63356067564677,0.0344827586206897
"16",20,"Intentional forgetting is easier after two ""shots"" than one.",0,96,0.224092029,0.227960364129573,0.010752688172043
"17",22,"How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.",0,18,0.219359299,0.222982920488814,0.0666666666666667
"18",24,"Priming addition facts with semantic relations.",0,154,0.363732358,0.381180652550176,0.00662251655629139
"19",25,"Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.",0,24,0.348120689,0.363303690199693,0.0476190476190476
"20",26,"Contextual effects on reading aloud: Evidence for pathway control.",0,16,0.160955695,0.162367653957866,0.0769230769230769
"21",27,"On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.",0,32,0.378068955,0.397804631884721,0.0344827586206897
"22",28,"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.",0,32,0.341773488,0.356099200575972,0.0344827586206897
"23",29,"Multidimensional visual statistical learning.",0,8,0.73782079,0.945679455083732,0.2
"24",32,"Accounting for occurrences: A new view of the use of contingency information in causal judgment.",0,37,0.623367433,0.730493922145522,0.0294117647058824
"25",33,"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.",0,40,0.516812354,0.571980598502644,0.027027027027027
"26",36,"An attention-based associative account of adjacent and nonadjacent dependency learning.",0,24,0.713921386,0.895136292560066,0.0476190476190476
"27",37,"Orienting attention in visual working memory reduces interference from memory probes.",0,12,0.551178255,0.620072140594967,0.111111111111111
"28",39,"Decision making and learning while taking sequential risks.",0,68,0.366615713,0.384507676875194,0.0153846153846154
"29",43,"The rejection of moral rebels: Resenting those who do the right thing.",0,67,0.347251138,0.362314568656241,0.015625
"30",44,"Why do implicit and explicit attitude tests diverge? The role of structural fit.",0,70,0.352175067,0.367924620459263,0.0149253731343284
"31",46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",0,230047,0.022542373,0.022546192531379,4.34699448801099e-06
"32",48,"Terror management and adults' attachment to their parents: The safe haven remains.",0,100,0.225490086,0.229432826442352,0.0103092783505155
"33",49,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0,36,0.378345294,0.398127096417791,0.0303030303030303
"34",50,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",0,98,0.208058463,0.211141100838117,0.0105263157894737
"35",52,"Affective incoherence: When affective concepts and embodied reactions clash.",0,133,0.20573686,0.208715672093056,0.00769230769230769
"36",53,"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.",0,48,0.377126878,0.396705896912039,0.0222222222222222
"37",55,"Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.",0,57,0.229852265,0.234033485657996,0.0185185185185185
"38",56,"A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.",0,103,0.379139495,0.399054301120861,0.01
"39",58,"Walking on eggshells: How expressing relationship insecurities perpetuates them.",0,186,0.167288593,0.168875882264062,0.00546448087431694
"40",61,"Poignancy: Mixed emotional experience in the face of meaningful endings.",0,110,0.219666896,0.223306089724669,0.00934579439252336
"41",63,"1/f noise and effort on implicit measures of bias.",0,71,0.274010238,0.281194479704791,0.0147058823529412
"42",64,"The effect of global versus local processing styles on assimilation versus contrast in social judgment.",0,82,0.425496777,0.454384970010148,0.0126582278481013
"43",65,"Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?",0,45,0.431865646,0.462187795505302,0.0238095238095238
"44",68,"Why people are reluctant to tempt fate.",0,122,0.185849827,0.188035056711107,0.00840336134453781
"45",71,"On the relative independence of thinking biases and cognitive ability.",0,375,0.222131584,0.225897217190119,0.00268817204301075
"46",72,"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.",0,261,0.207643072,0.210706953837397,0.00387596899224806
