name,uni
Aaron Sackett,University of St. Thomas
Alexandra Mislin,American University
David Tannenbaum,University of Chicago
Daniel Storage,University of Illinois Urbana-Champaign
Adam Hahn,University of Cologne
Nicole Legate,Illinois Institute of Technology
INSEAD Sorbonne Lab
Victoria Brescoll,Yale
Felix Cheung,University of Hong Kong
Fiery Cushman,Harvard University
Jay Van Bavel,New York University
Tatiana Sokolova,University of Michigan
Jesse Graham,University of Southern California
AnneLaure Sellier,HEC Paris
Eli Awtrey,University of Washington (Foster)
Jennifer Jordan,University of Groningen
Sapna Cheryan,University of Washington
Xiaomin Sun,Beijing Normal University
Yoel Inbar,University of Toronto
Wendy Bedwell,University of South Florida
Deanna Kennedy,University of Washington Bothell
Matt Motyl,University of Illinois at Chicago
Erik Cheries,University of Massachusetts Amherst
Dan Molden Packet 1 Intuitive Economics
Dan Molden Packe 2 Burn in hell Packet 3 Bel
