Studies,University,Sample Size,Online/Lab
Bad Tipper,American University in Washington DC,108,Lab
Bad Tipper,"Beijing Normal University, China",111,Lab
Bad Tipper,Harvard University,51,Online
Bad Tipper,HEC Paris,113,Online
Bad Tipper,Illinois Institute of Technology,123,Online
Bad Tipper,"INSEAD, France",236,Online
Bad Tipper,Mechanical Turk sample,1033,Online
Bad Tipper,University of California Irvine,244,Lab
Bad Tipper,"University of Cologne, Germany",266,Online
Bad Tipper,"University of Groningen, the Netherlands",240,Lab
Bad Tipper,University of South Florida,237,Online
Bad Tipper,University of St. Thomas,131,Lab
Bad Tipper,"University of Toronto, Canada",384,Lab
Bad Tipper,University of Washington,289,Lab
Bad Tipper,University of Washington (Foster),115,Lab
Bad Tipper,Yale,158,Online
Belief-Act Inconsistency,American University in Washington DC,108,Lab
Belief-Act Inconsistency,Harvard University,39,Online
Belief-Act Inconsistency,HEC Paris,113,Online
Belief-Act Inconsistency,"INSEAD, France",243,Online
Belief-Act Inconsistency,Mechanical Turk sample,1026,Online
Belief-Act Inconsistency,Northwestern University,188,Lab
Belief-Act Inconsistency,"University of Cologne, Germany",254,Online
Belief-Act Inconsistency,University of Illinois at Chicago,605,Online
Belief-Act Inconsistency,University of Massachusetts Amherst,104,Lab
Belief-Act Inconsistency,University of Southern California,302,Online
Belief-Act Inconsistency,University of St. Thomas,131,Lab
Belief-Act Inconsistency,University of Washington Bothell,179,Online
Belief-Act Inconsistency,Yale,161,Online
Bigot-Misanthrope,American University in Washington DC,108,Lab
Bigot-Misanthrope,Harvard University,39,Online
Bigot-Misanthrope,HEC Paris,113,Online
Bigot-Misanthrope,"INSEAD, France",256,Lab
Bigot-Misanthrope,Mechanical Turk sample,1026,Online
Bigot-Misanthrope,"University of Cologne, Germany",254,Online
Bigot-Misanthrope,University of Illinois at Chicago,605,Online
Bigot-Misanthrope,University of Massachusetts Amherst,104,Lab
Bigot-Misanthrope,University of Southern California,302,Online
Bigot-Misanthrope,University of St. Thomas,131,Lab
Bigot-Misanthrope,University of Washington Bothell,179,Online
Bigot-Misanthrope,Yale,161,Online
Burn in Hell,American University in Washington DC,111,Lab
