Authors,Total Included V,Correct V,False ID V,Not Present V,Total Included C,Correct C,False ID C,Not Present C
"ORIGINAL STUDY - Schooler & Engstler-Schooler (1990), Study 4",37,18,NA,NA,38,27,NA,NA
"ONLINE STUDY (MTURK) - Robert B. Michael, Gregory Franco, Mevagh Sanson, Maryanne Garry",204,112,36,56,186,91,59,36
"Victoria K. Alogna, Jamin Halberstadt, Jonathan Jong, Joshua C. Jackson, Cathy Ng",56,32,6,18,57,40,10,7
Stacy Birch,56,37,7,12,50,33,13,4
"Angela R. Birt, Philip Aucoin",51,17,14,20,50,18,19,13
Maria A. Brandimonte,70,34,18,18,70,27,32,11
"Curt Carlson, Dawn Weatherford, Maria Carlson",75,32,22,21,75,42,19,14
"Kimberly S. Dellapaolera, Brian H. Bornstein",74,29,23,22,76,41,20,15
"Jean-Francois Delvenne, Charity Brown, Emma Portch, Tara Zaksaite",59,40,9,10,61,40,13,8
"Gerald Echterhoff, René Kopietz",41,15,9,17,46,24,15,7
"Casey M. Eggleston,  Calvin K. Lai, Elizabeth A. Gilbert,",81,40,15,26,69,39,14,16
"Daniel L. Greenberg, Marino Mugayar-Baldocchi",50,24,11,15,50,28,12,10
"Andre Kehn, Kimberly Schweitzer, Bradlee W. Gamblin, Kimberly Wiseman, Narina L. Nunez",63,33,12,18,68,39,15,14
"Christopher Koch, Remi Gentry, Jennifer Shaheed, Kelsi Buswell",48,26,8,14,48,22,16,12
"Nicola Mammarella, Beth Fairfield, Alberto Di Domenico",110,45,31,34,110,58,35,17
"Shannon McCoy, Arielle Rancourt",62,26,19,17,61,35,15,11
"Abigail A. Mitchell, Marilyn S. Petro",62,34,11,17,51,26,9,16
"Robin Musselman, Michael Colarusso",51,12,21,18,50,20,17,13
"Christopher R. Poirier, Matthew K. Attaya, Kathleen A. McConnaughy, Jessica E. Pappagianopoulos, Griffin A. Sullivan",55,24,12,19,55,31,12,12
"Eva Rubínová, Marek Vranka, Štěpán Bahník",68,36,17,15,50,23,18,9
"Kyle J. Susa, Jessica K. Swanner, Christian A. Meissner",55,23,11,21,55,23,18,14
W. Burt Thompson,50,28,11,11,50,21,18,11
"Joanna Ulatowska, Aleksandra Cislak",55,40,4,11,55,38,7,10
"Kimberley A. Wade, Ulrike Körner, Melissa, F. Colloff,  Melina A. Kunar",60,34,15,11,60,39,4,17
"Simon Chu, John E. Marsh, Faye Skelton",50,27,7,16,51,32,6,13
"John E. Edlund, Austin Lee Nichols",51,28,15,8,61,26,23,12
"Fiona Gabbert, Tim Valentine",55,34,6,15,53,31,7,15
Fabio P. Leite,52,20,21,11,50,28,17,5
"Alex H. McIntyre, Stephen R. H. Langton, Peter J. B. Hancock",52,37,7,8,51,37,10,4
"Robert B. Michael,  Gregory Franco, Mevagh Sanson, Maryanne Garry",87,49,20,18,98,55,30,13
"Matthew A. Palmer, Aaron Drummond, James D. Sauer, Daniel V. Zuj, Lauren Hall, Liam Satchell, Glenys Holt, Miriam Rainsford",56,32,13,11,51,30,11,10
"Verkoeijen, P. P. J. L., Bouwmeester, S., Zwaan, R. A.",51,26,14,11,54,30,12,12
"Christopher A. Was, Dale Hirsch. Rachel Todaro, Connie Romig",67,36,11,20,68,38,16,14
