Lab,nv,cv,fidv,npv,nc,cc,fidc,npc
"ORIGINAL STUDY - Schooler & Engstler-Schooler (1990), Study 1",44,17,16,11,44,28,10,6
"ONLINE STUDY (MTURK) - Robert B. Michael, Gregory Franco, Mevagh Sanson, Maryanne Garry",204,94,47,63,183,104,49,30
"Victoria K. Alogna, Jamin Halberstadt, Jonathan Jong, Joshua C. Jackson, Cathy Ng",50,25,7,18,50,31,15,4
Stacy Birch,53,27,13,13,54,36,10,8
"Angela R. Birt, Philip Aucoin",30,8,13,9,31,16,7,8
Maria A. Brandimonte,50,23,7,20,50,24,17,9
"Curt Carlson, Dawn Weatherford, Maria Carlson",75,32,26,17,75,50,12,13
"Kimberly S. Dellapaolera, Brian H. Bornstein",72,26,25,21,67,38,13,16
"Jean-Francois Delvenne, Charity Brown, Emma Portch, Tara Zaksaite",46,13,10,23,48,26,11,11
"Gerald Echterhoff, René Kopietz",43,15,8,20,46,26,11,9
"Casey M. Eggleston,  Calvin K. Lai, Elizabeth A. Gilbert",43,15,8,20,41,15,17,9
"Daniel L. Greenberg, Marino Mugayar-Baldocchi",30,15,7,8,30,19,8,3
"Andre Kehn, Kimberly Schweitzer, Bradlee W. Gamblin, Kimberly Wiseman, Narina L. Nunez",49,23,7,19,50,24,13,13
"Christopher Koch, Remi Gentry, Jennifer Shaheed, Kelsi Buswell",30,11,9,10,30,14,8,8
"Nicola Mammarella, Beth Fairfield, Alberto Di Domenico",50,15,13,22,50,26,8,16
"Shannon K. McCoy, Arielle Rancourt",41,13,7,21,41,19,8,14
"Abigail A. Mitchell, Marilyn S. Petro",46,13,13,20,46,22,11,13
"Robin Musselman, Michael Colarusso",30,7,10,13,30,14,12,4
"Christopher R. Poirier, Matthew K. Attaya, Griffin A. Sullivan, Kathleen A. McConnaughy, Jessica E. Pappagianopoulos",44,13,13,18,41,24,9,8
"Eva Rubínová, Marek Vranka, Štěpán Bahník",52,16,19,17,50,17,20,13
"Kyle J. Susa, Jessica K. Swanner, Christian A. Meissner",50,11,10,29,50,23,13,14
W. Burt Thompson,38,20,5,13,39,24,6,9
"Joanna Ulatowska, Aleksandra Cislak",47,27,8,12,47,35,7,5
"Kimberley A. Wade, Ulrike Körner, Melissa, F. Colloff,  Melina A. Kunar",60,26,19,15,60,36,19,5
