Author,mimp,sdimp,nimp,mperf,sdperf,nperf
H & A EXPERIMENT 3,4.89,1.06,24,3.69,1.94,24
"ONLINE-Eerland, Sherrill, Magliano, Zwaan",4.21,1.36,130,4.54,1.03,130
Arnal,3.47,1.61,32,3.82,1.37,35
Berger,3.18,2.12,40,4.16,1,35
"Birt , Aucoin",3.75,1.27,33,4.13,1.18,33
"Eerland, Sherrill, Magliano,  Zwaan",3.79,1.61,50,3.63,1.72,50
Ferretti,3.93,0.85,43,3.94,1.09,42
Knepp,3.05,1.68,43,4,1.26,43
"Kurby, Kibbe",3.5,1.83,60,3.64,1.5,60
Melcher,3.59,1.76,33,2.94,2.04,33
Michael,3.44,1.51,44,3.85,1.47,39
"Poirier, Capezza, Crocker",3.85,1.33,39,3.53,1.64,40
"Prenoveau, Carlucci",3.19,1.81,50,3.57,1.64,50
