Author,mimp,sdimp,nimp,mperf,sdperf,nperf
H & A EXPERIMENT 3,5.4,1.16,24,4.48,1.34,24
"ONLINE-Eerland, Sherrill, Magliano, Zwaan",5.77,0.97,130,5.9,0.9,130
Arnal,4.87,1.12,32,4.88,1.13,35
Berger,4.89,1.16,40,5.34,0.97,35
"Birt , Aucoin",4.48,1.1,33,4.88,0.93,33
"Eerland, Sherrill, Magliano,  Zwaan",5.12,1.24,50,5.13,1.05,50
Ferretti,5.27,0.86,43,4.94,1.29,42
Knepp,4.91,1.19,43,4.91,1.24,43
"Kurby, Kibbe",4.83,1.28,60,4.81,1.05,60
Melcher,4.92,1.31,33,5.08,1.37,33
Michael,4.99,1.16,44,5.07,1.13,39
"Poirier, Capezza, Crocker",4.9,1.08,39,5.09,0.99,40
"Prenoveau, Carlucci",4.77,1.32,50,4.79,1.2,50
