,Study name,Subgroup within study,Ego-Depletion Mean ,Ego-Depletion Std-Dev ,Ego-Depletion Sample size ,Control Mean ,Control Std-Dev ,Control Sample size ,Std diff in means,Std Err,Hedges's g,Std Err,Difference in means,Std Err
1,Birt & Muise,English,3.419,1.893,31,3.036,1.551,28,0.220190556,0.261501875,0.217280549,0.258045903,0.383,0.453488449
12,Calvillo & Mills,English,4.028,1.715,36,3.744,1.846,39,0.159157825,0.231490125,0.157517023,0.229103629,0.284,0.41241782
8,Carruth & Miyake,English,3.4,1.606,55,3.113,1.644,71,0.176337512,0.179971436,0.1752688,0.1788807,0.287,0.292355952
10,"Crowell, Finley & Schmeichel",English,3.102,1.516,34,3.359,1.828,39,-0.152056182,0.234970538,-0.150444279,0.232479685,-0.257,0.396568952
11,"Evans, Fay & Mosser",English,3.256,1.758,39,2.959,1.848,49,0.164198634,0.214947383,0.162762494,0.213067377,0.297,0.388148491
3,Francis & Inzlicht,English,3.391,1.901,23,2.592,1.693,27,0.446036341,0.287236457,0.439030534,0.282724889,0.799,0.508294883
4,"Hagger, Chatzisarantis & Zweinenberg",English,4,1.491,46,3.2,1.556,55,0.523972519,0.203175031,0.519992981,0.201631929,0.8,0.305057638
2,Lau & Brewer,English,2.81,1.74,47,2.98,1.852,52,-9.45E-02,0.20137633,-9.37E-02,0.199815274,-0.17,0.362226784
13,"Lynch, vanDellen & Campbell",English,4.405,1.781,42,4,1.795,37,0.226565935,0.226188942,0.224351936,0.223978627,0.405,0.403040277
5,Philipp & Cannon,English,3.605,1.748,38,3.27,1.726,37,0.19284066,0.231496724,0.190852612,0.22911016,0.335,0.401221473
9,Ringos & Carlucci,English,4.219,1.68,32,3.833,1.298,36,0.259117051,0.243970216,0.256161343,0.241187286,0.386,0.361925789
16,Brandt,Non-English,3.66,1.464,47,4.113,1.625,53,-0.29197353,0.201421853,-0.289733324,0.199876417,-0.453,0.310862158
14,"Cheung, Kroese, Fennis & de Ridder",Non-English,3.101,1.323,89,3.674,1.431,92,-0.415529806,0.150274733,-0.413786324,0.14964421,-0.573,0.205023107
21,Elson,Non-English,3.167,1.124,42,2.812,1.379,48,0.28027861,0.212318817,0.277883067,0.210504126,0.355,0.267617425
17,"Lange, Heise & Hoemann",Non-English,3.185,1.638,54,3.308,1.489,52,-7.85E-02,0.194366565,-7.79E-02,0.192961505,-0.123,0.304397745
20,"Muller, Zerhouni & Batailler",Non-English,4,1.741,32,3.63,1.866,46,0.20373861,0.230770918,0.201721396,0.228486057,0.37,0.418043794
22,"Otgaar, Martijn, Alberts, Michirev, Merckelbach & Howe",Non-English,3.12,1.833,25,3.932,1.605,44,-0.480413486,0.25377099,-0.475015582,0.250919631,-0.812,0.423320248
6,"Rentzsch, Nalis & Schütz",Non-English,4.137,3.274,51,3,1.495,52,0.448213046,0.199534033,0.444876473,0.198048668,1.137,0.499928417
7,"Schlinkert, Schrama & Koole",Non-English,3.89,1.57,36,4,1.96,43,-6.13E-02,0.225958859,-6.07E-02,0.223750792,-0.11,0.405111363
15,"Stamos, Bruyneel & Dewitte",Non-English,3.535,1.42,43,3.4,1.34,50,9.80E-02,0.208104426,9.72E-02,0.206384555,0.135,0.286493001
18,"Ullrich, Primoceri & Schoch",Non-English,2.96,1.261,50,2.5,1.421,53,0.341815792,0.198582727,0.339271258,0.197104444,0.46,0.265314743
23,"Wolff, Muzi & Brand",Non-English,3.921,1.894,38,3.837,1.688,49,4.72E-02,0.216186824,4.68E-02,0.214273666,8.40E-02,0.38489005
19,"Yusainy, Wimbarti, Nurwanti & Anggono",Non-English,2.89,1.37,82,2.824,1.3,74,4.94E-02,0.16036347,4.91E-02,0.159581209,6.60E-02,0.214417512
