V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0v2O1e4N9Q4EXh7,Default Response Set,Anonymous,,,157.181.60.192,0,28/10/2015 15:12,28/10/2015 15:47,1,1,1,0,0,57.798,0,1,550,1,0,0,9.68,0,,,,,,,1,9,5,Mert ugy kaphatjuk fejenkent a legtobbet ha mindenki a csoporterdeket helyezi eloterbe.,1,6,6,5,9,9,4,9,7,3,8,3,4,3,5,3,8,7,8,9,6,2,7,6,8,5,7,7,6,4,1,7,5,1,1,0,4,1,2,7,3,3,3,1,2,"szerintem a kutatas azt probalja demonstralni, hogy mennyiben befolyasolja a donteseinket ha penzt lobogtatnak az orrunk elott, illetve, hogy alapvetoen mennyire gondolunk magunkra egy-egy donteskor, azzal, hogy mar a kiserlet elejen tudunk a penzrol nem csak a vegen",nem,4,3,5,3,76,2,"Magyarorszag, Budapest",0,47.5,19.08329773,-1
R_12PvBKM01lZLaSM,Default Response Set,Anonymous,,,157.181.61.153,0,27/10/2015 16:32,27/10/2015 16:54,1,1,1,0,0,64.13,0,1,550,1,0,0,13.85,0,,,,,,,1,9,1,"Mert ha mindenki bele ad, akkor egyenl_en sokat kapunk. Senki nem veszêt _s _n is jãl jörok _s a t_bbiek is.",1,7,3,7,7,8,8,7,3,6,2,7,7,3,5,2,8,3,5,6,9,5,7,6,8,1,6,6,4,5,5,3,9,1,6,0,2,1,6,8,3,2,1,2,2,"Azt prãbölja kimutatni, hogy ha p_nzr_l van szã ki mennyire prãböl csapatban gondolkodni _s a csapat ""_sszjã""-jöra gondolni, _s ki az aki az egy_ni vagyonszerz_st helyezi el_nybe _s nem gondol a csapat k_z_s vagyonöra.",nem,2,5,7,9,76,2,"Magyarorszög, Budapest - Dunakeszi (itt a t_bbet)",1,47.5,19.08329773,-1
R_1CdbkkPQBZqbYiv,Default Response Set,Anonymous,,,157.181.61.144,0,21/10/2015 19:00,21/10/2015 19:29,1,1,1,0,0,94.798,0,1,,,,,,,449,1,0,0,17.38,0,1,9,9,"Csak tippelni tudtam, mivel nem voltam el_g figyelmes.",1,3,1,3,9,7,9,9,8,2,5,6,3,2,2,3,2,8,8,8,9,9,9,6,7,2,8,8,7,6,5,8,9,1,0,0,0,0,4,8,2,3,2,1,2,"Sajöt viszonyulösunkat mös emberekhez, legyen az ismer_s vagy akör idegen.",Nem,6,9,6,9,75,2,"Szlovökia, Balony",0,47.5,19.08329773,-1
R_1CdXZHxxQrsK2PT,Default Response Set,Anonymous,,,157.181.61.140,0,27/10/2015 16:32,27/10/2015 16:48,1,1,1,0,0,86.772,0,1,,,,,,,550,1,0,0,16.13,0,1,9,9,hogy min_l nagyobb legyen a csoport _sszege,1,5,4,5,9,6,5,5,7,3,8,4,6,5,7,6,7,9,5,7,7,2,6,6,7,2,3,5,3,7,5,9,8,1,1,0,0,1,5,7,2,3,3,1,2,az emberek d_nt_sk_pess_g_t vizsgölja,nem,2,6,4,7,73,2,"Magyarorszög, Debrecen",0,47.5,19.08329773,-1
R_1CyEAYNrPZrj9wi,Default Response Set,Anonymous,,,157.181.61.142,0,21/10/2015 19:00,21/10/2015 19:30,1,1,1,0,0,74.466,0,1,550,1,0,0,13.97,0,,,,,,,1,9,1,"Mert “gy gondolom, hogy a csoport t_bbi tagja is ezt völasztotta.",1,7,6,2,9,8,7,8,9,8,9,9,8,6,7,8,7,8,8,8,6,5,8,8,6,5,7,7,6,6,4,8,7,1,0,0,0,0,8,9,3,1,3,2,2,"Azt prãbölta kimutatni, hogy az emberek mennyire megbêznak az ismeretlen szem_lyekben, mert van benne egy bizonyos naivitös _s azt felt_telezi, hogy a t_bbi ember is olyan megbêzhatã, mint _ maga.  / Ögy prãbölta bemutatni, hogy vakon el kellett d_nten™nk, hogy bêzunk-e a t_bbi ismeretlen r_sztvev_ben.",nem,5,2,6,2,74,2,"Magyarorszög, Budapest",0,47.5,19.08329773,-1
R_1dzE3q26vNLKeFu,Default Response Set,Anonymous,,,157.181.61.153,0,27/10/2015 16:00,27/10/2015 16:24,1,1,1,0,0,156.893,0,1,550,1,0,0,15.8,0,,,,,,,1,9,5,"Azt szerettem volna, ha a csoport minden tagja ugyanakkora _sszeget kap.",1,3,1,5,9,8,5,7,5,3,5,2,4,2,5,1,8,9,8,9,9,9,8,7,8,7,7,9,7,5,9,8,9,1,0,0,0,0,7,8,3,3,3,1,2,"Szerintem ez a kutatös a csapatmunköval kapcsolatos attit_d_kr_l szãl, tögabb _rtelemben börmilyen csoporthoz valã viszonyulöshoz. K_rd_seivel arra prãbölt rövilögêtani, hogy a kutatösban r_sztvev_ szem_ly mennyire csapatjöt_kos, el_bbre helyezi e versenyszellem_t mösoknöl, tud e kompromisszumot k_tni a csapat _rdek_ben vagy inköbb sajöt _rdekeit n_zi, mennyire tud lemondani a csapat javöra stb. ( akör munkahelyr_l akör csalödrãl van szã)",nem,6,9,5,9,77,2,"Magyarorszög,Budapest",0,47.5,19.08329773,-1
R_1EgPRWFOfHooTQX,Default Response Set,Anonymous,,,157.181.61.144,0,5/11/15 08:21,5/11/15 08:43,1,1,1,0,0,77.345,0,1,550,1,0,0,25.81,0,,,,,,,1,9,5,"Mert ez a csoport szömöra a legkedvez_bb, ami az egy_ni ig_nyeimnek is megfelel_",1,7,3,5,8,5,7,6,6,3,4,3,2,2,3,2,9,7,7,7,9,7,9,7,9,3,6,9,8,6,9,8,9,1,2,0,0,0,8,7,3,1,3,2,2,"Hajlandãak-e az emberek mös emberekkel egy™ttm_k_dni, ha igen milyen m_rt_kben _s mennyire _nz_ek",nem.,7,2,6,9,75,2,Duna“jvöros,0,47.5,19.08329773,-1
R_1EgTaNvanLPRwRh,Default Response Set,Anonymous,,,157.181.61.135,0,22/10/2015 07:40,22/10/2015 08:30,1,1,1,0,0,34.453,0,1,,,,,,,30,1,0,0,11.07,0,1,9,9,a legnagyobb _rt_ket völasztottam,1,7,5,5,8,7,7,8,7,7,6,7,5,2,5,5,5,7,8,5,7,3,8,4,4,5,7,9,3,7,4,7,9,1,3,0,0,0,3,7,3,1,2,1,2,"A kutatös c_lja az volt, hogy az eredm_nyek öltal a kutatãk egy k_pet kapjanak arrãl, hogy az emberek mennyire _nz_ek, _s a sajöt _rdekeiket n_zik, illetve mennyire bêznak meg a törsaikban, mös emberekben. Nemcsak v_lem_nyekre voltak a kutatãk kêvöncsiak, hanem a kutatösban r_sztvev_ket p_nzzel prãböltök motivölni. ",Rem_lhet_leg nem volt semmi gyan“s. ,3,3,3,3,75,2,"Magyarorszög, Osli ",0,47.5,19.08329773,-1
R_1eK4P743TnFm68R,Default Response Set,Anonymous,,,157.181.61.135,0,21/10/2015 18:06,21/10/2015 18:28,1,1,1,0,0,68.635,0,1,,,,,,,550,1,0,0,23.78,0,1,9,1,"Az_rt ezt a m_rt_ket völasztottam, mert felt_telezem, hogy minden törsam egyenl_en akar osztozni, ha m_g sem akkor êgy jörtam, de am“gy sem a p_nz miatt j_ttem el erre a kês_rletre.",1,3,5,6,8,8,9,7,9,2,9,3,6,5,9,8,8,8,9,9,6,3,8,3,5,3,8,5,7,4,3,7,9,1,1,0,0,0,6,8,3,2,2,1,2,"Talön az emberekhez valã viszonyulösunkat, a benn™k valã megbêzösunkat prãbölja kutatni, “gy, hpgy t_tje van a kês_rletnek, mert olyankor mutatja ki az ember igazön, hogy ki is _ valãjöban.",nem,5,3,5,3,76,2,Magyarorszög,1,47.5,19.08329773,-1
R_1eQRbWE10CwNry0,Default Response Set,Anonymous,,,157.181.61.142,0,27/10/2015 15:20,27/10/2015 15:46,1,1,1,0,0,73.089,0,1,,,,,,,221,1,0,0,26.17,0,1,9,9,A k_zepes hozzöjörulös a csoportnak is _s magamnak is egyformön hasznosnak t_nt. ,1,6,2,4,8,8,8,7,8,6,5,4,5,2,8,4,3,6,7,8,7,6,8,4,6,3,4,6,5,8,3,4,8,1,1,0,0,0,5,8,3,2,1,1,2,"Azt, hogy mennyire bêzunk meg egy idegen szem_lyben, vagy egy olyan feladatban, ami megt_veszthet_ lehet. Valamint a kutatös vizsgölta, hogy magunkat vagy a csoport k_z_s _rdek_t helyezz™k-e el_t_rbe d_nt_s™nk sorön. ","Ûrdekes _s meglep_, hogy nem csak kreditet, hanem p_nzjutalmat is lehet nyerni a kês_rlettel, mert koröbban m_g nem volt ilyen eset a 'kurzus' sorön. ",5,2,5,2,73,2,"Magyarorszög, Szeged",0,47.5,19.08329773,-1
R_1eRHBD1hw5C6Aj1,Default Response Set,Anonymous,,,157.181.60.192,0,27/10/2015 16:01,27/10/2015 16:20,1,1,1,0,0,70.221,0,1,550,1,0,0,14.06,0,,,,,,,1,9,1,"Az_rt, mert ha mindenki ugyanannyit ad bele, _s _n azt felt_telezem, hogy ez êgy lesz, akkor ugyanannyi p_nzt kapunk.",1,6,3,5,8,7,6,8,8,5,8,3,3,2,6,7,9,7,8,9,9,5,8,7,7,8,4,7,8,6,8,8,9,1,4,0,5,1,7,8,2,2,2,2,2,"Azt prãbölta kimutatni, hogy az emberek mennyire k_pesek öldozatot hozni annak _rdek_ben, hogy a t_bbieknek is ugyanolyan jã legyen, mint nekik, vagy csak sajöt magukra gondolnak.",nem,6,2,7,9,75,2,Budapest,0,47.5,19.08329773,-1
R_1F8lec24pjmKl5q,Default Response Set,Anonymous,,,157.181.60.184,0,28/10/2015 15:54,28/10/2015 16:19,1,1,1,0,0,86.727,0,1,550,1,0,0,11.92,0,,,,,,,1,9,1,550,1,7,5,8,7,9,6,6,9,7,9,3,7,2,8,5,8,8,4,7,8,8,9,3,8,6,2,9,4,1,9,2,8,1,0,0,0,0,4,7,3,3,1,2,2,"Az emberek szömöra egyik legfontosabb eszk_zzel (a p_nzzel) prãbölja meg bemutatni, hogy az emberek egy adott helyzetben hogyan viselkedn_nk.","Ha  mör az elej_n tudjuk, hogy p_nzt fogunk kapni _s ennek f_ny_ben hoztunk k™l_nf_le d_nt_seket, akkor ez mör a kês_rlet elej_n tudat alatt befolyösolhat minket.",5,4,6,2,76,2,Magyarorszög-Tiszaalpör,0,47.5,19.08329773,-1
