V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0pNRtSBGu19fw9H,Default Response Set,,,,128.103.240.53,0,3/10/16 09:07,3/10/16 09:47,1,1,1,8.682,70.318,75.164,2,1,,,,,,,320,1,9.962,23.57,25.142,2,1,9,1,"I chose this because I wanted to maximize everyone's profits, but I wasn't sure if everyone felt that way, so I didn't put all 400 cents into the bucket. Instead I put a majority in case not everyone put all 400 in theirs.",1,8,7,9,7,7,7,8,7,7,8,7,7,7,8,5,3,8,6,6,9,5,7,8,8,3,7,8,8,9,9,9,9,3,3,3,0,0,2,4,2,3,1,2,2,"how people trust others, particularly strangers.",no,5,2,2,4,75,2,"Boston, USA",0,42.38000488,-71.13289642,-1
R_0VafF2eK3gXmTUB,Default Response Set,,,,128.103.240.60,0,2/16/16 12:30,2/16/16 13:16,1,1,1,0,0,29.547,0,1,0,1,2.262,2.262,4.509,1,,,,,,,1,9,1,I preferred to be sure of my payoff and have it be lower,1,9,6,9,9,9,6,6,5,7,7,6,8,1,7,4,2,5,8,7,5,5,6,4,3,5,3,3,6,4,3,3,6,2,12,12,0,7,4,7,2,3,2,1,2,Looking at levels of altruism and perception of strangers?  Whether our impulse is for self-good or the good of the group- really not sure.,no,5,5,2,5,76,2,"Greenwich, CT, USA",1,42.38000488,-71.13289642,-1
R_115forwHacJSUJ6,Default Response Set,,,,128.103.240.93,0,2/16/16 12:31,2/16/16 13:16,1,1,1,5.837,29.476,45.468,2,1,,,,,,,300,1,13.187,33.491,34.923,3,1,9,1,"I was willing to put in all of my money, but I did not believe that everyone else would. So, I ended up giving 75% only.",1,9,6,9,6,6,7,9,8,9,6,9,7,6,9,7,3,6,2,8,7,6,7,3,1,6,7,9,7,9,6,7,7,1,6,6,0,2,2,7,2,1,3,1,2,To illustrate how suspicious strangers are of one another.,No.,5,3,5,3,72,1,"New Hampshire, USA",0,42.38000488,-71.13289642,-1
R_12QLOSsRhaLO9uR,Default Response Set,,,,128.103.240.93,0,2/16/16 15:47,2/17/16 15:15,1,1,1,0,0,43.632,0,1,0,1,5.158,5.158,19.109,1,,,,,,,1,9,1,not worth the risk,1,4,2,9,7,6,2,5,5,8,4,6,1,2,7,1,4,6,3,9,9,2,7,4,8,9,7,7,5,6,9,9,8,3,2,2,0,1,2,7,3,1,2,1,2,how trust is related to sharing,no,2,4,3,3,75,2,"MA, USA",1,42.38000488,-71.13289642,-1
R_1C2PuNec4MbIQFo,Default Response Set,,,,128.103.240.91,0,2/23/16 12:38,2/23/16 13:20,1,1,1,30.805,31.099,43.485,2,1,0,1,3.755,3.755,9.57,1,,,,,,,1,9,1,I do not think anyone will contribute,1,5,6,8,6,8,9,7,7,7,4,5,4,5,6,6,5,6,7,6,6,3,6,4,7,2,3,8,3,5,3,7,8,2,15,15,2,2,4,7,2,1,3,1,2,It was seeing if people are willing to sacrifice for the benefit of others. It was doing that by taking out any reward for contributing to the group,no,4,5,4,5,77,2,"Amityville, USA",0,42.38000488,-71.13289642,-1
R_1Cf3AWRjXz8sgPF,Default Response Set,,,,128.103.240.54,0,4/18/16 14:30,4/18/16 15:23,1,1,1,0,0,62.236,0,1,,,,,,,300,1,50.872,50.872,51.847,1,1,7,1,Because i dont completely trust that the others in my group would contribute all of their earnings as well,1,5,5,7,5,7,5,6,7,5,6,6,6,6,5,6,4,5,5,8,4,7,6,6,6,6,6,5,5,4,4,7,8,2,3,3,0,0,3,5,3,3,3,1,2,How people act when they are unsure of how strangers will act,no,2,4,4,4,76,1,"Fort Lauderdale, FL",0,42.38000488,-71.13289642,-1
R_1CrPjTF7Pk1wmlK,Default Response Set,,,,128.103.240.53,0,2/16/16 15:47,2/17/16 15:15,1,1,1,0,0,79.085,0,1,,,,,,,0,1,17.596,17.596,20.134,1,1,9,1,I am hoping that I will be the only one who did not put my $4 to the common group project so that I can earn the $10,1,7,5,8,4,6,5,6,3,8,5,9,3,3,8,5,4,6,3,6,6,6,7,7,6,7,2,9,2,2,4,4,8,3,10,10,0,6,5,8,3,3,2,1,2,I think it was trying to see how people decide if they want to contribute to help their team or if they want to only look out for themselves.,No,4,4,3,4,71,2,"Richmond, VA, USA",0,42.38000488,-71.13289642,-1
R_1cZXlv71tnqCTNI,Default Response Set,,,,128.103.240.83,0,3/2/16 09:04,3/2/16 09:47,1,1,1,0,0,70.816,0,1,,,,,,,80,1,21.244,21.244,22.567,1,1,9,9,"I chose to contribute the amount I did because I could not trust that others would contribute more, which may be in the group's common interest, but not in everyone's self-interest.",1,7,7,7,5,7,6,8,6,7,3,6,3,3,7,4,3,7,7,7,7,7,7,6,6,5,4,8,7,5,7,5,8,1,0,0,0,0,3,8,2,3,3,1,2,I think the study was trying to show people make decisions with others based on knowing what can be considered to be in the group interest vs. in one's self-interest.,no,7,2,5,2,78,2,"Madison, CT",0,42.38000488,-71.13289642,-1
R_1DAw06Y3ofQWzDA,Default Response Set,,,,128.103.240.60,0,2/16/16 15:47,2/17/16 15:18,1,1,1,0,0,62.308,0,1,,,,,,,265,1,55.166,55.166,64.503,1,1,9,1,"Based on past experiences, people tend to be quite generous in contributions of small sums. That is why I donated more than half of the $4, but I was skeptical that everyone would donate all their money, so I decided to keep some for myself.",1,8,3,6,8,8,4,7,8,9,8,8,2,6,8,5,2,3,2,6,7,5,7,4,5,2,3,2,4,8,3,7,9,3,4,15,0,4,7,8,3,2,3,2,2,The relationship between behavioral measures and altruism,no,6,2,6,2,74,2,"Boston, MA",2,42.38000488,-71.13289642,-1
