V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy,,Un1,Un2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0Jo7U2pA9TRTVuN,Default Response Set,,,,192.38.127.153,,10/27/15 07:45,10/27/15 08:37,1,1,1,0,0,73.045,0,1,578,1,0,0,10.076,0,,,,,,,1,9,1,"I chose a minimum amount, with low risk for losing money, while still contributing to the group as a whole.",1,7,1,8,7,8,7,6,8,9,6,6,8,3,7,9,3,8,6,7,6,2,8,8,7,1,6,5,5,3,6,3,7,1,0,0,0,0,7,8,1,3,1,2,1,"The present study indicated the works of supply and demand, the way the rational individual interacts with other.",no,5,3,4,4,75,1,"K蜋benhavn, Danmark",20,55.66670227,12.58329773,-1,,7,1
R_0MPytkUK7IUgoMh,Default Response Set,,,,192.38.127.154,,10/29/15 12:02,10/29/15 12:33,1,1,1,0,0,100.616,0,1,1969,1,0,0,9.099,0,,,,,,,1,9,1,"Jeg naaede ikke, at taenke over det.",1,8,7,6,7,5,8,6,6,7,6,3,9,7,7,6,5,6,9,7,8,7,7,6,7,8,7,3,7,8,3,5,6,4,1,1,0,1,7,8,3,3,2,2,2,"Det proever, at kombinere oekonomisk taenking med psykisk adfaerd, og paa den maade under individers adfaerd paa et givent marked.",no,9,9,9,5,76,1,"Hellerup, Denmark",28,55.66670227,12.58329773,-1,,7,1
R_10ACjyyUXY6lGmd,Default Response Set,,,,192.38.127.147,,10/27/15 07:42,10/27/15 08:42,1,1,1,0,0,54.555,0,1,1200,1,0,0,22.806,0,,,,,,,1,9,1,"Because I want to have money, but if I invest too much I will get less paid, so I will invest some of my money and then also keep some of it",1,6,8,7,6,9,7,7,7,2,9,5,6,6,9,6,6,7,8,7,9,6,6,5,7,5,6,7,5,8,9,1,9,1,1,0,0,0,5,5,3,1,3,2,2,"I think it was trying to show how much the society really cared for each other and how much people would do for each other.\It was trying to show it with the questions about how I trust people and how much I would contribute to the society, like the project in the beginning. I believe that if we contribute together to the society, we would have a much better society.",I think it was trying to see what I would do in certain circumstances.,5,3,4,4,77,1,"Frederiksberg, Denmark",10,55.66670227,12.58329773,-1,,7,1
R_10wp1I4POoUodZK,Default Response Set,,,,192.38.127.144,,10/29/15 07:54,10/29/15 08:34,1,1,1,0,0,65.541,0,1,3000,1,0,0,9.111,0,,,,,,,1,9,1,"I hoped, that everyone did the same thing.",1,5,7,8,5,3,6,7,6,6,9,6,9,3,8,8,4,8,5,6,9,5,7,8,7,3,4,5,6,7,2,2,9,1,1,1,0,1,8,8,1,2,1,2,2,It is trying to show how we interact and show whether we are focused on our self or the group as a whole. Do we trust each others?,Maybe more rounds where we could see how much we got after each round and see if everyone in the group ended up not sharing or sharing it all for more profit.,3,5,2,5,76,1,"Humleb蚠k, Danmark",19,55.66670227,12.58329773,-1,,7,1
R_11ZXmez0jZ48viW,Default Response Set,,,,192.38.127.164,,10/28/15 09:51,10/28/15 10:36,1,1,1,0,0,74.999,0,1,3000,1,0,0,10.755,0,,,,,,,1,9,9,To maximize the profit of the group,1,5,2,7,8,6,5,9,6,5,8,2,9,2,8,7,4,9,8,8,8,5,9,8,9,3,3,9,7,6,4,2,8,3,0,0,0,0,8,9,1,2,1,2,2,How we interact with eachother and what we think of other people,no,2,6,2,6,75,2,Denmark,28,55.66670227,12.58329773,-1,,7,7
R_11ZzAc6mdafaZm0,Default Response Set,,,,192.38.127.158,,10/30/15 12:21,10/30/15 12:42,1,1,1,0,0,39.292,0,1,3000,1,0,0,8.557,0,,,,,,,1,9,1,The greater good,1,7,7,7,9,9,9,7,7,2,7,1,2,1,3,5,3,8,9,9,8,3,9,5,9,1,6,8,8,9,1,2,5,1,1,1,0,0,7,9,1,2,1,2,2,"The relationship, and interaction, between individuals in the everyday life as well as in the professional sphere. \The trust between people, even though you do not know each other or have any idea of whom the others are. \I believe this study investigates If one person is willing to give a big portion of the money for the purpose of the greater good, or the groups well being. \The mutual trust between individuals is important in our society and is therefore an essential question to ask in the relationship of our growing need of each other and the specialization of others.",no,9,4,6,5,76,1,"Denmark, r蜋dovre.",24,55.66670227,12.58329773,-1,,7,1
R_125wSxYnNuOdgOm,Default Response Set,,,,192.38.127.143,,10/29/15 10:03,10/29/15 10:39,1,1,1,0,0,88.411,0,1,0,1,0,0,15.622,0,,,,,,,1,9,1,St蜋rst mulig gevinst til mig selv. Der er et direkte tab forbundet med hver krone jeg l蚠gger ind,1,8,8,7,9,9,8,8,8,9,6,7,4,3,9,8,2,7,2,7,3,6,8,7,6,2,5,2,3,7,1,1,3,1,1,0,0,2,4,7,1,2,1,1,2,Afvejelsen mellem samlet udbytte og personlig gevinst. \Personligt kan det ikke betale sig at l蚠gge noget i puljen. Men hvis alle t蚠nkte s外dan ville det gove det mindste udbytte overhovedet muligt.,"sammenh蚠ngen mellem angivet bidrag til puljen med sp蜋rgsm外let efterf蜋lgende: ""vil du ofre dig selv for gruppens bedre""",5,7,6,5,75,1,copenhagen,23,55.66670227,12.58329773,-1,,7,1
R_1BSkXejc2ZoOMhW,Default Response Set,,,,192.38.127.154,,10/29/15 07:52,10/29/15 08:38,1,1,1,0,0,58.159,0,1,,,,,,,2004,1,0,0,18.018,0,1,4,1,"Too have the chance of getting something in return, but not risk all my money",1,3,7,6,6,7,5,5,8,8,8,7,9,4,9,8,3,8,7,7,9,2,8,7,7,1,3,4,5,7,4,5,4,1,1,1,12,0,8,5,1,2,1,2,1,"The present study tried to show how people in general will react if they had some money to share, and to show if the society is more individual than other statistics says",no,7,3,6,3,77,1,"Copenhagen, Denmark",20,55.66670227,12.58329773,-1,,4,1
R_1CBmzB8hzKk8dRA,Default Response Set,,,,192.38.127.156,,10/27/15 07:46,10/27/15 08:42,1,1,1,0,0,102.37,0,1,,,,,,,0,1,63.442,63.442,63.986,1,1,9,1,"I don't consider myself as greedy, but I still had a hard time figuring out what to do... So I though the chance that the other three felt the same way, was quite big. To get biggest profit we all had to contribute with 30dkk - Therefore I didn't contribute with any because I thought the others would't do it either.",1,5,5,8,8,7,5,7,6,6,8,6,7,7,8,9,5,6,6,8,8,3,8,8,7,1,3,7,5,8,8,7,9,1,1,0,0,1,8,9,1,3,1,2,2,"Maybe how I as an individual is trusting other people. At first I thought it was about the economics and what would be the best thing to do.. But now I see that through my choises in this study, I didn't trust my classmates at all.. which I normally would believe that I did.",no,9,7,9,7,76,2,"Farum, Denmark",20,55.66670227,12.58329773,-1,,7,1
