V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,ES,Intro1,IntroT_1,IntroT_2,IntroT_3,IntroT_4,Intro2,Q70_1,Q48,TPT_1,TPT_2,TPT_3,TPT_4,FDD_1,Q49,FDT_1,FDT_2,FDT_3,FDT_4,IntrUn,Un1,Un2,Mot,Q52,HI1_1,HI2_2,HI3_3,HI4_4,HI5_5,HI6_6,HI7_1,HI8_2,VI1_3,VI2_5,VI3_5,VI4_6,VI5_7,VI6_8,VI7_1,VI8_2,HC1_3,HC2_4,HC3_5,HC4_6,HC5_6,HC6_6,HC7_6,HC8_6,VC1_6,VC2_6,VC3_6,VC4_6,VC5_6,VC6_6,VC7_6,VC8_6,E1,E2,E3,E4,E5,TrustStran,TrustRand,Trust1,Trust2,Trust3,Trust4,PARH1,PARH2,PARH3,PARH4_1,PARH4_2,PARH4_3,PARH4_4,yearborn,gender,grewup,knownother,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,  Please click below after the experimenter says to begin,"In this task, you will /  participate in a simple decision making study. You will receive a /  $5 sho...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,You have been randomly assigned to interact with 3 of the other people in the room. All of you re...,Please make your decision as quickly as possible. You must make your decision in less than 10 sec...-Your contribution: &nbsp;,Time remaining: ,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Please carefully consider you decision. You must wait and think for at least 10 seconds before ma...-Your contribution: &nbsp;,Time elapsed so far:,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,The next two items are meant to / assess your understanding of the decision making task you just / pa...,What level of contribution earns the / highest payoff for the group as a whole? ,What level of contribution earns the / highest payoff for you personally? ,Please describe why you chose to contribute the amount that you did:,Next you will be asked to answer a series of questions about yourself. Please answer the question...,I often do my own things.-I often do my own things,Please indicate your level of agreement.-One should live one&#39;s life independently of others,Please indicate your level of agreement.-I like my privacy,Please indicate your level of agreement.-I prefer to be direct and forthright when discussing with people.,Please indicate your level of agreement.-I am a unique individual.,Please indicate your level of agreement.-What happens to me is my own doing.,"Please indicate your level of agreement.-When I succeed, it is usually because of my abilities.",Please indicate your level of agreement.-I enjoy being unique and different from others in many ways.,Please indicate your level of agreement.-It annoys me when others perform better than I do.,Please indicate your level of agreement.-Competition is the law of nature.,"Please indicate your level of agreement.-When another person does better than I do, I get tense and anxious","Please indicate your level of agreement.-Without competition, it is not possible to have a good society.",Please indicate your level of agreement.-Winning is everything.,Please indicate your level of agreement.-It is important that I do my job better than others.,Please indicate your level of agreement.-I enjoy working in situations involving competition with others.,Please indicate your level of agreement.-Some people emphasize winning; I'm not one of them.,Please indicate your level of agreement.-The well-being of my co-workers is important to me.,"Please indicate your level of agreement.-If a co-worker gets a prize, I would feel proud.","Please indicate your level of agreement.-If a relative were in financial difficulty, I would help within my means.",Please indicate your level of agreement.-It is important to maintain harmony with my group.,Please indicate your level of agreement.-I like sharing little things with my neighbors.,Please indicate your level of agreement.-I feel good when I cooperate with others.,Please indicate your level of agreement.-My happiness depends very much on the happiness of those around me.,"Please indicate your level of agreement.-To me, pleasure is spending time with others.",Please indicate your level of agreement.-I would sacrifice an activity that I enjoy very much if my family did not approve of it.,"Please indicate your level of agreement.-I would do what would please my family, even if I detested that activity.","Please indicate your level of agreement.-Before taking a major trip, I consult with most members of my family and many friends.",Please indicate your level of agreement.-I usually sacrifice my self-interest for the benefit of my group.,Please indicate your level of agreement.-Children should be taught to place duty before pleasure.,Please indicate your level of agreement.-I hate to disagree with others in my group.,Please indicate your level of agreement.-We should keep our aging parents with us at home.,Please indicate your level of agreement.-Children should feel honored if their parents receive a distinguished award.,To what extent have you participated in studies like this one before? (i.e. where you choose how...,How many experiments have you completed as part of a subject pool before?  If this is your first...,"How many paid experiments have you done before?  If this is your first paid experiment, please ty...","Have you done any experiments on Mechanical Turk or other online sites?  If no, please type 0 in...","Although this study did not involve deception, have you previously participated in any studies in...",To what extent do you feel you can trust strangers?,To what extent do you feel you can trust other people that you interact with in your daily life?,"Generally speaking, would you say that most people can be trusted / or that you can't be too carefu...","Do you think most people would take advantage of you if they got a / chance, or would they try to b...","Would you say that most of the time people try to be helpful, or / that they are mostly just lookin...",You can't count on strangers anymore. ,Did you hear anything about the present study from previous /  participants?,Please indicate briefly what you think the present study was /  trying to show and how it was tryin...,Please indicate briefly any suspicions or doubts that you had /  about the present study. /  /   /  If yo...,Please indicate for each of the four statements below your level of agreement.-1. I knew what the researchers were investigating in the present study,Please indicate for each of the four statements below your level of agreement.-2. I wasn’t sure what the researchers were trying to demonstrate in the present study,Please indicate for each of the four statements below your level of agreement.-3. I had a good idea about what the hypotheses were in the present study,Please indicate for each of the four statements below your level of agreement.-4. I was unclear about exactly what the researchers were aiming to prove in the present study,What year were you born?,What is your gender?,"In which city and country did you grow up? If you lived in more than one place, list the one you...","How many participants in the room do you know? Enter the number in the text box below. Enter ""0""...",LocationLatitude,LocationLongitude,LocationAccuracy
R_2YX3RaN1VyAPR4l,Default Response Set,Anonymous,,,192.17.53.17,0,10/15/15 11:25,10/15/15 12:11,1,1,1,0,0,32.825,0,1,0,1,0,0,5.418,0,,,,,,,1,9,1,"I'm not sure what others will choose, so I want to know I will gain at least some money, so I decided to keep mine.",1,7,5,8,7,9,6,7,9,5,5,4,7,4,5,6,4,9,8,9,8,8,9,9,9,5,5,9,9,2,5,3,5,1,50,50,10,0,5,7,3,3,1,1,2,"I think it was trying to show how people make decisions based on their trust in strangers, and if people are willing to sacrifice (in this case, money) for others they do not know.",No,4,4,6,4,77,2,"Lansing, MI, USA",0,40.10949707,-88.21230316,-1
R_1hM5VCbXEMgdK8M,Default Response Set,Anonymous,,,192.17.53.30,0,10/15/15 11:27,10/15/15 12:11,1,1,1,0,0,59.37,0,1,100,1,0,0,18.463,0,,,,,,,1,9,1,"100 cents contributes to the group but also ensures that if others do not contribute, I will not lose more than 25% of my $4",1,9,7,9,8,9,7,8,9,6,6,7,5,6,8,9,5,6,6,7,8,5,7,6,5,4,7,8,8,7,4,5,6,1,3,2,0,0,5,7,3,3,3,1,2,I think the present study is trying to gauge the level of trust strangers may have among each other. Something that factors into this sort of trust is how independent someone is and how they act in a group setting. ,no,3,5,3,5,77,2,"Naperville, IL",0,40.10949707,-88.21230316,-1
R_1mqhmAogtGefkRV,Default Response Set,Anonymous,,,192.17.53.10,0,10/15/15 11:36,10/15/15 12:11,1,1,1,14.511,14.511,40.138,1,1,,,,,,,250,1,0,0,25.827,0,1,9,1,I did a little more than half because I wanted to be generous to the other members but I also didn't want to walk away not getting any money.,1,9,6,8,7,9,9,9,9,8,8,4,7,4,8,9,4,9,5,9,7,9,9,2,5,1,8,3,4,5,8,6,8,2,10,5,0,2,7,10,1,3,3,1,2,I think it was trying to demonstrate collusion and if people will trust strangers.,No,4,9,4,2,76,2,"Lombard, Illinois, United States",1,40.10949707,-88.21230316,-1
R_2qwqCMIjaN8IsJm,Default Response Set,Anonymous,,,192.17.53.234,0,10/15/15 11:28,10/15/15 12:12,1,1,1,0,0,43.804,0,1,,,,,,,400,1,0,0,25.254,0,1,5,5,It said my group would then receive the most money back.,1,8,2,9,6,5,5,9,6,3,8,5,2,6,8,7,2,8,8,8,8,8,7,8,6,6,7,9,2,4,3,3,9,1,6,0,0,1,7,9,3,1,1,1,2,GREED in American people today,no,9,7,9,9,75,1,"Orland Park, Illinois, United States",0,40.10949707,-88.21230316,-1
R_2RQgsJy1j1Pihlg,Default Response Set,Anonymous,,,192.17.53.154,0,10/15/15 11:38,10/15/15 12:13,1,1,1,0,0,48.751,0,1,,,,,,,0,1,0,0,34.674,0,1,5,1,"In the current financial situation that I am in, I cannot afford to contribute or to ""share"" money with a group. I know this sounds both selfish and unfair, but it is the truth--the cold, realistic truth of adulthood and living on one's own. ",1,5,5,7,7,7,6,3,5,1,2,2,4,1,1,1,8,6,7,9,9,8,8,9,8,7,7,5,5,3,7,8,6,1,3,0,3,1,3,3,2,1,2,1,2,Trying to show trustworthiness of strangers and for strangers.  ,no,4,4,3,5,77,2,"Phoenix, AZ, US",0,40.10949707,-88.21230316,-1
R_1nW3NVJLrryFjQa,Default Response Set,Anonymous,,,192.17.53.171,0,10/15/15 11:29,10/15/15 12:13,1,1,1,0,0,71.499,0,1,,,,,,,300,1,0,0,41.755,0,1,9,1,I put in $300 for the group because I wanted to keep some for myself but wanted to give more out.,1,7,5,7,7,9,9,8,7,7,8,6,8,6,7,9,3,7,7,6,9,7,9,7,9,8,6,7,7,9,4,5,8,4,6,0,0,0,4,8,3,3,3,2,2,"To see how selfish people were when given the chance to get something, for example money.",No.,5,3,5,3,77,1,Illinois,0,40.10949707,-88.21230316,-1
R_1KdIyEZNEr37XTD,Default Response Set,Anonymous,,,192.17.53.38,0,10/15/15 11:35,10/15/15 12:14,1,1,1,0,0,49.096,0,1,400,1,0,0,19.749,0,,,,,,,1,9,1,"I think its better if we all choose to contribute all the money, we might lose 2 dollars personally but everybody having 8 is 32 in total as opposed to 28 in total if i were to go with 0.",1,8,4,9,9,8,8,6,7,2,6,3,9,2,6,4,7,7,7,7,7,6,7,6,6,4,6,8,6,5,8,2,7,1,2,0,0,0,7,8,1,2,1,2,2,"I think this study is trying to gauge how much we can trust one another if we are not face to face and placed in a situation where we can all benefit from working together, yet if we choose to be selfish we stand to gain more.",no,9,9,5,2,76,1,"Schaumburg, IL, USA",0,40.10949707,-88.21230316,-1
R_3OomlOgWwHCN9Sv,Default Response Set,Anonymous,,,192.17.53.85,0,10/15/15 11:30,10/15/15 12:17,1,1,1,0,0,67.516,0,1,,,,,,,400,1,0,0,22.734,0,1,9,1,"I contributed 400 cents in hopes that everyone else will contribute the same amount. Because it is such a low amount of money, I did not give it much thought. I also, am not selfish enough not to contribute so my payout is higher where if we all put money in we all make more than originally intended.",1,6,8,8,6,8,5,3,8,2,2,2,6,1,3,4,8,7,6,9,8,2,6,2,7,4,2,5,5,3,5,5,7,1,2,2,5,0,3,6,3,2,2,1,2,Trying to find out if people act in ways that best benefit themselves. Maybe basing the likelihood of someone acting in ways that benefits themselves based on how competitive and trusting they are.,no,9,7,2,7,75,1,Chicago,0,40.10949707,-88.21230316,-1
R_D8zwdHu2rew0ufT,Default Response Set,Anonymous,,,192.17.53.60,0,10/15/15 11:52,10/15/15 12:17,1,1,1,0,0,46.486,0,1,400,1,0,0,13.417,0,,,,,,,1,9,1,"I chose to contribute all four dollars because if all of the other members decided to contribute all of their four dollars too, we would all get eight dollars in total. I didn't choose to contribute 0 dollars to take the chance of getting ten dollars because I feel like everyone else will think the same way as me.",1,8,4,9,9,9,9,6,9,6,6,4,6,4,5,5,6,9,9,9,9,9,9,9,8,4,7,9,6,3,6,7,9,1,0,0,0,0,7,8,1,1,1,2,2,I think this study was trying to show how much you trust others and their willingness to benefit everyone. People who choose to contribute 0 dollars to benefit only themselves may show that they are more selfish than others.,no,6,9,5,9,78,2,"Seoul, South Korea",2,40.10949707,-88.21230316,-1
