"","num","experiment","replicate","n","r","z","site","es"
"1",1,"Tracing attention and the activation flow in spoken word planning using eye movements.",0,"24",0.594605285,0.684760158473966,"Abeler_orig","r"
"2",1,"Tracing attention and the activation flow in spoken word planning using eye movements.",0,"24",0.148340453,0.149443120256283,"Ambrus_orig","r"
"3",2,"Now you see it, now you don't: repetition blindness for nonwords",0,"24",0.611120054,0.710707113969394,"Bartling_orig","r"
"4",2,"Now you see it, now you don't: repetition blindness for nonwords",0,"24",0.229604631,0.233772054589965,"Charness_orig","r"
"5",3,"Working memory costs of task switching.",0,"25",0.424979665,0.453753708518042,"Chen_orig","r"
"6",3,"Working memory costs of task switching.",0,"25",-0.215243835,-0.218663485593077,"deClippel_orig","r"
"7",4,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",0,"240",0.228739615,0.232859089732106,"Duffy_orig","r"
"8",4,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",0,"240",-0.006108358,-0.00610843397346169,"Dulleck_orig","r"
"9",5,"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",0,"32",0.461300742,0.498962392476004,"Ericson_orig","r"
"10",5,"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",0,"32",0.134811802,0.135637524870972,"Fehr_orig","r"
"11",6,"A single-system account of the relationship between priming, recognition, and fluency.",0,"24",0.594960462,0.685309769582024,"Friedman_orig","r"
"12",6,"A single-system account of the relationship between priming, recognition, and fluency.",0,"24",0.395843475,0.418710420698763,"Fudenberg_orig","r"
"13",7,"Modeling distributions of immediate memory effects: No strategies needed?",0,"100",0.715143728,0.897633709106095,"Huck_orig","r"
"14",7,"Modeling distributions of immediate memory effects: No strategies needed?",0,"100",0.131411981,0.132176372921613,"Ifcher_orig","r"
"15",8,"Stereotypes and retrieval-provoked illusory source recollections.",0,"39",0.561422534,0.634908053973584,"Kessler_orig","r"
"16",8,"Stereotypes and retrieval-provoked illusory source recollections.",0,"39",-0.110614348,-0.111068831072181,"Kirchler_orig","r"
"17",10,"Across-notation automatic numerical processing.",0,"32",0.698586719,0.864534746467758,"Kogan_orig","r"
"18",10,"Across-notation automatic numerical processing.",0,"32",0.780725807,1.04722667369848,"Kuziemko_orig","r"
