"experiment","site","n","r","z","vz","d","vd","replicated","cirep","meta","stat","pvalo","pvalr","exp_name","es"
"A Roelofs","A Roelofs_orig",24,0.594605285,0.684760158473966,0.0476190476190476,1.47908495588093,0.269030100291882,0,0,1,"F",0.019394664,0.434030725,"Tracing attention and the activation flow in spoken word planning using eye movements.","z"
"AL Morris","AL Morris_orig",24,0.611120054,0.710707113969394,0.0476190476190476,1.54413335904185,0.277580340456776,0,0,1,"F",0.001173471,0.269558068,"Now you see it, now you don't: repetition blindness for nonwords","z"
"B Liefooghe","B Liefooghe_orig",25,0.424979665,0.453753708518042,0.0454545454545455,0.938971067177027,0.203402777708149,0,0,0,"F",0.030449585,0.228988827,"Working memory costs of task switching.","z"
"BC Storm","BC Storm_orig",240,0.228739615,0.232859089732106,0.00421940928270042,0.469938405385647,0.0176604272169724,0,0,1,"F",0.00141669,0.920419089,"Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.","z"
"C Mitchell","C Mitchell_orig",32,0.461300742,0.498962392476004,0.0344827586206897,1.03985110522266,0.163912591001057,0,0,1,"F",0.00689115,0.355722382,"The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.","z"
"CJ Berry","CJ Berry_orig",24,0.594960462,0.685309769582024,0.0476190476190476,1.48045234095975,0.269206049297966,1,1,1,"t",0.001706566,0.02258934,"A single-system account of the relationship between priming, recognition, and fluency.","z"
"CP Beaman","CP Beaman_orig",100,0.715143728,0.897633709106095,0.0103092783505155,2.04625699437016,0.0826986635051395,0,0,1,"t",2.22e-17,0.313795083,"Modeling distributions of immediate memory effects: No strategies needed?","z"
"CS Dodson","CS Dodson_orig",39,0.561422534,0.634908053973584,0.0277777777777778,1.35686442922724,0.153712659981636,0,0,1,"F",0.000200441,0.539998592,"Stereotypes and retrieval-provoked illusory source recollections.","z"
"D Ganor-Stern","D Ganor-Stern_orig",32,0.698586719,0.864534746467758,0.0344827586206897,1.95265386908748,0.252027649434268,1,1,1,"F",1.76e-05,2.21e-07,"Across-notation automatic numerical processing.","z"
"D Mirman","D Mirman_orig",22,0.672084167,0.814534581372408,0.0526315789473684,1.81527906665784,0.347392289992674,1,1,1,"F",0.000443918,0.008168915,"Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.","z"
"JR Schmidt","JR Schmidt_orig",95,0.195136354,0.197671341200697,0.0108695652173913,0.397922317711388,0.0442376826694979,1,1,1,"t",0.028373705,5.05e-05,"The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.","z"
"K Oberauer","K Oberauer_orig",32,0.560499145,0.63356067564677,0.0344827586206897,1.35360927167041,0.188137356785551,0,1,1,"F",0.000692486,0.070889711,"How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.","z"
"L Sahakyan","L Sahakyan_orig",96,0.224092029,0.227960364129573,0.010752688172043,0.459879724844959,0.0443314669612997,0,0,0,"F",0.028172412,0.841863775,"Intentional forgetting is easier after two ""shots"" than one.","z"
"M Bassok","M Bassok_orig",154,0.363732358,0.381180652550176,0.00662251655629139,0.780957576094734,0.0301300309520246,1,1,1,"F",3.54e-06,0.045417099,"Priming addition facts with semantic relations.","z"
"M Reynolds","M Reynolds_orig",16,0.160955695,0.162367653957866,0.0769230769230769,0.326164036537304,0.273758865248687,1,1,1,"F",0.117205428,0.165946909,"Contextual effects on reading aloud: Evidence for pathway control.","z"
"MJ Yap","MJ Yap_orig",32,0.378068955,0.397804631884721,0.0344827586206897,0.816759923841455,0.150551508812694,1,1,1,"F",0.030057008,0.001007522,"On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.","z"
"N Janssen 1","N Janssen 1_orig",32,0.341773488,0.356099200575972,0.0344827586206897,0.727346038385145,0.146097814824341,0,0,0,"F",0.051569634,0.327320513,"Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.","z"
"NB Turk-Browne","NB Turk-Browne_orig",8,0.73782079,0.945679455083732,0.2,2.18614651344413,1.25417665403485,1,1,1,"t",0.023249789,0.002339966,"Multidimensional visual statistical learning.","z"
"PA White","PA White_orig",37,0.623367433,0.730493922145522,0.0294117647058824,1.59443476575783,0.1817283950627,1,1,1,"F",2.91e-05,0.001950822,"Accounting for occurrences: A new view of the use of contingency information in causal judgment.","z"
"S Farrell","S Farrell_orig",40,0.516812354,0.571980598502644,0.027027027027027,1.20736628070807,0.139941880404893,1,1,1,"t",0.000541079,0.04414462,"Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.","z"
"S Pacton","S Pacton_orig",24,0.713921386,0.895136292560066,0.0476190476190476,2.0391174535938,0.354695651719603,1,1,1,"F",0.000190422,0.00047793,"An attention-based associative account of adjacent and nonadjacent dependency learning.","z"
"T Makovski","T Makovski_orig",12,0.551178255,0.620072140594967,0.111111111111111,1.32115651949592,0.522314049909688,1,1,1,"F",0.05088911,0.142093022,"Orienting attention in visual working memory reduces interference from memory probes.","z"
"BK Payne","BK Payne_orig",70,0.352175067,0.367924620459263,0.0149253731343284,0.752563776418888,0.066179017935911,1,0,1,"t",0.003000884,0.045320778,"Why do implicit and explicit attitude tests diverge? The role of structural fit.","z"
"CR Cox","CR Cox_orig",100,0.225490086,0.229432826442352,0.0103092783505155,0.462901998910219,0.0425684672787381,0,0,0,"t",0.028875522,0.468999328,"Terror management and adults' attachment to their parents: The safe haven remains.","z"
"D Albarracin","D Albarracin_orig",36,0.378345294,0.398127096417791,0.0303030303030303,0.817456601426715,0.133378151291889,0,0,0,"F",0.022889441,0.777977082,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.","z"
"DB Centerbar","DB Centerbar_orig",133,0.20573686,0.208715672093056,0.00769230769230769,0.42046865908243,0.0316423779793226,0,1,1,"F",0.017513309,0.321906461,"Affective incoherence: When affective concepts and embodied reactions clash.","z"
