"","site","exp_name","n","r","z","vz","experiment"
"1","1_0","Tracing attention and the activation flow in spoken word planning using eye movements.",24,0.594605285,0.684760158473966,0.0476190476190476,1
"2","2_0","Now you see it, now you don't: repetition blindness for nonwords",24,0.611120054,0.710707113969394,0.0476190476190476,2
"3","3_0","Working memory costs of task switching.",25,0.424979665,0.453753708518042,0.0454545454545455,3
"4","4_0","Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",240,0.228739615,0.232859089732106,0.00421940928270042,4
"5","5_0","The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",32,0.461300742,0.498962392476004,0.0344827586206897,5
"6","6_0","A single-system account of the relationship between priming, recognition, and fluency.",24,0.594960462,0.685309769582024,0.0476190476190476,6
"7","7_0","Modeling distributions of immediate memory effects: No strategies needed?",100,0.715143728,0.897633709106095,0.0103092783505155,7
"8","8_0","Stereotypes and retrieval-provoked illusory source recollections.",39,0.561422534,0.634908053973584,0.0277777777777778,8
"9","10_0","Across-notation automatic numerical processing.",32,0.698586719,0.864534746467758,0.0344827586206897,10
"10","11_0","Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",22,0.672084167,0.814534581372408,0.0526315789473684,11
"11","12_0","When does between-sequence phonological similarity promote irrelevant sound disruption?",48,0.178477629,0.180409785295794,0.0222222222222222,12
"12","13_0","Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.",36,0.52450217,0.582530435743512,0.0303030303030303,13
"13","15_0","The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",95,0.195136354,0.197671341200697,0.0108695652173913,15
"14","17_0","The ultimate sampling dilemma in experience-based decision making.",39,0.304772411,0.314772324350052,0.0277777777777778,17
"15","19_0","How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.",32,0.560499145,0.63356067564677,0.0344827586206897,19
"16","20_0","Intentional forgetting is easier after two ""shots"" than one.",96,0.224092029,0.227960364129573,0.010752688172043,20
"17","22_0","How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.",18,0.219359299,0.222982920488814,0.0666666666666667,22
"18","24_0","Priming addition facts with semantic relations.",154,0.363732358,0.381180652550176,0.00662251655629139,24
"19","25_0","Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.",24,0.348120689,0.363303690199693,0.0476190476190476,25
"20","26_0","Contextual effects on reading aloud: Evidence for pathway control.",16,0.160955695,0.162367653957866,0.0769230769230769,26
"21","27_0","On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.",32,0.378068955,0.397804631884721,0.0344827586206897,27
"22","28_0","Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.",32,0.341773488,0.356099200575972,0.0344827586206897,28
"23","29_0","Multidimensional visual statistical learning.",8,0.73782079,0.945679455083732,0.2,29
"24","32_0","Accounting for occurrences: A new view of the use of contingency information in causal judgment.",37,0.623367433,0.730493922145522,0.0294117647058824,32
"25","33_0","Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.",40,0.516812354,0.571980598502644,0.027027027027027,33
"26","36_0","An attention-based associative account of adjacent and nonadjacent dependency learning.",24,0.713921386,0.895136292560066,0.0476190476190476,36
"27","37_0","Orienting attention in visual working memory reduces interference from memory probes.",12,0.551178255,0.620072140594967,0.111111111111111,37
"28","39_0","Decision making and learning while taking sequential risks.",68,0.366615713,0.384507676875194,0.0153846153846154,39
"29","43_0","The rejection of moral rebels: Resenting those who do the right thing.",67,0.347251138,0.362314568656241,0.015625,43
"30","44_0","Why do implicit and explicit attitude tests diverge? The role of structural fit.",70,0.352175067,0.367924620459263,0.0149253731343284,44
"31","46_0","The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.",230047,0.022542373,0.022546192531379,4.34699448801099e-06,46
"32","48_0","Terror management and adults' attachment to their parents: The safe haven remains.",100,0.225490086,0.229432826442352,0.0103092783505155,48
"33","49_0","Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.",36,0.378345294,0.398127096417791,0.0303030303030303,49
