"site","mimp","sdimp","nimp","mperf","sdperf","nperf","experiment","es","replicated","d","vd","df"
"original",5.4,1.16,24,4.48,1.34,24,"Imagery","d","0",0.734099673286689,0.0889468992741627,46
"online",5.77,0.97,130,5.9,0.9,130,"Imagery","d","0",-0.13894012292663,0.0154217391495363,258
"Arnal",4.87,1.12,32,4.88,1.13,35,"Imagery","d","0",-0.00888697835170991,0.0598220179623556,65
"Berger",4.89,1.16,40,5.34,0.97,35,"Imagery","d","0",-0.418336026934867,0.0547381287809729,73
"Birt , Aucoin",4.48,1.1,33,4.88,0.93,33,"Imagery","d","0",-0.392714018041453,0.0617744265148959,64
"Eerland, Sherrill, Magliano,  Zwaan",5.12,1.24,50,5.13,1.05,50,"Imagery","d","0",-0.00870371795620258,0.0400003787735313,98
"Ferretti",5.27,0.86,43,4.94,1.29,42,"Imagery","d","0",0.301715337379905,0.0476008209677785,83
"Knepp",4.91,1.19,43,4.91,1.24,43,"Imagery","d","0",0,0.0465116279069767,84
"Kurby, Kibbe",4.83,1.28,60,4.81,1.05,60,"Imagery","d","0",0.0170843475611984,0.0333345494788816,118
"Melcher",4.92,1.31,33,5.08,1.37,33,"Imagery","d","0",-0.119373072425324,0.0607140146243959,64
"Michael",4.99,1.16,44,5.07,1.13,39,"Imagery","d","0",-0.0698065829661373,0.0483976535431502,81
"Poirier, Capezza, Crocker",4.9,1.08,39,5.09,0.99,40,"Imagery","d","0",-0.183505063904717,0.050854152909878,77
"Prenoveau, Carlucci",4.77,1.32,50,4.79,1.2,50,"Imagery","d","0",-0.0158550498051502,0.0400012569130216,98
"original",4.61,0.84,24,4.06,0.79,24,"Intention_attribution","d","0",0.674529352462876,0.088072810909729,46
"online",4.15,0.59,130,4.13,0.58,130,"Intention_attribution","d","0",0.0341867855153346,0.0153868629544305,258
"Arnal",3.88,0.54,32,4.03,0.57,35,"Intention_attribution","d","0",-0.269835475424992,0.060364795614696,65
"Berger",3.68,0.53,40,3.83,0.54,35,"Intention_attribution","d","0",-0.280541210783789,0.0540961177110821,73
"Birt , Aucoin",3.91,0.63,33,3.83,0.53,33,"Intention_attribution","d","0",0.137421347444819,0.0607491259601027,64
"Eerland, Sherrill, Magliano,  Zwaan",3.75,0.45,50,3.76,0.56,50,"Intention_attribution","d","0",-0.0196855733495656,0.0400019376089905,98
"Ferretti",3.98,0.66,43,3.79,0.54,42,"Intention_attribution","d","0",0.314719907539672,0.0476479767053756,83
"Knepp",3.62,0.74,43,3.91,0.66,43,"Intention_attribution","d","0",-0.413610981404219,0.0475062444415009,84
"Kurby, Kibbe",3.94,0.62,60,3.94,0.52,60,"Intention_attribution","d","0",0,0.0333333333333333,118
"Melcher",3.94,0.83,33,3.82,0.65,33,"Intention_attribution","d","0",0.160975968864103,0.0608023732011495,64
"Michael",4.14,0.58,44,4.01,0.56,39,"Intention_attribution","d","0",0.227788609616267,0.0486808745771593,81
"Poirier, Capezza, Crocker",3.84,0.63,39,3.78,0.62,40,"Intention_attribution","d","0",0.0960069027704065,0.050699363143428,77
"Prenoveau, Carlucci",3.82,0.6,50,3.79,0.58,50,"Intention_attribution","d","0",0.0508401556298627,0.0400129236071223,98
"original",4.89,1.06,24,3.69,1.94,24,"Intentionality","d","0",0.767655185320116,0.0894718175369673,46
"online",4.21,1.36,130,4.54,1.03,130,"Intentionality","d","0",-0.273555301550448,0.015528524044243,258
"Arnal",3.47,1.61,32,3.82,1.37,35,"Intentionality","d","0",-0.235010748279738,0.0602335931371525,65
"Berger",3.18,2.12,40,4.16,1,35,"Intentionality","d","0",-0.578791283761144,0.0558047575724811,73
"Birt , Aucoin",3.75,1.27,33,4.13,1.18,33,"Intentionality","d","0",-0.309994992676727,0.0613340673900352,64
"Eerland, Sherrill, Magliano,  Zwaan",3.79,1.61,50,3.63,1.72,50,"Intentionality","d","0",0.0960437098342252,0.0400461219709936,98
"Ferretti",3.93,0.85,43,3.94,1.09,42,"Intentionality","d","0",-0.010246336312829,0.0470659553359995,83
"Knepp",3.05,1.68,43,4,1.26,43,"Intentionality","d","0",-0.6397632782164,0.048891261931129,84
"Kurby, Kibbe",3.5,1.83,60,3.64,1.5,60,"Intentionality","d","0",-0.0836742210608641,0.0333625057302923,118
"Melcher",3.59,1.76,33,2.94,2.04,33,"Intentionality","d","0",0.341180321034666,0.0614879091777373,64
"Michael",3.44,1.51,44,3.85,1.47,39,"Intentionality","d","0",-0.274915348747343,0.0488235902296048,81
"Poirier, Capezza, Crocker",3.85,1.33,39,3.53,1.64,40,"Intentionality","d","0",0.214037075459759,0.0509309741832495,77
"Prenoveau, Carlucci",3.19,1.81,50,3.57,1.64,50,"Intentionality","d","0",-0.220022902467764,0.0402420503880517,98
