"site","n","m","d","sed","g","seg","experiment","es","replicated","vd","vg"
"Birt & Muise",47,49,0.178809603,0.204575865,0.177379126,0.202939258,"RTV","d","0",0.0418512845404982,0.0411843424375906
"Calvillo & Mills",60,64,0.115562906,0.179848594,0.11485102,0.178740697,"RTV","d","0",0.0323455167637768,0.0319482367640458
"Carruth & Miyake",87,91,0.0469,0.149964774,0.0467,0.14932481,"RTV","d","0",0.0224894334408711,0.0222978988815361
"Crowell, Finley & Schmeichel",62,62,-0.137965489,0.179818843,-0.137115599,0.17871113,"RTV","d","0",0.0323348162978586,0.0319376679858769
"Evans, Fay & Mosser",75,76,-0.117843738,0.162902462,-0.117249568,0.162081105,"RTV","d","0",0.0265372121256614,0.026270284598021
"Francis & Inzlicht",54,55,-0.140376133,0.191809094,-0.139389884,0.19046149,"RTV","d","0",0.0367907285411008,0.0362755791730201
"Hagger, Chatzisarantis & Zwienenberg",54,63,0.0448,0.185472671,0.0445,0.184260431,"RTV","d","0",0.0344001116878742,0.0339519064323058
"Lau & Brewer",64,64,0.325763023,0.177945321,0.323820102,0.176884017,"RTV","d","0",0.031664537265793,0.0312879554700563
"Lynch, VanDellen & Campbell",71,68,0.152610427,0.169924001,0.151773441,0.16899206,"RTV","d","0",0.028874166115848,0.0285583163430436
"Philipp & Cannon",43,41,-0.144571915,0.218564564,-0.143245567,0.216559385,"RTV","d","0",0.0477704686365101,0.0468979672315782
"Ringos & Carlucci",47,48,0.273591713,0.206164714,0.271379381,0.204497614,"RTV","d","0",0.0425038892987018,0.041819274131693
"Tinghög & Koppel",49,50,0.117772911,0.201191988,0.116859942,0.19963236,"RTV","d","0",0.0404782160353921,0.0398530791591696
"Brandt",75,70,-0.158826935,0.166451296,-0.157992467,0.16557677,"RTV","d","0",0.0277060339400796,0.0274156667636329
"Cheung, Kroese, Fennis & de Ridder",101,102,-0.0326,0.140383491,-0.032449202,0.13985902,"RTV","d","0",0.0197075245453471,0.0195605454753604
"Elson",50,51,0.178245622,0.199411955,0.176891858,0.197897434,"RTV","d","0",0.039765127796922,0.0391633943837844
"Lange, Heise & Hoemann",60,59,-0.0714,0.183404586,-0.0709,0.182226398,"RTV","d","0",0.0336372421658314,0.0332064601280544
"Muller, Zerhouni & Batailler",54,55,-0.395773181,0.193439531,-0.392992573,0.192080472,"RTV","d","0",0.0374188521535,0.0368949077237428
"Otgaar, Martijn, Alberts, Michirev, Merckelbach & Howe",48,50,-0.181622086,0.202488598,-0.180199459,0.200902525,"RTV","d","0",0.0410016323200056,0.0403618245513756
"Rentzsch, Nalis & Schütz",62,58,-0.0603,0.182717214,-0.06,0.18155341,"RTV","d","0",0.0333855802919218,0.0329616406826281
"Schlinkert, Schrama & Koole",52,51,0.137656212,0.197308385,0.136631476,0.195839588,"RTV","d","0",0.0389305987913082,0.0383531442280097
"Stamos, Bruyneel & DeWitte",58,56,-0.183706449,0.187740619,-0.18247352,0.186480615,"RTV","d","0",0.0352465400225032,0.0347750197707782
"Ullrich, Primoceri & Schoch",57,57,0.272413583,0.188183947,0.270585304,0.186920968,"RTV","d","0",0.0354131979084988,0.034939448278057
"Wolff, Muzi & Brand",51,54,0.087,0.195351987,0.0864,0.19392606,"RTV","d","0",0.0381623988248482,0.0376073167471236
"Yusainy, Wimbarti, Nurwanti & Octavianus",97,99,-0.02826643,0.142871714,-0.0282,0.142318662,"RTV","d","0",0.0204123266612978,0.0202546015534702
"original",23,24,0.68,0.300106775119127,0.668603351955307,0.295353979020107,"RTV","d","0",0.0900640764724021,0.0872339729230095
"Birt & Muise",50,49,0.17456798,0.201400279,0.17321474,0.199839036,"RT","d","1",0.0405620723812778,0.0399356403094093
"Calvillo & Mills",64,66,0.364468517,0.176882526,0.36232878,0.175844076,"RT","d","1",0.0312874280041407,0.0309211390642938
"Carruth & Miyake",87,91,0.160585482,0.150185556,0.159900195,0.14954465,"RT","d","1",0.0225557012310291,0.0223636023436225
"Crowell, Finley & Schmeichel",63,64,-0.0572,0.177513064,-0.0568,0.176445851,"RT","d","1",0.0315108878906681,0.0311331383351142
"Evans & Fay",79,80,-0.259923897,0.159281769,-0.258680242,0.158519656,"RT","d","1",0.0253706819357694,0.0251284813383583
"Francis & Inzlicht",54,55,0,0.191573319,0,0.190227371,"RT","d","1",0.0367003365526758,0.0361864526775716
"Hagger, Chatzisarantis & Zwienenberg",54,63,0.223146127,0.186022391,0.221687655,0.184806559,"RT","d","1",0.0346043299533569,0.0341534642494205
"Lau & Brewer",65,65,0.250619482,0.176098859,0.249148135,0.175065011,"RT","d","1",0.0310108081411019,0.0306477580764301
"Lynch, vanDellen & Campbell",71,68,0.213680148,0.170160604,0.212508228,0.169227365,"RT","d","1",0.0289546311536448,0.0286379010648432
"Philipp & Cannon",43,43,-0.00543,0.215665944,-0.00538,0.213734607,"RT","d","1",0.0465117994014111,0.0456824822294444
"Ringos & Carlucci",47,49,0.262483234,0.205045361,0.260383368,0.203404998,"RT","d","1",0.0420436000676203,0.04137359321138
"Tinghög & Koppel",49,51,-0.0412,0.200061267,-0.0409,0.19852627,"RT","d","1",0.0400245105536453,0.0394126798801129
"Brandt",75,71,-0.037332869,0.165597746,-0.0371,0.164733758,"RT","d","1",0.0274226134802805,0.0271372110248026
"Cheung, Kroese, Fennis & de Ridder",101,102,0.121368804,0.140503357,0.120915371,0.139978438,"RT","d","1",0.0197411933282694,0.0195939631049198
"Elson",50,52,0.236588684,0.198759031,0.234809822,0.197264603,"RT","d","1",0.039505152404059,0.0389133235967476
