"nt","nf","yt","yf","vt","vf","site","d","vd","es","n","experiment","replicated"
101,102,85.56,80.2085561497326,436.709695300109,701.387053143817,"Aczel",0.223099071528825,0.0198275057457581,"smd",203,"time/delay",0
107,114,64.3985849056604,64.6359649122807,1466.47592654987,1228.96586322,"Bègue",-0.00644580228139879,0.0181178182179152,"smd",221,"time/delay",0
87,82,54.4883720930233,58.1737804878049,1360.80721614227,1133.26495219813,"Bouwmeester",-0.103603793568489,0.0237211314698768,"smd",169,"time/delay",0
77,80,54.9671052631579,57.165625,1467.88557017544,1270.70244264241,"Espin",-0.0590740847029002,0.0254981268325018,"smd",157,"time/delay",0
72,72,58.8380281690141,61.5625,1256.49481891348,874.198503521127,"Evans",-0.0828895484077519,0.0278016342959557,"smd",144,"time/delay",0
82,81,61.5432098765432,61.0493827160494,809.776234567901,1123.5725308642,"Ferreira-Santos",0.0157932072783878,0.0245415660721423,"smd",163,"time/delay",0
79,75,74.9711538461538,66.15,1012.65905969031,1541.02195945946,"Fiedler",0.245917038112113,0.0261879091997263,"smd",154,"time/delay",0
85,81,52.0773809523809,53.7746913580247,1582.09484366036,1699.44625771605,"Hauser",-0.0416670186143222,0.0241156142333739,"smd",166,"time/delay",0
91,91,47.1861111111111,49.6483516483516,1541.28870942572,1632.03469169719,"Hernan",-0.0614736310521135,0.0219884038662493,"smd",182,"time/delay",0
77,80,54.1907894736842,60.265625,1489.51478070175,1122.62554390823,"Lohse",-0.167244124560872,0.0255760913220453,"smd",157,"time/delay",0
98,90,54.2938144329897,58.9388888888889,1223.41277384021,1311.99060549313,"Mischkowski",-0.129862797965894,0.0213600447285927,"smd",188,"time/delay",0
81,75,73.8875,69.29,1189.9792721519,1559.23486486486,"Neal",0.123525090002085,0.0257279176272816,"smd",156,"time/delay",0
101,101,67.1538461538462,64.950495049505,1092.31366923675,1343.7919034507,"Novakva",0.0628188477147536,0.0198117480386837,"smd",202,"time/delay",0
79,78,43.4358974358974,49.7641025641026,1484.22414918415,1496.32181152181,"Paga",-0.162880566595622,0.0255632313659851,"smd",157,"time/delay",0
107,109,53.8072327044025,61.0455657492355,1310.38912179295,1549.66495186318,"Piovesan",-0.190448827086721,0.0186040664018574,"smd",216,"time/delay",0
98,100,63.5644329896907,63.165,1439.30504993557,1344.88664141414,"Salomon",0.0106531783800887,0.0202043682240914,"smd",198,"time/delay",0
88,89,58.0890804597701,50.561797752809,1266.78194333066,1294.28306945863,"Srinivasan",0.209152057583548,0.0227231636887185,"smd",177,"time/delay",0
84,80,65.5120481927711,74.875,1270.84741404643,1101.0917721519,"Tinghog",-0.269980799566184,0.0246269863929765,"smd",164,"time/delay",0
76,67,66.7366666666667,66.1044776119403,1105.19407657658,1594.89990388964,"Trueblood",0.0171833162837713,0.0280843002710254,"smd",143,"time/delay",0
76,71,48.3366666666667,50.0985915492958,1545.06502252252,1454.3990694165,"Wills",-0.0451629959063777,0.0272493395212699,"smd",147,"time/delay",0
66,67,71.6923076923077,68.9925373134328,1247.67728365385,1447.73857982813,"Wollbrant",0.0729655086831904,0.0300969031935781,"smd",133,"time/delay",0
55,98,NA,NA,NA,NA,"original",0.271911098698829,0.0286275195713196,"smd",153,"time/delay",0
