"site","treat","control","sdtreat","sdcontrol","nt","ntreatexcl","nc","ncontrolexcl","md","sdmd","t","df","pvalue","g","SEg","d","SEd","vg","vd","es","replicated","experiment","n"
"Albohn",4.20149253731343,4.0625,1.30357812209242,1.84342877695669,67,12,72,12,0.138992537313433,0.272643189678905,0.509796476035679,137,0.305507162456561,0.09,0.173205080756888,0.09,0.173205080756888,0.0300000000000001,0.0300000000000001,"md",0,"Wagenmakers",139
"Allard",5.04545454545455,4.88809523809524,1.56246960314616,1.75627960713296,55,29,70,13,0.157359307359307,0.301626251606971,0.521702956957314,123,0.301407667994761,0.09,0.173205080756888,0.09,0.173205080756888,0.0300000000000001,0.0300000000000001,"md",0,"Wagenmakers",125
"Benning",4.6882183908046,4.7046783625731,1.34285347102582,1.4252253873064,58,14,57,14,-0.0164599717685014,0.258180754298031,-0.0637536744876842,113,0.525360496441296,-0.01,0.173205080756888,-0.01,0.173205080756888,0.0300000000000001,0.0300000000000001,"md",0,"Wagenmakers",115
"Bulnes",4.60666666666667,4.48529411764706,1.52018169340128,1.28589634565338,50,16,51,15,0.121372549019608,0.279965669051891,0.433526544274653,99,0.332787736477263,0.09,0.2,0.09,0.2,0.04,0.04,"md",0,"Wagenmakers",101
"Capaldi",4.90536723163842,5.01867816091954,1.53670431760656,1.63709459986599,59,16,58,17,-0.113310929281123,0.293494606253694,-0.386074997177896,115,0.64992277221566,-0.07,0.173205080756888,-0.07,0.173205080756888,0.0300000000000001,0.0300000000000001,"md",0,"Wagenmakers",117
"Chasten",5.00531914893617,5.05851063829787,1.54329665646069,1.41249544627724,47,7,47,7,-0.0531914893617023,0.30516503925402,-0.174304007732109,92,0.56899522927588,-0.04,0.2,-0.04,0.2,0.04,0.04,"md",0,"Wagenmakers",94
"Holmes",4.90986394557823,4.70666666666667,1.48603031335658,1.30619056299151,49,44,50,44,0.203197278911564,0.281038548472924,0.723022802443562,97,0.235702841418285,0.14,0.2,0.15,0.2,0.04,0.04,"md",0,"Wagenmakers",99
"Koch",4.93,5.12166666666667,1.32387803865178,1.42521530378098,50,6,50,10,-0.191666666666667,0.275096045895102,-0.696726359853796,98,0.756188289071609,-0.14,0.2,-0.14,0.2,0.04,0.04,"md",0,"Wagenmakers",100
"Korb",4.13725490196078,4.11833333333333,1.71632873125328,1.71338352582718,51,11,50,4,0.0189215686274515,0.341288939377831,0.0554414938320167,99,0.477949237081387,0.01,0.2,0.01,0.2,0.04,0.04,"md",0,"Wagenmakers",101
"Lynott",4.54378531073446,4.17786069651741,1.42369419335016,1.73447269289201,59,20,67,12,0.365924614217051,0.285058045124546,1.28368457047818,124,0.100822981874449,0.23,0.173205080756888,0.23,0.173205080756888,0.0300000000000001,0.0300000000000001,"md",0,"Wagenmakers",126
"Oosterwijk",4.63207547169811,4.87134502923977,1.47743298203902,1.32231966989249,53,15,57,25,-0.239269557541653,0.266984411223129,-0.89619298911683,108,0.813928534252732,-0.17,0.2,-0.17,0.2,0.04,0.04,"md",0,"Wagenmakers",110
"Özdogru",3.76602564102564,4.34285714285714,1.95246049320931,1.94036620471584,52,24,35,46,-0.576831501831502,0.425824639086152,-1.35462218219552,85,0.91043612378593,-0.29,0.223606797749979,-0.3,0.223606797749979,0.05,0.05,"md",0,"Wagenmakers",87
"Pacheco-Unguetti",3.78005464480874,3.91242937853107,1.64865495028897,1.84339089001082,61,16,59,14,-0.13237473372233,0.31901733079876,-0.414945273947622,118,0.660532287308927,-0.08,0.173205080756888,-0.08,0.173205080756888,0.0300000000000001,0.0300000000000001,"md",0,"Wagenmakers",120
"Talarico",4.3640350877193,4.33939393939394,1.30119675330457,1.59489399920085,57,12,55,36,0.0246411483253581,0.274599754129353,0.0897347792735118,110,0.464330581356431,0.02,0.2,0.02,0.2,0.04,0.04,"md",0,"Wagenmakers",112
"Wagenmakers",4.94230769230769,4.78846153846154,1.14079603711207,1.30146459658104,65,19,65,32,0.153846153846154,0.214663446583589,0.716685380276177,128,0.237436951204841,0.12,0.173205080756888,0.13,0.173205080756888,0.0300000000000001,0.0300000000000001,"md",0,"Wagenmakers",130
"Wayand",4.75314465408805,4.9546783625731,1.39164961068841,1.48763672969691,53,23,57,17,-0.201533708485049,0.275202268129024,-0.732311219145052,108,0.767217547244215,-0.14,0.2,-0.14,0.2,0.04,0.04,"md",0,"Wagenmakers",110
"Zeelenberg",4.93,4.57758620689655,1.39710990969689,1.40971480299078,50,23,58,14,0.352413793103448,0.270925382939975,1.30077805659696,106,0.098077574238856,0.25,0.2,0.25,0.2,0.04,0.04,"md",0,"Wagenmakers",108
"original",5.14,4.32,NA,NA,31,NA,31,NA,0.82,0.443877551020408,NA,NA,NA,0.46333907152475,0.254239960902639,0.469228974976336,0.257471824812418,0.0646379577197754,0.0662917405722365,"md",0,"Wagenmakers",62
