"experiment","nmin","nq1","nmed","nmean","nq3","nmax"
"Allowedforbidden",79,87,102,117.818181818182,126,277
"Anchoring1",45,73,82.5,95.5882352941177,107.25,233
"Anchoring2",43,74.25,84,97.0294117647059,106.75,223
"Anchoring3",49,77.5,87.5,102.411764705882,105.75,260
"Anchoring4",66,80.25,87.5,103,109.25,247
"Flagpriming",78,86.75,98.5,116.147058823529,124.75,275
"Gainloss",78,87.5,100.5,116.558823529412,125.25,273
"Gamblersfallacy",72,83.25,95,110.5,116.25,255
"IAT",58,83,89,108.030303030303,123,259
"Imaginedcontact",79,87.75,101.5,117.882352941176,125.75,277
"Mathartgender",61,86,93,112.242424242424,125,267
"Moneypriming",79,87.75,102,117.882352941176,125.75,277
"Reciprocity",79,86.5,102,116.735294117647,124,276
"Scales",106,122,140.5,159.705882352941,172.75,404
"Sunkcosts",79,87.5,102,117.882352941176,125.75,276
