"paper","experiment","tau2","I2","H2","vbar","p0","p25","p33","p67"
"cheung","Loyalty",0,0,1,0.0404664990343536,0.91008736587139,0.969996429983166,0.979474597509289,0.99575126205641
"ppir","Moral Cliff",0,0,1,0.0280415688997993,0.870552647712503,0.951601037089017,0.965613964292986,0.991721223845445
"alogna","RR2",0,0,1,0.0582402353523347,0.810536724543953,0.941798397508711,0.961990879299829,0.993914838399258
"wagenmakers","Wagenmakers",0,0,1,0.0381273189206798,0.798640876046913,0.922805671378821,0.94505117940661,0.986993119122699
"cheung","Voice",0,0,1,0.040564382092993,0.663035645082315,0.844357961978808,0.882324204138321,0.964796917689523
"manylabs","Moneypriming",0,0,1,0.038985436555038,0.591855203091669,0.874193049047053,0.921110667056449,0.990829852649952
"manylabs","Scales",0,0,1,0.303372841003087,0.590074709533609,0.873296057464211,0.920480177638613,0.990727468995459
"rand","time/delay",0,0,1,0.0240934268309511,0.566850322262369,0.806583808578024,0.857409340000682,0.963456426178189
"manylabs","Flagpriming",0,0,1,0.0373141553166017,0.545500918051872,0.84966461688194,0.903631480341567,0.987853095580556
"manylabs","Sunkcosts",0.000160660737079344,0.65537672293298,1.00659700244778,0.0359035321769564,0.457571297662908,0.795715228417971,0.863570868814311,0.979987465726362
"hagger","RT",0.000959641201427058,2.84485499444066,1.02928156809686,0.0356178296533262,0.422069466947572,0.710231447927363,0.779727429035354,0.938265877021718
"hagger","RTV",0.00305177555461533,8.42652141507971,1.09201923466591,0.0361838873587067,0.344309597879011,0.641054589244898,0.71932012609305,0.912497756714905
"alogna","RR1",0.00382452334973976,8.67432207615158,1.09498229056,0.0443413833310385,0.325870769995268,0.672696219702422,0.759912414280247,0.947317441720475
"manylabs","Allowedforbidden",0.00487939878844545,8.64211127805407,1.0945962236973,0.119068825929095,0.320103394128342,0.686344433841512,0.776284744141948,0.957998451928572
"manylabs","Imaginedcontact",0.00943398553036572,27.4369954363097,1.37811272564145,0.039552756596065,0.0650223940475119,0.307143693589641,0.413525632074477,0.782354397140151
"ppir","Presumption of Guilt",0.00962111348330933,34.0702401868607,1.51676572587893,0.0275672087717515,0.0784673636396814,0.24115536203211,0.307752525598793,0.577705242370928
"cheung","Exit",0.00989490600482286,20.3106643894778,1.25487305464241,0.0406552859883738,0.216729475644518,0.450643984564822,0.525581639737285,0.76585703149254
"cheung","Neglect",0.0107716765803146,21.7129270502839,1.27735009411107,0.0406570956342838,0.201154547161588,0.430435400756571,0.505395997274425,0.750546150188381
"manylabs","IAT",0.0110386108930458,26.4730542359452,1.36004561267778,0.0462699590112035,0.0758520249146906,0.329626755556038,0.436415965747832,0.79475884569924
"eerland","Imagery",0.0113370849688067,20.6870656209502,1.26082839807796,0.0498552051384259,0.234407171688308,0.439600830149218,0.504637278632942,0.721181560277215
"eerland","Intention_attribution",0.0119173804797002,21.518577245739,1.27418689022901,0.0497965184437,0.225946384573958,0.429248128119602,0.494264673780019,0.712660212410478
"manylabs","Gamblersfallacy*",0.0119565642888828,29.9748103372796,1.42805753874648,0.0416795587225213,0.0461604103541644,0.253273674033832,0.353085600815214,0.734438592468449
"manylabs","Reciprocity",0.0126506196055676,28.7690040856425,1.4038832212908,0.058901331682814,0.0546002773028029,0.278564756015229,0.381811865918427,0.758144618110844
"manylabs","Gainloss",0.0135519882296463,29.0952055297675,1.41034186400445,0.0497767292215479,0.0522247165017512,0.271661584709581,0.374034736909192,0.751901204445375
"manylabs","Mathartgender*",0.015270022228828,31.7887577844192,1.46603399603765,0.0539490633647306,0.0370222074705309,0.219226275530943,0.311958758479704,0.692322596886196
"manylabs","Anchoring1*",0.0257534600242878,43.0341331138403,1.75543716731002,0.055053183335103,0.00337830930914373,0.0509804727696443,0.0904243343349322,0.378912056165361
"ppir","Burn in Hell**",0.0283704920548037,59.8210691491566,2.48886662443137,0.0294672384698598,0.00113118301149162,0.010869249184107,0.018269195926884,0.0816625925809763
"eerland","Intentionality**",0.0588986331939466,57.3529534922867,2.34482826335731,0.0502479329713798,0.00528063371046195,0.0295721537971201,0.0440262526984367,0.138984884260742
