"paper","experiment","tau2","I2","H2","vbar","p0","p25","p33","p67"
"cheung","Loyalty",0,0,1,0.0404664990343536,0.91008736587139,0.969996429983166,0.979474597509289,0.99575126205641
"ppir","Moral Cliff",0,0,1,0.0280415688997993,0.870552647712503,0.951601037089017,0.965613964292986,0.991721223845445
"alogna","RR2",0,0,1,0.0582402353523347,0.810536724543953,0.941798397508711,0.961990879299829,0.993914838399258
"wagenmakers","Wagenmakers",0,0,1,0.0381273189206798,0.798640876046913,0.922805671378821,0.94505117940661,0.986993119122699
"cheung","Voice",0,0,1,0.040564382092993,0.663035645082315,0.844357961978808,0.882324204138321,0.964796917689523
"manylabs","Moneypriming",0,0,1,0.038985436555038,0.591855203091669,0.874193049047053,0.921110667056449,0.990829852649952
"manylabs","Scales",0,0,1,0.303372841003087,0.590074709533609,0.873296057464211,0.920480177638613,0.990727468995459
"rand","time/delay",0,0,1,0.0240934268309511,0.566850322262369,0.806583808578024,0.857409340000682,0.963456426178189
"manylabs","Flagpriming",0,0,1,0.0373141553166017,0.545500918051872,0.84966461688194,0.903631480341567,0.987853095580556
"manylabs","Sunkcosts",0.000118745823894185,0.48522459078429,1.00487590499792,0.0359035321769564,0.457571297662908,0.795715228417971,0.863570868814311,0.979987465726362
"hagger","RT",0.000950770405734452,2.81929893711227,1.02901089317402,0.0356178296533262,0.422069466947572,0.710231447927363,0.779727429035354,0.938265877021718
"manylabs","Allowedforbidden",0.00146437786489343,2.76059646426185,1.02838968940454,0.119068825929095,0.320103394128342,0.686344433841512,0.776284744141948,0.957998451928572
"alogna","RR1",0.00340659436934982,7.8003653803909,1.08460299666667,0.0443413833310385,0.325870769995268,0.672696219702422,0.759912414280247,0.947317441720475
"hagger","RTV",0.00367500146314267,9.97569826956085,1.11081117073733,0.0361838873587067,0.344309597879011,0.641054589244898,0.71932012609305,0.912497756714905
"manylabs","Reciprocity",0.0063994833687464,16.9648785323315,1.20430967321385,0.058901331682814,0.0546002773028029,0.278564756015229,0.381811865918427,0.758144618110844
"cheung","Exit",0.00989862173686168,20.3167418749243,1.25496876449296,0.0406552859883738,0.216729475644518,0.450643984564822,0.525581639737285,0.76585703149254
"ppir","Presumption of Guilt",0.0102887373686757,35.5929430988128,1.55262489564489,0.0275672087717515,0.0784673636396814,0.24115536203211,0.307752525598793,0.577705242370928
"cheung","Neglect",0.0103247068919358,21.0011666566103,1.26584147851049,0.0406570956342838,0.201154547161588,0.430435400756571,0.505395997274425,0.750546150188381
"manylabs","Imaginedcontact",0.0122011058288564,32.8416668331298,1.48901849233701,0.039552756596065,0.0650223940475119,0.307143693589641,0.413525632074477,0.782354397140151
"manylabs","IAT",0.0131188009821491,29.966840760815,1.42789502981679,0.0462699590112035,0.0758520249146906,0.329626755556038,0.436415965747832,0.79475884569924
"manylabs","Gainloss",0.015669489707027,32.1784628027671,1.4744578806757,0.0497767292215479,0.0522247165017512,0.271661584709581,0.374034736909192,0.751901204445375
"eerland","Imagery",0.0160958815433658,27.0239392604168,1.370312387193,0.0498552051384259,0.234407171688308,0.439600830149218,0.504637278632942,0.721181560277215
"eerland","Intention_attribution",0.0161354080250706,27.0728998978806,1.37123236574566,0.0497965184437,0.225946384573958,0.429248128119602,0.494264673780019,0.712660212410478
"manylabs","Gamblersfallacy*",0.0167867518838171,37.5383873221306,1.60098331939852,0.0416795587225213,0.0461604103541644,0.253273674033832,0.353085600815214,0.734438592468449
"ppir","Burn in Hell**",0.0177641843067139,48.2469662257359,1.93225387396957,0.0294672384698598,0.00113118301149162,0.010869249184107,0.018269195926884,0.0816625925809763
"manylabs","Mathartgender*",0.0212399725746106,39.3290071525594,1.64823411166937,0.0539490633647306,0.0370222074705309,0.219226275530943,0.311958758479704,0.692322596886196
"manylabs","Anchoring1*",0.0351482406431118,50.763613334305,2.03101825239491,0.055053183335103,0.00337830930914373,0.0509804727696443,0.0904243343349322,0.378912056165361
"eerland","Intentionality**",0.0800630382384022,64.6402413831391,2.82807360433496,0.0502479329713798,0.00528063371046195,0.0295721537971201,0.0440262526984367,0.138984884260742
