"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","vbar","replicated","tbardot","mdh0scale","mdh25scale","mdh33scale","mdh67scale"
"alogna","RR1",32,32.8463890895713,44.9853432803658,0.376617759383319,0.802,55.8283151393813,0.713255009916856,1.202,59.3084698197852,0.792759752934176,1.32833333333333,72.8091343921827,0.956465056804658,1.81566666666667,0.00806596672704442,1,-0.0309868886193424,0.0204291147631458,0.0250100521802443,0.0262915323902051,0.0307383410058104
"alogna","RR2",23,16.2752713132465,33.9244384714443,0.801992954974001,0.988,42.0577610990429,0.936274750670723,1.418,44.6530208771009,0.957655102000394,1.55333333333333,54.6725069797061,0.992683468047943,2.07066666666667,0.0101866871299066,1,-0.154740520480937,0.0302481357567517,0.0362375023600081,0.0379273476232958,0.0437900294625697
"cheung","Exit",16,13.9533349506056,24.995790139729,0.529071235488237,1.254,30.950574244293,0.746823365666303,1.725,32.8370044700247,0.798767323741657,1.87133333333333,40.0756304141344,0.926682957564312,2.42966666666667,0.0402612147327106,0,-0.0493369219883742,0.082046786063253,0.09622930628724,0.100227842552066,0.11420527214659
"cheung","Neglect",16,17.1214006349372,24.995790139729,0.311659031087882,1.254,30.950574244293,0.552549497199178,1.725,32.8370044700247,0.62224584961462,1.87133333333333,40.0756304141344,0.827332857433347,2.42966666666667,0.0403188806723269,0,-0.0465378893571133,0.0821055226425912,0.0962981960092461,0.100299594791348,0.114287030705946
"cheung","Voice",16,11.0438454225585,24.995790139729,0.749480090828621,1.254,30.950574244293,0.890726396410776,1.725,32.8370044700247,0.918592296111955,1.87133333333333,40.0756304141344,0.976657159225322,2.42966666666667,0.0402497576145474,1,0.0247317963953318,0.0820351112216734,0.0962156133449551,0.100213580638348,0.114189021315524
"cheung","Loyalty",16,8.20359181898336,24.995790139729,0.915361141859161,1.254,30.950574244293,0.970764045907205,1.725,32.8370044700247,0.979729710025733,1.87133333333333,40.0756304141344,0.995540076125786,2.42966666666667,0.0401708856242027,1,0.00779897590499716,0.0819546952673652,0.0961212967742665,0.100115345009704,0.114077086084574
"eerland","Imagery",12,7.93338650300393,19.6751375726828,0.719258272129499,1.527,24.3380015418782,0.854518961377582,2.039,25.80587591305,0.88441145061135,2.19733333333333,31.4073727810311,0.95595441489053,2.79566666666667,0.0465975639604479,0,-0.0810566972533538,0.113741717115101,0.131434347880573,0.136442049331924,0.153901536593482
"eerland","Intention_attribution",12,10.4507211363115,19.6751375726828,0.490357099580786,1.527,24.3380015418782,0.68643654687682,2.039,25.80587591305,0.737182819511603,2.19733333333333,31.4073727810311,0.877819709388466,2.79566666666667,0.0466068274048642,0,0.00923101661754357,0.113753022295296,0.13144741159215,0.13645561077616,0.153916833396165
"eerland","Intentionality",12,18.5426176400687,19.6751375726828,0.0698142480190541,1.527,24.3380015418782,0.187650288733272,2.039,25.80587591305,0.235237851204584,2.19733333333333,31.4073727810311,0.440568934737539,2.79566666666667,0.0469792759242475,0,-0.176404367748559,0.114206634368926,0.131971583449235,0.136999753791559,0.154530606398012
"hagger","RTV",23,20.1181621551027,33.9244384714443,0.575648543199407,0.988,42.0577610990429,0.816828682079665,1.418,44.6530208771009,0.866777940662504,1.55333333333333,54.6725069797061,0.967927386433586,2.07066666666667,0.0338412704407199,0,0.00386737812693202,0.0551322172726877,0.0660488259374979,0.0691288476936156,0.0798145524776317
"hagger","RT",23,23.1746477291779,33.9244384714443,0.391924571008835,0.988,42.0577610990429,0.678772438274335,1.418,44.6530208771009,0.751004806231286,1.55333333333333,54.6725069797061,0.924002158000758,2.07066666666667,0.0334255784040232,1,0.0811728256930866,0.0547925604299566,0.0656419143929637,0.0687029608472166,0.0793228334748486
"manylabs","Allowedforbidden",36,27.6552682611214,49.8018495682026,0.806980213985494,0.746,61.8272453724219,0.958395477298123,1.136,65.6943219057711,0.976544540222572,1.26033333333333,80.7195008867783,0.998125470892526,1.73866666666667,0.402364714370797,1,1.33845201815283,0.130966533766807,0.161614411578958,0.170229032554658,0.199939721876278
"manylabs","Anchoring1",36,61.5693818324035,49.8018495682026,0.00364280853326326,0.746,61.8272453724219,0.0521148149816458,1.136,65.6943219057711,0.0915235939577564,1.26033333333333,80.7195008867783,0.376139602929391,1.73866666666667,0.0557116390450504,1,1.1589536758397,0.0487330235511272,0.0601371869526798,0.063342712172125,0.07439814504331
"manylabs","Anchoring2",36,156.730852888385,49.8018495682026,0,0.746,61.8272453724219,8.04689648248313e-13,1.136,65.6943219057711,8.53428439029358e-12,1.26033333333333,80.7195008867783,1.03513277949219e-08,1.73866666666667,0.0700592555616703,1,1.7885837453116,0.0546491169182376,0.0674377233635628,0.0710323930502904,0.0834299337636276
"manylabs","Anchoring3",36,317.139551900341,49.8018495682026,0,0.746,61.8272453724219,0,1.136,65.6943219057711,0,1.26033333333333,80.7195008867783,0,1.73866666666667,0.0809489611383866,1,2.20526473861266,0.0587429874279166,0.0724896129911854,0.0763535663013712,0.0896798306461407
"manylabs","Anchoring4",36,90.6019416833857,49.8018495682026,8.09255836342615e-07,0.746,61.8272453724219,0.000140915843413136,1.136,65.6943219057711,0.000450015775173451,1.26033333333333,80.7195008867783,0.0119889464168108,1.73866666666667,0.0772607844347215,1,2.42240643766673,0.0573891703015733,0.0708189849920581,0.0745938879083881,0.0876130292127732
"manylabs","Flagpriming",36,30.710111030969,49.8018495682026,0.675336559943584,0.746,61.8272453724219,0.910419468914403,1.136,65.6943219057711,0.945541942657279,1.26033333333333,80.7195008867783,0.994272933096846,1.73866666666667,0.0366145485198406,0,0.0182884262841459,0.0395072891616587,0.0487525103345101,0.051351191937484,0.0603137013699429
"manylabs","Gainloss",36,37.0116064012991,49.8018495682026,0.376232355028186,0.746,61.8272453724219,0.731086004872467,1.136,65.6943219057711,0.811873215522576,1.26033333333333,80.7195008867783,0.966751155259269,1.73866666666667,0.166360334206433,1,-1.19733682274103,0.0842122520159623,0.103919017827347,0.109458269816098,0.128562417912246
"manylabs","Gamblersfallacy",36,51.360735708339,49.8018495682026,0.0366516736470741,0.746,61.8272453724219,0.217942173786925,1.136,65.6943219057711,0.310436936020387,1.26033333333333,80.7195008867783,0.690850187058247,1.73866666666667,0.0408420088000301,1,0.630171729007084,0.041725729345554,0.0514900944686502,0.0542346990092775,0.0637004773699624
"manylabs","IAT",35,48.43747629584,48.6023673672949,0.0516513261492808,0.759,60.3331816722035,0.261357451152785,1.152,64.1038265402494,0.35939272113262,1.27633333333333,78.7489416845119,0.730687605013928,1.75666666666667,0.0100845658172452,1,0.394120312150452,0.0212190057083809,0.0261414926229711,0.0275160568147399,0.0322811369241441
"manylabs","Imaginedcontact",36,46.4390938336403,49.8018495682026,0.093530964543862,0.746,61.8272453724219,0.369606833654637,1.136,65.6943219057711,0.478783193966638,1.26033333333333,80.7195008867783,0.822960114073071,1.73866666666667,0.0360963376575158,0,0.13726864804912,0.0392267167647669,0.0484062803357097,0.0509865066525433,0.0598853662419734
"manylabs","Mathartgender",35,48.1717108127331,48.6023673672949,0.0544119192212785,0.759,60.3331816722035,0.269280711628709,1.152,64.1038265402494,0.368372076501367,1.27633333333333,78.7489416845119,0.738299557822,1.75666666666667,0.0538591121821529,1,0.583442143962418,0.0490372404380553,0.0604131351289456,0.0635897606360818,0.0746018873230149
"manylabs","Moneypriming",36,28.8015085440125,49.8018495682026,0.760754777670273,0.746,61.8272453724219,0.943306007695931,1.136,65.6943219057711,0.967102799147128,1.26033333333333,80.7195008867783,0.99708054726554,1.73866666666667,0.0360683653482335,0,-0.0174401748359549,0.0392115147445107,0.0483875208443507,0.0509667472138023,0.0598621581168551
"manylabs","Quote Attribution",36,68.4864967330168,49.8018495682026,0.000606685051848022,0.746,61.8272453724219,0.0158381207994274,1.136,65.6943219057711,0.0321459290363502,1.26033333333333,80.7195008867783,0.205776093617115,1.73866666666667,0.0365861372896443,1,0.322211952170414,0.0394919582541449,0.0487335917945933,0.0513312649723334,0.0602902964794241
"manylabs","Reciprocity",36,38.8932174679637,49.8018495682026,0.298682614345908,0.746,61.8272453724219,0.660944192815219,1.136,65.6943219057711,0.753692568304228,1.26033333333333,80.7195008867783,0.949800783937831,1.73866666666667,0.0604577603973593,1,0.373839732731997,0.0507664057966515,0.0626464071761502,0.0659856827273794,0.0775024028177593
"manylabs","Scales",36,33.0797819789252,49.8018495682026,0.561072959598822,0.746,61.8272453724219,0.855232340072147,1.136,65.6943219057711,0.906990781917403,1.26033333333333,80.7195008867783,0.988020896773928,1.73866666666667,1.02106222923398,1,1.36568714048846,0.20862987363251,0.25745198635971,0.271175089765289,0.318504259900777
"manylabs","Sunkcosts",36,36.0652822371833,49.8018495682026,0.418533783404,0.746,61.8272453724219,0.764167318535564,1.136,65.6943219057711,0.838237925039948,1.26033333333333,80.7195008867783,0.973446653634168,1.73866666666667,0.0363758170253193,1,0.285929513543448,0.0393782822674691,0.0485933141437395,0.0511835100254782,0.060116753326786
"ppir","Bad Tipper",16,173.43838834823,24.995790139729,0,1.254,30.950574244293,0,1.725,32.8370044700247,0,1.87133333333333,40.0756304141344,0,2.42966666666667,0.0276728933046159,1,0.64221875695516,0.0680213772319539,0.0797794801942308,0.083094490527916,0.0946825618808789
"ppir","Belief-Act Inconsistency",13,83.8529058641993,21.0260698174834,7.55950857467269e-13,1.445,26.0163416106582,2.64009036854418e-10,1.944,27.5901180039046,9.76637992700091e-10,2.09933333333333,33.6053872644467,5.3888581152961e-08,2.68466666666667,0.0295473812814077,1,0.360048549060051,0.0843563532004102,0.0978435053295623,0.101677433121259,0.114981788132937
"ppir","Bigot-Misanthrope",12,50.8647417806298,19.6751375726828,4.37330832103733e-07,1.527,24.3380015418782,1.57203998407685e-05,2.039,25.80587591305,3.56716532389223e-05,2.19733333333333,31.4073727810311,0.000427829090338672,2.79566666666667,0.0348946750885796,1,1.21317467515595,0.0984277943563994,0.113738330075192,0.118071806139679,0.133180588258818
"ppir","Burn in Hell",15,37.3222774701189,23.6847913048409,0.00065922412827002,1.31,29.3206919187393,0.00682664937965971,1.789,31.1036540854543,0.0116962605479429,1.93833333333333,37.93716128398,0.0561384200393537,2.50466666666667,0.0296842056741356,1,0.288280940718201,0.0745331272782375,0.0871001426528507,0.0906625496251263,0.10305965018826
"ppir","Cold-Hearted Prosociality",12,53.0068527035473,19.6751375726828,1.79010259060419e-07,1.527,24.3380015418782,7.5323993594667e-06,2.039,25.80587591305,1.76890666024887e-05,2.19733333333333,31.4073727810311,0.000236337936530218,2.79566666666667,0.0428014202710846,1,2.01470997571385,0.109010232008448,0.125966875828342,0.130766264398223,0.147499463134839
"ppir","Higher Standards - Charity",11,92.4551255602608,18.3070380532754,1.77635683940025e-15,1.624,22.6388614840102,9.94426763156753e-13,2.149,23.9998036625563,3.99924537930474e-12,2.31233333333333,29.1838687356398,2.90471535713266e-10,2.92366666666667,0.0318430423900252,0,0.881954985161369,0.101698673385055,0.116987775511943,0.12135215560772,0.136453978762783
"ppir","Higher Standards - Company",11,96.1706315309068,18.3070380532754,3.33066907387547e-16,1.624,22.6388614840102,2.25930385511219e-13,2.149,23.9998036625563,9.50239886776671e-13,2.31233333333333,29.1838687356398,7.93350940497817e-11,2.92366666666667,0.0322259882569961,1,1.00860053122886,0.102308362248021,0.117689123341356,0.122079668123943,0.137272027498228
"ppir","Intuitive Economics",15,47.3841323408541,23.6847913048409,1.66159332649629e-05,1.31,29.3206919187393,0.000389425221764994,1.789,31.1036540854543,0.000805182893850676,1.93833333333333,37.93716128398,0.00698733941483298,2.50466666666667,0.0312415513367957,1,0.509780404365369,0.0764632799371253,0.0893557379575173,0.093010399066184,0.105728542063577
"ppir","Moral Cliff",15,9.1310267888298,23.6847913048409,0.822566468718287,1.31,29.3206919187393,0.926155549609333,1.789,31.1036540854543,0.945622108427143,1.93833333333333,37.93716128398,0.984883578532167,2.50466666666667,0.0272616850555765,1,0.713006234259124,0.0714270931217932,0.0834704007113782,0.0868843507741009,0.0987648244466675
"ppir","Moral Inversion",14,61.222902621248,22.3620324948273,3.17186149567661e-08,1.373,27.6765286821515,2.25717955293359e-06,1.861,29.3553007229033,5.97274436553441e-06,2.01333333333333,35.7811209987026,0.000113999841333645,2.58866666666667,0.0312200804826534,1,0.526357791340611,0.0812073987749725,0.0945439008960859,0.0983372757441492,0.111506041006475
"ppir","Presumption of Guilt",17,25.3380793755918,26.2962276048646,0.064082895441655,1.204,32.5676238373899,0.205543471709656,1.667,34.5568700425596,0.265634436364512,1.81233333333333,42.1982948877082,0.522121668994545,2.36266666666667,0.0262095976374165,0,0.18160335591699,0.0628056083835766,0.0739014540296513,0.0770556028556201,0.0879804969046191
"rand","time/delay",21,16.4977627613521,31.4104328442314,0.685303586587366,1.048,38.9293543249946,0.873825014405118,1.487,41.3244131641036,0.909758717689795,1.62533333333333,50.5576330484495,0.979058249368278,2.15166666666667,0.0238775176528383,0,-0.0160234187644587,0.0500236329150278,0.0595868011809415,0.0622968099973129,0.0716773735682029
"wagenmakers","Wagenmakers",17,9.01416957026712,26.2962276048646,0.912828856362107,1.204,32.5676238373899,0.971076824809694,1.667,34.5568700425596,0.980248438697334,1.81233333333333,42.1982948877082,0.995937842702062,2.36266666666667,0.0364705882352942,0,0.0155052264808362,0.0740865948023782,0.0871754485134974,0.090896137668975,0.103783333884381
