"","paper","experiment","k","Q","replicated","p0","p25","p33","p67","mdh0scale","mdh25scale","mdh33scale","mdh67scale"
"1","alogna","RR1",33,35.0394332979199,1,0.325870769995268,0.672696219702422,0.759912414280247,0.947317441720475,0.264184286745171,0.324037645541223,0.34088705644178,0.398943611599694
"2","alogna","RR2",24,16.9737700558288,1,0.810536724543953,0.941798397508711,0.961990879299829,0.993914838399258,0.334744996703299,0.401943295587047,0.420957982185123,0.486705712509859
"3","cheung","Exit",17,20.0779688742785,0,0.216729475644518,0.450643984564822,0.525581639737285,0.76585703149254,0.312886446910064,0.368163989935515,0.383877402233915,0.438303294599827
"4","cheung","Neglect",17,20.4376015057771,0,0.201154547161588,0.430435400756571,0.505395997274425,0.750546150188381,0.312893410424949,0.368172183692226,0.383885945704016,0.438313049357651
"5","cheung","Voice",17,13.1326438368687,1,0.663035645082315,0.844357961978808,0.882324204138321,0.964796917689523,0.312536449202212,0.367752158250687,0.383447993379026,0.43781300443236
"6","cheung","Loyalty",17,9.07988296558909,1,0.91008736587139,0.969996429983166,0.979474597509289,0.99575126205641,0.312159141584422,0.367308191823345,0.382985078255694,0.437284457499157
"7","eerland","Imagery",13,15.1299407769356,0,0.234407171688308,0.439600830149218,0.504637278632942,0.721181560277215,0.379580746152977,0.440269278485565,0.457520915341077,0.517386910145514
"8","eerland","Intention_attribution",13,15.2902426827481,0,0.225946384573958,0.429248128119602,0.494264673780019,0.712660212410478,0.37935727000058,0.440010072281426,0.457251552327179,0.517082301344483
"9","eerland","Intentionality",13,28.1379391602878,0,0.00528063371046195,0.0295721537971201,0.0440262526984367,0.138984884260742,0.381072862176366,0.441999958589053,0.459319410906869,0.519420736430814
"10","hagger","RTV",24,25.116442397316,0,0.344309597879011,0.641054589244898,0.71932012609305,0.912497756714905,0.263851851003838,0.316818723457204,0.331806431427659,0.383629940416082
"11","hagger","RT",24,23.6734760662278,1,0.422069466947572,0.710231447927363,0.779727429035354,0.938265877021718,0.261779877479152,0.314330812136397,0.329200824763832,0.380617374550824
"12","manylabs","Allowedforbidden",37,39.4054640531025,1,0.320103394128342,0.686344433841512,0.776284744141948,0.957998451928572,0.417797676886855,0.516904677271244,0.544573921318981,0.640121488180689
"13","manylabs","Anchoring1",37,63.1957380231615,1,0.00337830930914373,0.0509804727696443,0.0904243343349322,0.378912056165361,0.284091476058788,0.351481640208946,0.370296001364624,0.43526584395884
"14","manylabs","Anchoring2",37,179.461878268208,1,0,9.99200722162641e-16,1.50990331349021e-14,5.67218494396116e-11,0.318077186779926,0.393529200078221,0.414594313155464,0.487336463129815
"15","manylabs","Anchoring3",37,367.12861734544,1,0,0,0,0,0.341622507062059,0.422659774169421,0.445284209495469,0.523411018572524
"16","manylabs","Anchoring4",37,158.913446732024,1,0,8.22675261247241e-13,8.96571705766291e-12,1.17144097755428e-08,0.333834093264334,0.413023848114096,0.435132484683867,0.511478135010519
"17","manylabs","Flagpriming",37,34.384873079436,0,0.545500918051872,0.84966461688194,0.903631480341567,0.987853095580556,0.23388576633506,0.289366488264371,0.304855905046765,0.3583440337109
"18","manylabs","Gainloss",37,50.7723071041605,1,0.0522247165017512,0.271661584709581,0.374034736909192,0.751901204445375,0.270134568389144,0.334213973934594,0.352104019073628,0.413882009145627
