"","paper","experiment","p0","p25","p33","p67","mdh0scale","mdh25scale","mdh33scale","mdh67scale"
"1","alogna","RR1",0.407501800833418,0.73854455193442,0.813552583811782,0.962754312669918,0.0474336288312199,0.0580699431140927,0.0610453660503568,0.0713702514798815
"2","alogna","RR2",0.804944656169105,0.937520308347498,0.958542585440452,0.992874484831041,0.0723055844868428,0.0866226536919347,0.0906620844336149,0.104676324532841
"3","cheung","Exit",0.529071235488237,0.746823365666303,0.798767323741657,0.926682957564312,0.082046786063253,0.09622930628724,0.100227842552066,0.11420527214659
"4","cheung","Neglect",0.311659031087882,0.552549497199178,0.62224584961462,0.827332857433347,0.0821055226425912,0.0962981960092461,0.100299594791348,0.114287030705946
"5","cheung","Voice",0.749480090828621,0.890726396410776,0.918592296111955,0.976657159225322,0.0820351112216734,0.0962156133449551,0.100213580638348,0.114189021315524
"6","cheung","Loyalty",0.915361141859161,0.970764045907205,0.979729710025733,0.995540076125786,0.0819546952673652,0.0961212967742665,0.100115345009704,0.114077086084574
"7","eerland","Imagery",0.719258272129499,0.854518961377582,0.88441145061135,0.95595441489053,0.113741717115101,0.131434347880573,0.136442049331924,0.153901536593482
"8","eerland","Intention_attribution",0.490357099580786,0.68643654687682,0.737182819511603,0.877819709388466,0.113753022295296,0.13144741159215,0.13645561077616,0.153916833396165
"9","eerland","Intentionality",0.0698142480190541,0.187650288733272,0.235237851204584,0.440568934737539,0.114206634368926,0.131971583449235,0.136999753791559,0.154530606398012
"10","hagger","RTV",0.575648543199407,0.816828682079665,0.866777940662504,0.967927386433586,0.0551322172726877,0.0660488259374979,0.0691288476936156,0.0798145524776317
"11","hagger","RT",0.391924571008835,0.678772438274335,0.751004806231286,0.924002158000758,0.0547925604299566,0.0656419143929637,0.0687029608472166,0.0793228334748486
"12","manylabs","Allowedforbidden",0.806980213985494,0.958395477298123,0.976544540222572,0.998125470892526,0.0722056343988747,0.0891026950200699,0.09385218448708,0.110232546012989
"13","manylabs","Anchoring1",0.00364280853326326,0.0521148149816458,0.0915235939577564,0.376139602929391,0.0487330235511272,0.0601371869526798,0.063342712172125,0.07439814504331
"14","manylabs","Anchoring2",0,8.04689648248313e-13,8.53428439029358e-12,1.03513277949219e-08,0.0546491169182376,0.0674377233635628,0.0710323930502904,0.0834299337636276
"15","manylabs","Anchoring3",0,0,0,0,0.0587429874279166,0.0724896129911854,0.0763535663013712,0.0896798306461407
"16","manylabs","Anchoring4",8.09255836342615e-07,0.000140915843413136,0.000450015775173451,0.0119889464168108,0.0573891703015733,0.0708189849920581,0.0745938879083881,0.0876130292127732
"17","manylabs","Flagpriming",0.675336559943584,0.910419468914403,0.945541942657279,0.994272933096846,0.0395072891616587,0.0487525103345101,0.051351191937484,0.0603137013699429
"18","manylabs","Gainloss",0.376232355028195,0.731086004872474,0.811873215522582,0.96675115525927,0.046428647884942,0.0572935573120687,0.0603475069924898,0.0708801758603133
"19","manylabs","Gamblersfallacy",0.0366516736470741,0.217942173786925,0.310436936020387,0.690850187058247,0.041725729345554,0.0514900944686502,0.0542346990092775,0.0637004773699624
"20","manylabs","IAT",0.0704692703050025,0.311767428615481,0.415516125979549,0.775563888506592,0.0458174657429414,0.0564464216270634,0.05941447058437,0.0697035433936942
"21","manylabs","Imaginedcontact",0.093530964543862,0.369606833654637,0.478783193966638,0.822960114073071,0.0392267167647669,0.0484062803357097,0.0509865066525433,0.0598853662419734
"22","manylabs","Mathartgender",0.0544119192212785,0.269280711628709,0.368372076501367,0.738299557822,0.0490372404380553,0.0604131351289456,0.0635897606360818,0.0746018873230149
"23","manylabs","Moneypriming",0.760754777670273,0.943306007695931,0.967102799147128,0.99708054726554,0.0392115147445107,0.0483875208443507,0.0509667472138023,0.0598621581168551
"24","manylabs","Quote Attribution",0.000606685051848022,0.0158381207994274,0.0321459290363502,0.205776093617115,0.0394919582541449,0.0487335917945933,0.0513312649723334,0.0602902964794241
"25","manylabs","Reciprocity",0.298682614345908,0.660944192815219,0.753692568304228,0.949800783937831,0.0507664057966515,0.0626464071761502,0.0659856827273794,0.0775024028177593
"26","manylabs","Scales",0.561072959598823,0.855232340072148,0.906990781917403,0.988020896773928,0.1150236777818,0.141940719263845,0.149506662706202,0.175600601798231
"27","manylabs","Sunkcosts",0.418533783404,0.764167318535564,0.838237925039948,0.973446653634168,0.0393782822674691,0.0485933141437395,0.0511835100254782,0.060116753326786
"28","ppir","Bad Tipper",0,0,0,0,0.0680213772319539,0.0797794801942308,0.083094490527916,0.0946825618808789
"29","ppir","Belief-Act Inconsistency",7.55950857467269e-13,2.64009036854418e-10,9.76637992700091e-10,5.3888581152961e-08,0.0843563532004102,0.0978435053295623,0.101677433121259,0.114981788132937
"30","ppir","Bigot-Misanthrope",4.37330832103733e-07,1.57203998407685e-05,3.56716532389223e-05,0.000427829090338672,0.0984277943563994,0.113738330075192,0.118071806139679,0.133180588258818
"31","ppir","Burn in Hell",0.00065922412827002,0.00682664937965971,0.0116962605479429,0.0561384200393537,0.0745331272782375,0.0871001426528507,0.0906625496251263,0.10305965018826
"32","ppir","Cold-Hearted Prosociality",1.79010259060419e-07,7.5323993594667e-06,1.76890666024887e-05,0.000236337936530218,0.109010232008448,0.125966875828342,0.130766264398223,0.147499463134839
"33","ppir","Higher Standards - Charity",1.77635683940025e-15,9.94426763156753e-13,3.99924537930474e-12,2.90471535713266e-10,0.101698673385055,0.116987775511943,0.12135215560772,0.136453978762783
"34","ppir","Higher Standards - Company",3.33066907387547e-16,2.25930385511219e-13,9.50239886776671e-13,7.93350940497817e-11,0.102308362248021,0.117689123341356,0.122079668123943,0.137272027498228
"35","ppir","Intuitive Economics",1.66159332649629e-05,0.000389425221764994,0.000805182893850676,0.00698733941483298,0.0764632799371253,0.0893557379575173,0.093010399066184,0.105728542063577
"36","ppir","Moral Cliff",0.822566468718287,0.926155549609333,0.945622108427143,0.984883578532167,0.0714270931217932,0.0834704007113782,0.0868843507741009,0.0987648244466675
"37","ppir","Moral Inversion",3.17186149567661e-08,2.25717955293359e-06,5.97274436553441e-06,0.000113999841333645,0.0812073987749725,0.0945439008960859,0.0983372757441492,0.111506041006475
"38","ppir","Presumption of Guilt",0.064082895441655,0.205543471709656,0.265634436364512,0.522121668994545,0.0628056083835766,0.0739014540296513,0.0770556028556201,0.0879804969046191
"39","rand","time/delay",0.685303586587366,0.873825014405118,0.909758717689795,0.979058249368278,0.0500236329150278,0.0595868011809415,0.0622968099973129,0.0716773735682029
"40","wagenmakers","Wagenmakers",0.912828856362107,0.971076824809694,0.980248438697334,0.995937842702062,0.0740865948023782,0.0871754485134974,0.090896137668975,0.103783333884381
