"paper","experiment","tauDL","tauPM","lb","ub","k","Q","p0","p25","mdh0","mdh25","vbar","replicated","lblambda","ublambda"
"manylabs","Allowedforbidden",0.0272576648250154,0.00805049016271589,0,0.126932615268226,36,40.4796453405049,0.241220101693268,0.598871257399343,0.746,1.136,0.395053088672114,1,0,25.4709289550781
"manylabs","Anchoring1",0.0257534600242878,0.0351482406431118,0.00579785351122964,0.100820664035337,37,63.1957380231615,0.00337830930914373,0.0509804727696443,0.733,1.122,0.055053183335103,1,8.90829315185547,53.3317749023438
"manylabs","Anchoring2",0.165897619634757,0.173643357475037,0.0921402802098856,0.342501123596464,37,179.461878268208,0,9.99200722162641e-16,0.733,1.122,0.0690130264323548,1,0,179.461878268208
"manylabs","Anchoring3",0.416461212131405,0.560458501598938,0.340405325842867,1.01172404017251,37,367.12861734544,0,0,0.733,1.122,0.0796084156421328,1,0,367.12861734544
"manylabs","Anchoring4",0.163028373597871,0.193624665161594,0.104666646945935,0.376632736284397,37,158.913446732024,0,8.22675261247241e-13,0.733,1.122,0.0760199193899181,1,0,158.913446732024
"manylabs","Flagpriming",0,0,0,0.0201672791049307,37,34.384873079436,0.545500918051872,0.84966461688194,0.733,1.122,0.0373141553166017,0,0,16.0842163085937
"manylabs","Gainloss",0.0445842542249438,0.051550560435007,0,0.189126811452776,37,50.7723071041609,0.0522247165017471,0.271661584709569,0.733,1.122,0.163758875265608,1,0,37.7120849609375
"manylabs","Gamblersfallacy",0.0119565642888828,0.0167867518838171,0,0.0595542891846099,37,51.4100713948735,0.0461604103541644,0.253273674033832,0.733,1.122,0.0416795587225213,1,0.290956521034241,38.526171875
"manylabs","IAT",0.0026623688732584,0.00289712378051117,0,0.0114653370445359,36,49.0975098838114,0.0572967543629849,0.281795694995375,0.746,1.136,0.00992017972972916,1,0,36.7004028320312
"manylabs","Imaginedcontact",0.00943398553036572,0.0122011058288564,0,0.050038202420631,37,49.6120581230921,0.0650223940475119,0.307143693589641,0.733,1.122,0.039552756596065,0,0,36.2266357421875
"manylabs","Mathartgender",0.014325812659623,0.0193158541865217,0,0.0683226840376224,37,51.3321769860457,0.0468667711446967,0.255476156664147,0.733,1.122,0.0668211990530791,1,0.235834217071533,38.427001953125
"manylabs","Moneypriming",0,0,0,0.0211000340943243,37,33.4213961686937,0.591855203091669,0.874193049047053,0.733,1.122,0.038985436555038,0,0,14.7543884277344
"manylabs","Quote Attribution",0.0236613209594219,0.031847917089061,0.00862013555890588,0.0810139422459292,36,68.4864967330168,0.000606685051848022,0.0158381207994274,0.746,1.136,0.0365861372896443,1,13.797265625,60.964306640625
"manylabs","Reciprocity",0.0126506196055676,0.0063994833687464,0,0.0366178995606991,37,50.5397959664689,0.0546002773028029,0.278564756015229,0.733,1.122,0.058901331682814,1,0,37.4148315429687
"manylabs","Scales",0.00472171037069686,0.00395059399576254,0.00180309574741498,0.00858767966059631,37,111.253116848697,1.3008303323403e-09,1.16428979612948e-06,0.733,1.122,0.00726852445821612,1,0.1,0.1
"manylabs","Sunkcosts",0.000160660737079344,0.000118745823894185,0,0.020027001011633,37,36.2374920881202,0.457571297662908,0.795715228417971,0.733,1.122,0.0359035321769564,1,0,18.6175384521484
"alogna","RR1",0.000913618379246741,0.000835852323882123,0,0.00718875384203791,33,35.8525690545873,0.292480601446665,0.639749681696558,0.787,1.184,0.0081901622142054,1,0,22.7575927734375
"alogna","RR2",0,0,0,0.0041349016149548,24,17.097865977019,0.804421521537777,0.939304325886354,0.962,1.387,0.0102058893096616,1,0,6.6366455078125
"cheung","Exit",0.00989490600482286,0.00989862173686168,0,0.075826444922912,17,20.0779688742785,0.216729475644518,0.450643984564822,1.204,1.667,0.0406552859883738,0,0,19.7191772460938
"cheung","Neglect",0.0107716765803146,0.0103247068919358,0,0.0748972163869047,17,20.4376015057771,0.201154547161588,0.430435400756571,1.204,1.667,0.0406570956342838,0,0,20.2378601074219
"cheung","Voice",0,0,0,0.0339003166271245,17,13.1326438368687,0.663035645082315,0.844357961978808,1.204,1.667,0.040564382092993,1,0,9.17284545898437
"cheung","Loyalty",0,0,0,0.0123982095810286,17,9.07988296558909,0.91008736587139,0.969996429983166,1.204,1.667,0.0404664990343536,1,0,2.16868391036987
"eerland","Imagery",0.0113370849688067,0.0160958815433658,0,0.160585784724455,13,15.1299407769356,0.234407171688308,0.439600830149218,1.445,1.944,0.0498552051384259,0,0,15.1299407769356
"eerland","Intention_attribution",0.0119173804797002,0.0161354080250706,0,0.150164429897612,13,15.2902426827481,0.225946384573958,0.429248128119602,1.445,1.944,0.0497965184437,0,0,15.2902426827481
"eerland","Intentionality",0.0588986331939466,0.0800630382384022,0.0115832515088301,0.330208566199495,13,28.1379391602878,0.00528063371046195,0.0295721537971201,1.445,1.944,0.0502479329713798,0,4.35317754745483,28.1379391602878
"hagger","RTV",0.00305177555461533,0.00367500146314267,0,0.0484648674186358,24,25.116442397316,0.344309597879011,0.641054589244898,0.962,1.387,0.0361838873587067,0,0,18.5357666015625
"hagger","RT",0.000959641201427058,0.000950770405734452,0,0.0340461338291554,24,23.6734760662278,0.422069466947572,0.710231447927363,0.962,1.387,0.0356178296533262,1,0,16.4788696289063
"wagenmakers","Wagenmakers",0,0,0,0.0077432893775767,18,9.10729005088128,0.936835575333455,0.98109352377064,1.159,1.616,0.0368874494444445,0,0,0.842637348175049
