"paper","experiment","k","Q","tauDL","tauPM","lb","ub","vbar","mdh0","mdh25","p0","p25","lblambda","ublambda","replicated"
"manylabs","Allowedforbidden",35,26.9067968041628,0,0,0,0.103607268605088,0.395053088672114,0.759,1.16235294117647,0.801245957363658,0.957486576558753,0,7.90290679931641,1
"manylabs","Anchoring1",36,61.5693818324035,0.0259990249930097,0.0344287072575233,0.0053192531293202,0.101189921255829,0.055053183335103,0.746,1.14714285714286,0.00364280853326326,0.0549427673209484,8.55703563690186,52.428564453125,1
"manylabs","Flagpriming",36,30.710111030969,0,0,0,0.0146501176193502,0.0373141553166017,0.746,1.14714285714286,0.675336559943584,0.914058110276377,0,12.1505279541016,0
"manylabs","Gainloss",36,37.0116064012991,0.00635644460763176,0.00912459388492125,0,0.13834154463681,0.163758875265608,0.746,1.14714285714286,0.376232355028186,0.738839062182069,0,20.8317657470703,1
"manylabs","Gamblersfallacy",36,51.360735708339,0.0128427076426508,0.0184095200943154,0,0.0632266581768125,0.0416795587225213,0.746,1.14714285714286,0.0366516736470741,0.225422547624848,1.10135717391968,39.5937194824219,1
"manylabs","IAT",35,48.43747629584,0.00286132004876475,0.00315689375120841,0,0.0121837920721399,0.00992017972972916,0.759,1.16235294117647,0.0516513261492808,0.269680558367027,0,36.9874420166016,1
"manylabs","Imaginedcontact",36,46.4390938336403,0.00796430206844661,0.00934530786586064,0,0.0418014028241646,0.039552756596065,0.746,1.14714285714286,0.093530964543862,0.378966019808478,0,33.2749267578125,0
"manylabs","Mathartgender",36,48.1952851518516,0.0125515317474439,0.0165948148933901,0,0.0641039782338514,0.0668211990530791,0.746,1.14714285714286,0.0679583451300301,0.318961472503387,0,35.541259765625,1
"manylabs","Moneypriming",36,28.8015085440125,0,0,0,0.0127114836950802,0.038985436555038,0.746,1.14714285714286,0.760754777670273,0.94582958557414,0,9.43701095581055,0
"manylabs","Reciprocity",36,38.8932174679637,0.00444687716174718,0.00299540556651781,0,0.0361784182866771,0.058901331682814,0.746,1.14714285714286,0.298682614345908,0.669645622120954,0,23.3589721679687,1
"manylabs","Sunkcosts",36,36.0652822371833,0.000748726080543586,0.000558052022104637,0,0.0216793660390124,0.0359035321769564,0.746,1.14714285714286,0.418533783404,0.771357513744476,0,19.5507751464844,1
"ppir","Presumption of Guilt",17,25.3380793755918,0.0104728438933145,0.011473310759384,0,0.0575138136688388,0.0262095976374165,1.204,1.667,0.064082895441655,0.205543471709656,0,25.3380793755918,NA
"ppir","Moral Cliff",15,9.1310267888298,0,0,0,0.00742548711164703,0.0272616850555765,1.31,1.789,0.822566468718287,0.926155549609333,0,4.98265380859375,NA
"alogna","RR1",32,32.8463890895713,0.000446716376567455,0.00039544929805018,0,0.00631803486683585,0.0081901622142054,0.802,1.21406451612903,0.376617759383319,0.721761464393784,0,19.8393081665039,1
"alogna","RR2",23,16.2752713132465,0,0,0,0.00428611045453091,0.0102058893096616,0.988,1.43636363636364,0.801992954974001,0.939680225956837,0,6.59533081054688,1
"cheung","Exit",16,13.9533349506056,0,0,0,0.0458606918661729,0.0406552859883738,1.254,1.75466666666667,0.529071235488237,0.757987865989067,0,11.7496826171875,0
"cheung","Neglect",16,17.1214006349372,0.00543968507757845,0.00511212705440824,0,0.0645922499074971,0.0406570956342838,1.254,1.75466666666667,0.311659031087882,0.567038918724026,0,16.5960098266602,0
"cheung","Voice",16,11.0438454225585,0,0,0,0.0279655103919519,0.040564382092993,1.254,1.75466666666667,0.749480090828621,0.89690765042284,0,7.00258178710937,1
"cheung","Loyalty",16,8.20359181898336,0,0,0,0.012139560248681,0.0404664990343536,1.254,1.75466666666667,0.915361141859161,0.972817095581191,0,1.88214416503906,1
"eerland","Imagery",12,7.93338650300393,0,0,0,0.0538767407155704,0.0498552051384259,1.527,2.08272727272727,0.719258272129499,0.86329701367453,0,6.86516647338867,0
"eerland","Intention_attribution",12,10.4507211363115,0,0,0,0.0880655849594306,0.0497965184437,1.527,2.08272727272727,0.490357099580786,0.700978096641277,0,10.4507211363115,0
"eerland","Intentionality",12,18.5426176400687,0.0287787328705052,0.034079923775362,0,0.195780918645896,0.0502479329713798,1.527,2.08272727272727,0.0698142480190541,0.200323541635053,0,18.5426176400687,0
"hagger","RTV",23,20.1181621551027,0,0,0,0.0293868978476957,0.0361838873587067,0.988,1.43636363636364,0.575648543199407,0.824433269123105,0,12.4960586547852,0
"hagger","RT",23,23.1746477291779,0.00170279746729171,0.00170662593927004,0,0.0361528979529494,0.0356178296533262,0.988,1.43636363636364,0.391924571008835,0.689389172558587,0,16.9632873535156,1
"rand","time/delay",21,16.4977627613521,0,0,0,0.0165492298324328,0.0240934268309511,1.048,1.5075,0.685303586587366,0.879906806640241,0,9.46038665771484,0
"wagenmakers","Wagenmakers",17,9.01416957026712,0,0,0,0.0115813448561162,0.0368874494444445,1.204,1.694625,0.912828856362107,0.973060186310172,0,2.04514694213867,0
