"paper","experiment","k","Q","tauDL","tauPM","lb","ub","vbar","mdh0","mdh25","p0","p25","lblambda","ublambda","replicated"
"manylabs","Allowedforbidden",36,40.4796453405049,0.0272576648250154,0.00805049016271589,0,0.126932615268226,0.395053088672114,0.746,1.136,0.241220101693268,0.598871257399343,0,25.4709289550781,1
"manylabs","Anchoring1",37,63.1957380231615,0.0257534600242878,0.0351482406431118,0.00579785351122964,0.100820664035337,0.055053183335103,0.733,1.122,0.00337830930914373,0.0509804727696443,8.90829315185547,53.3317749023438,1
"manylabs","Flagpriming",37,34.384873079436,0,0,0,0.0201672791049307,0.0373141553166017,0.733,1.122,0.545500918051872,0.84966461688194,0,16.0842163085937,0
"manylabs","Gainloss",37,50.7723071041609,0.0445842542249438,0.051550560435007,0,0.189126811452776,0.163758875265608,0.733,1.122,0.0522247165017471,0.271661584709569,0,37.7120849609375,1
"manylabs","Gamblersfallacy",37,51.4100713948735,0.0119565642888828,0.0167867518838171,0,0.0595542891846099,0.0416795587225213,0.733,1.122,0.0461604103541644,0.253273674033832,0.290956521034241,38.526171875,1
"manylabs","IAT",36,49.0975098838114,0.0026623688732584,0.00289712378051117,0,0.0114653370445359,0.00992017972972916,0.746,1.136,0.0572967543629849,0.281795694995375,0,36.7004028320312,1
"manylabs","Imaginedcontact",37,49.6120581230921,0.00943398553036572,0.0122011058288564,0,0.050038202420631,0.039552756596065,0.733,1.122,0.0650223940475119,0.307143693589641,0,36.2266357421875,0
"manylabs","Mathartgender",37,51.3321769860457,0.014325812659623,0.0193158541865217,0,0.0683226840376224,0.0668211990530791,0.733,1.122,0.0468667711446967,0.255476156664147,0.235834217071533,38.427001953125,1
"manylabs","Moneypriming",37,33.4213961686937,0,0,0,0.0211000340943243,0.038985436555038,0.733,1.122,0.591855203091669,0.874193049047053,0,14.7543884277344,0
"manylabs","Reciprocity",37,50.5397959664689,0.0126506196055676,0.0063994833687464,0,0.0366178995606991,0.058901331682814,0.733,1.122,0.0546002773028029,0.278564756015229,0,37.4148315429687,1
"manylabs","Sunkcosts",37,36.2374920881202,0.000160660737079344,0.000118745823894185,0,0.020027001011633,0.0359035321769564,0.733,1.122,0.457571297662908,0.795715228417971,0,18.6175384521484,1
"alogna","RR1",33,35.8525690545873,0.000913618379246741,0.000835852323882123,0,0.00718875384203791,0.0081901622142054,0.787,1.184,0.292480601446665,0.639749681696558,0,22.7575927734375,1
"alogna","RR2",24,17.097865977019,0,0,0,0.0041349016149548,0.0102058893096616,0.962,1.387,0.804421521537777,0.939304325886354,0,6.6366455078125,1
"cheung","Exit",17,20.0779688742785,0.00989490600482286,0.00989862173686168,0,0.075826444922912,0.0406552859883738,1.204,1.667,0.216729475644518,0.450643984564822,0,19.7191772460938,0
"cheung","Neglect",17,20.4376015057771,0.0107716765803146,0.0103247068919358,0,0.0748972163869047,0.0406570956342838,1.204,1.667,0.201154547161588,0.430435400756571,0,20.2378601074219,0
"cheung","Voice",17,13.1326438368687,0,0,0,0.0339003166271245,0.040564382092993,1.204,1.667,0.663035645082315,0.844357961978808,0,9.17284545898437,1
"cheung","Loyalty",17,9.07988296558909,0,0,0,0.0123982095810286,0.0404664990343536,1.204,1.667,0.91008736587139,0.969996429983166,0,2.16868391036987,1
"eerland","Imagery",13,15.1299407769356,0.0113370849688067,0.0160958815433658,0,0.160585784724455,0.0498552051384259,1.445,1.944,0.234407171688308,0.439600830149218,0,15.1299407769356,0
"eerland","Intention_attribution",13,15.2902426827481,0.0119173804797002,0.0161354080250706,0,0.150164429897612,0.0497965184437,1.445,1.944,0.225946384573958,0.429248128119602,0,15.2902426827481,0
"hagger","RTV",24,25.116442397316,0.00305177555461533,0.00367500146314267,0,0.0484648674186358,0.0361838873587067,0.962,1.387,0.344309597879011,0.641054589244898,0,18.5357666015625,0
"hagger","RT",24,23.6734760662278,0.000959641201427058,0.000950770405734452,0,0.0340461338291554,0.0356178296533262,0.962,1.387,0.422069466947572,0.710231447927363,0,16.4788696289063,1
"rand","time/delay",22,19.2852015023794,0,0,0,0.0207723362722841,0.0240934268309511,1.017,1.451,0.566850322262369,0.806583808578024,0,12.476774597168,0
"wagenmakers","Wagenmakers",18,9.10729005088128,0,0,0,0.0077432893775767,0.0368874494444445,1.159,1.616,0.936835575333455,0.98109352377064,0,0.842637348175049,0
