"experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","replicated"
"Allowedforbidden",2,450.498078157937,3.84145882069418,0,7.849,4.75884383138652,0,9.139,5.04323657468101,0,9.53133333333333,6.08289572202274,0,10.9426666666667,1
"Anchoring1",2,1.626356190758,3.84145882069418,0.202207780233599,7.849,4.75884383138652,0.257010409968419,9.139,5.04323657468101,0.274575676357737,9.53133333333333,6.08289572202274,0.341421395096991,10.9426666666667,1
"Anchoring2",2,22.7310253798235,3.84145882069418,1.86334957841261e-06,7.849,4.75884383138652,9.94371523355131e-06,9.139,5.04323657468101,1.39710358002532e-05,9.53133333333333,6.08289572202274,3.88902777030964e-05,10.9426666666667,1
"Anchoring3",2,49.9890654450993,3.84145882069418,1.54609658409299e-12,7.849,4.75884383138652,2.51265674933165e-11,9.139,5.04323657468101,4.20976586923416e-11,9.53133333333333,6.08289572202274,2.00296113028742e-10,10.9426666666667,1
"Anchoring4",2,68.311505048638,3.84145882069418,1.11022302462516e-16,7.849,4.75884383138652,3.99680288865056e-15,9.139,5.04323657468101,7.43849426498855e-15,9.53133333333333,6.08289572202274,4.71844785465692e-14,10.9426666666667,1
"Flagpriming",2,3.67476204846707,3.84145882069418,0.0552421384449809,7.849,4.75884383138652,0.086071524748238,9.139,5.04323657468101,0.0964949953938345,9.53133333333333,6.08289572202274,0.138697233856672,10.9426666666667,0
"Gainloss",2,13.7607007028618,3.84145882069418,0.000207634639247112,7.849,4.75884383138652,0.000677527920460275,9.139,5.04323657468101,0.000876592607074622,9.53133333333333,6.08289572202274,0.00191063652940326,10.9426666666667,1
"Gamblersfallacy",2,0.0493356865344854,3.84145882069418,0.824223286462529,7.849,4.75884383138652,0.844560614623215,9.139,5.04323657468101,0.850802749221243,9.53133333333333,6.08289572202274,0.873363463492362,10.9426666666667,1
"IAT",2,0.580558389769385,3.84145882069418,0.446093533177279,7.849,4.75884383138652,0.500166877082624,9.139,5.04323657468101,0.517011396679152,9.53133333333333,6.08289572202274,0.578984846294965,10.9426666666667,1
"Imaginedcontact",2,3.17296428945178,3.84145882069418,0.0748664519340622,7.849,4.75884383138652,0.111313272412976,9.139,5.04323657468101,0.123479272005299,9.53133333333333,6.08289572202274,0.172017693527278,10.9426666666667,0
"Mathartgender",2,3.13689183419407,3.84145882069418,0.0765395388666875,7.849,4.75884383138652,0.113411323326922,9.139,5.04323657468101,0.125707771600936,9.53133333333333,6.08289572202274,0.174714266223588,10.9426666666667,1
"Moneypriming",2,4.61988762468124,3.84145882069418,0.031603308583899,7.849,4.75884383138652,0.0535654693219276,9.139,5.04323657468101,0.0611685372795081,9.53133333333333,6.08289572202274,0.0927920470166957,10.9426666666667,0
"Quote Attribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Reciprocity",2,11.6465784985052,3.84145882069418,0.000643207307479798,7.849,4.75884383138652,0.00183717858079457,9.139,5.04323657468101,0.00232174563305132,9.53133333333333,6.08289572202274,0.00472462305632748,10.9426666666667,1
"Scales",2,0.0455604201106201,3.84145882069418,0.830976865893538,7.849,4.75884383138652,0.850556001613633,9.139,5.04323657468101,0.856564786265479,9.53133333333333,6.08289572202274,0.878279331515701,10.9426666666667,1
"Sunkcosts",2,0.172209850936941,3.84145882069418,0.678155264794053,7.849,4.75884383138652,0.713977166093472,9.139,5.04323657468101,0.725009965929175,9.53133333333333,6.08289572202274,0.765051448802436,10.9426666666667,1
