"paper","experiment","tau2","ci.lb","ci.ub","I2","H2"
"manylabs","Allowedforbidden",0,0,0.0305884311499542,0,1
"manylabs","Anchoring1",0.0259990249930097,0.0053192531293202,0.101189921255829,43.1535627639191,1.75912519521152
"manylabs","Anchoring2",0.146524648233658,0.0689154109306734,0.293181583124603,77.6687235761258,4.47802436823947
"manylabs","Anchoring3",0.370582429466549,0.303518987648389,0.93669857915137,88.9638489459055,9.06113005429548
"manylabs","Anchoring4",0.0771878357633597,0.0429118326383546,0.248042659348651,61.3694813271123,2.58862690523966
"manylabs","Flagpriming",0,0,0.0146501176193502,0,1
"manylabs","Gainloss",0.0019321274742063,0,0.0420531990588722,5.43506914962747,1.05747446860853
"manylabs","Gamblersfallacy",0.0128427076426508,0,0.0632266581768125,31.8545587065692,1.46744959166682
"manylabs","IAT",0.011767344436789,0,0.0581839187436787,27.3841582088037,1.37710997398537
"manylabs","Imaginedcontact",0.00796430206844661,0,0.0418014028241646,24.6324656433195,1.32683125238972
"manylabs","Mathartgender",0.0135069108045922,0,0.0685018763643324,29.4191561263528,1.41681502390391
"manylabs","Moneypriming",0,0,0.0127114836950802,0,1
"manylabs","Quote Attribution",0.0236613209594219,0.00862013555890588,0.0810139422459292,48.8950352703223,1.95675704951476
"manylabs","Reciprocity",0.00444687716174718,0,0.0361784182866771,10.0100164538213,1.11123478479896
"manylabs","Scales",0,0,0.0807561470240485,0,1
"manylabs","Sunkcosts",0.000748726080543586,0,0.0216793660390124,2.95376098869107,1.03043663534809
