"paper","experiment","tau2","ci.lb","ci.ub","I2","H2"
"manylabs","Allowedforbidden",0,0,0.100634210680787,0,1
"manylabs","Anchoring1",0.0344287072575233,0.0053192531293202,0.101189921255829,50.131077824875,2.00525689424025
"manylabs","Anchoring2",0.140873740261209,0.0689154109306734,0.293181583124603,76.9791590697864,4.34388996923025
"manylabs","Anchoring3",0.509369169244357,0.303518987648389,0.93669857915137,91.7219242042003,12.0801020027795
"manylabs","Anchoring4",0.109157779266971,0.0429118326383546,0.248042659348651,69.198643668857,3.24661027666794
"manylabs","Flagpriming",0,0,0.0146501176193502,0,1
"manylabs","Gainloss",0.00912459388492125,0,0.13834154463681,7.6215760990925,1.0825038550914
"manylabs","Gamblersfallacy",0.0184095200943154,0,0.0632266581768125,40.1222969592483,1.67007074289309
"manylabs","IAT",0.00315689375120841,0,0.0121837920721399,31.9031175767565,1.46849600806199
"manylabs","Imaginedcontact",0.00934530786586064,0,0.0418014028241646,27.7197409846147,1.38350361996786
"manylabs","Mathartgender",0.0184543574759906,0,0.0685018763643324,36.2850437370682,1.56949020866201
"manylabs","Moneypriming",0,0,0.0127114836950802,0,1
"manylabs","Quote Attribution",0.031847917089061,0.00862013555890588,0.0810139422459292,56.2896190587309,2.28778605554511
"manylabs","Reciprocity",0.00299540556651781,0,0.0361784182866771,6.97046825337237,1.07492747864578
"manylabs","Scales",0,0,0.265687000292859,0,1
"manylabs","Sunkcosts",0.000558052022104637,0,0.0216793660390124,2.21822843140559,1.02268550053677
