"experiment","tau2","ci.lb","ci.ub","paper"
"Allowedforbidden",0.00805049016271589,0,0.126932615268226,"manylabs"
"Anchoring1",0.0351482406431118,0.00579785351122964,0.100820664035337,"manylabs"
"Anchoring2",0.173643357475037,0.0921402802098856,0.342501123596464,"manylabs"
"Anchoring3",0.560458501598938,0.340405325842867,1.01172404017251,"manylabs"
"Anchoring4",0.193624665161594,0.104666646945935,0.376632736284397,"manylabs"
"Flagpriming",0,0,0.0201672791049307,"manylabs"
"Gainloss",0.051550560435007,0,0.189126811452776,"manylabs"
"Gamblersfallacy",0.0167867518838171,0,0.0595542891846099,"manylabs"
"IAT",0.00289712378051117,0,0.0114653370445359,"manylabs"
"Imaginedcontact",0.0122011058288564,0,0.050038202420631,"manylabs"
"Mathartgender",0.0193158541865217,0,0.0683226840376224,"manylabs"
"Moneypriming",0,0,0.0211000340943243,"manylabs"
"Quote Attribution",0.031847917089061,0.00862013555890588,0.0810139422459292,"manylabs"
"Reciprocity",0.0063994833687464,0,0.0366178995606991,"manylabs"
"Scales",0.00395059399576254,0.00180309574741498,0.00858767966059631,"manylabs"
"Sunkcosts",0.000118745823894185,0,0.020027001011633,"manylabs"
