"experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","replicated"
"Moral Inversion",14,61.222902621248,22.3620324948273,3.17186149567661e-08,1.373,28.455873536102,3.59576781105986e-06,1.93246153846154,30.371438206639,1.02425583485832e-05,2.10561538461538,37.6889676045413,0.00023121860721087,2.75823076923077,1
"Intuitive Economics",15,47.3841323408541,23.6847913048409,1.66159332649629e-05,1.31,28.5444132513166,0.000275612782314916,1.72328571428571,30.0894273174359,0.00053840786794801,1.85371428571429,36.0247523225922,0.00413484683815035,2.34742857142857,1
"Burn in Hell",15,37.3222774701189,23.6847913048409,0.00065922412827002,1.31,28.1532455411341,0.00460925986761518,1.69042857142857,29.5777454433253,0.00740954123356863,1.81090476190476,35.0577957971173,0.0314022047220707,2.26680952380952,1
"Presumption of Guilt",17,25.3380793755918,26.2962276048646,0.064082895441655,1.204,31.8108752690412,0.184291897630418,1.61175,33.5671992051728,0.235036958698518,1.74066666666667,40.3266151676654,0.459063257612293,2.22833333333333,0
"Moral Cliff",15,9.1310267888298,23.6847913048409,0.822566468718287,1.31,28.1532455411341,0.91040723342375,1.69042857142857,29.5777454433253,0.929286789193299,1.81090476190476,35.0577957971173,0.973567349419307,2.26680952380952,1
"Bad Tipper",16,173.43838834823,24.995790139729,0,1.254,29.0217217472395,0,1.57366666666667,30.31274183269,0,1.67522222222222,35.2980499678788,0,2.06244444444444,1
"Higher Standards - Company",11,96.1706315309068,18.3070380532754,3.33066907387547e-16,1.624,22.6388614840102,2.25930385511219e-13,2.149,23.9998036625563,9.50239886776671e-13,2.31233333333333,29.1838687356398,7.93350940497817e-11,2.92366666666667,1
"Higher Standards - Charity",11,92.4551255602608,18.3070380532754,1.77635683940025e-15,1.624,24.2682294345538,5.17397236166062e-12,2.344,26.1168081479593,2.69907429739646e-11,2.56366666666667,33.1243993945482,3.83266929304682e-09,3.38233333333333,0
"Cold-Hearted Prosociality",12,53.0068527035473,19.6751375726828,1.79010259060419e-07,1.527,25.5414675074194,1.52727007202147e-05,2.16918181818182,27.3717854385002,4.00334959537174e-05,2.36524242424242,34.3321178559479,0.000685777516954422,3.10348484848485,1
"Belief-Act Inconsistency",13,83.8529058641993,21.0260698174834,7.55950857467269e-13,1.445,26.4131330245859,3.72380792867943e-10,1.98283333333333,28.1072609285405,1.45723955125021e-09,2.15011111111111,34.5748154079591,9.26996156502824e-08,2.77822222222222,1
"Bigot-Misanthrope",12,50.8647417806298,19.6751375726828,4.37330832103733e-07,1.527,26.331641259195,4.68448559365342e-05,2.25363636363636,28.3981231386169,0.00012516576847299,2.47584848484848,36.2442858983577,0.00213507066431673,3.30469696969697,1
